Plot Title: San Luis 9811668 20150423-2015,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)",Coupler Detached (LGR S/N: 9811668),Coupler Attached (LGR S/N: 9811668),Stopped (LGR S/N: 9811668),End Of File (LGR S/N: 9811668)
1,4/23/2015,13:15:00,75223,13.365,Logged,,,
2,4/23/2015,13:30:00,75214,11.916,,,,
3,4/23/2015,13:45:00,75216,12.013,,,,
4,4/23/2015,14:00:00,75181,12.11,,,,
5,4/23/2015,14:15:00,75170,12.207,,,,
6,4/23/2015,14:30:00,75149,12.401,,,,
7,4/23/2015,14:45:00,75126,12.497,,,,
8,4/23/2015,15:00:00,75117,12.69,,,,
9,4/23/2015,15:15:00,75119,12.787,,,,
10,4/23/2015,15:30:00,75096,12.883,,,,
11,4/23/2015,15:45:00,75097,12.98,,,,
12,4/23/2015,16:00:00,75085,12.98,,,,
13,4/23/2015,16:15:00,75063,13.076,,,,
14,4/23/2015,16:30:00,75063,13.076,,,,
15,4/23/2015,16:45:00,75027,13.076,,,,
16,4/23/2015,17:00:00,75027,13.076,,,,
17,4/23/2015,17:15:00,75015,13.076,,,,
18,4/23/2015,17:30:00,75013,12.98,,,,
19,4/23/2015,17:45:00,74977,12.98,,,,
20,4/23/2015,18:00:00,74964,12.883,,,,
21,4/23/2015,18:15:00,74976,12.883,,,,
22,4/23/2015,18:30:00,74974,12.787,,,,
23,4/23/2015,18:45:00,74973,12.69,,,,
24,4/23/2015,19:00:00,74973,12.69,,,,
25,4/23/2015,19:15:00,74961,12.69,,,,
26,4/23/2015,19:30:00,74985,12.69,,,,
27,4/23/2015,19:45:00,74983,12.594,,,,
28,4/23/2015,20:00:00,75008,12.594,,,,
29,4/23/2015,20:15:00,75006,12.497,,,,
30,4/23/2015,20:30:00,75030,12.497,,,,
31,4/23/2015,20:45:00,75065,12.401,,,,
32,4/23/2015,21:00:00,75089,12.401,,,,
33,4/23/2015,21:15:00,75065,12.401,,,,
34,4/23/2015,21:30:00,75063,12.304,,,,
35,4/23/2015,21:45:00,75075,12.304,,,,
36,4/23/2015,22:00:00,75086,12.207,,,,
37,4/23/2015,22:15:00,75074,12.207,,,,
38,4/23/2015,22:30:00,75061,12.11,,,,
39,4/23/2015,22:45:00,75097,12.11,,,,
40,4/23/2015,23:00:00,75095,12.013,,,,
41,4/23/2015,23:15:00,75119,12.013,,,,
42,4/23/2015,23:30:00,75118,11.916,,,,
43,4/23/2015,23:45:00,75130,11.916,,,,
44,4/24/2015,0:00:00,75106,11.916,,,,
45,4/24/2015,0:15:00,75118,11.916,,,,
46,4/24/2015,0:30:00,75117,11.819,,,,
47,4/24/2015,0:45:00,75067,11.722,,,,
48,4/24/2015,1:00:00,75067,11.722,,,,
49,4/24/2015,1:15:00,75078,11.625,,,,
50,4/24/2015,1:30:00,75064,11.528,,,,
51,4/24/2015,1:45:00,75040,11.528,,,,
52,4/24/2015,2:00:00,75015,11.431,,,,
53,4/24/2015,2:15:00,75002,11.334,,,,
54,4/24/2015,2:30:00,74966,11.334,,,,
55,4/24/2015,2:45:00,74952,11.236,,,,
56,4/24/2015,3:00:00,74952,11.236,,,,
57,4/24/2015,3:15:00,74951,11.139,,,,
58,4/24/2015,3:30:00,74927,11.139,,,,
59,4/24/2015,3:45:00,74913,11.041,,,,
60,4/24/2015,4:00:00,74913,11.041,,,,
61,4/24/2015,4:15:00,74924,10.944,,,,
62,4/24/2015,4:30:00,74888,10.944,,,,
63,4/24/2015,4:45:00,74899,10.846,,,,
64,4/24/2015,5:00:00,74899,10.846,,,,
65,4/24/2015,5:15:00,74911,10.846,,,,
66,4/24/2015,5:30:00,74911,10.846,,,,
67,4/24/2015,5:45:00,74885,10.748,,,,
68,4/24/2015,6:00:00,74861,10.748,,,,
69,4/24/2015,6:15:00,74861,10.748,,,,
70,4/24/2015,6:30:00,74873,10.748,,,,
71,4/24/2015,6:45:00,74885,10.748,,,,
72,4/24/2015,7:00:00,74885,10.748,,,,
73,4/24/2015,7:15:00,74896,10.651,,,,
