Plot Title: San Luis 9811668 20161125,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)",Coupler Detached (LGR S/N: 9811668),Coupler Attached (LGR S/N: 9811668),Stopped (LGR S/N: 9811668),End Of File (LGR S/N: 9811668)
1,11/25/2016,12:00:00,75735,9.669,Logged,,,
2,11/25/2016,12:30:00,75713,9.768,,,,
3,11/25/2016,13:00:00,75691,9.965,,,,
4,11/25/2016,13:30:00,75681,10.063,,,,
5,11/25/2016,14:00:00,75691,9.965,,,,
6,11/25/2016,14:30:00,75679,9.965,,,,
7,11/25/2016,15:00:00,75702,9.866,,,,
8,11/25/2016,15:30:00,75689,9.768,,,,
9,11/25/2016,16:00:00,75711,9.669,,,,
10,11/25/2016,16:30:00,75734,9.571,,,,
11,11/25/2016,17:00:00,75755,9.373,,,,
12,11/25/2016,17:30:00,75754,9.275,,,,
13,11/25/2016,18:00:00,75777,9.176,,,,
14,11/25/2016,18:30:00,75787,9.077,,,,
15,11/25/2016,19:00:00,75810,8.978,,,,
16,11/25/2016,19:30:00,75809,8.879,,,,
17,11/25/2016,20:00:00,75783,8.779,,,,
18,11/25/2016,20:30:00,75806,8.68,,,,
19,11/25/2016,21:00:00,75803,8.481,,,,
20,11/25/2016,21:30:00,75815,8.481,,,,
21,11/25/2016,22:00:00,75802,8.382,,,,
22,11/25/2016,22:30:00,75802,8.382,,,,
23,11/25/2016,23:00:00,75801,8.282,,,,
24,11/25/2016,23:30:00,75763,8.182,,,,
25,11/26/2016,0:00:00,75738,8.082,,,,
26,11/26/2016,0:30:00,75750,8.082,,,,
27,11/26/2016,1:00:00,75773,7.983,,,,
28,11/26/2016,1:30:00,75761,7.983,,,,
29,11/26/2016,2:00:00,75723,7.882,,,,
30,11/26/2016,2:30:00,75710,7.782,,,,
31,11/26/2016,3:00:00,75698,7.782,,,,
32,11/26/2016,3:30:00,75672,7.682,,,,
33,11/26/2016,4:00:00,75672,7.682,,,,
34,11/26/2016,4:30:00,75684,7.682,,,,
35,11/26/2016,5:00:00,75671,7.582,,,,
36,11/26/2016,5:30:00,75683,7.582,,,,
37,11/26/2016,6:00:00,75694,7.481,,,,
38,11/26/2016,6:30:00,75658,7.481,,,,
39,11/26/2016,7:00:00,75694,7.481,,,,
40,11/26/2016,7:30:00,75694,7.481,,,,
