Plot Title: San Luis 9811668 20170524,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)",Coupler Detached (LGR S/N: 9811668),Coupler Attached (LGR S/N: 9811668),Stopped (LGR S/N: 9811668),End Of File (LGR S/N: 9811668)
1,9/21/2017,16:00:00,74487,16.427,Logged,,,
2,9/21/2017,16:15:00,74741,14.9,,,,
3,9/21/2017,16:30:00,74753,14.9,,,,
4,9/21/2017,16:45:00,74765,14.9,,,,
5,9/21/2017,17:00:00,74765,14.9,,,,
6,9/21/2017,17:15:00,74765,14.9,,,,
7,9/21/2017,17:30:00,74765,14.9,,,,
8,9/21/2017,17:45:00,74765,14.9,,,,
9,9/21/2017,18:00:00,74789,14.9,,,,
10,9/21/2017,18:15:00,74777,14.9,,,,
11,9/21/2017,18:30:00,74789,14.9,,,,
12,9/21/2017,18:45:00,74801,14.9,,,,
13,9/21/2017,19:00:00,74849,14.9,,,,
14,9/21/2017,19:15:00,74873,14.9,,,,
15,9/21/2017,19:30:00,74860,14.804,,,,
16,9/21/2017,19:45:00,74870,14.709,,,,
17,9/21/2017,20:00:00,74867,14.517,,,,
18,9/21/2017,20:15:00,74903,14.517,,,,
19,9/21/2017,20:30:00,74902,14.421,,,,
20,9/21/2017,20:45:00,74901,14.325,,,,
21,9/21/2017,21:00:00,74913,14.325,,,,
22,9/21/2017,21:15:00,74923,14.23,,,,
23,9/21/2017,21:30:00,74934,14.134,,,,
24,9/21/2017,21:45:00,74934,14.134,,,,
25,9/21/2017,22:00:00,74944,14.038,,,,
26,9/21/2017,22:15:00,74943,13.942,,,,
27,9/21/2017,22:30:00,74943,13.942,,,,
28,9/21/2017,22:45:00,74954,13.846,,,,
29,9/21/2017,23:00:00,74942,13.846,,,,
30,9/21/2017,23:15:00,74952,13.75,,,,
31,9/21/2017,23:30:00,74952,13.75,,,,
32,9/21/2017,23:45:00,74939,13.654,,,,
33,9/22/2017,0:00:00,74927,13.654,,,,
34,9/22/2017,0:15:00,74937,13.558,,,,
35,9/22/2017,0:30:00,74924,13.461,,,,
36,9/22/2017,0:45:00,74936,13.461,,,,
37,9/22/2017,1:00:00,74935,13.365,,,,
38,9/22/2017,1:15:00,74935,13.365,,,,
39,9/22/2017,1:30:00,74959,13.365,,,,
40,9/22/2017,1:45:00,74957,13.269,,,,
41,9/22/2017,2:00:00,74933,13.269,,,,
42,9/22/2017,2:15:00,74933,13.269,,,,
43,9/22/2017,2:30:00,74956,13.173,,,,
44,9/22/2017,2:45:00,74944,13.173,,,,
45,9/22/2017,3:00:00,74930,13.076,,,,
46,9/22/2017,3:15:00,74942,13.076,,,,
47,9/22/2017,3:30:00,74930,13.076,,,,
48,9/22/2017,3:45:00,74941,12.98,,,,
49,9/22/2017,4:00:00,74941,12.98,,,,
50,9/22/2017,4:15:00,74929,12.98,,,,
51,9/22/2017,4:30:00,74940,12.883,,,,
52,9/22/2017,4:45:00,74952,12.883,,,,
