Plot Title: San Luis 9811668 20171113,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)",Coupler Detached (LGR S/N: 9811668),Coupler Attached (LGR S/N: 9811668),Stopped (LGR S/N: 9811668),End Of File (LGR S/N: 9811668)
1,11/13/2017,10:45:00,75711,9.669,Logged,,,
2,11/13/2017,11:15:00,75665,9.768,,,,
3,11/13/2017,11:45:00,75622,10.161,,,,
4,11/13/2017,12:15:00,75578,10.455,,,,
5,11/13/2017,12:45:00,75572,10.846,,,,
6,11/13/2017,13:15:00,75528,11.139,,,,
7,11/13/2017,13:45:00,75544,11.431,,,,
8,11/13/2017,14:15:00,75559,11.625,,,,
9,11/13/2017,14:45:00,75548,11.722,,,,
10,11/13/2017,15:15:00,75572,11.722,,,,
11,11/13/2017,15:45:00,75560,11.722,,,,
12,11/13/2017,16:15:00,75559,11.625,,,,
13,11/13/2017,16:45:00,75557,11.528,,,,
14,11/13/2017,17:15:00,75580,11.431,,,,
15,11/13/2017,17:45:00,75613,11.236,,,,
16,11/13/2017,18:15:00,75600,11.139,,,,
17,11/13/2017,18:45:00,75621,10.944,,,,
18,11/13/2017,19:15:00,75618,10.748,,,,
19,11/13/2017,19:45:00,75641,10.651,,,,
20,11/13/2017,20:15:00,75616,10.553,,,,
21,11/13/2017,20:45:00,75637,10.357,,,,
22,11/13/2017,21:15:00,75648,10.259,,,,
23,11/13/2017,21:45:00,75634,10.161,,,,
24,11/13/2017,22:15:00,75633,10.063,,,,
25,11/13/2017,22:45:00,75619,9.965,,,,
26,11/13/2017,23:15:00,75630,9.866,,,,
27,11/13/2017,23:45:00,75605,9.768,,,,
28,11/14/2017,0:15:00,75603,9.669,,,,
29,11/14/2017,0:45:00,75578,9.571,,,,
30,11/14/2017,1:15:00,75565,9.472,,,,
31,11/14/2017,1:45:00,75553,9.472,,,,
32,11/14/2017,2:15:00,75551,9.373,,,,
33,11/14/2017,2:45:00,75550,9.275,,,,
34,11/14/2017,3:15:00,75512,9.176,,,,
35,11/14/2017,3:45:00,75499,9.077,,,,
36,11/14/2017,4:15:00,75499,9.077,,,,
37,11/14/2017,4:45:00,75510,8.978,,,,
38,11/14/2017,5:15:00,75486,8.978,,,,
39,11/14/2017,5:45:00,75472,8.879,,,,
40,11/14/2017,6:15:00,75448,8.879,,,,
41,11/14/2017,6:45:00,75495,8.779,,,,
42,11/14/2017,7:15:00,75482,8.68,,,,
43,11/14/2017,7:45:00,75494,8.68,,,,
44,11/14/2017,8:15:00,75518,8.68,,,,
45,11/14/2017,8:45:00,75470,8.68,,,,
46,11/14/2017,9:15:00,75447,8.779,,,,
47,11/14/2017,9:45:00,75436,8.879,,,,
48,11/14/2017,10:15:00,75400,8.879,,,,
49,11/14/2017,10:45:00,75392,9.176,,,,
50,11/14/2017,11:15:00,75359,9.373,,,,
51,11/14/2017,11:45:00,75327,9.669,,,,
52,11/14/2017,12:15:00,75272,10.063,,,,
53,11/14/2017,12:45:00,75254,10.455,,,,
54,11/14/2017,13:15:00,75223,10.846,,,,
55,11/14/2017,13:45:00,75215,11.139,,,,
56,11/14/2017,14:15:00,75159,11.431,,,,
57,11/14/2017,14:45:00,75159,11.431,,,,
58,11/14/2017,15:15:00,75171,11.431,,,,
59,11/14/2017,15:45:00,75182,11.334,,,,
60,11/14/2017,16:15:00,75170,11.334,,,,
61,11/14/2017,16:45:00,75168,11.236,,,,
62,11/14/2017,17:15:00,75167,11.139,,,,
63,11/14/2017,17:45:00,75188,10.944,,,,
64,11/14/2017,18:15:00,75211,10.846,,,,
65,11/14/2017,18:45:00,75244,10.651,,,,
66,11/14/2017,19:15:00,75242,10.455,,,,
67,11/14/2017,19:45:00,75264,10.357,,,,
68,11/14/2017,20:15:00,75276,10.357,,,,
69,11/14/2017,20:45:00,75275,10.259,,,,
70,11/14/2017,21:15:00,75310,10.161,,,,
71,11/14/2017,21:45:00,75320,10.063,,,,
72,11/14/2017,22:15:00,75355,9.965,,,,
73,11/14/2017,22:45:00,75379,9.965,,,,
74,11/14/2017,23:15:00,75366,9.866,,,,
75,11/14/2017,23:45:00,75376,9.768,,,,
76,11/15/2017,0:15:00,75387,9.669,,,,
77,11/15/2017,0:45:00,75398,9.571,,,,
78,11/15/2017,1:15:00,75396,9.472,,,,
79,11/15/2017,1:45:00,75407,9.373,,,,
80,11/15/2017,2:15:00,75382,9.275,,,,
81,11/15/2017,2:45:00,75356,9.176,,,,
82,11/15/2017,3:15:00,75343,9.077,,,,
83,11/15/2017,3:45:00,75366,8.978,,,,
84,11/15/2017,4:15:00,75376,8.879,,,,
85,11/15/2017,4:45:00,75412,8.879,,,,
86,11/15/2017,5:15:00,75447,8.779,,,,
87,11/15/2017,5:45:00,75435,8.779,,,,
88,11/15/2017,6:15:00,75482,8.68,,,,
89,11/15/2017,6:45:00,75516,8.581,,,,
90,11/15/2017,7:15:00,75504,8.581,,,,
91,11/15/2017,7:45:00,75540,8.581,,,,
92,11/15/2017,8:15:00,75564,8.581,,,,
93,11/15/2017,8:45:00,75576,8.581,,,,
94,11/15/2017,9:15:00,75566,8.68,,,,
95,11/15/2017,9:45:00,75532,8.879,,,,
96,11/15/2017,10:15:00,75523,9.077,,,,
97,11/15/2017,10:45:00,75539,9.373,,,,
98,11/15/2017,11:15:00,75506,9.571,,,,
99,11/15/2017,11:45:00,75460,9.768,,,,
100,11/15/2017,12:15:00,75441,10.063,,,,
101,11/15/2017,12:45:00,75409,10.357,,,,
102,11/15/2017,13:15:00,75387,10.553,,,,
103,11/15/2017,13:45:00,75403,10.846,,,,
104,11/15/2017,14:15:00,75357,10.944,,,,
105,11/15/2017,14:45:00,75358,11.041,,,,
106,11/15/2017,15:15:00,75346,11.041,,,,
107,11/15/2017,15:45:00,75371,11.139,,,,
108,11/15/2017,16:15:00,75347,11.139,,,,
109,11/15/2017,16:45:00,75358,11.041,,,,
110,11/15/2017,17:15:00,75381,10.944,,,,
111,11/15/2017,17:45:00,75355,10.846,,,,
112,11/15/2017,18:15:00,75365,10.651,,,,
113,11/15/2017,18:45:00,75387,10.553,,,,
114,11/15/2017,19:15:00,75374,10.455,,,,
115,11/15/2017,19:45:00,75371,10.259,,,,
116,11/15/2017,20:15:00,75382,10.161,,,,
117,11/15/2017,20:45:00,75380,10.063,,,,
118,11/15/2017,21:15:00,75367,9.965,,,,
119,11/15/2017,21:45:00,75367,9.965,,,,
120,11/15/2017,22:15:00,75364,9.768,,,,
121,11/15/2017,22:45:00,75351,9.669,,,,
122,11/15/2017,23:15:00,75350,9.571,,,,
123,11/15/2017,23:45:00,75360,9.472,,,,
124,11/16/2017,0:15:00,75347,9.373,,,,
125,11/16/2017,0:45:00,75334,9.275,,,,
126,11/16/2017,1:15:00,75319,9.077,,,,
127,11/16/2017,1:45:00,75330,8.978,,,,
128,11/16/2017,2:15:00,75268,8.879,,,,
129,11/16/2017,2:45:00,75292,8.879,,,,
130,11/16/2017,3:15:00,75291,8.779,,,,
131,11/16/2017,3:45:00,75301,8.68,,,,
132,11/16/2017,4:15:00,75276,8.581,,,,
133,11/16/2017,4:45:00,75276,8.581,,,,
134,11/16/2017,5:15:00,75275,8.481,,,,
135,11/16/2017,5:45:00,75249,8.382,,,,
136,11/16/2017,6:15:00,75249,8.382,,,,
137,11/16/2017,6:45:00,75296,8.282,,,,
138,11/16/2017,7:15:00,75308,8.282,,,,
139,11/16/2017,7:45:00,75308,8.282,,,,
140,11/16/2017,8:15:00,75320,8.282,,,,
141,11/16/2017,8:45:00,75332,8.282,,,,
142,11/16/2017,9:15:00,75309,8.382,,,,
143,11/16/2017,9:45:00,75311,8.481,,,,
144,11/16/2017,10:15:00,75300,8.581,,,,
145,11/16/2017,10:45:00,75303,8.779,,,,
146,11/16/2017,11:15:00,75259,9.077,,,,
147,11/16/2017,11:45:00,75240,9.472,,,,
148,11/16/2017,12:15:00,75197,9.866,,,,
149,11/16/2017,12:45:00,75153,10.161,,,,
150,11/16/2017,13:15:00,75134,10.455,,,,
151,11/16/2017,13:45:00,75150,10.748,,,,
152,11/16/2017,14:15:00,75140,10.944,,,,
153,11/16/2017,14:45:00,75130,11.041,,,,
154,11/16/2017,15:15:00,75119,11.139,,,,
155,11/16/2017,15:45:00,75167,11.139,,,,
156,11/16/2017,16:15:00,75132,11.236,,,,
157,11/16/2017,16:45:00,75132,11.236,,,,
158,11/16/2017,17:15:00,75132,11.236,,,,
159,11/16/2017,17:45:00,75143,11.139,,,,
160,11/16/2017,18:15:00,75203,11.139,,,,
161,11/16/2017,18:45:00,75203,11.139,,,,
162,11/16/2017,19:15:00,75215,11.139,,,,
163,11/16/2017,19:45:00,75239,11.139,,,,
164,11/16/2017,20:15:00,75190,11.041,,,,
165,11/16/2017,20:45:00,75178,11.041,,,,
166,11/16/2017,21:15:00,75190,11.041,,,,
167,11/16/2017,21:45:00,75188,10.944,,,,
168,11/16/2017,22:15:00,75163,10.846,,,,
169,11/16/2017,22:45:00,75163,10.846,,,,
170,11/16/2017,23:15:00,75198,10.748,,,,
171,11/16/2017,23:45:00,75139,10.846,,,,
172,11/17/2017,0:15:00,75187,10.846,,,,
173,11/17/2017,0:45:00,75103,10.846,,,,
174,11/17/2017,1:15:00,75068,10.944,,,,
175,11/17/2017,1:45:00,75080,10.944,,,,
176,11/17/2017,2:15:00,75056,10.944,,,,
177,11/17/2017,2:45:00,75056,10.944,,,,
178,11/17/2017,3:15:00,74996,10.944,,,,
179,11/17/2017,3:45:00,74996,10.944,,,,
180,11/17/2017,4:15:00,74995,10.846,,,,
181,11/17/2017,4:45:00,74957,10.748,,,,
182,11/17/2017,5:15:00,74969,10.748,,,,
183,11/17/2017,5:45:00,74945,10.748,,,,
184,11/17/2017,6:15:00,74933,10.748,,,,
185,11/17/2017,6:45:00,74969,10.748,,,,
186,11/17/2017,7:15:00,74981,10.748,,,,
187,11/17/2017,7:45:00,74969,10.748,,,,
188,11/17/2017,8:15:00,74983,10.846,,,,
189,11/17/2017,8:45:00,75008,10.944,,,,
190,11/17/2017,9:15:00,74973,11.041,,,,
191,11/17/2017,9:45:00,74949,11.041,,,,
192,11/17/2017,10:15:00,74951,11.139,,,,
193,11/17/2017,10:45:00,74916,11.236,,,,
194,11/17/2017,11:15:00,74881,11.334,,,,
195,11/17/2017,11:45:00,74833,11.334,,,,
196,11/17/2017,12:15:00,74787,11.431,,,,
197,11/17/2017,12:45:00,74740,11.528,,,,
198,11/17/2017,13:15:00,74765,11.625,,,,
199,11/17/2017,13:45:00,74728,11.528,,,,
200,11/17/2017,14:15:00,74739,11.431,,,,
201,11/17/2017,14:45:00,74737,11.334,,,,
202,11/17/2017,15:15:00,74749,11.334,,,,
203,11/17/2017,15:45:00,74724,11.236,,,,
204,11/17/2017,16:15:00,74700,11.236,,,,
205,11/17/2017,16:45:00,74688,11.236,,,,
206,11/17/2017,17:15:00,74662,11.139,,,,
207,11/17/2017,17:45:00,74662,11.139,,,,
208,11/17/2017,18:15:00,74638,11.139,,,,
209,11/17/2017,18:45:00,74613,11.041,,,,
210,11/17/2017,19:15:00,74613,11.041,,,,
211,11/17/2017,19:45:00,74625,11.041,,,,
212,11/17/2017,20:15:00,74613,11.041,,,,
213,11/17/2017,20:45:00,74589,11.041,,,,
214,11/17/2017,21:15:00,74589,11.041,,,,
215,11/17/2017,21:45:00,74575,10.944,,,,
216,11/17/2017,22:15:00,74563,10.944,,,,
217,11/17/2017,22:45:00,74588,10.944,,,,
218,11/17/2017,23:15:00,74612,10.944,,,,
219,11/17/2017,23:45:00,74636,10.944,,,,
220,11/18/2017,0:15:00,74718,10.846,,,,
221,11/18/2017,0:45:00,74837,10.748,,,,
222,11/18/2017,1:15:00,74858,10.553,,,,
223,11/18/2017,1:45:00,74881,10.455,,,,
224,11/18/2017,2:15:00,74890,10.259,,,,
225,11/18/2017,2:45:00,74924,10.063,,,,
226,11/18/2017,3:15:00,74933,9.866,,,,
227,11/18/2017,3:45:00,74944,9.768,,,,
228,11/18/2017,4:15:00,74953,9.571,,,,
229,11/18/2017,4:45:00,74988,9.472,,,,
230,11/18/2017,5:15:00,75045,9.275,,,,
231,11/18/2017,5:45:00,75116,9.176,,,,
232,11/18/2017,6:15:00,75152,9.176,,,,
233,11/18/2017,6:45:00,75235,9.077,,,,
234,11/18/2017,7:15:00,75283,9.077,,,,
235,11/18/2017,7:45:00,75330,8.978,,,,
236,11/18/2017,8:15:00,75364,8.879,,,,
237,11/18/2017,8:45:00,75364,8.879,,,,
238,11/18/2017,9:15:00,75414,8.978,,,,
239,11/18/2017,9:45:00,75402,8.978,,,,
240,11/18/2017,10:15:00,75414,8.978,,,,
241,11/18/2017,10:45:00,75415,9.077,,,,
242,11/18/2017,11:15:00,75404,9.176,,,,
243,11/18/2017,11:45:00,75371,9.373,,,,
244,11/18/2017,12:15:00,75364,9.768,,,,
245,11/18/2017,12:45:00,75356,10.063,,,,
246,11/18/2017,13:15:00,75350,10.455,,,,
247,11/18/2017,13:45:00,75354,10.748,,,,
248,11/18/2017,14:15:00,75369,10.944,,,,
249,11/18/2017,14:45:00,75369,10.944,,,,
250,11/18/2017,15:15:00,75366,10.748,,,,
251,11/18/2017,15:45:00,75389,10.651,,,,
252,11/18/2017,16:15:00,75411,10.553,,,,
253,11/18/2017,16:45:00,75458,10.455,,,,
254,11/18/2017,17:15:00,75457,10.357,,,,
255,11/18/2017,17:45:00,75502,10.161,,,,
256,11/18/2017,18:15:00,75511,9.965,,,,
257,11/18/2017,18:45:00,75546,9.866,,,,
258,11/18/2017,19:15:00,75567,9.669,,,,
259,11/18/2017,19:45:00,75578,9.571,,,,
260,11/18/2017,20:15:00,75575,9.373,,,,
261,11/18/2017,20:45:00,75562,9.275,,,,
262,11/18/2017,21:15:00,75547,9.077,,,,
263,11/18/2017,21:45:00,75556,8.879,,,,
264,11/18/2017,22:15:00,75602,8.68,,,,
265,11/18/2017,22:45:00,75612,8.581,,,,
266,11/18/2017,23:15:00,75599,8.481,,,,
267,11/18/2017,23:45:00,75586,8.382,,,,
268,11/19/2017,0:15:00,75560,8.282,,,,
269,11/19/2017,0:45:00,75571,8.182,,,,
270,11/19/2017,1:15:00,75559,8.182,,,,
271,11/19/2017,1:45:00,75570,8.082,,,,
272,11/19/2017,2:15:00,75544,7.983,,,,
273,11/19/2017,2:45:00,75543,7.882,,,,
274,11/19/2017,3:15:00,75519,7.882,,,,
275,11/19/2017,3:45:00,75492,7.682,,,,
276,11/19/2017,4:15:00,75492,7.682,,,,
277,11/19/2017,4:45:00,75491,7.582,,,,
278,11/19/2017,5:15:00,75502,7.481,,,,
279,11/19/2017,5:45:00,75488,7.381,,,,
280,11/19/2017,6:15:00,75451,7.28,,,,
281,11/19/2017,6:45:00,75487,7.28,,,,
282,11/19/2017,7:15:00,75487,7.28,,,,
283,11/19/2017,7:45:00,75498,7.179,,,,
284,11/19/2017,8:15:00,75522,7.179,,,,
285,11/19/2017,8:45:00,75510,7.179,,,,
286,11/19/2017,9:15:00,75487,7.28,,,,
287,11/19/2017,9:45:00,75464,7.381,,,,
288,11/19/2017,10:15:00,75431,7.582,,,,
289,11/19/2017,10:45:00,75410,7.782,,,,
290,11/19/2017,11:15:00,75376,7.983,,,,
291,11/19/2017,11:45:00,75320,8.282,,,,
292,11/19/2017,12:15:00,75243,8.779,,,,
293,11/19/2017,12:45:00,75237,9.275,,,,
294,11/19/2017,13:15:00,75229,9.571,,,,
295,11/19/2017,13:45:00,75209,9.866,,,,
296,11/19/2017,14:15:00,75177,10.161,,,,
297,11/19/2017,14:45:00,75167,10.259,,,,
298,11/19/2017,15:15:00,75141,10.161,,,,
299,11/19/2017,15:45:00,75140,10.063,,,,
300,11/19/2017,16:15:00,75139,9.965,,,,
301,11/19/2017,16:45:00,75149,9.866,,,,
302,11/19/2017,17:15:00,75160,9.768,,,,
303,11/19/2017,17:45:00,75169,9.571,,,,
304,11/19/2017,18:15:00,75179,9.373,,,,
305,11/19/2017,18:45:00,75200,9.176,,,,
306,11/19/2017,19:15:00,75209,8.978,,,,
307,11/19/2017,19:45:00,75207,8.779,,,,
308,11/19/2017,20:15:00,75217,8.68,,,,
309,11/19/2017,20:45:00,75227,8.481,,,,
310,11/19/2017,21:15:00,75249,8.382,,,,
311,11/19/2017,21:45:00,75235,8.182,,,,
312,11/19/2017,22:15:00,75221,8.082,,,,
313,11/19/2017,22:45:00,75232,7.983,,,,
314,11/19/2017,23:15:00,75231,7.882,,,,
315,11/19/2017,23:45:00,75205,7.782,,,,
316,11/20/2017,0:15:00,75203,7.582,,,,
317,11/20/2017,0:45:00,75177,7.481,,,,
318,11/20/2017,1:15:00,75165,7.481,,,,
319,11/20/2017,1:45:00,75140,7.381,,,,
320,11/20/2017,2:15:00,75139,7.28,,,,
321,11/20/2017,2:45:00,75139,7.28,,,,
322,11/20/2017,3:15:00,75149,7.179,,,,
323,11/20/2017,3:45:00,75161,7.179,,,,
324,11/20/2017,4:15:00,75124,7.079,,,,
325,11/20/2017,4:45:00,75123,6.978,,,,
326,11/20/2017,5:15:00,75135,6.978,,,,
327,11/20/2017,5:45:00,75123,6.978,,,,
328,11/20/2017,6:15:00,75121,6.877,,,,
329,11/20/2017,6:45:00,75157,6.877,,,,
330,11/20/2017,7:15:00,75192,6.775,,,,
331,11/20/2017,7:45:00,75180,6.775,,,,
332,11/20/2017,8:15:00,75132,6.775,,,,
333,11/20/2017,8:45:00,75097,6.877,,,,
334,11/20/2017,9:15:00,75099,6.978,,,,
335,11/20/2017,9:45:00,75089,7.179,,,,
336,11/20/2017,10:15:00,75056,7.381,,,,
337,11/20/2017,10:45:00,75047,7.582,,,,
338,11/20/2017,11:15:00,75013,7.782,,,,
339,11/20/2017,11:45:00,74996,8.282,,,,
340,11/20/2017,12:15:00,74953,8.68,,,,
341,11/20/2017,12:45:00,74946,9.077,,,,
342,11/20/2017,13:15:00,74986,9.373,,,,
343,11/20/2017,13:45:00,75003,9.669,,,,
344,11/20/2017,14:15:00,74993,9.866,,,,
345,11/20/2017,14:45:00,74995,9.965,,,,
346,11/20/2017,15:15:00,74981,9.866,,,,
347,11/20/2017,15:45:00,75005,9.866,,,,
348,11/20/2017,16:15:00,74981,9.866,,,,
349,11/20/2017,16:45:00,74993,9.866,,,,
350,11/20/2017,17:15:00,74956,9.768,,,,
351,11/20/2017,17:45:00,74966,9.669,,,,
352,11/20/2017,18:15:00,75000,9.472,,,,
353,11/20/2017,18:45:00,75023,9.373,,,,
354,11/20/2017,19:15:00,75010,9.373,,,,
355,11/20/2017,19:45:00,75069,9.275,,,,
356,11/20/2017,20:15:00,75045,9.275,,,,
357,11/20/2017,20:45:00,75092,9.176,,,,
358,11/20/2017,21:15:00,75053,8.978,,,,
359,11/20/2017,21:45:00,75065,8.978,,,,
360,11/20/2017,22:15:00,75100,8.879,,,,
361,11/20/2017,22:45:00,75088,8.879,,,,
362,11/20/2017,23:15:00,75064,8.879,,,,
363,11/20/2017,23:45:00,75040,8.879,,,,
364,11/21/2017,0:15:00,75017,8.978,,,,
365,11/21/2017,0:45:00,75005,8.978,,,,
366,11/21/2017,1:15:00,75089,8.978,,,,
367,11/21/2017,1:45:00,75055,9.077,,,,
368,11/21/2017,2:15:00,75055,9.077,,,,
369,11/21/2017,2:45:00,75031,9.077,,,,
370,11/21/2017,3:15:00,75103,9.077,,,,
371,11/21/2017,3:45:00,75115,9.077,,,,
372,11/21/2017,4:15:00,75163,9.077,,,,
373,11/21/2017,4:45:00,75175,9.077,,,,
374,11/21/2017,5:15:00,75187,9.077,,,,
375,11/21/2017,5:45:00,75248,9.176,,,,
376,11/21/2017,6:15:00,75260,9.176,,,,
377,11/21/2017,6:45:00,75308,9.176,,,,
378,11/21/2017,7:15:00,75320,9.176,,,,
379,11/21/2017,7:45:00,75355,9.077,,,,
380,11/21/2017,8:15:00,75379,9.077,,,,
381,11/21/2017,8:45:00,75404,9.176,,,,
382,11/21/2017,9:15:00,75430,9.275,,,,
383,11/21/2017,9:45:00,75443,9.373,,,,
384,11/21/2017,10:15:00,75480,9.472,,,,
385,11/21/2017,10:45:00,75435,9.669,,,,
386,11/21/2017,11:15:00,75448,9.768,,,,
387,11/21/2017,11:45:00,75451,9.965,,,,
388,11/21/2017,12:15:00,75467,10.259,,,,
