"Plot Title: San Luis 9811668 20190920"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)","Coupler Detached (LGR S/N: 9811668)","Coupler Attached (LGR S/N: 9811668)","Host Connected (LGR S/N: 9811668)","Stopped (LGR S/N: 9811668)","End Of File (LGR S/N: 9811668)"
1,09/20/19 01:00:00 PM,75071,15.282,Logged,,,,
2,09/20/19 01:30:00 PM,75049,15.378,,,,,
3,09/20/19 02:00:00 PM,75015,15.569,,,,,
4,09/20/19 02:30:00 PM,74994,15.760,,,,,
5,09/20/19 03:00:00 PM,75011,16.046,,,,,
6,09/20/19 03:30:00 PM,74988,16.141,,,,,
7,09/20/19 04:00:00 PM,74964,16.141,,,,,
8,09/20/19 04:30:00 PM,74951,16.046,,,,,
9,09/20/19 05:00:00 PM,74961,15.951,,,,,
10,09/20/19 05:30:00 PM,74937,15.951,,,,,
11,09/20/19 06:00:00 PM,74936,15.855,,,,,
12,09/20/19 06:30:00 PM,74910,15.760,,,,,
13,09/20/19 07:00:00 PM,74933,15.664,,,,,
14,09/20/19 07:30:00 PM,74954,15.473,,,,,
15,09/20/19 08:00:00 PM,74987,15.282,,,,,
16,09/20/19 08:30:00 PM,75008,15.091,,,,,
17,09/20/19 09:00:00 PM,75055,14.996,,,,,
18,09/20/19 09:30:00 PM,75076,14.804,,,,,
19,09/20/19 10:00:00 PM,75109,14.613,,,,,
20,09/20/19 10:30:00 PM,75108,14.517,,,,,
21,09/20/19 11:00:00 PM,75117,14.325,,,,,
22,09/20/19 11:30:00 PM,75128,14.230,,,,,
23,09/21/19 12:00:00 AM,75138,14.134,,,,,
24,09/21/19 12:30:00 AM,75113,14.038,,,,,
25,09/21/19 01:00:00 AM,75134,13.846,,,,,
26,09/21/19 01:30:00 AM,75134,13.846,,,,,
27,09/21/19 02:00:00 AM,75145,13.750,,,,,
28,09/21/19 02:30:00 AM,75167,13.654,,,,,
29,09/21/19 03:00:00 AM,75164,13.461,,,,,
30,09/21/19 03:30:00 AM,75163,13.365,,,,,
31,09/21/19 04:00:00 AM,75186,13.269,,,,,
32,09/21/19 04:30:00 AM,75196,13.173,,,,,
33,09/21/19 05:00:00 AM,75183,13.076,,,,,
34,09/21/19 05:30:00 AM,75193,12.980,,,,,
35,09/21/19 06:00:00 AM,75204,12.883,,,,,
36,09/21/19 06:30:00 AM,75228,12.883,,,,,
37,09/21/19 07:00:00 AM,75215,12.787,,,,,
38,09/21/19 07:30:00 AM,75249,12.690,,,,,
39,09/21/19 08:00:00 AM,75273,12.690,,,,,
40,09/21/19 08:30:00 AM,75285,12.690,,,,,
41,09/21/19 09:00:00 AM,75273,12.690,,,,,
42,09/21/19 09:30:00 AM,75273,12.690,,,,,
43,09/21/19 10:00:00 AM,75251,12.787,,,,,
44,09/21/19 10:30:00 AM,75252,12.883,,,,,
45,09/21/19 11:00:00 AM,75231,13.076,,,,,
46,09/21/19 11:30:00 AM,75246,13.269,,,,,
47,09/21/19 12:00:00 PM,75199,13.365,,,,,
48,09/21/19 12:30:00 PM,75179,13.654,,,,,
49,09/21/19 01:00:00 PM,75161,14.038,,,,,
50,09/21/19 01:30:00 PM,75131,14.421,,,,,
51,09/21/19 02:00:00 PM,75124,14.804,,,,,
52,09/21/19 02:30:00 PM,75092,15.091,,,,,
53,09/21/19 03:00:00 PM,75071,15.282,,,,,
54,09/21/19 03:30:00 PM,75040,15.569,,,,,
55,09/21/19 04:00:00 PM,75040,15.569,,,,,
56,09/21/19 04:30:00 PM,75015,15.569,,,,,
57,09/21/19 05:00:00 PM,75002,15.473,,,,,
58,09/21/19 05:30:00 PM,75002,15.473,,,,,
59,09/21/19 06:00:00 PM,74976,15.378,,,,,
60,09/21/19 06:30:00 PM,74976,15.378,,,,,
61,09/21/19 07:00:00 PM,74999,15.282,,,,,
62,09/21/19 07:30:00 PM,75008,15.091,,,,,
63,09/21/19 08:00:00 PM,75016,14.804,,,,,
64,09/21/19 08:30:00 PM,75049,14.613,,,,,
65,09/21/19 09:00:00 PM,75072,14.517,,,,,
66,09/21/19 09:30:00 PM,75081,14.325,,,,,
67,09/21/19 10:00:00 PM,75104,14.230,,,,,
68,09/21/19 10:30:00 PM,75126,14.134,,,,,
69,09/21/19 11:00:00 PM,75123,13.942,,,,,
70,09/21/19 11:30:00 PM,75146,13.846,,,,,
71,09/22/19 12:00:00 AM,75157,13.750,,,,,
72,09/22/19 12:30:00 AM,75166,13.558,,,,,
73,09/22/19 01:00:00 AM,75188,13.461,,,,,
74,09/22/19 01:30:00 AM,75211,13.365,,,,,
75,09/22/19 02:00:00 AM,75208,13.173,,,,,
76,09/22/19 02:30:00 AM,75231,13.076,,,,,
77,09/22/19 03:00:00 AM,75230,12.980,,,,,
78,09/22/19 03:30:00 AM,75227,12.787,,,,,
79,09/22/19 04:00:00 AM,75213,12.690,,,,,
80,09/22/19 04:30:00 AM,75224,12.594,,,,,
81,09/22/19 05:00:00 AM,75271,12.497,,,,,
82,09/22/19 05:30:00 AM,75293,12.401,,,,,
83,09/22/19 06:00:00 AM,75304,12.304,,,,,
84,09/22/19 06:30:00 AM,75351,12.207,,,,,
85,09/22/19 07:00:00 AM,75349,12.110,,,,,
86,09/22/19 07:30:00 AM,75346,11.916,,,,,
87,09/22/19 08:00:00 AM,75358,11.916,,,,,
88,09/22/19 08:30:00 AM,75405,11.819,,,,,
89,09/22/19 09:00:00 AM,75405,11.819,,,,,
90,09/22/19 09:30:00 AM,75407,11.916,,,,,
91,09/22/19 10:00:00 AM,75395,11.916,,,,,
92,09/22/19 10:30:00 AM,75408,12.013,,,,,
93,09/22/19 11:00:00 AM,75411,12.207,,,,,
94,09/22/19 11:30:00 AM,75401,12.401,,,,,
95,09/22/19 12:00:00 PM,75404,12.594,,,,,
96,09/22/19 12:30:00 PM,75386,12.980,,,,,
97,09/22/19 01:00:00 PM,75369,13.461,,,,,
98,09/22/19 01:30:00 PM,75352,13.942,,,,,
99,09/22/19 02:00:00 PM,75346,14.325,,,,,
100,09/22/19 02:30:00 PM,75351,14.709,,,,,
101,09/22/19 03:00:00 PM,75333,15.091,,,,,
102,09/22/19 03:30:00 PM,75325,15.378,,,,,
103,09/22/19 04:00:00 PM,75325,15.378,,,,,
104,09/22/19 04:30:00 PM,75336,15.282,,,,,
105,09/22/19 05:00:00 PM,75322,15.187,,,,,
106,09/22/19 05:30:00 PM,75344,14.996,,,,,
107,09/22/19 06:00:00 PM,75354,14.900,,,,,
108,09/22/19 06:30:00 PM,75363,14.709,,,,,
109,09/22/19 07:00:00 PM,75372,14.517,,,,,
110,09/22/19 07:30:00 PM,75406,14.325,,,,,
111,09/22/19 08:00:00 PM,75439,14.134,,,,,
112,09/22/19 08:30:00 PM,75471,13.846,,,,,
113,09/22/19 09:00:00 PM,75492,13.654,,,,,
114,09/22/19 09:30:00 PM,75513,13.461,,,,,
115,09/22/19 10:00:00 PM,75536,13.365,,,,,
116,09/22/19 10:30:00 PM,75509,13.173,,,,,
117,09/22/19 11:00:00 PM,75544,13.076,,,,,
118,09/22/19 11:30:00 PM,75541,12.883,,,,,
119,09/23/19 12:00:00 AM,75527,12.787,,,,,
120,09/23/19 12:30:00 AM,75514,12.690,,,,,
121,09/23/19 01:00:00 AM,75512,12.594,,,,,
122,09/23/19 01:30:00 AM,75522,12.401,,,,,
123,09/23/19 02:00:00 AM,75520,12.304,,,,,
124,09/23/19 02:30:00 AM,75519,12.207,,,,,
125,09/23/19 03:00:00 AM,75518,12.110,,,,,
126,09/23/19 03:30:00 AM,75492,12.013,,,,,
127,09/23/19 04:00:00 AM,75479,11.916,,,,,
128,09/23/19 04:30:00 AM,75513,11.819,,,,,
129,09/23/19 05:00:00 AM,75501,11.819,,,,,
130,09/23/19 05:30:00 AM,75500,11.722,,,,,
131,09/23/19 06:00:00 AM,75499,11.625,,,,,
132,09/23/19 06:30:00 AM,75521,11.528,,,,,
133,09/23/19 07:00:00 AM,75509,11.528,,,,,
134,09/23/19 07:30:00 AM,75556,11.431,,,,,
135,09/23/19 08:00:00 AM,75556,11.431,,,,,
136,09/23/19 08:30:00 AM,75568,11.431,,,,,
137,09/23/19 09:00:00 AM,75569,11.528,,,,,
138,09/23/19 09:30:00 AM,75559,11.625,,,,,
139,09/23/19 10:00:00 AM,75561,11.819,,,,,
140,09/23/19 10:30:00 AM,75516,12.013,,,,,
141,09/23/19 11:00:00 AM,75556,12.304,,,,,
142,09/23/19 11:30:00 AM,75559,12.497,,,,,
143,09/23/19 12:00:00 PM,75527,12.787,,,,,
144,09/23/19 12:30:00 PM,75530,12.980,,,,,
145,09/23/19 01:00:00 PM,75533,13.173,,,,,
146,09/23/19 01:30:00 PM,75534,13.269,,,,,
147,09/23/19 02:00:00 PM,75501,13.461,,,,,
148,09/23/19 02:30:00 PM,75491,13.558,,,,,
149,09/23/19 03:00:00 PM,75468,13.654,,,,,
150,09/23/19 03:30:00 PM,75420,13.654,,,,,
151,09/23/19 04:00:00 PM,75445,13.750,,,,,
152,09/23/19 04:30:00 PM,75459,13.846,,,,,
153,09/23/19 05:00:00 PM,75435,13.846,,,,,
154,09/23/19 05:30:00 PM,75375,13.846,,,,,
155,09/23/19 06:00:00 PM,75349,13.750,,,,,
156,09/23/19 06:30:00 PM,75361,13.750,,,,,
157,09/23/19 07:00:00 PM,75360,13.654,,,,,
158,09/23/19 07:30:00 PM,75348,13.654,,,,,
159,09/23/19 08:00:00 PM,75370,13.558,,,,,
160,09/23/19 08:30:00 PM,75527,13.558,,,,,
161,09/23/19 09:00:00 PM,75501,13.461,,,,,
162,09/23/19 09:30:00 PM,75501,13.461,,,,,
163,09/23/19 10:00:00 PM,75501,13.461,,,,,
164,09/23/19 10:30:00 PM,75440,13.365,,,,,
165,09/23/19 11:00:00 PM,75367,13.365,,,,,
166,09/23/19 11:30:00 PM,75295,13.365,,,,,
167,09/24/19 12:00:00 AM,75283,13.365,,,,,
168,09/24/19 12:30:00 AM,75294,13.269,,,,,
169,09/24/19 01:00:00 AM,75268,13.173,,,,,
170,09/24/19 01:30:00 AM,75291,13.076,,,,,
171,09/24/19 02:00:00 AM,75291,13.076,,,,,
172,09/24/19 02:30:00 AM,75279,13.076,,,,,
173,09/24/19 03:00:00 AM,75242,12.980,,,,,
174,09/24/19 03:30:00 AM,75278,12.980,,,,,
175,09/24/19 04:00:00 AM,75278,12.980,,,,,
176,09/24/19 04:30:00 AM,75242,12.980,,,,,
177,09/24/19 05:00:00 AM,75264,12.883,,,,,
178,09/24/19 05:30:00 AM,75300,12.883,,,,,
179,09/24/19 06:00:00 AM,75300,12.883,,,,,
180,09/24/19 06:30:00 AM,75300,12.883,,,,,
181,09/24/19 07:00:00 AM,75323,12.787,,,,,
182,09/24/19 07:30:00 AM,75299,12.787,,,,,
183,09/24/19 08:00:00 AM,75299,12.787,,,,,
184,09/24/19 08:30:00 AM,75335,12.787,,,,,
185,09/24/19 09:00:00 AM,75311,12.787,,,,,
186,09/24/19 09:30:00 AM,75335,12.787,,,,,
187,09/24/19 10:00:00 AM,75359,12.787,,,,,
188,09/24/19 10:30:00 AM,75324,12.883,,,,,
189,09/24/19 11:00:00 AM,75327,13.076,,,,,
190,09/24/19 11:30:00 AM,75292,13.173,,,,,
191,09/24/19 12:00:00 PM,75247,13.365,,,,,
192,09/24/19 12:30:00 PM,75227,13.654,,,,,
193,09/24/19 01:00:00 PM,75197,14.038,,,,,
194,09/24/19 01:30:00 PM,75177,14.325,,,,,
195,09/24/19 02:00:00 PM,75147,14.709,,,,,
196,09/24/19 02:30:00 PM,75103,14.996,,,,,
197,09/24/19 03:00:00 PM,75131,15.282,,,,,
198,09/24/19 03:30:00 PM,75110,15.473,,,,,
199,09/24/19 04:00:00 PM,75124,15.569,,,,,
200,09/24/19 04:30:00 PM,75112,15.569,,,,,
201,09/24/19 05:00:00 PM,75098,15.473,,,,,
202,09/24/19 05:30:00 PM,75110,15.473,,,,,
203,09/24/19 06:00:00 PM,75110,15.473,,,,,
204,09/24/19 06:30:00 PM,75157,15.378,,,,,
205,09/24/19 07:00:00 PM,75181,15.378,,,,,
206,09/24/19 07:30:00 PM,75204,15.282,,,,,
207,09/24/19 08:00:00 PM,75189,15.091,,,,,
208,09/24/19 08:30:00 PM,75210,14.900,,,,,
209,09/24/19 09:00:00 PM,75207,14.709,,,,,
210,09/24/19 09:30:00 PM,75216,14.517,,,,,
211,09/24/19 10:00:00 PM,75215,14.421,,,,,
212,09/24/19 10:30:00 PM,75177,14.325,,,,,
213,09/24/19 11:00:00 PM,75210,14.134,,,,,
214,09/24/19 11:30:00 PM,75197,14.038,,,,,
215,09/25/19 12:00:00 AM,75171,13.942,,,,,
216,09/25/19 12:30:00 AM,75146,13.846,,,,,
217,09/25/19 01:00:00 AM,75133,13.750,,,,,
218,09/25/19 01:30:00 AM,75143,13.654,,,,,
219,09/25/19 02:00:00 AM,75154,13.558,,,,,
220,09/25/19 02:30:00 AM,75152,13.461,,,,,
221,09/25/19 03:00:00 AM,75115,13.365,,,,,
222,09/25/19 03:30:00 AM,75162,13.269,,,,,
223,09/25/19 04:00:00 AM,75136,13.173,,,,,
224,09/25/19 04:30:00 AM,75147,13.076,,,,,
225,09/25/19 05:00:00 AM,75171,13.076,,,,,
226,09/25/19 05:30:00 AM,75157,12.980,,,,,
227,09/25/19 06:00:00 AM,75168,12.883,,,,,
228,09/25/19 06:30:00 AM,75191,12.787,,,,,
229,09/25/19 07:00:00 AM,75213,12.690,,,,,
230,09/25/19 07:30:00 AM,75201,12.690,,,,,
231,09/25/19 08:00:00 AM,75224,12.594,,,,,
232,09/25/19 08:30:00 AM,75236,12.594,,,,,
233,09/25/19 09:00:00 AM,75236,12.594,,,,,
234,09/25/19 09:30:00 AM,75248,12.594,,,,,
235,09/25/19 10:00:00 AM,75237,12.690,,,,,
236,09/25/19 10:30:00 AM,75239,12.787,,,,,
237,09/25/19 11:00:00 AM,75230,12.980,,,,,
238,09/25/19 11:30:00 AM,75231,13.076,,,,,
239,09/25/19 12:00:00 PM,75222,13.269,,,,,
240,09/25/19 12:30:00 PM,75203,13.654,,,,,
241,09/25/19 01:00:00 PM,75197,14.038,,,,,
242,09/25/19 01:30:00 PM,75179,14.421,,,,,
243,09/25/19 02:00:00 PM,75160,14.804,,,,,
244,09/25/19 02:30:00 PM,75130,15.187,,,,,
245,09/25/19 03:00:00 PM,75146,15.473,,,,,
246,09/25/19 03:30:00 PM,75139,15.760,,,,,
247,09/25/19 04:00:00 PM,75115,15.760,,,,,
248,09/25/19 04:30:00 PM,75113,15.664,,,,,
249,09/25/19 05:00:00 PM,75124,15.569,,,,,
250,09/25/19 05:30:00 PM,75124,15.569,,,,,
251,09/25/19 06:00:00 PM,75158,15.473,,,,,
252,09/25/19 06:30:00 PM,75169,15.378,,,,,
253,09/25/19 07:00:00 PM,75202,15.187,,,,,
254,09/25/19 07:30:00 PM,75201,15.091,,,,,
255,09/25/19 08:00:00 PM,75257,14.804,,,,,
256,09/25/19 08:30:00 PM,75290,14.613,,,,,
257,09/25/19 09:00:00 PM,75311,14.421,,,,,
258,09/25/19 09:30:00 PM,75322,14.325,,,,,
259,09/25/19 10:00:00 PM,75332,14.230,,,,,
260,09/25/19 10:30:00 PM,75343,14.134,,,,,
261,09/25/19 11:00:00 PM,75352,13.942,,,,,
262,09/25/19 11:30:00 PM,75326,13.846,,,,,
263,09/26/19 12:00:00 AM,75325,13.750,,,,,
264,09/26/19 12:30:00 AM,75324,13.654,,,,,
265,09/26/19 01:00:00 AM,75334,13.558,,,,,
266,09/26/19 01:30:00 AM,75321,13.461,,,,,
267,09/26/19 02:00:00 AM,75355,13.365,,,,,
268,09/26/19 02:30:00 AM,75318,13.269,,,,,
269,09/26/19 03:00:00 AM,75304,13.173,,,,,
270,09/26/19 03:30:00 AM,75291,13.076,,,,,
271,09/26/19 04:00:00 AM,75303,13.076,,,,,
272,09/26/19 04:30:00 AM,75314,12.980,,,,,
273,09/26/19 05:00:00 AM,75336,12.883,,,,,
274,09/26/19 05:30:00 AM,75324,12.883,,,,,
275,09/26/19 06:00:00 AM,75335,12.787,,,,,
276,09/26/19 06:30:00 AM,75346,12.690,,,,,
277,09/26/19 07:00:00 AM,75356,12.594,,,,,
278,09/26/19 07:30:00 AM,75368,12.594,,,,,
279,09/26/19 08:00:00 AM,75392,12.594,,,,,
280,09/26/19 08:30:00 AM,75418,12.690,,,,,
281,09/26/19 09:00:00 AM,75430,12.690,,,,,
282,09/26/19 09:30:00 AM,75419,12.787,,,,,
283,09/26/19 10:00:00 AM,75407,12.787,,,,,
284,09/26/19 10:30:00 AM,75386,12.980,,,,,
285,09/26/19 11:00:00 AM,75363,13.076,,,,,
286,09/26/19 11:30:00 AM,75330,13.269,,,,,
287,09/26/19 12:00:00 PM,75321,13.461,,,,,
288,09/26/19 12:30:00 PM,75312,13.654,,,,,
289,09/26/19 01:00:00 PM,75280,13.942,,,,,
290,09/26/19 01:30:00 PM,75260,14.230,,,,,
291,09/26/19 02:00:00 PM,75240,14.517,,,,,
292,09/26/19 02:30:00 PM,75184,14.804,,,,,
293,09/26/19 03:00:00 PM,75175,14.996,,,,,
294,09/26/19 03:30:00 PM,75118,15.187,,,,,
295,09/26/19 04:00:00 PM,75095,15.282,,,,,
296,09/26/19 04:30:00 PM,75059,15.282,,,,,
297,09/26/19 05:00:00 PM,75046,15.187,,,,,
298,09/26/19 05:30:00 PM,75034,15.187,,,,,
299,09/26/19 06:00:00 PM,75046,15.187,,,,,
300,09/26/19 06:30:00 PM,75044,15.091,,,,,
301,09/26/19 07:00:00 PM,75043,14.996,,,,,
302,09/26/19 07:30:00 PM,75041,14.900,,,,,
