Plot Title: 9811661-santarosa,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
1,6/24/2011,12:15:00,74861,31.676,Logged,
2,6/24/2011,12:30:00,7413,18.521,,
3,6/24/2011,12:45:00,7425,17.95,,
4,6/24/2011,13:00:00,7429,17.76,,
5,6/24/2011,13:15:00,7433,17.57,,
6,6/24/2011,13:30:00,7437,17.379,,
7,6/24/2011,13:45:00,7439,17.284,,
8,6/24/2011,14:00:00,7441,17.189,,
9,6/24/2011,14:15:00,7442,17.094,,
10,6/24/2011,14:30:00,7444,16.999,,
11,6/24/2011,14:45:00,7446,16.903,,
12,6/24/2011,15:00:00,7448,16.808,,
13,6/24/2011,15:15:00,7448,16.808,,
14,6/24/2011,15:30:00,7448,16.808,,
15,6/24/2011,15:45:00,7450,16.713,,
16,6/24/2011,16:00:00,7450,16.713,,
17,6/24/2011,16:15:00,7452,16.618,,
18,6/24/2011,16:30:00,7452,16.618,,
19,6/24/2011,16:45:00,7452,16.618,,
20,6/24/2011,17:00:00,7454,16.523,,
21,6/24/2011,17:15:00,7454,16.523,,
22,6/24/2011,17:30:00,7456,16.427,,
23,6/24/2011,17:45:00,7456,16.427,,
24,6/24/2011,18:00:00,7456,16.427,,
25,6/24/2011,18:15:00,7458,16.332,,
26,6/24/2011,18:30:00,7458,16.332,,
27,6/24/2011,18:45:00,7460,16.237,,
28,6/24/2011,19:00:00,108984,16.237,,
29,6/24/2011,19:15:00,108326,16.141,,
30,6/24/2011,19:30:00,107780,16.141,,
31,6/24/2011,19:45:00,107098,16.046,,
32,6/24/2011,20:00:00,106366,15.951,,
33,6/24/2011,20:15:00,105795,15.951,,
34,6/24/2011,20:30:00,105348,15.855,,
35,6/24/2011,20:45:00,104852,15.855,,
36,6/24/2011,21:00:00,104380,15.76,,
37,6/24/2011,21:15:00,104058,15.664,,
