Plot Title: Santa Rosa 9811673,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)",Coupler Detached (LGR S/N: 9811673),Coupler Attached (LGR S/N: 9811673),Stopped (LGR S/N: 9811673),End Of File (LGR S/N: 9811673)
1,10/24/2011,12:00:00,75591,5.45,Logged,,,
2,10/24/2011,12:30:00,75585,4.934,,,,
3,10/24/2011,13:00:00,75551,5.037,,,,
4,10/24/2011,13:30:00,75518,5.141,,,,
5,10/24/2011,14:00:00,75495,5.244,,,,
6,10/24/2011,14:30:00,75451,5.45,,,,
7,10/24/2011,15:00:00,75452,5.552,,,,
8,10/24/2011,15:30:00,75442,5.655,,,,
9,10/24/2011,16:00:00,75386,5.86,,,,
10,10/24/2011,16:30:00,75387,5.962,,,,
11,10/24/2011,17:00:00,75388,6.064,,,,
12,10/24/2011,17:30:00,75378,6.166,,,,
13,10/24/2011,18:00:00,75379,6.268,,,,
14,10/24/2011,18:30:00,75402,6.268,,,,
15,10/24/2011,19:00:00,75425,6.268,,,,
16,10/24/2011,19:30:00,75460,6.268,,,,
17,10/24/2011,20:00:00,75460,6.268,,,,
18,10/24/2011,20:30:00,75471,6.166,,,,
19,10/24/2011,21:00:00,75471,6.166,,,,
20,10/24/2011,21:30:00,75470,6.064,,,,
21,10/24/2011,22:00:00,75493,6.064,,,,
22,10/24/2011,22:30:00,75503,5.962,,,,
23,10/24/2011,23:00:00,75481,6.064,,,,
24,10/24/2011,23:30:00,75458,6.064,,,,
25,10/25/2011,0:00:00,75446,6.064,,,,
26,10/25/2011,0:30:00,75481,6.064,,,,
27,10/25/2011,1:00:00,75445,5.962,,,,
28,10/25/2011,1:30:00,75432,5.86,,,,
29,10/25/2011,2:00:00,75420,5.757,,,,
30,10/25/2011,2:30:00,75430,5.655,,,,
31,10/25/2011,3:00:00,75406,5.552,,,,
32,10/25/2011,3:30:00,75428,5.45,,,,
33,10/25/2011,4:00:00,75393,5.45,,,,
