Plot Title: 9811661,,,,,,,,,
#,"Date Time, GMT-05:00","Date Time, GMT-05:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)","Batt, V (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),Coupler Attached (LGR S/N: 9811661),Host Connected (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
1,11/28/2011,16:00:00,4.86657E+13,3.472,3.35,Logged,,,
2,11/28/2011,16:00:20,4.86739E+13,3.472,3.37,,,,
3,11/28/2011,16:00:40,4.86821E+13,3.472,3.37,,,,
4,11/28/2011,16:01:00,4.86821E+13,3.472,3.4,,,,
5,11/28/2011,16:01:20,4.86821E+13,3.472,3.4,,,,
6,11/28/2011,16:01:40,4.86903E+13,3.472,3.4,,,,
7,11/28/2011,16:02:00,4.86821E+13,3.472,3.43,,,,
8,11/28/2011,16:02:20,4.86657E+13,3.472,3.43,,,,
9,11/28/2011,16:02:40,4.86821E+13,3.472,3.43,,,,
10,11/28/2011,16:03:00,4.86821E+13,3.472,3.43,,,,
11,11/28/2011,16:03:20,4.86821E+13,3.472,3.43,,,,
12,11/28/2011,16:03:40,4.86821E+13,3.472,3.43,,,,
13,11/28/2011,16:04:00,4.86903E+13,3.472,3.43,,,,
14,11/28/2011,16:04:20,4.86821E+13,3.472,3.46,,,,
15,11/28/2011,16:04:40,4.86985E+13,3.472,3.46,,,,
16,11/28/2011,16:05:00,4.86821E+13,3.472,3.46,,,,
17,11/28/2011,16:05:20,4.86821E+13,3.472,3.46,,,,
18,11/28/2011,16:05:40,4.86821E+13,3.472,3.46,,,,
19,11/28/2011,16:06:00,4.86821E+13,3.472,3.46,,,,
20,11/28/2011,16:06:20,4.86903E+13,3.472,3.46,,,,
21,11/28/2011,16:06:40,4.86821E+13,3.472,3.46,,,,
22,11/28/2011,16:07:00,4.86821E+13,3.472,3.46,,,,
23,11/28/2011,16:07:20,4.86821E+13,3.472,3.46,,,,
24,11/28/2011,16:07:40,4.86739E+13,3.472,3.46,,,,
25,11/28/2011,16:08:00,4.86821E+13,3.472,3.46,,,,
26,11/28/2011,16:08:20,4.86821E+13,3.472,3.46,,,,
27,11/28/2011,16:08:40,4.86821E+13,3.472,3.46,,,,
