Plot Title: 9811661,,,,,,,
#,"Date Time, GMT-05:00","Date Time, GMT-05:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)","Batt, V (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
1,12/14/2011,17:58:00,1.39865E+13,20.424,3.54,Logged,
2,12/14/2011,17:58:20,1.39829E+13,20.71,3.51,,
3,12/14/2011,17:58:40,1.39836E+13,20.996,3.51,,
4,12/14/2011,17:59:00,1.39753E+13,21.187,3.51,,
5,12/14/2011,17:59:20,1.398E+13,21.282,3.51,,
6,12/14/2011,17:59:40,1.39802E+13,21.378,3.51,,
7,12/14/2011,18:00:00,1.39758E+13,21.378,3.51,,
8,12/14/2011,18:00:20,1.39758E+13,21.378,3.51,,
9,12/14/2011,18:00:40,1.39802E+13,21.378,3.51,,
10,12/14/2011,18:01:00,1.39758E+13,21.378,3.51,,
11,12/14/2011,18:01:20,1.39758E+13,21.378,3.51,,
12,12/14/2011,18:01:40,1.39758E+13,21.378,3.51,,
13,12/14/2011,18:02:00,1.39802E+13,21.378,3.51,,
14,12/14/2011,18:02:20,1.39758E+13,21.378,3.51,,
15,12/14/2011,18:02:40,1.39802E+13,21.378,3.51,,
16,12/14/2011,18:03:00,1.39715E+13,21.378,3.51,,
17,12/14/2011,18:03:20,1.39756E+13,21.282,3.48,,
18,12/14/2011,18:03:40,1.39756E+13,21.282,3.48,,
19,12/14/2011,18:04:00,1.39756E+13,21.282,3.48,,
20,12/14/2011,18:04:20,1.398E+13,21.282,3.48,,
21,12/14/2011,18:04:40,1.398E+13,21.282,3.48,,
22,12/14/2011,18:05:00,1.398E+13,21.282,3.48,,
23,12/14/2011,18:05:20,1.398E+13,21.282,3.48,,
24,12/14/2011,18:05:40,1.398E+13,21.282,3.48,,
25,12/14/2011,18:06:00,1.39756E+13,21.282,3.48,,
26,12/14/2011,18:06:20,1.39844E+13,21.282,3.48,,
27,12/14/2011,18:06:40,1.398E+13,21.282,3.48,,
28,12/14/2011,18:07:00,1.39841E+13,21.187,3.48,,
29,12/14/2011,18:07:20,1.39797E+13,21.187,3.48,,
30,12/14/2011,18:07:40,1.39797E+13,21.187,3.48,,
31,12/14/2011,18:08:00,1.39753E+13,21.187,3.48,,
32,12/14/2011,18:08:20,1.39797E+13,21.187,3.48,,
33,12/14/2011,18:08:40,1.39841E+13,21.187,3.48,,
34,12/14/2011,18:09:00,1.39797E+13,21.187,3.48,,
35,12/14/2011,18:09:20,1.39797E+13,21.187,3.48,,
36,12/14/2011,18:09:40,1.39841E+13,21.187,3.48,,
37,12/14/2011,18:10:00,1.39841E+13,21.187,3.48,,
38,12/14/2011,18:10:20,1.39841E+13,21.187,3.48,,
39,12/14/2011,18:10:40,1.39797E+13,21.187,3.48,,
40,12/14/2011,18:11:00,1.39797E+13,21.187,3.48,,
41,12/14/2011,18:11:20,1.39797E+13,21.187,3.48,,
42,12/14/2011,18:11:40,1.39841E+13,21.187,3.48,,
43,12/14/2011,18:12:00,1.39841E+13,21.187,3.48,,
44,12/14/2011,18:12:20,1.39841E+13,21.187,3.48,,
45,12/14/2011,18:12:40,1.39841E+13,21.187,3.48,,
46,12/14/2011,18:13:00,1.39797E+13,21.187,3.48,,
47,12/14/2011,18:13:20,1.39841E+13,21.187,3.48,,
48,12/14/2011,18:13:40,1.39841E+13,21.187,3.48,,
49,12/14/2011,18:14:00,1.39883E+13,21.091,3.48,,
50,12/14/2011,18:14:20,1.39883E+13,21.091,3.48,,
51,12/14/2011,18:14:40,1.39839E+13,21.091,3.48,,
52,12/14/2011,18:15:00,1.39883E+13,21.091,3.48,,
53,12/14/2011,18:15:20,1.39883E+13,21.091,3.48,,
54,12/14/2011,18:15:40,1.39839E+13,21.091,3.48,,
55,12/14/2011,18:16:00,1.39839E+13,21.091,3.48,,
56,12/14/2011,18:16:20,1.39839E+13,21.091,3.48,,
57,12/14/2011,18:16:40,1.39839E+13,21.091,3.48,,
58,12/14/2011,18:17:00,1.39839E+13,21.091,3.48,,
59,12/14/2011,18:17:20,1.39795E+13,21.091,3.48,,
60,12/14/2011,18:17:40,1.39839E+13,21.091,3.48,,
61,12/14/2011,18:18:00,1.39839E+13,21.091,3.48,,
62,12/14/2011,18:18:20,1.39883E+13,21.091,3.48,,
63,12/14/2011,18:18:40,1.39839E+13,21.091,3.48,,
64,12/14/2011,18:19:00,1.39839E+13,21.091,3.48,,
65,12/14/2011,18:19:20,1.39839E+13,21.091,3.48,,
66,12/14/2011,18:19:40,1.39795E+13,21.091,3.48,,
67,12/14/2011,18:20:00,1.39839E+13,21.091,3.48,,
68,12/14/2011,18:20:20,1.39883E+13,21.091,3.48,,
