Plot Title: Santa Rosa 9811673,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)","Batt, V (LGR S/N: 9811673, SEN S/N: 9811673)",Coupler Detached (LGR S/N: 9811673),Coupler Attached (LGR S/N: 9811673),Stopped (LGR S/N: 9811673),End Of File (LGR S/N: 9811673)
1,4/4/2012,14:15:00,77286,4.311,3.51,Logged,,,
2,4/4/2012,14:30:00,77477,1.548,3.48,,,,
3,4/4/2012,14:45:00,77619,1.764,3.48,,,,
4,4/4/2012,15:00:00,77749,1.98,3.48,,,,
5,4/4/2012,15:15:00,77937,2.195,3.48,,,,
6,4/4/2012,15:30:00,78183,2.41,3.48,,,,
7,4/4/2012,15:45:00,78406,2.624,3.51,,,,
8,4/4/2012,16:00:00,78652,2.837,3.51,,,,
9,4/4/2012,16:15:00,78839,2.943,3.51,,,,
10,4/4/2012,16:30:00,79037,3.049,3.51,,,,
11,4/4/2012,16:45:00,79156,3.261,3.51,,,,
12,4/4/2012,17:00:00,79331,3.367,3.51,,,,
13,4/4/2012,17:15:00,79447,3.367,3.51,,,,
14,4/4/2012,17:30:00,79575,3.367,3.51,,,,
15,4/4/2012,17:45:00,79692,3.472,3.51,,,,
16,4/4/2012,18:00:00,79762,3.472,3.51,,,,
17,4/4/2012,18:15:00,79855,3.472,3.51,,,,
18,4/4/2012,18:30:00,79961,3.578,3.51,,,,
19,4/4/2012,18:45:00,80042,3.578,3.51,,,,
20,4/4/2012,19:00:00,80066,3.683,3.51,,,,
21,4/4/2012,19:15:00,80078,3.683,3.51,,,,
22,4/4/2012,19:30:00,80113,3.683,3.51,,,,
23,4/4/2012,19:45:00,80159,3.683,3.51,,,,
24,4/4/2012,20:00:00,80206,3.683,3.51,,,,
25,4/4/2012,20:15:00,80241,3.683,3.51,,,,
26,4/4/2012,20:30:00,80322,3.683,3.51,,,,
27,4/4/2012,20:45:00,80357,3.683,3.51,,,,
28,4/4/2012,21:00:00,80380,3.683,3.51,,,,
29,4/4/2012,21:15:00,80403,3.683,3.51,,,,
30,4/4/2012,21:30:00,80403,3.683,3.51,,,,
31,4/4/2012,21:45:00,80392,3.683,3.51,,,,
32,4/4/2012,22:00:00,80367,3.578,3.51,,,,
33,4/4/2012,22:15:00,80309,3.578,3.51,,,,
34,4/4/2012,22:30:00,80263,3.578,3.51,,,,
35,4/4/2012,22:45:00,80203,3.472,3.51,,,,
36,4/4/2012,23:00:00,80180,3.472,3.51,,,,
37,4/4/2012,23:15:00,80121,3.367,3.51,,,,
38,4/4/2012,23:30:00,80063,3.367,3.51,,,,
39,4/4/2012,23:45:00,80027,3.261,3.51,,,,
40,4/5/2012,0:00:00,79992,3.261,3.51,,,,
41,4/5/2012,0:15:00,79933,3.155,3.51,,,,
42,4/5/2012,0:30:00,79863,3.155,3.51,,,,
43,4/5/2012,0:45:00,79815,3.049,3.51,,,,
44,4/5/2012,1:00:00,79757,3.049,3.51,,,,
45,4/5/2012,1:15:00,79698,2.943,3.51,,,,
46,4/5/2012,1:30:00,79617,2.943,3.51,,,,
47,4/5/2012,1:45:00,79546,2.837,3.51,,,,
48,4/5/2012,2:00:00,79500,2.837,3.51,,,,
49,4/5/2012,2:15:00,79429,2.73,3.51,,,,
50,4/5/2012,2:30:00,79382,2.73,3.51,,,,
51,4/5/2012,2:45:00,79323,2.624,3.51,,,,
52,4/5/2012,3:00:00,79253,2.624,3.51,,,,
53,4/5/2012,3:15:00,79206,2.517,3.51,,,,
54,4/5/2012,3:30:00,79159,2.517,3.51,,,,
55,4/5/2012,3:45:00,79100,2.41,3.51,,,,
56,4/5/2012,4:00:00,79065,2.41,3.51,,,,
57,4/5/2012,4:15:00,79018,2.303,3.51,,,,
58,4/5/2012,4:30:00,78971,2.303,3.51,,,,
59,4/5/2012,4:45:00,78947,2.195,3.51,,,,
60,4/5/2012,5:00:00,78866,2.195,3.51,,,,
