Plot Title: 9811673 Sta Rosa 20140530-2014,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)","Batt, V (LGR S/N: 9811673, SEN S/N: 9811673)",Coupler Detached (LGR S/N: 9811673),End Of File (LGR S/N: 9811673)
1,5/30/2014,16:30:00,75631,15.378,3.51,Logged,
2,5/30/2014,16:45:00,75620,14.613,3.54,,
3,5/30/2014,17:00:00,75628,14.325,3.54,,
4,5/30/2014,17:15:00,75627,14.23,3.54,,
5,5/30/2014,17:30:00,75614,14.134,3.54,,
6,5/30/2014,17:45:00,75624,14.038,3.54,,
7,5/30/2014,18:00:00,75600,13.942,3.54,,
8,5/30/2014,18:15:00,75599,13.846,3.57,,
9,5/30/2014,18:30:00,75622,13.846,3.57,,
10,5/30/2014,18:45:00,75597,13.75,3.57,,
11,5/30/2014,19:00:00,75608,13.654,3.57,,
12,5/30/2014,19:15:00,75596,13.654,3.57,,
13,5/30/2014,19:30:00,75618,13.558,3.57,,
14,5/30/2014,19:45:00,75641,13.558,3.57,,
15,5/30/2014,20:00:00,75640,13.461,3.57,,
16,5/30/2014,20:15:00,75650,13.365,3.57,,
17,5/30/2014,20:30:00,75648,13.173,3.54,,
18,5/30/2014,20:45:00,75658,13.076,3.54,,
19,5/30/2014,21:00:00,75667,12.883,3.54,,
20,5/30/2014,21:15:00,75677,12.69,3.54,,
21,5/30/2014,21:30:00,75697,12.497,3.54,,
22,5/30/2014,21:45:00,75718,12.304,3.54,,
23,5/30/2014,22:00:00,75738,12.013,3.54,,
24,5/30/2014,22:15:00,75747,11.819,3.54,,
25,5/30/2014,22:30:00,75744,11.625,3.54,,
26,5/30/2014,22:45:00,75754,11.431,3.54,,
27,5/30/2014,23:00:00,75763,11.236,3.54,,
28,5/30/2014,23:15:00,75750,11.139,3.54,,
29,5/30/2014,23:30:00,75771,10.944,3.54,,
30,5/30/2014,23:45:00,75757,10.748,3.54,,
31,5/31/2014,0:00:00,75743,10.553,3.54,,
32,5/31/2014,0:15:00,75776,10.455,3.54,,
33,5/31/2014,0:30:00,75762,10.259,3.54,,
34,5/31/2014,0:45:00,75726,10.161,3.54,,
35,5/31/2014,1:00:00,75735,9.965,3.54,,
36,5/31/2014,1:15:00,75723,9.866,3.54,,
37,5/31/2014,1:30:00,75720,9.669,3.54,,
38,5/31/2014,1:45:00,75731,9.571,3.57,,
39,5/31/2014,2:00:00,75717,9.373,3.54,,
40,5/31/2014,2:15:00,75716,9.275,3.54,,
41,5/31/2014,2:30:00,75714,9.176,3.54,,
42,5/31/2014,2:45:00,75724,8.978,3.54,,
43,5/31/2014,3:00:00,75722,8.879,3.54,,
44,5/31/2014,3:15:00,75698,8.779,3.54,,
45,5/31/2014,3:30:00,75709,8.68,3.54,,
46,5/31/2014,3:45:00,75696,8.581,3.54,,
47,5/31/2014,4:00:00,75683,8.481,3.54,,
48,5/31/2014,4:15:00,75705,8.382,3.54,,
49,5/31/2014,4:30:00,75691,8.182,3.54,,
50,5/31/2014,4:45:00,75702,8.082,3.54,,
51,5/31/2014,5:00:00,75690,8.082,3.54,,
52,5/31/2014,5:15:00,75700,7.983,3.54,,
53,5/31/2014,5:30:00,75699,7.882,3.54,,
54,5/31/2014,5:45:00,75720,7.682,3.54,,
55,5/31/2014,6:00:00,75720,7.682,3.54,,
56,5/31/2014,6:15:00,75719,7.582,3.54,,
57,5/31/2014,6:30:00,75729,7.481,3.54,,
58,5/31/2014,6:45:00,75728,7.381,3.54,,
59,5/31/2014,7:00:00,75728,7.381,3.54,,
60,5/31/2014,7:15:00,75752,7.381,3.54,,
61,5/31/2014,7:30:00,75728,7.381,3.54,,
62,5/31/2014,7:45:00,75740,7.381,3.54,,
63,5/31/2014,8:00:00,75752,7.381,3.54,,
64,5/31/2014,8:15:00,75753,7.481,3.54,,
65,5/31/2014,8:30:00,75742,7.582,3.54,,
66,5/31/2014,8:45:00,75743,7.682,3.54,,
67,5/31/2014,9:00:00,75743,7.682,3.54,,
68,5/31/2014,9:15:00,75746,7.882,3.54,,
69,5/31/2014,9:30:00,75724,7.983,3.54,,
70,5/31/2014,9:45:00,75713,8.082,3.54,,
71,5/31/2014,10:00:00,75704,8.282,3.54,,
72,5/31/2014,10:15:00,75706,8.481,3.54,,
73,5/31/2014,10:30:00,75696,8.581,3.54,,
74,5/31/2014,10:45:00,75686,8.779,3.54,,
75,5/31/2014,11:00:00,75689,8.978,3.54,,
76,5/31/2014,11:15:00,75680,9.176,3.54,,
77,5/31/2014,11:30:00,75681,9.275,3.54,,
78,5/31/2014,11:45:00,75683,9.472,3.54,,
79,5/31/2014,12:00:00,75662,9.669,3.51,,
80,5/31/2014,12:15:00,75654,9.965,3.51,,
81,5/31/2014,12:30:00,75668,10.161,3.54,,
82,5/31/2014,12:45:00,75648,10.455,3.54,,
83,5/31/2014,13:00:00,75664,10.748,3.54,,
84,5/31/2014,13:15:00,75654,10.944,3.54,,
85,5/31/2014,13:30:00,75645,11.139,3.54,,
86,5/31/2014,13:45:00,75659,11.334,3.54,,
87,5/31/2014,14:00:00,75650,11.528,3.54,,
88,5/31/2014,14:15:00,75629,11.722,3.54,,
89,5/31/2014,14:30:00,75620,11.916,3.54,,
90,5/31/2014,14:45:00,75635,12.207,3.54,,
91,5/31/2014,15:00:00,75615,12.401,3.54,,
92,5/31/2014,15:15:00,75594,12.594,3.54,,
93,5/31/2014,15:30:00,75573,12.787,3.54,,
94,5/31/2014,15:45:00,75564,12.98,3.54,,
95,5/31/2014,16:00:00,75565,13.076,3.54,,
96,5/31/2014,16:15:00,75533,13.269,3.54,,
97,5/31/2014,16:30:00,75522,13.365,3.54,,
98,5/31/2014,16:45:00,75524,13.461,3.57,,
99,5/31/2014,17:00:00,75513,13.558,3.57,,
100,5/31/2014,17:15:00,75515,13.654,3.57,,
101,5/31/2014,17:30:00,75515,13.654,3.57,,
102,5/31/2014,17:45:00,75480,13.654,3.57,,
103,5/31/2014,18:00:00,75491,13.654,3.57,,
104,5/31/2014,18:15:00,75468,13.654,3.57,,
105,5/31/2014,18:30:00,75468,13.654,3.57,,
106,5/31/2014,18:45:00,75468,13.654,3.57,,
107,5/31/2014,19:00:00,75491,13.654,3.57,,
108,5/31/2014,19:15:00,75490,13.558,3.57,,
109,5/31/2014,19:30:00,75489,13.461,3.57,,
110,5/31/2014,19:45:00,75476,13.365,3.57,,
111,5/31/2014,20:00:00,75488,13.365,3.57,,
112,5/31/2014,20:15:00,75498,13.269,3.57,,
113,5/31/2014,20:30:00,75473,13.173,3.54,,
114,5/31/2014,20:45:00,75495,13.076,3.54,,
115,5/31/2014,21:00:00,75471,12.98,3.54,,
116,5/31/2014,21:15:00,75493,12.883,3.54,,
117,5/31/2014,21:30:00,75515,12.787,3.54,,
118,5/31/2014,21:45:00,75514,12.69,3.54,,
119,5/31/2014,22:00:00,75512,12.594,3.54,,
120,5/31/2014,22:15:00,75498,12.401,3.54,,
121,5/31/2014,22:30:00,75509,12.304,3.54,,
122,5/31/2014,22:45:00,75473,12.207,3.54,,
123,5/31/2014,23:00:00,75448,12.11,3.54,,
124,5/31/2014,23:15:00,75459,12.013,3.54,,
125,5/31/2014,23:30:00,75446,11.916,3.54,,
126,5/31/2014,23:45:00,75422,11.916,3.54,,
127,6/1/2014,0:00:00,75433,11.819,3.54,,
128,6/1/2014,0:15:00,75432,11.722,3.54,,
129,6/1/2014,0:30:00,75442,11.625,3.54,,
130,6/1/2014,0:45:00,75441,11.528,3.54,,
131,6/1/2014,1:00:00,75438,11.334,3.54,,
132,6/1/2014,1:15:00,75426,11.236,3.54,,
133,6/1/2014,1:30:00,75448,11.139,3.54,,
134,6/1/2014,1:45:00,75422,10.944,3.54,,
135,6/1/2014,2:00:00,75421,10.846,3.54,,
136,6/1/2014,2:15:00,75418,10.651,3.54,,
137,6/1/2014,2:30:00,75417,10.553,3.54,,
138,6/1/2014,2:45:00,75426,10.357,3.54,,
139,6/1/2014,3:00:00,75437,10.259,3.54,,
140,6/1/2014,3:15:00,75423,10.063,3.54,,
141,6/1/2014,3:30:00,75422,9.965,3.54,,
142,6/1/2014,3:45:00,75432,9.866,3.54,,
143,6/1/2014,4:00:00,75431,9.768,3.54,,
144,6/1/2014,4:15:00,75430,9.669,3.54,,
145,6/1/2014,4:30:00,75416,9.472,3.54,,
146,6/1/2014,4:45:00,75426,9.373,3.54,,
147,6/1/2014,5:00:00,75437,9.275,3.54,,
148,6/1/2014,5:15:00,75424,9.176,3.54,,
149,6/1/2014,5:30:00,75433,8.978,3.54,,
150,6/1/2014,5:45:00,75420,8.879,3.54,,
151,6/1/2014,6:00:00,75431,8.779,3.54,,
