Plot Title: 9811673 Sta Rosa 20140530-2014,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)",Coupler Detached (LGR S/N: 9811673),Coupler Attached (LGR S/N: 9811673),Stopped (LGR S/N: 9811673),End Of File (LGR S/N: 9811673)
1,11/20/2014,12:15:00,75261,0.453,Logged,,,
2,11/20/2014,12:45:00,75222,0.01,,,,
3,11/20/2014,13:15:00,75212,0.121,,,,
4,11/20/2014,13:45:00,75177,0.121,,,,
5,11/20/2014,14:15:00,75189,0.121,,,,
6,11/20/2014,14:45:00,75201,0.232,,,,
7,11/20/2014,15:15:00,75249,0.343,,,,
8,11/20/2014,15:45:00,75260,0.343,,,,
9,11/20/2014,16:15:00,75285,0.453,,,,
10,11/20/2014,16:45:00,75308,0.453,,,,
11,11/20/2014,17:15:00,75318,0.343,,,,
12,11/20/2014,17:45:00,75342,0.343,,,,
13,11/20/2014,18:15:00,75365,0.343,,,,
14,11/20/2014,18:45:00,75388,0.343,,,,
15,11/20/2014,19:15:00,75423,0.343,,,,
16,11/20/2014,19:45:00,75446,0.343,,,,
17,11/20/2014,20:15:00,75469,0.343,,,,
18,11/20/2014,20:45:00,75492,0.343,,,,
19,11/20/2014,21:15:00,75504,0.343,,,,
20,11/20/2014,21:45:00,75517,0.453,,,,
21,11/20/2014,22:15:00,75516,0.343,,,,
22,11/20/2014,22:45:00,75516,0.343,,,,
23,11/20/2014,23:15:00,75527,0.343,,,,
24,11/20/2014,23:45:00,75551,0.453,,,,
25,11/21/2014,0:15:00,75539,0.343,,,,
26,11/21/2014,0:45:00,75539,0.343,,,,
27,11/21/2014,1:15:00,75527,0.343,,,,
28,11/21/2014,1:45:00,75516,0.343,,,,
29,11/21/2014,2:15:00,75516,0.343,,,,
30,11/21/2014,2:45:00,75516,0.343,,,,
31,11/21/2014,3:15:00,75492,0.343,,,,
32,11/21/2014,3:45:00,75458,0.343,,,,
33,11/21/2014,4:15:00,75411,0.343,,,,
34,11/21/2014,4:45:00,75388,0.343,,,,
35,11/21/2014,5:15:00,75400,0.343,,,,
36,11/21/2014,5:45:00,75388,0.343,,,,
37,11/21/2014,6:15:00,75388,0.343,,,,
38,11/21/2014,6:45:00,75388,0.343,,,,
39,11/21/2014,7:15:00,75376,0.343,,,,
40,11/21/2014,7:45:00,75353,0.343,,,,
41,11/21/2014,8:15:00,75388,0.343,,,,
42,11/21/2014,8:45:00,75376,0.343,,,,
43,11/21/2014,9:15:00,75353,0.343,,,,
44,11/21/2014,9:45:00,75318,0.343,,,,
45,11/21/2014,10:15:00,75272,0.343,,,,
46,11/21/2014,10:45:00,75237,0.343,,,,
47,11/21/2014,11:15:00,75225,0.343,,,,
48,11/21/2014,11:45:00,75202,0.343,,,,
49,11/21/2014,12:15:00,75225,0.343,,,,
50,11/21/2014,12:45:00,75179,0.343,,,,
51,11/21/2014,13:15:00,75085,0.232,,,,
52,11/21/2014,13:45:00,75074,0.232,,,,
53,11/21/2014,14:15:00,75050,0.232,,,,
54,11/21/2014,14:45:00,75062,0.232,,,,
55,11/21/2014,15:15:00,75097,0.232,,,,
56,11/21/2014,15:45:00,75121,0.343,,,,
57,11/21/2014,16:15:00,75179,0.343,,,,
58,11/21/2014,16:45:00,75202,0.343,,,,
59,11/21/2014,17:15:00,75225,0.343,,,,
60,11/21/2014,17:45:00,75272,0.343,,,,
61,11/21/2014,18:15:00,75318,0.343,,,,
62,11/21/2014,18:45:00,75353,0.343,,,,
63,11/21/2014,19:15:00,75400,0.343,,,,
64,11/21/2014,19:45:00,75446,0.343,,,,
65,11/21/2014,20:15:00,75458,0.343,,,,
66,11/21/2014,20:45:00,75504,0.343,,,,
67,11/21/2014,21:15:00,75539,0.343,,,,
68,11/21/2014,21:45:00,75539,0.343,,,,
69,11/21/2014,22:15:00,75539,0.343,,,,
70,11/21/2014,22:45:00,75527,0.343,,,,
71,11/21/2014,23:15:00,75516,0.343,,,,
72,11/21/2014,23:45:00,75516,0.343,,,,
73,11/22/2014,0:15:00,75516,0.343,,,,
74,11/22/2014,0:45:00,75504,0.343,,,,
75,11/22/2014,1:15:00,75481,0.343,,,,
76,11/22/2014,1:45:00,75481,0.343,,,,
77,11/22/2014,2:15:00,75458,0.343,,,,
78,11/22/2014,2:45:00,75446,0.343,,,,
79,11/22/2014,3:15:00,75434,0.343,,,,
80,11/22/2014,3:45:00,75411,0.343,,,,
81,11/22/2014,4:15:00,75388,0.343,,,,
82,11/22/2014,4:45:00,75375,0.232,,,,
83,11/22/2014,5:15:00,75364,0.232,,,,
84,11/22/2014,5:45:00,75375,0.232,,,,
85,11/22/2014,6:15:00,75364,0.232,,,,
86,11/22/2014,6:45:00,78671,0.232,,,,
87,11/22/2014,7:15:00,82467,0.232,,,,
88,11/22/2014,7:45:00,84836,0.232,,,,
89,11/22/2014,8:15:00,84615,0.232,,,,
90,11/22/2014,8:45:00,76060,0.232,,,,
91,11/22/2014,9:15:00,75491,0.232,,,,
92,11/22/2014,9:45:00,75491,0.232,,,,
93,11/22/2014,10:15:00,75469,0.343,,,,
94,11/22/2014,10:45:00,75388,0.343,,,,
95,11/22/2014,11:15:00,75318,0.343,,,,
96,11/22/2014,11:45:00,75249,0.343,,,,
97,11/22/2014,12:15:00,75202,0.343,,,,
98,11/22/2014,12:45:00,75191,0.343,,,,
99,11/22/2014,13:15:00,75156,0.343,,,,
100,11/22/2014,13:45:00,75075,0.343,,,,
101,11/22/2014,14:15:00,75017,0.343,,,,
102,11/22/2014,14:45:00,75005,0.343,,,,
103,11/22/2014,15:15:00,74993,0.343,,,,
104,11/22/2014,15:45:00,74982,0.343,,,,
105,11/22/2014,16:15:00,75017,0.343,,,,
106,11/22/2014,16:45:00,75051,0.343,,,,
107,11/22/2014,17:15:00,75040,0.343,,,,
108,11/22/2014,17:45:00,75075,0.343,,,,
109,11/22/2014,18:15:00,75075,0.343,,,,
110,11/22/2014,18:45:00,75086,0.343,,,,
111,11/22/2014,19:15:00,75086,0.343,,,,
112,11/22/2014,19:45:00,75099,0.453,,,,
113,11/22/2014,20:15:00,75110,0.453,,,,
114,11/22/2014,20:45:00,75064,0.453,,,,
115,11/22/2014,21:15:00,75064,0.453,,,,
116,11/22/2014,21:45:00,75006,0.453,,,,
117,11/22/2014,22:15:00,74994,0.453,,,,
118,11/22/2014,22:45:00,75018,0.453,,,,
119,11/22/2014,23:15:00,74983,0.453,,,,
120,11/22/2014,23:45:00,74971,0.453,,,,
121,11/23/2014,0:15:00,74948,0.453,,,,
122,11/23/2014,0:45:00,74925,0.453,,,,
123,11/23/2014,1:15:00,74902,0.453,,,,
124,11/23/2014,1:45:00,74878,0.453,,,,
125,11/23/2014,2:15:00,74890,0.453,,,,
126,11/23/2014,2:45:00,74902,0.453,,,,
127,11/23/2014,3:15:00,74867,0.453,,,,
128,11/23/2014,3:45:00,74844,0.453,,,,
129,11/23/2014,4:15:00,74774,0.453,,,,
130,11/23/2014,4:45:00,74762,0.453,,,,
131,11/23/2014,5:15:00,74739,0.453,,,,
132,11/23/2014,5:45:00,74739,0.453,,,,
133,11/23/2014,6:15:00,74693,0.453,,,,
134,11/23/2014,6:45:00,74693,0.453,,,,
135,11/23/2014,7:15:00,74693,0.453,,,,
136,11/23/2014,7:45:00,74704,0.453,,,,
137,11/23/2014,8:15:00,74739,0.453,,,,
138,11/23/2014,8:45:00,74739,0.453,,,,
139,11/23/2014,9:15:00,74716,0.453,,,,
140,11/23/2014,9:45:00,74728,0.453,,,,
141,11/23/2014,10:15:00,74693,0.453,,,,
142,11/23/2014,10:45:00,74693,0.453,,,,
143,11/23/2014,11:15:00,74670,0.453,,,,
144,11/23/2014,11:45:00,74681,0.453,,,,
145,11/23/2014,12:15:00,74670,0.453,,,,
146,11/23/2014,12:45:00,74646,0.453,,,,
147,11/23/2014,13:15:00,74623,0.453,,,,
148,11/23/2014,13:45:00,74612,0.453,,,,
149,11/23/2014,14:15:00,74623,0.453,,,,
150,11/23/2014,14:45:00,74693,0.453,,,,
151,11/23/2014,15:15:00,74751,0.453,,,,
152,11/23/2014,15:45:00,74809,0.453,,,,
153,11/23/2014,16:15:00,74832,0.453,,,,
154,11/23/2014,16:45:00,74855,0.453,,,,
155,11/23/2014,17:15:00,74878,0.453,,,,
156,11/23/2014,17:45:00,74947,0.343,,,,
157,11/23/2014,18:15:00,75017,0.343,,,,
158,11/23/2014,18:45:00,75005,0.343,,,,
159,11/23/2014,19:15:00,75051,0.343,,,,
160,11/23/2014,19:45:00,75075,0.343,,,,
161,11/23/2014,20:15:00,75121,0.343,,,,
162,11/23/2014,20:45:00,75121,0.343,,,,
163,11/23/2014,21:15:00,75179,0.343,,,,
164,11/23/2014,21:45:00,75191,0.343,,,,
165,11/23/2014,22:15:00,75202,0.343,,,,
166,11/23/2014,22:45:00,75214,0.343,,,,
167,11/23/2014,23:15:00,75202,0.343,,,,
168,11/23/2014,23:45:00,75214,0.343,,,,
169,11/24/2014,0:15:00,75214,0.343,,,,
170,11/24/2014,0:45:00,75191,0.343,,,,
171,11/24/2014,1:15:00,75202,0.343,,,,
172,11/24/2014,1:45:00,75214,0.343,,,,
173,11/24/2014,2:15:00,75214,0.343,,,,
174,11/24/2014,2:45:00,75225,0.343,,,,
175,11/24/2014,3:15:00,75191,0.343,,,,
176,11/24/2014,3:45:00,75191,0.343,,,,
177,11/24/2014,4:15:00,75167,0.343,,,,
178,11/24/2014,4:45:00,77941,0.343,,,,
179,11/24/2014,5:15:00,81749,0.343,,,,
180,11/24/2014,5:45:00,84627,0.232,,,,
181,11/24/2014,6:15:00,87008,0.232,,,,
182,11/24/2014,6:45:00,89261,0.232,,,,
183,11/24/2014,7:15:00,91445,0.232,,,,
184,11/24/2014,7:45:00,92932,0.232,,,,
185,11/24/2014,8:15:00,93013,0.232,,,,
186,11/24/2014,8:45:00,91805,0.232,,,,
187,11/24/2014,9:15:00,89970,0.232,,,,
188,11/24/2014,9:45:00,85579,0.232,,,,
189,11/24/2014,10:15:00,81145,0.343,,,,
190,11/24/2014,10:45:00,77953,0.343,,,,
191,11/24/2014,11:15:00,76560,0.343,,,,
192,11/24/2014,11:45:00,75481,0.343,,,,
193,11/24/2014,12:15:00,75307,0.343,,,,
194,11/24/2014,12:45:00,75307,0.343,,,,
195,11/24/2014,13:15:00,75284,0.343,,,,
196,11/24/2014,13:45:00,75260,0.343,,,,
197,11/24/2014,14:15:00,75237,0.343,,,,
198,11/24/2014,14:45:00,75167,0.343,,,,
199,11/24/2014,15:15:00,75202,0.343,,,,
200,11/24/2014,15:45:00,75411,0.343,,,,
201,11/24/2014,16:15:00,75481,0.343,,,,
202,11/24/2014,16:45:00,75864,0.343,,,,
203,11/24/2014,17:15:00,76804,0.343,,,,
204,11/24/2014,17:45:00,78092,0.343,,,,
205,11/24/2014,18:15:00,79647,0.343,,,,
206,11/24/2014,18:45:00,81284,0.343,,,,
207,11/24/2014,19:15:00,83094,0.232,,,,
208,11/24/2014,19:45:00,84940,0.232,,,,
209,11/24/2014,20:15:00,87008,0.232,,,,
210,11/24/2014,20:45:00,89029,0.232,,,,
211,11/24/2014,21:15:00,91027,0.232,,,,
212,11/24/2014,21:45:00,93118,0.232,,,,
213,11/24/2014,22:15:00,95779,0.232,,,,
214,11/24/2014,22:45:00,99092,0.232,,,,
215,11/24/2014,23:15:00,102835,0.232,,,,
216,11/24/2014,23:45:00,107057,0.232,,,,
217,11/25/2014,0:15:00,111466,0.232,,,,
218,11/25/2014,0:45:00,116249,0.232,,,,
219,11/25/2014,1:15:00,121220,0.232,,,,
220,11/25/2014,1:45:00,126298,0.232,,,,
221,11/25/2014,2:15:00,131331,0.232,,,,
222,11/25/2014,2:45:00,136341,0.121,,,,
223,11/25/2014,3:15:00,141272,0.121,,,,
224,11/25/2014,3:45:00,145926,0.121,,,,
225,11/25/2014,4:15:00,150115,0.121,,,,
226,11/25/2014,4:45:00,153569,0.121,,,,
227,11/25/2014,5:15:00,156324,0.121,,,,
228,11/25/2014,5:45:00,159138,0.121,,,,
229,11/25/2014,6:15:00,162034,0.121,,,,
230,11/25/2014,6:45:00,164826,0.121,,,,
231,11/25/2014,7:15:00,167828,0.121,,,,
232,11/25/2014,7:45:00,170738,0.121,,,,
233,11/25/2014,8:15:00,169336,0.121,,,,
234,11/25/2014,8:45:00,154118,0.121,,,,
235,11/25/2014,9:15:00,119006,0.121,,,,
236,11/25/2014,9:45:00,95348,0.121,,,,
237,11/25/2014,10:15:00,84928,0.121,,,,
238,11/25/2014,10:45:00,82083,0.121,,,,
239,11/25/2014,11:15:00,80434,0.121,,,,
240,11/25/2014,11:45:00,78809,0.121,,,,
241,11/25/2014,12:15:00,77451,0.121,,,,
242,11/25/2014,12:45:00,76395,0.121,,,,
243,11/25/2014,13:15:00,75664,0.121,,,,
244,11/25/2014,13:45:00,75780,0.121,,,,
245,11/25/2014,14:15:00,75838,0.121,,,,
246,11/25/2014,14:45:00,75851,0.232,,,,
247,11/25/2014,15:15:00,75805,0.232,,,,
248,11/25/2014,15:45:00,75805,0.232,,,,
249,11/25/2014,16:15:00,75828,0.232,,,,
250,11/25/2014,16:45:00,75805,0.232,,,,
251,11/25/2014,17:15:00,75828,0.232,,,,
252,11/25/2014,17:45:00,75816,0.232,,,,
253,11/25/2014,18:15:00,75816,0.232,,,,
254,11/25/2014,18:45:00,75828,0.232,,,,
255,11/25/2014,19:15:00,75851,0.232,,,,
256,11/25/2014,19:45:00,75909,0.232,,,,
257,11/25/2014,20:15:00,75897,0.232,,,,
258,11/25/2014,20:45:00,75921,0.232,,,,
259,11/25/2014,21:15:00,75932,0.232,,,,
260,11/25/2014,21:45:00,75956,0.232,,,,
261,11/25/2014,22:15:00,75967,0.232,,,,
262,11/25/2014,22:45:00,75956,0.232,,,,
263,11/25/2014,23:15:00,75897,0.232,,,,
264,11/25/2014,23:45:00,75839,0.232,,,,
265,11/26/2014,0:15:00,75816,0.232,,,,
266,11/26/2014,0:45:00,75793,0.232,,,,
267,11/26/2014,1:15:00,75793,0.232,,,,
268,11/26/2014,1:45:00,75897,0.232,,,,
