Plot Title: LowerSulphurI20180718,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,7/16/2018,15:00:00,75704,12.98,Logged,,,
2,7/16/2018,15:15:00,75665,12.98,,,,
3,7/16/2018,15:30:00,75656,12.98,,,,
4,7/16/2018,15:45:00,75643,12.883,,,,
5,7/16/2018,16:00:00,75633,12.883,,,,
6,7/16/2018,16:15:00,75607,12.98,,,,
7,7/16/2018,16:30:00,75626,12.98,,,,
8,7/16/2018,16:45:00,75617,12.98,,,,
9,7/16/2018,17:00:00,75607,12.98,,,,
10,7/16/2018,17:15:00,75607,12.98,,,,
11,7/16/2018,17:30:00,75617,12.98,,,,
12,7/16/2018,17:45:00,75617,12.98,,,,
13,7/16/2018,18:00:00,75626,12.98,,,,
14,7/16/2018,18:15:00,75656,12.98,,,,
15,7/16/2018,18:30:00,75636,12.98,,,,
16,7/16/2018,18:45:00,75636,12.98,,,,
17,7/16/2018,19:00:00,75656,12.98,,,,
18,7/16/2018,19:15:00,75665,12.98,,,,
19,7/16/2018,19:30:00,75675,12.98,,,,
20,7/16/2018,19:45:00,75665,12.98,,,,
21,7/16/2018,20:00:00,75694,12.98,,,,
22,7/16/2018,20:15:00,75694,12.98,,,,
23,7/16/2018,20:30:00,75714,12.98,,,,
24,7/16/2018,20:45:00,75733,12.98,,,,
25,7/16/2018,21:00:00,75733,12.98,,,,
26,7/16/2018,21:15:00,75733,12.98,,,,
27,7/16/2018,21:30:00,75743,12.98,,,,
28,7/16/2018,21:45:00,75752,12.98,,,,
29,7/16/2018,22:00:00,75772,12.98,,,,
30,7/16/2018,22:15:00,75804,13.076,,,,
31,7/16/2018,22:30:00,75810,12.98,,,,
32,7/16/2018,22:45:00,75823,13.076,,,,
33,7/16/2018,23:00:00,75813,13.076,,,,
34,7/16/2018,23:15:00,75823,13.076,,,,
35,7/16/2018,23:30:00,75833,13.076,,,,
36,7/16/2018,23:45:00,75842,13.076,,,,
37,7/17/2018,0:00:00,75842,13.076,,,,
38,7/17/2018,0:15:00,75842,13.076,,,,
39,7/17/2018,0:30:00,75833,13.076,,,,
40,7/17/2018,0:45:00,75823,13.076,,,,
41,7/17/2018,1:00:00,75823,13.076,,,,
42,7/17/2018,1:15:00,75833,13.076,,,,
