Plot Title: Sulfur Creek,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)","Batt, V (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,7/3/2008,15:28:10,81044,27.862,3.51,,
2,7/3/2008,15:28:37,,,,Logged,
3,7/3/2008,15:33:10,81044,27.961,3.51,,
4,7/3/2008,15:38:10,80333,27.764,3.54,,
5,7/3/2008,15:43:10,79135,27.764,3.54,,
6,7/3/2008,15:48:10,76990,27.764,3.54,,
7,7/3/2008,15:53:10,76696,27.665,3.54,,
8,7/3/2008,15:58:10,76759,27.173,3.54,,
9,7/3/2008,16:03:10,76762,26.585,3.54,,
10,7/3/2008,16:08:10,77059,26.195,3.54,,
11,7/3/2008,16:13:10,76482,25.902,3.54,,
12,7/3/2008,16:18:10,75487,25.708,3.54,,
13,7/3/2008,16:23:10,75152,25.61,3.54,,
14,7/3/2008,16:28:10,75621,18.426,3.54,,
15,7/3/2008,16:33:10,75638,15.76,3.51,,
16,7/3/2008,16:38:10,75631,15.282,3.51,,
17,7/3/2008,16:43:10,75632,15.091,3.48,,
18,7/3/2008,16:48:10,75632,15.091,3.48,,
19,7/3/2008,16:53:10,75643,15.091,3.48,,
20,7/3/2008,16:58:10,75643,15.091,3.48,,
21,7/3/2008,17:03:10,75632,15.091,3.48,,
22,7/3/2008,17:08:10,75643,14.996,3.51,,
23,7/3/2008,17:13:10,75633,14.996,3.51,,
24,7/3/2008,17:18:10,75633,14.996,3.51,,
25,7/3/2008,17:23:10,75643,14.996,3.51,,
26,7/3/2008,17:28:10,75623,14.996,3.51,,
27,7/3/2008,17:33:10,75613,14.996,3.51,,
28,7/3/2008,17:38:10,75603,14.996,3.51,,
29,7/3/2008,17:43:10,75592,14.996,3.51,,
30,7/3/2008,17:48:10,75623,14.996,3.51,,
31,7/3/2008,17:53:10,75603,14.996,3.51,,
32,7/3/2008,17:58:10,75603,14.996,3.51,,
33,7/3/2008,18:03:10,75603,14.996,3.51,,
34,7/3/2008,18:08:10,75592,14.996,3.51,,
35,7/3/2008,18:13:10,75582,14.996,3.51,,
36,7/3/2008,18:18:10,75603,14.996,3.51,,
37,7/3/2008,18:23:10,75592,14.996,3.51,,
38,7/3/2008,18:28:10,75613,14.996,3.51,,
39,7/3/2008,18:33:10,75613,14.996,3.51,,
40,7/3/2008,18:38:10,75613,14.996,3.51,,
41,7/3/2008,18:43:10,75603,14.996,3.51,,
42,7/3/2008,18:48:10,75603,14.996,3.51,,
43,7/3/2008,18:53:10,75603,14.996,3.51,,
44,7/3/2008,18:58:10,75593,14.9,3.51,,
45,7/3/2008,19:03:10,75613,14.9,3.51,,
46,7/3/2008,19:08:10,75624,14.9,3.51,,
47,7/3/2008,19:13:10,75593,14.9,3.51,,
48,7/3/2008,19:18:10,75583,14.9,3.51,,
49,7/3/2008,19:23:10,75593,14.9,3.51,,
50,7/3/2008,19:28:10,75573,14.9,3.51,,
51,7/3/2008,19:33:10,75573,14.9,3.51,,
52,7/3/2008,19:38:10,75563,14.9,3.51,,
53,7/3/2008,19:43:10,75563,14.9,3.51,,
54,7/3/2008,19:48:10,75583,14.9,3.51,,
55,7/3/2008,19:53:10,75563,14.9,3.51,,
56,7/3/2008,19:58:10,75593,14.9,3.51,,
57,7/3/2008,20:03:10,75613,14.9,3.51,,
58,7/3/2008,20:08:10,75604,14.804,3.51,,
59,7/3/2008,20:13:10,75614,14.804,3.51,,
60,7/3/2008,20:18:10,75624,14.804,3.51,,
61,7/3/2008,20:23:10,75624,14.804,3.51,,
62,7/3/2008,20:28:10,75634,14.804,3.51,,
63,7/3/2008,20:33:10,75634,14.804,3.51,,
64,7/3/2008,20:38:10,75645,14.709,3.51,,
65,7/3/2008,20:43:10,75645,14.709,3.51,,
66,7/3/2008,20:48:10,75645,14.709,3.51,,
67,7/3/2008,20:53:10,75665,14.709,3.51,,
68,7/3/2008,20:58:10,75676,14.709,3.51,,
69,7/3/2008,21:03:10,75676,14.613,3.51,,
70,7/3/2008,21:08:10,75676,14.613,3.51,,
71,7/3/2008,21:13:10,75656,14.613,3.51,,
72,7/3/2008,21:18:10,75686,14.613,3.51,,
73,7/3/2008,21:23:10,75666,14.613,3.51,,
74,7/3/2008,21:28:10,75677,14.517,3.51,,
75,7/3/2008,21:33:10,75687,14.517,3.51,,
76,7/3/2008,21:38:10,75707,14.517,3.51,,
