Plot Title:  Sulfur Creek 12-09,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,6/2/2010,11:15:00,75409,10.651,Logged,,,
2,6/2/2010,11:30:00,75420,10.455,,,,
3,6/2/2010,11:45:00,75410,10.455,,,,
4,6/2/2010,12:00:00,75420,10.553,,,,
5,6/2/2010,12:15:00,75399,10.553,,,,
6,6/2/2010,12:30:00,75399,10.553,,,,
7,6/2/2010,12:45:00,75388,10.651,,,,
8,6/2/2010,13:00:00,75368,10.651,,,,
9,6/2/2010,13:15:00,75388,10.651,,,,
10,6/2/2010,13:30:00,75357,10.748,,,,
11,6/2/2010,13:45:00,75347,10.748,,,,
12,6/2/2010,14:00:00,75347,10.846,,,,
13,6/2/2010,14:15:00,75326,10.846,,,,
14,6/2/2010,14:30:00,75336,10.944,,,,
15,6/2/2010,14:45:00,75345,11.041,,,,
16,6/2/2010,15:00:00,75325,11.041,,,,
17,6/2/2010,15:15:00,75314,11.139,,,,
18,6/2/2010,15:30:00,75304,11.139,,,,
19,6/2/2010,15:45:00,75294,11.139,,,,
20,6/2/2010,16:00:00,75273,11.236,,,,
21,6/2/2010,16:15:00,75263,11.236,,,,
22,6/2/2010,16:30:00,75263,11.236,,,,
23,6/2/2010,16:45:00,75243,11.236,,,,
24,6/2/2010,17:00:00,75242,11.334,,,,
25,6/2/2010,17:15:00,75252,11.334,,,,
26,6/2/2010,17:30:00,75252,11.334,,,,
27,6/2/2010,17:45:00,75242,11.334,,,,
28,6/2/2010,18:00:00,75241,11.431,,,,
29,6/2/2010,18:15:00,75272,11.431,,,,
30,6/2/2010,18:30:00,75272,11.431,,,,
31,6/2/2010,18:45:00,75282,11.431,,,,
32,6/2/2010,19:00:00,75292,11.431,,,,
33,6/2/2010,19:15:00,75281,11.528,,,,
34,6/2/2010,19:30:00,75322,11.528,,,,
35,6/2/2010,19:45:00,75322,11.528,,,,
36,6/2/2010,20:00:00,75332,11.528,,,,
37,6/2/2010,20:15:00,75352,11.528,,,,
38,6/2/2010,20:30:00,75362,11.528,,,,
39,6/2/2010,20:45:00,75362,11.528,,,,
40,6/2/2010,21:00:00,75352,11.528,,,,
41,6/2/2010,21:15:00,75352,11.528,,,,
42,6/2/2010,21:30:00,75342,11.528,,,,
43,6/2/2010,21:45:00,75372,11.528,,,,
44,6/2/2010,22:00:00,75382,11.528,,,,
45,6/2/2010,22:15:00,75403,11.528,,,,
46,6/2/2010,22:30:00,75403,11.431,,,,
47,6/2/2010,22:45:00,75414,11.431,,,,
48,6/2/2010,23:00:00,75414,11.431,,,,
49,6/2/2010,23:15:00,75414,11.431,,,,
50,6/2/2010,23:30:00,75414,11.334,,,,
51,6/2/2010,23:45:00,75414,11.334,,,,
52,6/3/2010,0:00:00,75424,11.334,,,,
53,6/3/2010,0:15:00,75435,11.236,,,,
54,6/3/2010,0:30:00,75415,11.236,,,,
55,6/3/2010,0:45:00,75416,11.139,,,,
56,6/3/2010,1:00:00,75416,11.139,,,,
57,6/3/2010,1:15:00,75416,11.139,,,,
58,6/3/2010,1:30:00,75406,11.041,,,,
59,6/3/2010,1:45:00,75406,11.041,,,,
60,6/3/2010,2:00:00,75426,11.041,,,,
61,6/3/2010,2:15:00,75407,10.944,,,,
62,6/3/2010,2:30:00,75386,10.944,,,,
63,6/3/2010,2:45:00,75377,10.846,,,,
64,6/3/2010,3:00:00,75367,10.846,,,,
65,6/3/2010,3:15:00,75397,10.846,,,,
66,6/3/2010,3:30:00,75398,10.748,,,,
67,6/3/2010,3:45:00,75378,10.748,,,,
68,6/3/2010,4:00:00,75378,10.651,,,,
69,6/3/2010,4:15:00,75368,10.651,,,,
70,6/3/2010,4:30:00,75368,10.651,,,,
71,6/3/2010,4:45:00,75369,10.553,,,,
72,6/3/2010,5:00:00,75369,10.553,,,,
73,6/3/2010,5:15:00,75370,10.455,,,,
74,6/3/2010,5:30:00,75349,10.455,,,,
75,6/3/2010,5:45:00,75380,10.455,,,,
76,6/3/2010,6:00:00,75380,10.357,,,,
77,6/3/2010,6:15:00,75391,10.357,,,,
78,6/3/2010,6:30:00,75401,10.357,,,,
79,6/3/2010,6:45:00,75422,10.259,,,,
80,6/3/2010,7:00:00,75422,10.259,,,,
81,6/3/2010,7:15:00,75432,10.161,,,,
82,6/3/2010,7:30:00,75453,10.161,,,,
83,6/3/2010,7:45:00,75453,10.161,,,,
84,6/3/2010,8:00:00,75453,10.161,,,,
85,6/3/2010,8:15:00,75443,10.161,,,,
86,6/3/2010,8:30:00,75443,10.161,,,,
87,6/3/2010,8:45:00,75443,10.161,,,,
88,6/3/2010,9:00:00,75463,10.161,,,,
89,6/3/2010,9:15:00,75443,10.161,,,,
90,6/3/2010,9:30:00,75432,10.161,,,,
91,6/3/2010,9:45:00,75432,10.161,,,,
92,6/3/2010,10:00:00,75442,10.259,,,,
93,6/3/2010,10:15:00,75432,10.259,,,,
94,6/3/2010,10:30:00,75432,10.259,,,,
95,6/3/2010,10:45:00,75442,10.259,,,,
96,6/3/2010,11:00:00,75442,10.259,,,,
97,6/3/2010,11:15:00,75441,10.357,,,,
98,6/3/2010,11:30:00,75431,10.357,,,,
99,6/3/2010,11:45:00,75421,10.357,,,,
100,6/3/2010,12:00:00,75420,10.455,,,,
101,6/3/2010,12:15:00,75410,10.455,,,,
102,6/3/2010,12:30:00,75409,10.553,,,,
103,6/3/2010,12:45:00,75399,10.553,,,,
104,6/3/2010,13:00:00,75368,10.651,,,,
105,6/3/2010,13:15:00,75368,10.748,,,,
106,6/3/2010,13:30:00,75368,10.748,,,,
107,6/3/2010,13:45:00,75336,10.846,,,,
108,6/3/2010,14:00:00,75347,10.846,,,,
109,6/3/2010,14:15:00,75336,10.944,,,,
110,6/3/2010,14:30:00,75326,10.944,,,,
111,6/3/2010,14:45:00,75295,11.041,,,,
112,6/3/2010,15:00:00,75284,11.139,,,,
113,6/3/2010,15:15:00,75314,11.139,,,,
114,6/3/2010,15:30:00,75293,11.236,,,,
115,6/3/2010,15:45:00,75293,11.236,,,,
116,6/3/2010,16:00:00,75253,11.236,,,,
117,6/3/2010,16:15:00,75262,11.334,,,,
118,6/3/2010,16:30:00,75252,11.334,,,,
119,6/3/2010,16:45:00,75252,11.334,,,,
120,6/3/2010,17:00:00,75231,11.431,,,,
121,6/3/2010,17:15:00,75221,11.431,,,,
122,6/3/2010,17:30:00,75211,11.431,,,,
123,6/3/2010,17:45:00,75230,11.528,,,,
124,6/3/2010,18:00:00,75220,11.528,,,,
125,6/3/2010,18:15:00,75210,11.528,,,,
126,6/3/2010,18:30:00,75209,11.625,,,,
127,6/3/2010,18:45:00,75220,11.625,,,,
128,6/3/2010,19:00:00,75220,11.625,,,,
129,6/3/2010,19:15:00,75230,11.625,,,,
130,6/3/2010,19:30:00,75240,11.625,,,,
131,6/3/2010,19:45:00,75229,11.722,,,,
132,6/3/2010,20:00:00,75229,11.722,,,,
133,6/3/2010,20:15:00,75249,11.722,,,,
134,6/3/2010,20:30:00,75270,11.722,,,,
135,6/3/2010,20:45:00,75280,11.722,,,,
136,6/3/2010,21:00:00,75300,11.722,,,,
137,6/3/2010,21:15:00,75300,11.722,,,,
138,6/3/2010,21:30:00,75320,11.722,,,,
139,6/3/2010,21:45:00,75341,11.722,,,,
140,6/3/2010,22:00:00,75361,11.722,,,,
141,6/3/2010,22:15:00,75401,11.722,,,,
142,6/3/2010,22:30:00,75422,11.722,,,,
143,6/3/2010,22:45:00,75412,11.625,,,,
144,6/3/2010,23:00:00,75412,11.625,,,,
145,6/3/2010,23:15:00,75422,11.625,,,,
146,6/3/2010,23:30:00,75412,11.625,,,,
147,6/3/2010,23:45:00,75402,11.625,,,,
148,6/4/2010,0:00:00,75393,11.528,,,,
149,6/4/2010,0:15:00,75423,11.528,,,,
150,6/4/2010,0:30:00,75423,11.528,,,,
151,6/4/2010,0:45:00,75414,11.431,,,,
152,6/4/2010,1:00:00,75414,11.431,,,,
153,6/4/2010,1:15:00,75403,11.431,,,,
154,6/4/2010,1:30:00,75404,11.334,,,,
155,6/4/2010,1:45:00,75384,11.334,,,,
