Plot Title:  Sulfur Creek 4_11,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)","Batt, V (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,4/13/2011,10:00:00,75091,4.102,3.48,Logged,
2,4/13/2011,10:15:00,75112,4.102,3.48,,
3,4/13/2011,10:30:00,75112,4.102,3.48,,
4,4/13/2011,10:45:00,75122,4.102,3.48,,
5,4/13/2011,11:00:00,75131,4.207,3.48,,
6,4/13/2011,11:15:00,75101,4.207,3.48,,
7,4/13/2011,11:30:00,75091,4.207,3.48,,
8,4/13/2011,11:45:00,75080,4.311,3.48,,
9,4/13/2011,12:00:00,75080,4.311,3.48,,
10,4/13/2011,12:15:00,75049,4.311,3.48,,
11,4/13/2011,12:30:00,75048,4.415,3.48,,
12,4/13/2011,12:45:00,75008,4.415,3.48,,
13,4/13/2011,13:00:00,74988,4.415,3.48,,
14,4/13/2011,13:15:00,74997,4.519,3.48,,
15,4/13/2011,13:30:00,74967,4.519,3.48,,
16,4/13/2011,13:45:00,74957,4.519,3.48,,
17,4/13/2011,14:00:00,74946,4.623,3.48,,
18,4/13/2011,14:15:00,74915,4.623,3.51,,
19,4/13/2011,14:30:00,74936,4.623,3.51,,
20,4/13/2011,14:45:00,74884,4.727,3.51,,
21,4/13/2011,15:00:00,74864,4.727,3.51,,
22,4/13/2011,15:15:00,74854,4.727,3.51,,
23,4/13/2011,15:30:00,74833,4.831,3.48,,
24,4/13/2011,15:45:00,74813,4.831,3.48,,
25,4/13/2011,16:00:00,74813,4.831,3.48,,
26,4/13/2011,16:15:00,74791,4.934,3.48,,
27,4/13/2011,16:30:00,74771,4.934,3.48,,
28,4/13/2011,16:45:00,74761,4.934,3.48,,
29,4/13/2011,17:00:00,74751,4.934,3.48,,
30,4/13/2011,17:15:00,74731,4.934,3.48,,
31,4/13/2011,17:30:00,74751,4.934,3.48,,
32,4/13/2011,17:45:00,74690,4.934,3.48,,
33,4/13/2011,18:00:00,74710,4.934,3.48,,
34,4/13/2011,18:15:00,74741,4.934,3.48,,
35,4/13/2011,18:30:00,74710,5.037,3.48,,
36,4/13/2011,18:45:00,74730,5.037,3.48,,
37,4/13/2011,19:00:00,74720,5.037,3.48,,
38,4/13/2011,19:15:00,74700,5.037,3.48,,
39,4/13/2011,19:30:00,74710,5.037,3.48,,
40,4/13/2011,19:45:00,74720,5.037,3.48,,
41,4/13/2011,20:00:00,74700,5.037,3.48,,
42,4/13/2011,20:15:00,74689,5.037,3.48,,
43,4/13/2011,20:30:00,74710,5.037,3.48,,
44,4/13/2011,20:45:00,74730,5.037,3.48,,
45,4/13/2011,21:00:00,74740,5.037,3.48,,
46,4/13/2011,21:15:00,74760,5.037,3.48,,
47,4/13/2011,21:30:00,74801,5.037,3.48,,
48,4/13/2011,21:45:00,74770,5.037,3.48,,
49,4/13/2011,22:00:00,74770,5.037,3.48,,
50,4/13/2011,22:15:00,74781,5.037,3.48,,
51,4/13/2011,22:30:00,74781,5.037,3.48,,
52,4/13/2011,22:45:00,74770,5.037,3.48,,
53,4/13/2011,23:00:00,74770,5.037,3.48,,
54,4/13/2011,23:15:00,74770,5.037,3.48,,
55,4/13/2011,23:30:00,74770,5.037,3.48,,
56,4/13/2011,23:45:00,74751,4.934,3.48,,
57,4/14/2011,0:00:00,74761,4.934,3.48,,
58,4/14/2011,0:15:00,74781,4.934,3.48,,
59,4/14/2011,0:30:00,74761,4.934,3.48,,
60,4/14/2011,0:45:00,74781,4.934,3.48,,
61,4/14/2011,1:00:00,74781,4.934,3.48,,
62,4/14/2011,1:15:00,74751,4.934,3.48,,
63,4/14/2011,1:30:00,74751,4.934,3.48,,
64,4/14/2011,1:45:00,74732,4.831,3.48,,
65,4/14/2011,2:00:00,74721,4.831,3.48,,
66,4/14/2011,2:15:00,74691,4.831,3.48,,
67,4/14/2011,2:30:00,74701,4.831,3.48,,
68,4/14/2011,2:45:00,74671,4.831,3.48,,
69,4/14/2011,3:00:00,74640,4.831,3.48,,
70,4/14/2011,3:15:00,74610,4.831,3.48,,
71,4/14/2011,3:30:00,74600,4.831,3.48,,
72,4/14/2011,3:45:00,74600,4.831,3.48,,
73,4/14/2011,4:00:00,74591,4.727,3.51,,
74,4/14/2011,4:15:00,74591,4.727,3.51,,
