Plot Title: lwr Sulfur Creek 11_12,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,8/22/2013,10:15:00,75455,18.996,Logged,,,
2,8/22/2013,10:30:00,75987,13.558,,,,
3,8/22/2013,10:45:00,75989,13.269,,,,
4,8/22/2013,11:00:00,75989,13.269,,,,
5,8/22/2013,11:15:00,75969,13.269,,,,
6,8/22/2013,11:30:00,75969,13.269,,,,
7,8/22/2013,11:45:00,75969,13.269,,,,
8,8/22/2013,12:00:00,75949,13.269,,,,
9,8/22/2013,12:15:00,75928,13.365,,,,
10,8/22/2013,12:30:00,75907,13.365,,,,
11,8/22/2013,12:45:00,75907,13.365,,,,
12,8/22/2013,13:00:00,75877,13.365,,,,
13,8/22/2013,13:15:00,75887,13.365,,,,
14,8/22/2013,13:30:00,75877,13.365,,,,
15,8/22/2013,13:45:00,75857,13.365,,,,
16,8/22/2013,14:00:00,75816,13.365,,,,
17,8/22/2013,14:15:00,75836,13.461,,,,
18,8/22/2013,14:30:00,75805,13.461,,,,
19,8/22/2013,14:45:00,75795,13.461,,,,
20,8/22/2013,15:00:00,75775,13.461,,,,
21,8/22/2013,15:15:00,75754,13.558,,,,
22,8/22/2013,15:30:00,75754,13.558,,,,
23,8/22/2013,15:45:00,75754,13.558,,,,
24,8/22/2013,16:00:00,75724,13.558,,,,
25,8/22/2013,16:15:00,75713,13.558,,,,
26,8/22/2013,16:30:00,75703,13.558,,,,
27,8/22/2013,16:45:00,75693,13.558,,,,
28,8/22/2013,17:00:00,75693,13.558,,,,
29,8/22/2013,17:15:00,75673,13.558,,,,
30,8/22/2013,17:30:00,75703,13.558,,,,
31,8/22/2013,17:45:00,75713,13.558,,,,
32,8/22/2013,18:00:00,75703,13.558,,,,
33,8/22/2013,18:15:00,75723,13.654,,,,
34,8/22/2013,18:30:00,75703,13.654,,,,
35,8/22/2013,18:45:00,75723,13.654,,,,
36,8/22/2013,19:00:00,75713,13.654,,,,
37,8/22/2013,19:15:00,75743,13.654,,,,
38,8/22/2013,19:30:00,75764,13.654,,,,
39,8/22/2013,19:45:00,75743,13.654,,,,
40,8/22/2013,20:00:00,75764,13.654,,,,
41,8/22/2013,20:15:00,75764,13.654,,,,
42,8/22/2013,20:30:00,75784,13.654,,,,
43,8/22/2013,20:45:00,75784,13.654,,,,
44,8/22/2013,21:00:00,75804,13.654,,,,
45,8/22/2013,21:15:00,75814,13.654,,,,
46,8/22/2013,21:30:00,75814,13.654,,,,
47,8/22/2013,21:45:00,75855,13.654,,,,
48,8/22/2013,22:00:00,75845,13.654,,,,
49,8/22/2013,22:15:00,75855,13.654,,,,
50,8/22/2013,22:30:00,75824,13.654,,,,
51,8/22/2013,22:45:00,75824,13.654,,,,
52,8/22/2013,23:00:00,75825,13.558,,,,
53,8/22/2013,23:15:00,75835,13.558,,,,
54,8/22/2013,23:30:00,75855,13.558,,,,
55,8/22/2013,23:45:00,75855,13.558,,,,
56,8/23/2013,0:00:00,75896,13.558,,,,
57,8/23/2013,0:15:00,75866,13.461,,,,
58,8/23/2013,0:30:00,75897,13.461,,,,
59,8/23/2013,0:45:00,75897,13.461,,,,
60,8/23/2013,1:00:00,75917,13.461,,,,
61,8/23/2013,1:15:00,75897,13.461,,,,
62,8/23/2013,1:30:00,75887,13.365,,,,
63,8/23/2013,1:45:00,75877,13.365,,,,
64,8/23/2013,2:00:00,75877,13.365,,,,
65,8/23/2013,2:15:00,75857,13.365,,,,
66,8/23/2013,2:30:00,75868,13.269,,,,
67,8/23/2013,2:45:00,75868,13.269,,,,
68,8/23/2013,3:00:00,75857,13.269,,,,
69,8/23/2013,3:15:00,75857,13.269,,,,
70,8/23/2013,3:30:00,75828,13.173,,,,
71,8/23/2013,3:45:00,75838,13.173,,,,
72,8/23/2013,4:00:00,75828,13.173,,,,
73,8/23/2013,4:15:00,75807,13.173,,,,
74,8/23/2013,4:30:00,75798,13.076,,,,
75,8/23/2013,4:45:00,75788,13.076,,,,
76,8/23/2013,5:00:00,75798,13.076,,,,
77,8/23/2013,5:15:00,75788,13.076,,,,
78,8/23/2013,5:30:00,75788,12.98,,,,
79,8/23/2013,5:45:00,75788,12.98,,,,
80,8/23/2013,6:00:00,75778,12.98,,,,
81,8/23/2013,6:15:00,75778,12.98,,,,
82,8/23/2013,6:30:00,75788,12.98,,,,
83,8/23/2013,6:45:00,75768,12.98,,,,
84,8/23/2013,7:00:00,75779,12.883,,,,
85,8/23/2013,7:15:00,75809,12.883,,,,
86,8/23/2013,7:30:00,75799,12.883,,,,
87,8/23/2013,7:45:00,75809,12.883,,,,
88,8/23/2013,8:00:00,75819,12.883,,,,
89,8/23/2013,8:15:00,75829,12.883,,,,
90,8/23/2013,8:30:00,75829,12.883,,,,
91,8/23/2013,8:45:00,75819,12.883,,,,
92,8/23/2013,9:00:00,75829,12.883,,,,
93,8/23/2013,9:15:00,75840,12.883,,,,
94,8/23/2013,9:30:00,75819,12.883,,,,
95,8/23/2013,9:45:00,75829,12.883,,,,
96,8/23/2013,10:00:00,75829,12.883,,,,
97,8/23/2013,10:15:00,75829,12.883,,,,
98,8/23/2013,10:30:00,75829,12.883,,,,
99,8/23/2013,10:45:00,75829,12.98,,,,
100,8/23/2013,11:00:00,75829,12.98,,,,
101,8/23/2013,11:15:00,75828,13.076,,,,
102,8/23/2013,11:30:00,75828,13.076,,,,
103,8/23/2013,11:45:00,75828,13.076,,,,
104,8/23/2013,12:00:00,75817,13.173,,,,
105,8/23/2013,12:15:00,75787,13.173,,,,
106,8/23/2013,12:30:00,75787,13.173,,,,
107,8/23/2013,12:45:00,75786,13.269,,,,
108,8/23/2013,13:00:00,75766,13.269,,,,
109,8/23/2013,13:15:00,75766,13.269,,,,
110,8/23/2013,13:30:00,75745,13.365,,,,
111,8/23/2013,13:45:00,75705,13.365,,,,
112,8/23/2013,14:00:00,75725,13.365,,,,
113,8/23/2013,14:15:00,75694,13.461,,,,
114,8/23/2013,14:30:00,75684,13.461,,,,
115,8/23/2013,14:45:00,75684,13.461,,,,
116,8/23/2013,15:00:00,75653,13.558,,,,
117,8/23/2013,15:15:00,75612,13.558,,,,
118,8/23/2013,15:30:00,75612,13.558,,,,
119,8/23/2013,15:45:00,75602,13.558,,,,
120,8/23/2013,16:00:00,75592,13.558,,,,
121,8/23/2013,16:15:00,75572,13.558,,,,
122,8/23/2013,16:30:00,75561,13.558,,,,
123,8/23/2013,16:45:00,75582,13.558,,,,
124,8/23/2013,17:00:00,75592,13.558,,,,
125,8/23/2013,17:15:00,75611,13.654,,,,
126,8/23/2013,17:30:00,75601,13.654,,,,
127,8/23/2013,17:45:00,75591,13.654,,,,
128,8/23/2013,18:00:00,75591,13.654,,,,
129,8/23/2013,18:15:00,75601,13.654,,,,
130,8/23/2013,18:30:00,75652,13.654,,,,
131,8/23/2013,18:45:00,75611,13.654,,,,
132,8/23/2013,19:00:00,75601,13.654,,,,
133,8/23/2013,19:15:00,75601,13.654,,,,
134,8/23/2013,19:30:00,75611,13.654,,,,
135,8/23/2013,19:45:00,75591,13.654,,,,
136,8/23/2013,20:00:00,75581,13.654,,,,
137,8/23/2013,20:15:00,75622,13.654,,,,
138,8/23/2013,20:30:00,75642,13.654,,,,
139,8/23/2013,20:45:00,75642,13.654,,,,
140,8/23/2013,21:00:00,75672,13.654,,,,
141,8/23/2013,21:15:00,75703,13.654,,,,
142,8/23/2013,21:30:00,75713,13.654,,,,
143,8/23/2013,21:45:00,75713,13.654,,,,
144,8/23/2013,22:00:00,75743,13.654,,,,
145,8/23/2013,22:15:00,75764,13.654,,,,
146,8/23/2013,22:30:00,75753,13.654,,,,
147,8/23/2013,22:45:00,75733,13.654,,,,
148,8/23/2013,23:00:00,75753,13.654,,,,
149,8/23/2013,23:15:00,75753,13.654,,,,
150,8/23/2013,23:30:00,75764,13.654,,,,
151,8/23/2013,23:45:00,75754,13.558,,,,
152,8/24/2013,0:00:00,75754,13.558,,,,
153,8/24/2013,0:15:00,75774,13.558,,,,
154,8/24/2013,0:30:00,75774,13.558,,,,
155,8/24/2013,0:45:00,75764,13.558,,,,
156,8/24/2013,1:00:00,75744,13.558,,,,
157,8/24/2013,1:15:00,75744,13.558,,,,
158,8/24/2013,1:30:00,75734,13.558,,,,
159,8/24/2013,1:45:00,75744,13.558,,,,
160,8/24/2013,2:00:00,75734,13.558,,,,
161,8/24/2013,2:15:00,75744,13.558,,,,
162,8/24/2013,2:30:00,75744,13.558,,,,
163,8/24/2013,2:45:00,75774,13.558,,,,
164,8/24/2013,3:00:00,75775,13.461,,,,
165,8/24/2013,3:15:00,75775,13.461,,,,
166,8/24/2013,3:30:00,75765,13.461,,,,
167,8/24/2013,3:45:00,75785,13.461,,,,
168,8/24/2013,4:00:00,75775,13.461,,,,
169,8/24/2013,4:15:00,75775,13.461,,,,
170,8/24/2013,4:30:00,75775,13.461,,,,
171,8/24/2013,4:45:00,75785,13.461,,,,
172,8/24/2013,5:00:00,75785,13.461,,,,
173,8/24/2013,5:15:00,75805,13.461,,,,
174,8/24/2013,5:30:00,75826,13.461,,,,
175,8/24/2013,5:45:00,75826,13.461,,,,
176,8/24/2013,6:00:00,75856,13.461,,,,
177,8/24/2013,6:15:00,75877,13.365,,,,
178,8/24/2013,6:30:00,75907,13.365,,,,
179,8/24/2013,6:45:00,75918,13.365,,,,
180,8/24/2013,7:00:00,75907,13.365,,,,
181,8/24/2013,7:15:00,75907,13.365,,,,
182,8/24/2013,7:30:00,75907,13.365,,,,
183,8/24/2013,7:45:00,75897,13.365,,,,
184,8/24/2013,8:00:00,75897,13.365,,,,
185,8/24/2013,8:15:00,75918,13.365,,,,
186,8/24/2013,8:30:00,75897,13.365,,,,
187,8/24/2013,8:45:00,75868,13.269,,,,
188,8/24/2013,9:00:00,75888,13.269,,,,
189,8/24/2013,9:15:00,75888,13.269,,,,
190,8/24/2013,9:30:00,75888,13.269,,,,
191,8/24/2013,9:45:00,75898,13.269,,,,
192,8/24/2013,10:00:00,75878,13.269,,,,
193,8/24/2013,10:15:00,75908,13.269,,,,
194,8/24/2013,10:30:00,75918,13.365,,,,
195,8/24/2013,10:45:00,75877,13.365,,,,
196,8/24/2013,11:00:00,75887,13.365,,,,
197,8/24/2013,11:15:00,75877,13.365,,,,
198,8/24/2013,11:30:00,75887,13.461,,,,
199,8/24/2013,11:45:00,75876,13.461,,,,
200,8/24/2013,12:00:00,75856,13.461,,,,
