Plot Title: lwr Sulfur Creek 11 2013,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,11/12/2013,12:30:00,76571,5.244,Logged,,,
2,11/12/2013,13:00:00,76563,3.472,,,,
3,11/12/2013,13:30:00,76552,3.578,,,,
4,11/12/2013,14:00:00,76552,3.578,,,,
5,11/12/2013,14:30:00,76542,3.578,,,,
6,11/12/2013,15:00:00,76521,3.683,,,,
7,11/12/2013,15:30:00,76521,3.683,,,,
8,11/12/2013,16:00:00,76521,3.683,,,,
9,11/12/2013,16:30:00,76531,3.683,,,,
10,11/12/2013,17:00:00,76542,3.683,,,,
11,11/12/2013,17:30:00,76562,3.683,,,,
12,11/12/2013,18:00:00,76602,3.683,,,,
13,11/12/2013,18:30:00,76612,3.683,,,,
14,11/12/2013,19:00:00,76623,3.683,,,,
15,11/12/2013,19:30:00,76623,3.683,,,,
16,11/12/2013,20:00:00,76623,3.683,,,,
17,11/12/2013,20:30:00,76653,3.683,,,,
18,11/12/2013,21:00:00,76633,3.683,,,,
19,11/12/2013,21:30:00,76643,3.683,,,,
20,11/12/2013,22:00:00,76623,3.683,,,,
21,11/12/2013,22:30:00,76623,3.683,,,,
22,11/12/2013,23:00:00,76602,3.683,,,,
23,11/12/2013,23:30:00,76582,3.683,,,,
24,11/13/2013,0:00:00,76552,3.683,,,,
25,11/13/2013,0:30:00,76552,3.578,,,,
26,11/13/2013,1:00:00,76542,3.578,,,,
27,11/13/2013,1:30:00,76522,3.578,,,,
28,11/13/2013,2:00:00,76512,3.578,,,,
29,11/13/2013,2:30:00,76492,3.578,,,,
30,11/13/2013,3:00:00,76472,3.578,,,,
31,11/13/2013,3:30:00,76432,3.472,,,,
32,11/13/2013,4:00:00,76412,3.472,,,,
33,11/13/2013,4:30:00,76401,3.472,,,,
34,11/13/2013,5:00:00,76391,3.472,,,,
35,11/13/2013,5:30:00,76402,3.367,,,,
36,11/13/2013,6:00:00,76372,3.367,,,,
37,11/13/2013,6:30:00,76352,3.367,,,,
38,11/13/2013,7:00:00,76331,3.367,,,,
39,11/13/2013,7:30:00,76311,3.367,,,,
40,11/13/2013,8:00:00,76321,3.367,,,,
41,11/13/2013,8:30:00,76292,3.261,,,,
