Plot Title: Lwr Sulf 20140530-2014,,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)","Batt, V (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Host Connected (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,5/30/2014,11:00:00,75672,12.11,3.46,Logged,,,,
2,5/30/2014,11:15:00,75696,11.625,3.46,,,,,
3,5/30/2014,11:30:00,75718,11.334,3.46,,,,,
4,5/30/2014,11:45:00,75699,11.139,3.46,,,,,
5,5/30/2014,12:00:00,75670,10.944,3.46,,,,,
6,5/30/2014,12:15:00,75681,10.846,3.46,,,,,
7,5/30/2014,12:30:00,75651,10.748,3.46,,,,,
8,5/30/2014,12:45:00,75662,10.651,3.46,,,,,
9,5/30/2014,13:00:00,75653,10.553,3.46,,,,,
10,5/30/2014,13:15:00,75623,10.455,3.46,,,,,
11,5/30/2014,13:30:00,75593,10.455,3.46,,,,,
12,5/30/2014,13:45:00,75582,10.455,3.46,,,,,
13,5/30/2014,14:00:00,75593,10.357,3.46,,,,,
14,5/30/2014,14:15:00,75583,10.357,3.46,,,,,
15,5/30/2014,14:30:00,75583,10.357,3.46,,,,,
16,5/30/2014,14:45:00,75593,10.357,3.46,,,,,
17,5/30/2014,15:00:00,75583,10.357,3.46,,,,,
18,5/30/2014,15:15:00,75574,10.259,3.46,,,,,
19,5/30/2014,15:30:00,75563,10.259,3.46,,,,,
20,5/30/2014,15:45:00,75553,10.259,3.46,,,,,
21,5/30/2014,16:00:00,75533,10.259,3.46,,,,,
22,5/30/2014,16:15:00,75543,10.259,3.46,,,,,
23,5/30/2014,16:30:00,75543,10.259,3.46,,,,,
24,5/30/2014,16:45:00,75523,10.259,3.46,,,,,
25,5/30/2014,17:00:00,75523,10.259,3.46,,,,,
26,5/30/2014,17:15:00,75503,10.259,3.46,,,,,
27,5/30/2014,17:30:00,75523,10.259,3.46,,,,,
28,5/30/2014,17:45:00,75523,10.259,3.46,,,,,
29,5/30/2014,18:00:00,75503,10.259,3.46,,,,,
30,5/30/2014,18:15:00,75482,10.259,3.46,,,,,
31,5/30/2014,18:30:00,75493,10.259,3.46,,,,,
32,5/30/2014,18:45:00,75513,10.259,3.46,,,,,
33,5/30/2014,19:00:00,75493,10.259,3.46,,,,,
34,5/30/2014,19:15:00,75533,10.259,3.46,,,,,
35,5/30/2014,19:30:00,75543,10.259,3.46,,,,,
36,5/30/2014,19:45:00,75543,10.259,3.46,,,,,
37,5/30/2014,20:00:00,75563,10.259,3.46,,,,,
38,5/30/2014,20:15:00,75574,10.259,3.46,,,,,
39,5/30/2014,20:30:00,75574,10.259,3.46,,,,,
40,5/30/2014,20:45:00,75594,10.259,3.46,,,,,
41,5/30/2014,21:00:00,75594,10.259,3.46,,,,,
42,5/30/2014,21:15:00,75624,10.259,3.46,,,,,
43,5/30/2014,21:30:00,75635,10.161,3.46,,,,,
44,5/30/2014,21:45:00,75655,10.161,3.46,,,,,
45,5/30/2014,22:00:00,75655,10.161,3.46,,,,,
46,5/30/2014,22:15:00,75686,10.161,3.46,,,,,
47,5/30/2014,22:30:00,75686,10.161,3.46,,,,,
48,5/30/2014,22:45:00,75686,10.161,3.46,,,,,
49,5/30/2014,23:00:00,75686,10.161,3.46,,,,,
50,5/30/2014,23:15:00,75686,10.161,3.46,,,,,
51,5/30/2014,23:30:00,75696,10.161,3.46,,,,,
