Plot Title: Lwr Sulf 20140911-2014,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)","Batt, V (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,9/11/2014,10:00:00,75785,12.013,3.43,Logged,,,
2,9/11/2014,10:15:00,75793,12.207,3.43,,,,
3,9/11/2014,10:30:00,75804,12.207,3.43,,,,
4,9/11/2014,10:45:00,75783,12.304,3.43,,,,
5,9/11/2014,11:00:00,75762,12.401,3.43,,,,
6,9/11/2014,11:15:00,75741,12.401,3.43,,,,
7,9/11/2014,11:30:00,75761,12.497,3.43,,,,
8,9/11/2014,11:45:00,75760,12.594,3.43,,,,
9,9/11/2014,12:00:00,75750,12.594,3.43,,,,
10,9/11/2014,12:15:00,75740,12.69,3.46,,,,
11,9/11/2014,12:30:00,75719,12.69,3.46,,,,
12,9/11/2014,12:45:00,75719,12.69,3.46,,,,
13,9/11/2014,13:00:00,75698,12.787,3.46,,,,
14,9/11/2014,13:15:00,75688,12.787,3.46,,,,
15,9/11/2014,13:30:00,75688,12.787,3.46,,,,
16,9/11/2014,13:45:00,75698,12.883,3.46,,,,
17,9/11/2014,14:00:00,75667,12.883,3.46,,,,
18,9/11/2014,14:15:00,75647,12.883,3.46,,,,
19,9/11/2014,14:30:00,75626,12.98,3.46,,,,
20,9/11/2014,14:45:00,75596,12.98,3.46,,,,
21,9/11/2014,15:00:00,75596,12.98,3.46,,,,
22,9/11/2014,15:15:00,75596,12.98,3.46,,,,
23,9/11/2014,15:30:00,75575,13.076,3.46,,,,
24,9/11/2014,15:45:00,75575,13.076,3.46,,,,
25,9/11/2014,16:00:00,75554,13.076,3.46,,,,
26,9/11/2014,16:15:00,75565,13.076,3.46,,,,
27,9/11/2014,16:30:00,75554,13.173,3.46,,,,
28,9/11/2014,16:45:00,75544,13.173,3.46,,,,
29,9/11/2014,17:00:00,75513,13.173,3.46,,,,
30,9/11/2014,17:15:00,75523,13.173,3.46,,,,
31,9/11/2014,17:30:00,75523,13.173,3.46,,,,
32,9/11/2014,17:45:00,75534,13.173,3.46,,,,
33,9/11/2014,18:00:00,75544,13.173,3.46,,,,
34,9/11/2014,18:15:00,75554,13.173,3.46,,,,
35,9/11/2014,18:30:00,75573,13.269,3.46,,,,
36,9/11/2014,18:45:00,75573,13.269,3.46,,,,
37,9/11/2014,19:00:00,75594,13.269,3.46,,,,
38,9/11/2014,19:15:00,75594,13.269,3.46,,,,
39,9/11/2014,19:30:00,75604,13.269,3.46,,,,
