Plot Title: Lwr Sulf -1280510 20150423-2015,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,4/23/2015,11:45:00,75604,5.962,Logged,,,
2,4/23/2015,12:00:00,75594,5.962,,,,
3,4/23/2015,12:15:00,75584,5.962,,,,
4,4/23/2015,12:30:00,75564,5.962,,,,
5,4/23/2015,12:45:00,75543,6.064,,,,
6,4/23/2015,13:00:00,75532,6.064,,,,
7,4/23/2015,13:15:00,75512,6.064,,,,
8,4/23/2015,13:30:00,75482,6.064,,,,
9,4/23/2015,13:45:00,75462,6.064,,,,
10,4/23/2015,14:00:00,75441,6.166,,,,
11,4/23/2015,14:15:00,75430,6.166,,,,
12,4/23/2015,14:30:00,75410,6.166,,,,
13,4/23/2015,14:45:00,75410,6.166,,,,
14,4/23/2015,15:00:00,75399,6.268,,,,
15,4/23/2015,15:15:00,75379,6.268,,,,
16,4/23/2015,15:30:00,75379,6.268,,,,
17,4/23/2015,15:45:00,75328,6.268,,,,
18,4/23/2015,16:00:00,75339,6.268,,,,
19,4/23/2015,16:15:00,75318,6.37,,,,
20,4/23/2015,16:30:00,75318,6.37,,,,
21,4/23/2015,16:45:00,75287,6.37,,,,
22,4/23/2015,17:00:00,75277,6.37,,,,
23,4/23/2015,17:15:00,75247,6.37,,,,
24,4/23/2015,17:30:00,75237,6.37,,,,
25,4/23/2015,17:45:00,75247,6.37,,,,
26,4/23/2015,18:00:00,75237,6.37,,,,
27,4/23/2015,18:15:00,75236,6.471,,,,
28,4/23/2015,18:30:00,75226,6.471,,,,
29,4/23/2015,18:45:00,75226,6.471,,,,
30,4/23/2015,19:00:00,75226,6.471,,,,
31,4/23/2015,19:15:00,75236,6.471,,,,
32,4/23/2015,19:30:00,75246,6.471,,,,
