Plot Title: SulpurII20170516,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1153412, SEN S/N: 1153412)","Temp, °C (LGR S/N: 1153412, SEN S/N: 1153412)",Coupler Detached (LGR S/N: 1153412),End Of File (LGR S/N: 1153412)
1,5/16/2017,16:15:00,75672,10.063,Logged,
2,5/16/2017,16:15:01,75656,10.063,,
3,5/16/2017,16:15:02,75543,10.063,,
4,5/16/2017,16:15:03,75559,10.063,,
5,5/16/2017,16:15:04,75575,10.063,,
6,5/16/2017,16:15:05,75608,10.063,,
7,5/16/2017,16:15:06,75573,9.965,,
8,5/16/2017,16:15:07,75571,9.866,,
9,5/16/2017,16:15:08,75584,9.768,,
10,5/16/2017,16:15:09,75582,9.669,,
11,5/16/2017,16:15:10,75628,9.571,,
12,5/16/2017,16:15:11,75607,9.373,,
13,5/16/2017,16:15:12,75588,9.275,,
14,5/16/2017,16:15:13,75634,9.176,,
15,5/16/2017,16:15:14,75696,9.077,,
16,5/16/2017,16:15:15,75707,8.879,,
17,5/16/2017,16:15:16,75689,8.779,,
18,5/16/2017,16:15:17,75670,8.68,,
19,5/16/2017,16:15:18,75670,8.68,,
20,5/16/2017,16:15:19,75686,8.68,,
21,5/16/2017,16:15:20,75673,8.779,,
22,5/16/2017,16:15:21,75613,8.978,,
23,5/16/2017,16:15:22,75583,9.077,,
24,5/16/2017,16:15:23,75524,9.275,,
25,5/16/2017,16:15:24,75462,9.373,,
26,5/16/2017,16:15:25,75432,9.472,,
27,5/16/2017,16:15:26,75405,9.669,,
28,5/16/2017,16:15:27,75391,9.768,,
29,5/16/2017,16:15:28,75377,9.866,,
30,5/16/2017,16:15:29,75409,9.866,,
31,5/16/2017,16:15:30,75428,9.965,,
32,5/16/2017,16:15:31,75444,9.965,,
33,5/16/2017,16:15:32,75444,9.965,,
34,5/16/2017,16:15:33,75428,9.965,,
35,5/16/2017,16:15:34,75409,9.866,,
36,5/16/2017,16:15:35,75442,9.866,,
37,5/16/2017,16:15:36,75504,9.768,,
38,5/16/2017,16:15:37,75533,9.669,,
39,5/16/2017,16:15:38,75402,9.571,,
40,5/16/2017,16:15:39,75513,9.472,,
41,5/16/2017,16:15:40,75510,9.373,,
42,5/16/2017,16:15:41,75556,9.275,,
43,5/16/2017,16:15:42,75556,9.275,,
44,5/16/2017,16:15:43,75588,9.275,,
45,5/16/2017,16:15:44,75620,9.275,,
46,5/16/2017,16:15:45,75607,9.373,,
47,5/16/2017,16:15:46,75575,9.373,,
48,5/16/2017,16:15:47,75609,9.472,,
49,5/16/2017,16:15:48,75593,9.472,,
50,5/16/2017,16:15:49,75579,9.571,,
51,5/16/2017,16:15:50,75644,9.571,,
52,5/16/2017,16:15:51,75678,9.669,,
53,5/16/2017,16:15:52,75727,9.669,,
54,5/16/2017,16:15:53,75660,9.571,,
55,5/16/2017,16:15:54,75740,9.571,,
56,5/16/2017,16:15:55,75757,9.571,,
57,5/16/2017,16:15:56,75722,9.472,,
58,5/16/2017,16:15:57,75671,9.373,,
59,5/16/2017,16:15:58,75620,9.275,,
60,5/16/2017,16:15:59,75602,9.176,,
61,5/16/2017,16:16:00,75583,9.077,,
62,5/16/2017,16:16:01,75629,8.978,,
63,5/16/2017,16:16:02,75691,8.879,,
64,5/16/2017,16:16:03,75753,8.779,,
65,5/16/2017,16:16:04,75831,8.68,,
66,5/16/2017,16:16:05,75845,8.581,,
67,5/16/2017,16:16:06,75872,8.382,,
68,5/16/2017,16:16:07,75886,8.282,,
69,5/16/2017,16:16:08,75902,8.282,,
70,5/16/2017,16:16:09,75948,8.182,,
71,5/16/2017,16:16:10,76093,8.182,,
72,5/16/2017,16:16:11,76160,8.282,,
73,5/16/2017,16:16:12,76245,8.481,,
74,5/16/2017,16:16:13,76344,8.581,,
75,5/16/2017,16:16:14,76427,8.68,,
76,5/16/2017,16:16:15,76494,8.779,,
77,5/16/2017,16:16:16,76481,8.879,,
78,5/16/2017,16:16:17,76497,8.879,,
79,5/16/2017,16:16:18,76478,8.779,,
80,5/16/2017,16:16:19,76462,8.779,,
81,5/16/2017,16:16:20,76427,8.68,,
82,5/16/2017,16:16:21,76344,8.581,,
83,5/16/2017,16:16:22,76275,8.382,,
84,5/16/2017,16:16:23,76208,8.282,,
85,5/16/2017,16:16:24,76174,8.182,,
86,5/16/2017,16:16:25,76217,7.983,,
87,5/16/2017,16:16:26,76231,7.882,,
88,5/16/2017,16:16:27,76258,7.682,,
89,5/16/2017,16:16:28,76274,7.682,,
90,5/16/2017,16:16:29,76272,7.582,,
91,5/16/2017,16:16:30,76269,7.481,,
92,5/16/2017,16:16:31,76269,7.481,,
93,5/16/2017,16:16:32,76272,7.582,,
94,5/16/2017,16:16:33,76244,7.782,,
