Plot Title: LowerSulphurI20170516,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,8/16/2017,17:00:00,75673,15.664,Logged,,,
2,8/16/2017,17:15:00,75633,15.282,,,,
3,8/16/2017,17:30:00,75638,15.091,,,,
4,8/16/2017,17:45:00,75645,14.996,,,,
5,8/16/2017,18:00:00,75642,14.9,,,,
6,8/16/2017,18:15:00,75649,14.804,,,,
7,8/16/2017,18:30:00,75649,14.804,,,,
8,8/16/2017,18:45:00,75668,14.804,,,,
9,8/16/2017,19:00:00,75675,14.709,,,,
10,8/16/2017,19:15:00,75666,14.709,,,,
11,8/16/2017,19:30:00,75685,14.709,,,,
12,8/16/2017,19:45:00,75695,14.709,,,,
13,8/16/2017,20:00:00,75711,14.613,,,,
14,8/16/2017,20:15:00,75740,14.613,,,,
15,8/16/2017,20:30:00,75750,14.613,,,,
16,8/16/2017,20:45:00,75750,14.613,,,,
17,8/16/2017,21:00:00,75779,14.613,,,,
18,8/16/2017,21:15:00,75796,14.517,,,,
19,8/16/2017,21:30:00,75796,14.517,,,,
20,8/16/2017,21:45:00,75796,14.517,,,,
21,8/16/2017,22:00:00,75813,14.421,,,,
22,8/16/2017,22:15:00,75803,14.421,,,,
23,8/16/2017,22:30:00,75813,14.421,,,,
24,8/16/2017,22:45:00,75813,14.421,,,,
25,8/16/2017,23:00:00,75820,14.325,,,,
26,8/16/2017,23:15:00,75829,14.325,,,,
27,8/16/2017,23:30:00,75829,14.325,,,,
28,8/16/2017,23:45:00,75836,14.23,,,,
29,8/17/2017,0:00:00,75836,14.23,,,,
30,8/17/2017,0:15:00,75836,14.23,,,,
31,8/17/2017,0:30:00,75856,14.23,,,,
32,8/17/2017,0:45:00,75843,14.134,,,,
33,8/17/2017,1:00:00,75853,14.134,,,,
34,8/17/2017,1:15:00,75853,14.134,,,,
35,8/17/2017,1:30:00,75843,14.134,,,,
36,8/17/2017,1:45:00,75840,14.038,,,,
37,8/17/2017,2:00:00,75831,14.038,,,,
38,8/17/2017,2:15:00,75850,14.038,,,,
39,8/17/2017,2:30:00,75850,14.038,,,,
40,8/17/2017,2:45:00,75860,14.038,,,,
41,8/17/2017,3:00:00,75857,13.942,,,,
42,8/17/2017,3:15:00,75867,13.942,,,,
43,8/17/2017,3:30:00,75857,13.942,,,,
44,8/17/2017,3:45:00,75847,13.942,,,,
45,8/17/2017,4:00:00,75847,13.942,,,,
46,8/17/2017,4:15:00,75854,13.846,,,,
47,8/17/2017,4:30:00,75854,13.846,,,,
48,8/17/2017,4:45:00,75864,13.846,,,,
49,8/17/2017,5:00:00,75864,13.846,,,,
50,8/17/2017,5:15:00,75874,13.846,,,,
51,8/17/2017,5:30:00,75883,13.846,,,,
52,8/17/2017,5:45:00,75890,13.75,,,,
53,8/17/2017,6:00:00,75910,13.75,,,,
54,8/17/2017,6:15:00,75910,13.75,,,,
55,8/17/2017,6:30:00,75929,13.75,,,,
56,8/17/2017,6:45:00,75939,13.75,,,,
57,8/17/2017,7:00:00,75949,13.75,,,,
58,8/17/2017,7:15:00,75958,13.75,,,,
59,8/17/2017,7:30:00,75978,13.75,,,,
60,8/17/2017,7:45:00,75978,13.75,,,,
