Plot Title: SulpurII20170516,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1153412, SEN S/N: 1153412)","Temp, °C (LGR S/N: 1153412, SEN S/N: 1153412)",Coupler Detached (LGR S/N: 1153412),Coupler Attached (LGR S/N: 1153412),Stopped (LGR S/N: 1153412),End Of File (LGR S/N: 1153412)
1,9/20/2017,10:18:24,74849,10.651,,,,
2,9/20/2017,10:19:34,,,Logged,,,
3,9/20/2017,11:18:24,75484,10.259,,,,
4,9/20/2017,12:18:24,75459,10.553,,,,
5,9/20/2017,13:18:24,75415,10.748,,,,
6,9/20/2017,14:18:24,75388,10.944,,,,
7,9/20/2017,15:18:24,75344,11.139,,,,
8,9/20/2017,16:18:24,75312,11.139,,,,
9,9/20/2017,17:18:24,75282,11.236,,,,
10,9/20/2017,18:18:24,75266,11.236,,,,
11,9/20/2017,19:18:24,75298,11.236,,,,
12,9/20/2017,20:18:24,75363,11.236,,,,
13,9/20/2017,21:18:24,75409,11.139,,,,
14,9/20/2017,22:18:24,75425,11.139,,,,
15,9/20/2017,23:18:24,75422,11.041,,,,
16,9/21/2017,0:18:24,75436,10.944,,,,
17,9/21/2017,1:18:24,75401,10.846,,,,
18,9/21/2017,2:18:24,75401,10.846,,,,
19,9/21/2017,3:18:24,75383,10.748,,,,
20,9/21/2017,4:18:24,75397,10.651,,,,
21,9/21/2017,5:18:24,75410,10.553,,,,
22,9/21/2017,6:18:24,75408,10.455,,,,
23,9/21/2017,7:18:24,75424,10.455,,,,
24,9/21/2017,8:18:24,75405,10.357,,,,
25,9/21/2017,9:18:24,75405,10.357,,,,
26,9/21/2017,10:18:24,75389,10.357,,,,
27,9/21/2017,11:18:24,75343,10.455,,,,
28,9/21/2017,12:18:24,75298,10.553,,,,
29,9/21/2017,13:18:24,75270,10.748,,,,
30,9/21/2017,14:18:24,75176,10.846,,,,
31,9/21/2017,15:18:24,75146,10.944,,,,
32,9/21/2017,16:18:24,75100,11.041,,,,
33,9/21/2017,17:18:24,75068,11.041,,,,
34,9/21/2017,18:18:24,75068,11.041,,,,
35,9/21/2017,19:18:24,75103,11.139,,,,
36,9/21/2017,20:18:24,75119,11.139,,,,
37,9/21/2017,21:18:24,75151,11.139,,,,
38,9/21/2017,22:18:24,75183,11.139,,,,
39,9/21/2017,23:18:24,75181,11.041,,,,
40,9/22/2017,0:18:24,75181,11.041,,,,
41,9/22/2017,1:18:24,75194,10.944,,,,
42,9/22/2017,2:18:24,75192,10.846,,,,
43,9/22/2017,3:18:24,75176,10.846,,,,
44,9/22/2017,4:18:24,75174,10.748,,,,
45,9/22/2017,5:18:24,75187,10.651,,,,
46,9/22/2017,6:18:24,75185,10.553,,,,
47,9/22/2017,7:18:24,75201,10.553,,,,
48,9/22/2017,8:18:24,75215,10.455,,,,
49,9/22/2017,9:18:24,75185,10.553,,,,
50,9/22/2017,10:18:24,75187,10.651,,,,
51,9/22/2017,11:18:24,75174,10.748,,,,
52,9/22/2017,12:18:24,75174,10.748,,,,
53,9/22/2017,13:18:24,75112,10.846,,,,
54,9/22/2017,14:18:24,75066,10.944,,,,
55,9/22/2017,15:18:24,75050,10.944,,,,
56,9/22/2017,16:18:24,74969,10.944,,,,
57,9/22/2017,17:18:24,74955,11.041,,,,
58,9/22/2017,18:18:24,74971,11.041,,,,
59,9/22/2017,19:18:24,74971,11.041,,,,
60,9/22/2017,20:18:24,75022,11.139,,,,
61,9/22/2017,21:18:24,75087,11.139,,,,
62,9/22/2017,22:18:24,75087,11.139,,,,
63,9/22/2017,23:18:24,75087,11.139,,,,
64,9/23/2017,0:18:24,75084,11.041,,,,
65,9/23/2017,1:18:24,75084,11.041,,,,
66,9/23/2017,2:18:24,75066,10.944,,,,
67,9/23/2017,3:18:24,75017,10.944,,,,
68,9/23/2017,4:18:24,75031,10.846,,,,
69,9/23/2017,5:18:24,75015,10.846,,,,
70,9/23/2017,6:18:24,75031,10.846,,,,
71,9/23/2017,7:18:24,75015,10.846,,,,
72,9/23/2017,8:18:24,75031,10.846,,,,
73,9/23/2017,9:18:24,75015,10.846,,,,
74,9/23/2017,10:18:24,75015,10.846,,,,
75,9/23/2017,11:18:24,74953,10.944,,,,
76,9/23/2017,12:18:24,74905,10.944,,,,
77,9/23/2017,13:18:24,74824,10.944,,,,
78,9/23/2017,14:18:24,74728,10.944,,,,
79,9/23/2017,15:18:24,74698,11.041,,,,
80,9/23/2017,16:18:24,74810,11.041,,,,
