"Plot Title: SulpurII20190625"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1153412, SEN S/N: 1153412)","Temp, °C (LGR S/N: 1153412, SEN S/N: 1153412)","Coupler Detached (LGR S/N: 1153412)","End Of File (LGR S/N: 1153412)"
1,06/25/19 10:00:00 AM,75671,11.334,Logged,
2,06/25/19 10:15:00 AM,75687,11.334,,
3,06/25/19 10:30:00 AM,75687,11.334,,
4,06/25/19 10:45:00 AM,75687,11.334,,
5,06/25/19 11:00:00 AM,75687,11.334,,
6,06/25/19 11:15:00 AM,75687,11.334,,
7,06/25/19 11:30:00 AM,75687,11.334,,
8,06/25/19 11:45:00 AM,75671,11.334,,
9,06/25/19 12:00:00 PM,75658,11.431,,
10,06/25/19 12:15:00 PM,75658,11.431,,
11,06/25/19 12:30:00 PM,75658,11.431,,
12,06/25/19 12:45:00 PM,75658,11.431,,
13,06/25/19 01:00:00 PM,75644,11.528,,
14,06/25/19 01:15:00 PM,75628,11.528,,
15,06/25/19 01:30:00 PM,75628,11.528,,
16,06/25/19 01:45:00 PM,75628,11.528,,
17,06/25/19 02:00:00 PM,75630,11.625,,
18,06/25/19 02:15:00 PM,75614,11.625,,
19,06/25/19 02:30:00 PM,75614,11.625,,
20,06/25/19 02:45:00 PM,75598,11.625,,
21,06/25/19 03:00:00 PM,75600,11.722,,
22,06/25/19 03:15:00 PM,75584,11.722,,
23,06/25/19 03:30:00 PM,75568,11.722,,
24,06/25/19 03:45:00 PM,75568,11.722,,
25,06/25/19 04:00:00 PM,75552,11.722,,
26,06/25/19 04:15:00 PM,75536,11.722,,
27,06/25/19 04:30:00 PM,75536,11.722,,
28,06/25/19 04:45:00 PM,75520,11.722,,
29,06/25/19 05:00:00 PM,75520,11.722,,
30,06/25/19 05:15:00 PM,75522,11.819,,
31,06/25/19 05:30:00 PM,75522,11.819,,
32,06/25/19 05:45:00 PM,75522,11.819,,
33,06/25/19 06:00:00 PM,75506,11.819,,
34,06/25/19 06:15:00 PM,75506,11.819,,
