Plot Title: Upper_Sulfur_flm,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811667, SEN S/N: 9811667)","Temp, °C (LGR S/N: 9811667, SEN S/N: 9811667)",Coupler Detached (LGR S/N: 9811667)
1,9/5/2012,10:01:51,75214,12.787,Logged
2,9/5/2012,10:16:51,75201,12.69,
3,9/5/2012,10:31:51,75191,12.787,
4,9/5/2012,10:46:51,75181,12.883,
5,9/5/2012,11:01:51,75158,12.98,
6,9/5/2012,11:16:51,75171,13.076,
7,9/5/2012,11:31:51,75161,13.173,
8,9/5/2012,11:46:51,75128,13.365,
9,9/5/2012,12:01:51,75107,13.558,
10,9/5/2012,12:16:51,75132,13.654,
11,9/5/2012,12:31:51,75099,13.846,
12,9/5/2012,12:46:51,75089,13.942,
13,9/5/2012,13:01:51,75079,14.038,
14,9/5/2012,13:16:51,75058,14.23,
15,9/5/2012,13:31:51,75072,14.421,
16,9/5/2012,13:46:51,75086,14.613,
17,9/5/2012,14:01:51,75076,14.709,
18,9/5/2012,14:16:51,75102,14.9,
19,9/5/2012,14:31:51,75128,15.091,
20,9/5/2012,14:46:51,75116,15.091,
21,9/5/2012,15:01:51,75011,15.091,
