Plot Title: Upper_Sulfur_flm,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811667, SEN S/N: 9811667)","Temp, °C (LGR S/N: 9811667, SEN S/N: 9811667)",Coupler Detached (LGR S/N: 9811667),Coupler Attached (LGR S/N: 9811667),Stopped (LGR S/N: 9811667),End Of File (LGR S/N: 9811667)
1,9/9/2013,9:00:00,75045,11.431,Logged,,,
2,9/9/2013,9:15:00,75043,11.236,,,,
3,9/9/2013,9:30:00,75043,11.236,,,,
4,9/9/2013,9:45:00,75056,11.334,,,,
5,9/9/2013,10:00:00,75032,11.334,,,,
6,9/9/2013,10:15:00,75045,11.431,,,,
7,9/9/2013,10:30:00,75057,11.431,,,,
8,9/9/2013,10:45:00,75046,11.528,,,,
9,9/9/2013,11:00:00,75046,11.528,,,,
10,9/9/2013,11:15:00,75048,11.625,,,,
11,9/9/2013,11:30:00,75049,11.722,,,,
12,9/9/2013,11:45:00,75050,11.819,,,,
13,9/9/2013,12:00:00,75051,11.916,,,,
14,9/9/2013,12:15:00,75041,12.013,,,,
15,9/9/2013,12:30:00,75017,12.013,,,,
16,9/9/2013,12:45:00,75019,12.11,,,,
17,9/9/2013,13:00:00,74996,12.207,,,,
18,9/9/2013,13:15:00,74974,12.304,,,,
19,9/9/2013,13:30:00,74963,12.304,,,,
20,9/9/2013,13:45:00,74964,12.401,,,,
21,9/9/2013,14:00:00,74930,12.497,,,,
22,9/9/2013,14:15:00,74919,12.594,,,,
23,9/9/2013,14:30:00,74897,12.69,,,,
24,9/9/2013,14:45:00,74897,12.69,,,,
25,9/9/2013,15:00:00,74875,12.787,,,,
26,9/9/2013,15:15:00,74865,12.883,,,,
27,9/9/2013,15:30:00,74831,12.98,,,,
28,9/9/2013,15:45:00,74842,12.98,,,,
29,9/9/2013,16:00:00,74832,13.076,,,,
30,9/9/2013,16:15:00,74822,13.173,,,,
31,9/9/2013,16:30:00,74810,13.173,,,,
32,9/9/2013,16:45:00,74799,13.269,,,,
33,9/9/2013,17:00:00,74811,13.269,,,,
34,9/9/2013,17:15:00,74812,13.365,,,,
35,9/9/2013,17:30:00,74814,13.461,,,,
36,9/9/2013,17:45:00,74825,13.461,,,,
37,9/9/2013,18:00:00,74814,13.461,,,,
38,9/9/2013,18:15:00,74825,13.461,,,,
39,9/9/2013,18:30:00,74825,13.461,,,,
40,9/9/2013,18:45:00,74849,13.461,,,,
41,9/9/2013,19:00:00,74836,13.365,,,,
42,9/9/2013,19:15:00,74859,13.365,,,,
43,9/9/2013,19:30:00,74883,13.365,,,,
44,9/9/2013,19:45:00,74883,13.365,,,,
45,9/9/2013,20:00:00,74881,13.269,,,,
46,9/9/2013,20:15:00,74905,13.269,,,,
47,9/9/2013,20:30:00,74927,13.173,,,,
48,9/9/2013,20:45:00,74927,13.173,,,,
49,9/9/2013,21:00:00,74949,13.076,,,,
50,9/9/2013,21:15:00,74961,13.076,,,,
51,9/9/2013,21:30:00,74959,12.98,,,,
52,9/9/2013,21:45:00,74971,12.98,,,,
53,9/9/2013,22:00:00,74959,12.98,,,,
54,9/9/2013,22:15:00,74971,12.98,,,,
55,9/9/2013,22:30:00,74982,12.883,,,,
56,9/9/2013,22:45:00,74993,12.883,,,,
57,9/9/2013,23:00:00,74993,12.883,,,,
58,9/9/2013,23:15:00,75017,12.883,,,,
59,9/9/2013,23:30:00,74993,12.883,,,,
60,9/9/2013,23:45:00,75017,12.883,,,,
61,9/10/2013,0:00:00,75004,12.787,,,,
62,9/10/2013,0:15:00,75015,12.787,,,,
63,9/10/2013,0:30:00,75014,12.69,,,,
64,9/10/2013,0:45:00,75003,12.69,,,,
65,9/10/2013,1:00:00,75014,12.69,,,,
66,9/10/2013,1:15:00,75026,12.69,,,,
67,9/10/2013,1:30:00,75025,12.594,,,,
68,9/10/2013,1:45:00,75025,12.594,,,,
69,9/10/2013,2:00:00,75013,12.594,,,,
70,9/10/2013,2:15:00,75035,12.497,,,,
71,9/10/2013,2:30:00,75023,12.497,,,,
72,9/10/2013,2:45:00,75035,12.497,,,,
73,9/10/2013,3:00:00,75023,12.497,,,,
74,9/10/2013,3:15:00,75000,12.497,,,,
75,9/10/2013,3:30:00,74999,12.401,,,,
76,9/10/2013,3:45:00,74999,12.401,,,,
77,9/10/2013,4:00:00,74986,12.304,,,,
78,9/10/2013,4:15:00,74998,12.304,,,,
79,9/10/2013,4:30:00,75009,12.304,,,,
80,9/10/2013,4:45:00,75008,12.207,,,,
81,9/10/2013,5:00:00,74985,12.207,,,,
82,9/10/2013,5:15:00,75020,12.207,,,,
83,9/10/2013,5:30:00,75008,12.207,,,,
84,9/10/2013,5:45:00,75008,12.207,,,,
85,9/10/2013,6:00:00,75019,12.11,,,,
86,9/10/2013,6:15:00,75019,12.11,,,,
87,9/10/2013,6:30:00,75019,12.11,,,,
88,9/10/2013,6:45:00,75019,12.11,,,,
89,9/10/2013,7:00:00,75042,12.11,,,,
90,9/10/2013,7:15:00,75054,12.11,,,,
91,9/10/2013,7:30:00,75065,12.11,,,,
92,9/10/2013,7:45:00,75089,12.11,,,,
93,9/10/2013,8:00:00,75089,12.11,,,,
94,9/10/2013,8:15:00,75100,12.11,,,,
95,9/10/2013,8:30:00,75090,12.207,,,,
96,9/10/2013,8:45:00,75090,12.207,,,,
97,9/10/2013,9:00:00,75113,12.207,,,,
98,9/10/2013,9:15:00,75113,12.207,,,,
99,9/10/2013,9:30:00,75138,12.304,,,,
100,9/10/2013,9:45:00,75150,12.304,,,,
101,9/10/2013,10:00:00,75150,12.304,,,,
102,9/10/2013,10:15:00,75161,12.304,,,,
103,9/10/2013,10:30:00,75161,12.304,,,,
104,9/10/2013,10:45:00,75173,12.304,,,,
105,9/10/2013,11:00:00,75196,12.304,,,,
106,9/10/2013,11:15:00,75196,12.304,,,,
107,9/10/2013,11:30:00,75186,12.401,,,,
108,9/10/2013,11:45:00,75174,12.401,,,,
109,9/10/2013,12:00:00,75151,12.401,,,,
110,9/10/2013,12:15:00,75151,12.401,,,,
111,9/10/2013,12:30:00,75129,12.497,,,,
112,9/10/2013,12:45:00,75129,12.497,,,,
113,9/10/2013,13:00:00,75142,12.594,,,,
114,9/10/2013,13:15:00,75142,12.594,,,,
115,9/10/2013,13:30:00,75143,12.69,,,,
116,9/10/2013,13:45:00,75155,12.69,,,,
117,9/10/2013,14:00:00,75143,12.69,,,,
118,9/10/2013,14:15:00,75143,12.69,,,,
119,9/10/2013,14:30:00,75131,12.69,,,,
120,9/10/2013,14:45:00,75143,12.69,,,,
121,9/10/2013,15:00:00,75143,12.69,,,,
122,9/10/2013,15:15:00,75166,12.69,,,,
123,9/10/2013,15:30:00,75165,12.594,,,,
124,9/10/2013,15:45:00,75188,12.594,,,,
125,9/10/2013,16:00:00,75188,12.594,,,,
126,9/10/2013,16:15:00,75188,12.594,,,,
127,9/10/2013,16:30:00,75176,12.497,,,,
128,9/10/2013,16:45:00,75176,12.497,,,,
129,9/10/2013,17:00:00,75176,12.497,,,,
130,9/10/2013,17:15:00,75187,12.497,,,,
