Plot Title: Upper_Sulfur_flm 11 2013,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811667, SEN S/N: 9811667)","Temp, °C (LGR S/N: 9811667, SEN S/N: 9811667)",Coupler Detached (LGR S/N: 9811667),Coupler Attached (LGR S/N: 9811667),Stopped (LGR S/N: 9811667),End Of File (LGR S/N: 9811667)
1,11/12/2013,13:00:00,75953,3.049,Logged,,,
2,11/12/2013,13:30:00,75925,2.624,,,,
3,11/12/2013,14:00:00,75913,2.517,,,,
4,11/12/2013,14:30:00,75937,2.624,,,,
5,11/12/2013,15:00:00,75902,2.624,,,,
6,11/12/2013,15:30:00,75914,2.624,,,,
7,11/12/2013,16:00:00,75914,2.624,,,,
8,11/12/2013,16:30:00,75925,2.624,,,,
9,11/12/2013,17:00:00,75913,2.517,,,,
10,11/12/2013,17:30:00,75911,2.41,,,,
11,11/12/2013,18:00:00,75945,2.303,,,,
12,11/12/2013,18:30:00,75968,2.195,,,,
13,11/12/2013,19:00:00,75966,2.088,,,,
14,11/12/2013,19:30:00,75977,1.98,,,,
15,11/12/2013,20:00:00,75998,1.764,,,,
16,11/12/2013,20:30:00,75986,1.764,,,,
17,11/12/2013,21:00:00,75997,1.656,,,,
18,11/12/2013,21:30:00,75996,1.548,,,,
19,11/12/2013,22:00:00,75971,1.439,,,,
20,11/12/2013,22:30:00,75970,1.33,,,,
21,11/12/2013,23:00:00,75970,1.33,,,,
22,11/12/2013,23:30:00,75934,1.221,,,,
23,11/13/2013,0:00:00,75910,1.112,,,,
24,11/13/2013,0:30:00,75898,1.112,,,,
25,11/13/2013,1:00:00,75885,1.003,,,,
26,11/13/2013,1:30:00,75885,1.003,,,,
27,11/13/2013,2:00:00,75849,0.893,,,,
28,11/13/2013,2:30:00,75849,0.893,,,,
29,11/13/2013,3:00:00,75826,0.893,,,,
30,11/13/2013,3:30:00,75802,0.784,,,,
31,11/13/2013,4:00:00,75790,0.784,,,,
32,11/13/2013,4:30:00,75767,0.784,,,,
33,11/13/2013,5:00:00,75755,0.784,,,,
34,11/13/2013,5:30:00,75765,0.674,,,,
35,11/13/2013,6:00:00,75742,0.674,,,,
36,11/13/2013,6:30:00,75730,0.674,,,,
37,11/13/2013,7:00:00,75719,0.674,,,,
38,11/13/2013,7:30:00,75719,0.674,,,,
39,11/13/2013,8:00:00,75719,0.674,,,,
40,11/13/2013,8:30:00,75683,0.563,,,,
41,11/13/2013,9:00:00,75672,0.674,,,,
42,11/13/2013,9:30:00,75649,0.674,,,,
43,11/13/2013,10:00:00,75614,0.674,,,,
44,11/13/2013,10:30:00,75579,0.674,,,,
45,11/13/2013,11:00:00,75533,0.784,,,,
46,11/13/2013,11:30:00,75499,0.893,,,,
47,11/13/2013,12:00:00,75430,1.003,,,,
48,11/13/2013,12:30:00,75385,1.112,,,,
49,11/13/2013,13:00:00,75364,1.33,,,,
50,11/13/2013,13:30:00,75317,1.33,,,,
51,11/13/2013,14:00:00,75318,1.439,,,,
52,11/13/2013,14:30:00,75262,1.656,,,,
53,11/13/2013,15:00:00,75240,1.764,,,,
54,11/13/2013,15:30:00,75217,1.872,,,,
55,11/13/2013,16:00:00,75220,2.088,,,,
56,11/13/2013,16:30:00,75208,2.088,,,,
57,11/13/2013,17:00:00,75161,2.088,,,,
58,11/13/2013,17:30:00,75173,2.088,,,,
59,11/13/2013,18:00:00,75173,2.088,,,,
60,11/13/2013,18:30:00,75195,1.98,,,,
61,11/13/2013,19:00:00,75194,1.872,,,,
62,11/13/2013,19:30:00,75147,1.872,,,,
63,11/13/2013,20:00:00,75135,1.764,,,,
64,11/13/2013,20:30:00,75110,1.656,,,,
65,11/13/2013,21:00:00,75098,1.656,,,,
66,11/13/2013,21:30:00,75097,1.548,,,,
67,11/13/2013,22:00:00,75061,1.439,,,,
68,11/13/2013,22:30:00,75038,1.439,,,,
