Plot Title: Up Sulf 20140530-2014,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811667, SEN S/N: 9811667)","Temp, °C (LGR S/N: 9811667, SEN S/N: 9811667)","Batt, V (LGR S/N: 9811667, SEN S/N: 9811667)",Coupler Detached (LGR S/N: 9811667),Coupler Attached (LGR S/N: 9811667),Stopped (LGR S/N: 9811667),End Of File (LGR S/N: 9811667)
1,5/30/2014,11:45:00,75148,11.236,3.51,Logged,,,
2,5/30/2014,12:00:00,75136,11.236,3.51,,,,
3,5/30/2014,12:15:00,75125,11.236,3.51,,,,
4,5/30/2014,12:30:00,75137,11.334,3.54,,,,
5,5/30/2014,12:45:00,75127,11.431,3.54,,,,
6,5/30/2014,13:00:00,75105,11.528,3.54,,,,
7,5/30/2014,13:15:00,75094,11.625,3.54,,,,
8,5/30/2014,13:30:00,75084,11.722,3.54,,,,
9,5/30/2014,13:45:00,75086,11.916,3.54,,,,
10,5/30/2014,14:00:00,75064,12.013,3.54,,,,
11,5/30/2014,14:15:00,75077,12.11,3.54,,,,
12,5/30/2014,14:30:00,75069,12.401,3.54,,,,
13,5/30/2014,14:45:00,75084,12.69,3.54,,,,
14,5/30/2014,15:00:00,75053,12.98,3.54,,,,
15,5/30/2014,15:15:00,75091,13.173,3.57,,,,
16,5/30/2014,15:30:00,75058,13.365,3.57,,,,
17,5/30/2014,15:45:00,75061,13.558,3.57,,,,
18,5/30/2014,16:00:00,75054,13.942,3.57,,,,
19,5/30/2014,16:15:00,75036,14.325,3.57,,,,
20,5/30/2014,16:30:00,75041,14.709,3.57,,,,
21,5/30/2014,16:45:00,75033,14.996,3.57,,,,
22,5/30/2014,17:00:00,75024,15.187,3.54,,,,
23,5/30/2014,17:15:00,75039,15.473,3.54,,,,
24,5/30/2014,17:30:00,75030,15.664,3.54,,,,
25,5/30/2014,17:45:00,75031,15.76,3.54,,,,
26,5/30/2014,18:00:00,75031,15.76,3.54,,,,
27,5/30/2014,18:15:00,74996,15.76,3.54,,,,
28,5/30/2014,18:30:00,75020,15.76,3.54,,,,
29,5/30/2014,18:45:00,75007,15.664,3.54,,,,
30,5/30/2014,19:00:00,75029,15.569,3.54,,,,
31,5/30/2014,19:15:00,75015,15.378,3.54,,,,
32,5/30/2014,19:30:00,75034,15.091,3.54,,,,
