Plot Title: 9811667 Up Sulf 20141120-2015,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811667, SEN S/N: 9811667)","Temp, °C (LGR S/N: 9811667, SEN S/N: 9811667)",Coupler Detached (LGR S/N: 9811667),Coupler Attached (LGR S/N: 9811667),Stopped (LGR S/N: 9811667),End Of File (LGR S/N: 9811667)
1,11/20/2014,15:00:00,74065,2.195,Logged,,,
2,11/20/2014,15:30:00,74091,0.01,,,,
3,11/20/2014,16:00:00,74102,0.01,,,,
4,11/20/2014,16:30:00,74126,0.01,,,,
5,11/20/2014,17:00:00,74136,-0.102,,,,
6,11/20/2014,17:30:00,74148,-0.102,,,,
7,11/20/2014,18:00:00,74160,-0.102,,,,
8,11/20/2014,18:30:00,74159,-0.213,,,,
9,11/20/2014,19:00:00,74344,-0.325,,,,
10,11/20/2014,19:30:00,75393,-0.437,,,,
11,11/20/2014,20:00:00,75941,-0.437,,,,
12,11/20/2014,20:30:00,76303,-0.437,,,,
13,11/20/2014,21:00:00,76361,-0.437,,,,
14,11/20/2014,21:30:00,76804,-0.437,,,,
15,11/20/2014,22:00:00,77806,-0.549,,,,
16,11/20/2014,22:30:00,79953,-0.549,,,,
17,11/20/2014,23:00:00,82495,-0.662,,,,
18,11/20/2014,23:30:00,85143,-0.662,,,,
19,11/21/2014,0:00:00,88618,-0.774,,,,
20,11/21/2014,0:30:00,92375,-0.774,,,,
21,11/21/2014,1:00:00,92095,-0.774,,,,
22,11/21/2014,1:30:00,97123,-0.887,,,,
23,11/21/2014,2:00:00,101184,-0.887,,,,
24,11/21/2014,2:30:00,104861,-0.887,,,,
25,11/21/2014,3:00:00,108512,-1.001,,,,
26,11/21/2014,3:30:00,112038,-1.001,,,,
27,11/21/2014,4:00:00,115634,-1.001,,,,
28,11/21/2014,4:30:00,118272,-1.001,,,,
29,11/21/2014,5:00:00,120876,-1.001,,,,
30,11/21/2014,5:30:00,123608,-1.001,,,,
31,11/21/2014,6:00:00,126175,-1.114,,,,
32,11/21/2014,6:30:00,128406,-1.114,,,,
33,11/21/2014,7:00:00,130006,-1.114,,,,
34,11/21/2014,7:30:00,131465,-1.114,,,,
35,11/21/2014,8:00:00,132505,-1.114,,,,
36,11/21/2014,8:30:00,132741,-1.001,,,,
37,11/21/2014,9:00:00,130069,-0.887,,,,
38,11/21/2014,9:30:00,120418,-0.549,,,,
39,11/21/2014,10:00:00,105020,-0.437,,,,
40,11/21/2014,10:30:00,91344,-0.213,,,,
41,11/21/2014,11:00:00,83318,-0.102,,,,
42,11/21/2014,11:30:00,75898,-0.102,,,,
43,11/21/2014,12:00:00,74171,-0.102,,,,
44,11/21/2014,12:30:00,74114,0.01,,,,
45,11/21/2014,13:00:00,74079,0.01,,,,
46,11/21/2014,13:30:00,74056,0.01,,,,
47,11/21/2014,14:00:00,74056,0.01,,,,
48,11/21/2014,14:30:00,74044,0.01,,,,
49,11/21/2014,15:00:00,74056,0.01,,,,
50,11/21/2014,15:30:00,74102,0.01,,,,
51,11/21/2014,16:00:00,74207,0.01,,,,
52,11/21/2014,16:30:00,74336,0.01,,,,
53,11/21/2014,17:00:00,74441,0.01,,,,
54,11/21/2014,17:30:00,74604,0.01,,,,
55,11/21/2014,18:00:00,74650,-0.102,,,,
56,11/21/2014,18:30:00,74521,-0.102,,,,
57,11/21/2014,19:00:00,74381,-0.102,,,,
58,11/21/2014,19:30:00,74323,-0.102,,,,
59,11/21/2014,20:00:00,74300,-0.102,,,,
60,11/21/2014,20:30:00,74334,-0.213,,,,
61,11/21/2014,21:00:00,74403,-0.325,,,,
62,11/21/2014,21:30:00,74449,-0.325,,,,
63,11/21/2014,22:00:00,74553,-0.437,,,,
64,11/21/2014,22:30:00,74786,-0.437,,,,
65,11/21/2014,23:00:00,75078,-0.437,,,,
66,11/21/2014,23:30:00,75509,-0.549,,,,
67,11/22/2014,0:00:00,75893,-0.549,,,,
68,11/22/2014,0:30:00,76499,-0.662,,,,
69,11/22/2014,1:00:00,77409,-0.662,,,,
70,11/22/2014,1:30:00,78680,-0.662,,,,
71,11/22/2014,2:00:00,80347,-0.774,,,,
72,11/22/2014,2:30:00,82377,-0.774,,,,
73,11/22/2014,3:00:00,84920,-0.774,,,,
74,11/22/2014,3:30:00,87159,-0.887,,,,
75,11/22/2014,4:00:00,88932,-0.887,,,,
76,11/22/2014,4:30:00,91802,-0.887,,,,
77,11/22/2014,5:00:00,93646,-0.887,,,,
78,11/22/2014,5:30:00,95534,-1.001,,,,
79,11/22/2014,6:00:00,97448,-1.001,,,,
80,11/22/2014,6:30:00,98884,-1.001,,,,
81,11/22/2014,7:00:00,100167,-1.001,,,,
82,11/22/2014,7:30:00,101416,-1.001,,,,
83,11/22/2014,8:00:00,102571,-1.001,,,,
84,11/22/2014,8:30:00,103295,-1.001,,,,
85,11/22/2014,9:00:00,102421,-0.887,,,,
86,11/22/2014,9:30:00,97045,-0.662,,,,
87,11/22/2014,10:00:00,88528,-0.549,,,,
88,11/22/2014,10:30:00,79768,-0.325,,,,
89,11/22/2014,11:00:00,76947,-0.213,,,,
90,11/22/2014,11:30:00,75828,-0.102,,,,
91,11/22/2014,12:00:00,75233,-0.102,,,,
92,11/22/2014,12:30:00,74171,-0.102,,,,
93,11/22/2014,13:00:00,74055,-0.102,,,,
94,11/22/2014,13:30:00,74021,0.01,,,,
95,11/22/2014,14:00:00,73986,0.01,,,,
96,11/22/2014,14:30:00,73962,0.01,,,,
97,11/22/2014,15:00:00,73939,0.01,,,,
98,11/22/2014,15:30:00,73951,0.01,,,,
99,11/22/2014,16:00:00,73939,0.01,,,,
100,11/22/2014,16:30:00,73951,0.01,,,,
