Plot Title: Up Sulf 9811667 20150423-2015,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811667, SEN S/N: 9811667)","Temp, °C (LGR S/N: 9811667, SEN S/N: 9811667)",Coupler Detached (LGR S/N: 9811667),Coupler Attached (LGR S/N: 9811667),Stopped (LGR S/N: 9811667),End Of File (LGR S/N: 9811667)
1,4/23/2015,11:30:00,74860,3.472,Logged,,,
2,4/23/2015,11:45:00,74824,3.367,,,,
3,4/23/2015,12:00:00,74825,3.472,,,,
4,4/23/2015,12:15:00,74816,3.683,,,,
5,4/23/2015,12:30:00,74829,3.788,,,,
6,4/23/2015,12:45:00,74783,3.893,,,,
7,4/23/2015,13:00:00,74761,3.998,,,,
8,4/23/2015,13:15:00,74750,4.102,,,,
9,4/23/2015,13:30:00,74740,4.207,,,,
10,4/23/2015,13:45:00,74706,4.311,,,,
11,4/23/2015,14:00:00,74695,4.415,,,,
12,4/23/2015,14:15:00,74685,4.519,,,,
13,4/23/2015,14:30:00,74662,4.623,,,,
14,4/23/2015,14:45:00,74663,4.727,,,,
15,4/23/2015,15:00:00,74676,4.831,,,,
16,4/23/2015,15:15:00,74654,4.934,,,,
17,4/23/2015,15:30:00,74632,5.037,,,,
18,4/23/2015,15:45:00,74598,5.141,,,,
19,4/23/2015,16:00:00,74598,5.141,,,,
20,4/23/2015,16:15:00,74599,5.244,,,,
21,4/23/2015,16:30:00,74576,5.244,,,,
22,4/23/2015,16:45:00,74565,5.347,,,,
23,4/23/2015,17:00:00,74542,5.347,,,,
24,4/23/2015,17:15:00,74553,5.347,,,,
25,4/23/2015,17:30:00,74531,5.45,,,,
26,4/23/2015,17:45:00,74519,5.45,,,,
27,4/23/2015,18:00:00,74509,5.552,,,,
28,4/23/2015,18:15:00,74510,5.655,,,,
29,4/23/2015,18:30:00,74511,5.757,,,,
30,4/23/2015,18:45:00,74511,5.757,,,,
31,4/23/2015,19:00:00,74499,5.757,,,,
32,4/23/2015,19:15:00,74511,5.757,,,,
33,4/23/2015,19:30:00,74522,5.655,,,,
34,4/23/2015,19:45:00,74522,5.655,,,,
35,4/23/2015,20:00:00,74557,5.655,,,,
36,4/23/2015,20:15:00,74544,5.552,,,,
37,4/23/2015,20:30:00,74579,5.552,,,,
