Plot Title: UpperSulphur,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)",Coupler Detached (LGR S/N: 1280509),Coupler Attached (LGR S/N: 1280509),Stopped (LGR S/N: 1280509),End Of File (LGR S/N: 1280509)
1,12/1/2016,8:30:00,74527,5.86,Logged,,,
2,12/1/2016,9:00:00,74527,3.261,,,,
3,12/1/2016,9:30:00,74514,1.764,,,,
4,12/1/2016,10:00:00,74514,1.112,,,,
5,12/1/2016,10:30:00,74479,0.784,,,,
6,12/1/2016,11:00:00,74446,0.563,,,,
7,12/1/2016,11:30:00,74414,0.453,,,,
8,12/1/2016,12:00:00,74404,0.453,,,,
9,12/1/2016,12:30:00,74374,0.453,,,,
10,12/1/2016,13:00:00,74363,0.343,,,,
11,12/1/2016,13:30:00,74343,0.343,,,,
12,12/1/2016,14:00:00,74363,0.343,,,,
13,12/1/2016,14:30:00,74363,0.343,,,,
14,12/1/2016,15:00:00,74383,0.343,,,,
15,12/1/2016,15:30:00,74393,0.343,,,,
16,12/1/2016,16:00:00,74393,0.343,,,,
17,12/1/2016,16:30:00,74393,0.343,,,,
18,12/1/2016,17:00:00,74403,0.343,,,,
19,12/1/2016,17:30:00,74393,0.343,,,,
20,12/1/2016,18:00:00,74413,0.343,,,,
21,12/1/2016,18:30:00,74433,0.343,,,,
22,12/1/2016,19:00:00,74411,0.232,,,,
23,12/1/2016,19:30:00,74401,0.232,,,,
24,12/1/2016,20:00:00,74421,0.232,,,,
25,12/1/2016,20:30:00,74431,0.232,,,,
26,12/1/2016,21:00:00,74441,0.232,,,,
27,12/1/2016,21:30:00,74471,0.232,,,,
28,12/1/2016,22:00:00,74501,0.232,,,,
29,12/1/2016,22:30:00,74491,0.232,,,,
30,12/1/2016,23:00:00,74501,0.232,,,,
31,12/1/2016,23:30:00,74471,0.232,,,,
32,12/2/2016,0:00:00,74461,0.232,,,,
33,12/2/2016,0:30:00,74461,0.232,,,,
34,12/2/2016,1:00:00,74421,0.232,,,,
35,12/2/2016,1:30:00,74411,0.232,,,,
36,12/2/2016,2:00:00,74391,0.232,,,,
37,12/2/2016,2:30:00,74411,0.232,,,,
38,12/2/2016,3:00:00,74431,0.232,,,,
39,12/2/2016,3:30:00,74431,0.232,,,,
40,12/2/2016,4:00:00,74411,0.232,,,,
41,12/2/2016,4:30:00,74421,0.232,,,,
42,12/2/2016,5:00:00,74441,0.232,,,,
43,12/2/2016,5:30:00,74441,0.232,,,,
44,12/2/2016,6:00:00,74471,0.232,,,,
45,12/2/2016,6:30:00,74491,0.232,,,,
46,12/2/2016,7:00:00,74491,0.232,,,,
47,12/2/2016,7:30:00,74521,0.232,,,,
48,12/2/2016,8:00:00,74541,0.232,,,,
49,12/2/2016,8:30:00,74591,0.232,,,,
50,12/2/2016,9:00:00,74601,0.232,,,,
51,12/2/2016,9:30:00,74601,0.232,,,,
52,12/2/2016,10:00:00,74581,0.232,,,,
53,12/2/2016,10:30:00,74541,0.232,,,,
54,12/2/2016,11:00:00,74491,0.232,,,,
55,12/2/2016,11:30:00,74481,0.232,,,,
56,12/2/2016,12:00:00,74431,0.232,,,,
57,12/2/2016,12:30:00,74371,0.232,,,,
58,12/2/2016,13:00:00,74381,0.232,,,,
59,12/2/2016,13:30:00,74391,0.232,,,,
60,12/2/2016,14:00:00,74391,0.232,,,,
61,12/2/2016,14:30:00,74421,0.232,,,,
62,12/2/2016,15:00:00,74441,0.232,,,,
63,12/2/2016,15:30:00,74471,0.232,,,,
64,12/2/2016,16:00:00,74471,0.232,,,,
65,12/2/2016,16:30:00,74501,0.232,,,,
66,12/2/2016,17:00:00,74521,0.232,,,,
67,12/2/2016,17:30:00,74571,0.232,,,,
68,12/2/2016,18:00:00,74591,0.232,,,,
69,12/2/2016,18:30:00,74611,0.232,,,,
70,12/2/2016,19:00:00,74631,0.232,,,,
71,12/2/2016,19:30:00,74631,0.232,,,,
72,12/2/2016,20:00:00,74631,0.232,,,,
73,12/2/2016,20:30:00,74611,0.232,,,,
74,12/2/2016,21:00:00,74661,0.232,,,,
75,12/2/2016,21:30:00,74631,0.232,,,,
76,12/2/2016,22:00:00,74641,0.232,,,,
77,12/2/2016,22:30:00,74681,0.232,,,,
78,12/2/2016,23:00:00,74641,0.232,,,,
79,12/2/2016,23:30:00,74621,0.232,,,,
80,12/3/2016,0:00:00,74641,0.232,,,,
81,12/3/2016,0:30:00,74651,0.232,,,,
82,12/3/2016,1:00:00,74641,0.232,,,,
83,12/3/2016,1:30:00,74631,0.232,,,,
84,12/3/2016,2:00:00,74631,0.232,,,,
85,12/3/2016,2:30:00,74601,0.232,,,,
86,12/3/2016,3:00:00,74591,0.232,,,,
87,12/3/2016,3:30:00,74571,0.232,,,,
88,12/3/2016,4:00:00,74551,0.232,,,,
89,12/3/2016,4:30:00,74561,0.232,,,,
90,12/3/2016,5:00:00,74591,0.232,,,,
91,12/3/2016,5:30:00,74609,0.121,,,,
92,12/3/2016,6:00:00,74629,0.121,,,,
93,12/3/2016,6:30:00,74629,0.121,,,,
94,12/3/2016,7:00:00,74669,0.121,,,,
95,12/3/2016,7:30:00,74679,0.121,,,,
96,12/3/2016,8:00:00,74679,0.121,,,,
97,12/3/2016,8:30:00,74679,0.121,,,,
98,12/3/2016,9:00:00,74659,0.121,,,,
99,12/3/2016,9:30:00,74639,0.121,,,,
100,12/3/2016,10:00:00,74611,0.232,,,,
101,12/3/2016,10:30:00,74571,0.232,,,,
102,12/3/2016,11:00:00,74521,0.232,,,,
103,12/3/2016,11:30:00,74481,0.232,,,,
104,12/3/2016,12:00:00,74481,0.232,,,,
105,12/3/2016,12:30:00,74451,0.232,,,,
106,12/3/2016,13:00:00,74431,0.232,,,,
107,12/3/2016,13:30:00,74403,0.343,,,,
108,12/3/2016,14:00:00,74383,0.343,,,,
109,12/3/2016,14:30:00,74403,0.343,,,,
110,12/3/2016,15:00:00,74443,0.343,,,,
111,12/3/2016,15:30:00,74473,0.343,,,,
112,12/3/2016,16:00:00,74473,0.343,,,,
113,12/3/2016,16:30:00,74453,0.343,,,,
114,12/3/2016,17:00:00,74453,0.343,,,,
115,12/3/2016,17:30:00,74463,0.343,,,,
116,12/3/2016,18:00:00,74453,0.343,,,,
117,12/3/2016,18:30:00,74491,0.232,,,,
118,12/3/2016,19:00:00,74521,0.232,,,,
119,12/3/2016,19:30:00,74531,0.232,,,,
120,12/3/2016,20:00:00,74511,0.232,,,,
121,12/3/2016,20:30:00,74561,0.232,,,,
122,12/3/2016,21:00:00,74631,0.232,,,,
123,12/3/2016,21:30:00,74661,0.232,,,,
124,12/3/2016,22:00:00,74641,0.232,,,,
125,12/3/2016,22:30:00,74661,0.232,,,,
126,12/3/2016,23:00:00,74641,0.232,,,,
127,12/3/2016,23:30:00,74641,0.232,,,,
128,12/4/2016,0:00:00,74649,0.121,,,,
129,12/4/2016,0:30:00,74689,0.121,,,,
130,12/4/2016,1:00:00,74689,0.121,,,,
131,12/4/2016,1:30:00,74689,0.121,,,,
132,12/4/2016,2:00:00,74709,0.121,,,,
133,12/4/2016,2:30:00,74719,0.121,,,,
134,12/4/2016,3:00:00,76298,0.121,,,,
135,12/4/2016,3:30:00,77938,0.121,,,,
136,12/4/2016,4:00:00,78509,0.121,,,,
137,12/4/2016,4:30:00,79860,0.121,,,,
138,12/4/2016,5:00:00,81072,0.121,,,,
139,12/4/2016,5:30:00,83264,0.01,,,,
140,12/4/2016,6:00:00,85632,0.01,,,,
