Plot Title: UpperSulphur20170516,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)",Coupler Detached (LGR S/N: 1280509),Coupler Attached (LGR S/N: 1280509),Stopped (LGR S/N: 1280509),End Of File (LGR S/N: 1280509)
1,7/17/2017,10:30:00,75306,11.236,Logged,,,
2,7/17/2017,10:45:00,75469,10.846,,,,
3,7/17/2017,11:00:00,75449,10.846,,,,
4,7/17/2017,11:15:00,75439,10.846,,,,
5,7/17/2017,11:30:00,75441,10.944,,,,
6,7/17/2017,11:45:00,75461,10.944,,,,
7,7/17/2017,12:00:00,75443,11.041,,,,
8,7/17/2017,12:15:00,75463,11.041,,,,
9,7/17/2017,12:30:00,75483,11.041,,,,
10,7/17/2017,12:45:00,75513,11.041,,,,
11,7/17/2017,13:00:00,75513,11.041,,,,
12,7/17/2017,13:15:00,75511,10.944,,,,
13,7/17/2017,13:30:00,75491,10.944,,,,
14,7/17/2017,13:45:00,75481,10.944,,,,
15,7/17/2017,14:00:00,75471,10.944,,,,
16,7/17/2017,14:15:00,75453,11.041,,,,
17,7/17/2017,14:30:00,75423,11.041,,,,
18,7/17/2017,14:45:00,75423,11.041,,,,
19,7/17/2017,15:00:00,75394,11.139,,,,
20,7/17/2017,15:15:00,75384,11.139,,,,
21,7/17/2017,15:30:00,75376,11.236,,,,
22,7/17/2017,15:45:00,75377,11.334,,,,
23,7/17/2017,16:00:00,75369,11.431,,,,
24,7/17/2017,16:15:00,75352,11.625,,,,
25,7/17/2017,16:30:00,75366,11.819,,,,
26,7/17/2017,16:45:00,75359,12.013,,,,
27,7/17/2017,17:00:00,75362,12.207,,,,
28,7/17/2017,17:15:00,75354,12.304,,,,
29,7/17/2017,17:30:00,75355,12.401,,,,
30,7/17/2017,17:45:00,75345,12.401,,,,
31,7/17/2017,18:00:00,75347,12.497,,,,
32,7/17/2017,18:15:00,75340,12.69,,,,
33,7/17/2017,18:30:00,75354,12.883,,,,
34,7/17/2017,18:45:00,75365,12.98,,,,
35,7/17/2017,19:00:00,75385,12.98,,,,
36,7/17/2017,19:15:00,75385,12.98,,,,
37,7/17/2017,19:30:00,75406,12.98,,,,
38,7/17/2017,19:45:00,75396,12.98,,,,
39,7/17/2017,20:00:00,75426,12.98,,,,
40,7/17/2017,20:15:00,75456,12.98,,,,
41,7/17/2017,20:30:00,75444,12.883,,,,
42,7/17/2017,20:45:00,75442,12.787,,,,
43,7/17/2017,21:00:00,75442,12.787,,,,
44,7/17/2017,21:15:00,75441,12.69,,,,
45,7/17/2017,21:30:00,75449,12.594,,,,
46,7/17/2017,21:45:00,75479,12.594,,,,
47,7/17/2017,22:00:00,75497,12.497,,,,
48,7/17/2017,22:15:00,75518,12.497,,,,
49,7/17/2017,22:30:00,75526,12.401,,,,
50,7/17/2017,22:45:00,75544,12.304,,,,
51,7/17/2017,23:00:00,75554,12.304,,,,
52,7/17/2017,23:15:00,75563,12.207,,,,
53,7/17/2017,23:30:00,75561,12.11,,,,
54,7/17/2017,23:45:00,75559,12.013,,,,
55,7/18/2017,0:00:00,75559,12.013,,,,
56,7/18/2017,0:15:00,75558,11.916,,,,
57,7/18/2017,0:30:00,75546,11.819,,,,
58,7/18/2017,0:45:00,75526,11.819,,,,
59,7/18/2017,1:00:00,75534,11.722,,,,
60,7/18/2017,1:15:00,75543,11.625,,,,
61,7/18/2017,1:30:00,75543,11.625,,,,
62,7/18/2017,1:45:00,75521,11.528,,,,
63,7/18/2017,2:00:00,75531,11.528,,,,
64,7/18/2017,2:15:00,75519,11.431,,,,
65,7/18/2017,2:30:00,75509,11.431,,,,
66,7/18/2017,2:45:00,75508,11.334,,,,
67,7/18/2017,3:00:00,75508,11.334,,,,
68,7/18/2017,3:15:00,75516,11.236,,,,
69,7/18/2017,3:30:00,75496,11.236,,,,
70,7/18/2017,3:45:00,75506,11.236,,,,
71,7/18/2017,4:00:00,75506,11.236,,,,
72,7/18/2017,4:15:00,75506,11.236,,,,
73,7/18/2017,4:30:00,75496,11.236,,,,
74,7/18/2017,4:45:00,75534,11.139,,,,
75,7/18/2017,5:00:00,75524,11.139,,,,
76,7/18/2017,5:15:00,75554,11.139,,,,
77,7/18/2017,5:30:00,75563,11.041,,,,
78,7/18/2017,5:45:00,75563,11.041,,,,
79,7/18/2017,6:00:00,75573,11.041,,,,
80,7/18/2017,6:15:00,75571,10.944,,,,
81,7/18/2017,6:30:00,75571,10.944,,,,
82,7/18/2017,6:45:00,75580,10.846,,,,
83,7/18/2017,7:00:00,75590,10.846,,,,
84,7/18/2017,7:15:00,75590,10.846,,,,
85,7/18/2017,7:30:00,75598,10.748,,,,
86,7/18/2017,7:45:00,75608,10.748,,,,
87,7/18/2017,8:00:00,75608,10.748,,,,
88,7/18/2017,8:15:00,75610,10.846,,,,
89,7/18/2017,8:30:00,75620,10.846,,,,
90,7/18/2017,8:45:00,75620,10.846,,,,
91,7/18/2017,9:00:00,75610,10.846,,,,
92,7/18/2017,9:15:00,75621,10.944,,,,
93,7/18/2017,9:30:00,75613,11.041,,,,
94,7/18/2017,9:45:00,75613,11.041,,,,
95,7/18/2017,10:00:00,75605,11.139,,,,
96,7/18/2017,10:15:00,75606,11.236,,,,
97,7/18/2017,10:30:00,75598,11.334,,,,
98,7/18/2017,10:45:00,75600,11.431,,,,
99,7/18/2017,11:00:00,75581,11.528,,,,
100,7/18/2017,11:15:00,75594,11.722,,,,
101,7/18/2017,11:30:00,75598,11.916,,,,
102,7/18/2017,11:45:00,75599,12.013,,,,
103,7/18/2017,12:00:00,75591,12.11,,,,
104,7/18/2017,12:15:00,75594,12.304,,,,
105,7/18/2017,12:30:00,75594,12.304,,,,
106,7/18/2017,12:45:00,75596,12.401,,,,
107,7/18/2017,13:00:00,75618,12.497,,,,
108,7/18/2017,13:15:00,75628,12.497,,,,
109,7/18/2017,13:30:00,75638,12.497,,,,
110,7/18/2017,13:45:00,75638,12.497,,,,
111,7/18/2017,14:00:00,75598,12.497,,,,
112,7/18/2017,14:15:00,75598,12.497,,,,
113,7/18/2017,14:30:00,75578,12.497,,,,
114,7/18/2017,14:45:00,75569,12.594,,,,
115,7/18/2017,15:00:00,75559,12.594,,,,
116,7/18/2017,15:15:00,75551,12.69,,,,
117,7/18/2017,15:30:00,75541,12.69,,,,
118,7/18/2017,15:45:00,75523,12.787,,,,
119,7/18/2017,16:00:00,75514,12.883,,,,
120,7/18/2017,16:15:00,75506,12.98,,,,
121,7/18/2017,16:30:00,75507,13.076,,,,
122,7/18/2017,16:45:00,75491,13.269,,,,
123,7/18/2017,17:00:00,75474,13.461,,,,
124,7/18/2017,17:15:00,75479,13.75,,,,
125,7/18/2017,17:30:00,75472,13.942,,,,
126,7/18/2017,17:45:00,75477,14.23,,,,
127,7/18/2017,18:00:00,75501,14.421,,,,
128,7/18/2017,18:15:00,75503,14.517,,,,
129,7/18/2017,18:30:00,75494,14.613,,,,
130,7/18/2017,18:45:00,75534,14.613,,,,
131,7/18/2017,19:00:00,75504,14.613,,,,
132,7/18/2017,19:15:00,75504,14.613,,,,
133,7/18/2017,19:30:00,75524,14.613,,,,
134,7/18/2017,19:45:00,75543,14.517,,,,
135,7/18/2017,20:00:00,75581,14.421,,,,
136,7/18/2017,20:15:00,75581,14.421,,,,
137,7/18/2017,20:30:00,75599,14.325,,,,
138,7/18/2017,20:45:00,75618,14.23,,,,
139,7/18/2017,21:00:00,75606,14.134,,,,
140,7/18/2017,21:15:00,75616,14.134,,,,
141,7/18/2017,21:30:00,75635,14.038,,,,
142,7/18/2017,21:45:00,75653,13.942,,,,
143,7/18/2017,22:00:00,75653,13.942,,,,
144,7/18/2017,22:15:00,75671,13.846,,,,
145,7/18/2017,22:30:00,75701,13.846,,,,
146,7/18/2017,22:45:00,75710,13.75,,,,
147,7/18/2017,23:00:00,75740,13.75,,,,
148,7/18/2017,23:15:00,75758,13.654,,,,
149,7/18/2017,23:30:00,75768,13.654,,,,
150,7/18/2017,23:45:00,75757,13.558,,,,
151,7/19/2017,0:00:00,75797,13.558,,,,
152,7/19/2017,0:15:00,75785,13.461,,,,
153,7/19/2017,0:30:00,75785,13.461,,,,
154,7/19/2017,0:45:00,75803,13.365,,,,
155,7/19/2017,1:00:00,75803,13.365,,,,
156,7/19/2017,1:15:00,75782,13.269,,,,
157,7/19/2017,1:30:00,75790,13.173,,,,
158,7/19/2017,1:45:00,75810,13.173,,,,
159,7/19/2017,2:00:00,75830,13.173,,,,
160,7/19/2017,2:15:00,75818,13.076,,,,
161,7/19/2017,2:30:00,75798,13.076,,,,
162,7/19/2017,2:45:00,75807,12.98,,,,
163,7/19/2017,3:00:00,75797,12.98,,,,
164,7/19/2017,3:15:00,75805,12.883,,,,
165,7/19/2017,3:30:00,75775,12.883,,,,
166,7/19/2017,3:45:00,75773,12.787,,,,
167,7/19/2017,4:00:00,75763,12.787,,,,
168,7/19/2017,4:15:00,75772,12.69,,,,
169,7/19/2017,4:30:00,75780,12.594,,,,
170,7/19/2017,4:45:00,75790,12.594,,,,
171,7/19/2017,5:00:00,75798,12.497,,,,
172,7/19/2017,5:15:00,75807,12.401,,,,
173,7/19/2017,5:30:00,75807,12.401,,,,
174,7/19/2017,5:45:00,75805,12.304,,,,
175,7/19/2017,6:00:00,75803,12.207,,,,
176,7/19/2017,6:15:00,75813,12.207,,,,
177,7/19/2017,6:30:00,75822,12.11,,,,
178,7/19/2017,6:45:00,75810,12.013,,,,
179,7/19/2017,7:00:00,75820,12.013,,,,
180,7/19/2017,7:15:00,75808,11.916,,,,
181,7/19/2017,7:30:00,75818,11.916,,,,
182,7/19/2017,7:45:00,75828,11.916,,,,
183,7/19/2017,8:00:00,75838,11.916,,,,
184,7/19/2017,8:15:00,75808,11.916,,,,
185,7/19/2017,8:30:00,75818,11.916,,,,
186,7/19/2017,8:45:00,75818,11.916,,,,
187,7/19/2017,9:00:00,75798,11.916,,,,
188,7/19/2017,9:15:00,75800,12.013,,,,
189,7/19/2017,9:30:00,75780,12.013,,,,
190,7/19/2017,9:45:00,75782,12.11,,,,
191,7/19/2017,10:00:00,75783,12.207,,,,
192,7/19/2017,10:15:00,75783,12.207,,,,
193,7/19/2017,10:30:00,75775,12.304,,,,
194,7/19/2017,10:45:00,75765,12.304,,,,
195,7/19/2017,11:00:00,75777,12.401,,,,
196,7/19/2017,11:15:00,75770,12.594,,,,
197,7/19/2017,11:30:00,75762,12.69,,,,
198,7/19/2017,11:45:00,75775,12.883,,,,
199,7/19/2017,12:00:00,75767,12.98,,,,
200,7/19/2017,12:15:00,75758,13.076,,,,
201,7/19/2017,12:30:00,75748,13.076,,,,
202,7/19/2017,12:45:00,75730,13.173,,,,
203,7/19/2017,13:00:00,75721,13.269,,,,
204,7/19/2017,13:15:00,75713,13.365,,,,
205,7/19/2017,13:30:00,75695,13.461,,,,
206,7/19/2017,13:45:00,75676,13.558,,,,
207,7/19/2017,14:00:00,75668,13.654,,,,
208,7/19/2017,14:15:00,75651,13.846,,,,
209,7/19/2017,14:30:00,75665,14.038,,,,
210,7/19/2017,14:45:00,75648,14.23,,,,
211,7/19/2017,15:00:00,75630,14.325,,,,
212,7/19/2017,15:15:00,75611,14.421,,,,
213,7/19/2017,15:30:00,75583,14.517,,,,
214,7/19/2017,15:45:00,75584,14.613,,,,
215,7/19/2017,16:00:00,75566,14.709,,,,
216,7/19/2017,16:15:00,75561,14.996,,,,
217,7/19/2017,16:30:00,75564,15.187,,,,
218,7/19/2017,16:45:00,75548,15.378,,,,
219,7/19/2017,17:00:00,75533,15.664,,,,
220,7/19/2017,17:15:00,75508,15.951,,,,
221,7/19/2017,17:30:00,75493,16.237,,,,
222,7/19/2017,17:45:00,75498,16.523,,,,
223,7/19/2017,18:00:00,75471,16.713,,,,
224,7/19/2017,18:15:00,75465,16.903,,,,
225,7/19/2017,18:30:00,75466,16.999,,,,
226,7/19/2017,18:45:00,75466,16.999,,,,
227,7/19/2017,19:00:00,75476,16.999,,,,
228,7/19/2017,19:15:00,75495,16.903,,,,
229,7/19/2017,19:30:00,75513,16.808,,,,
230,7/19/2017,19:45:00,75531,16.713,,,,
231,7/19/2017,20:00:00,75558,16.523,,,,
232,7/19/2017,20:15:00,75577,16.427,,,,
233,7/19/2017,20:30:00,75593,16.237,,,,
234,7/19/2017,20:45:00,75622,16.141,,,,
235,7/19/2017,21:00:00,75620,16.046,,,,
236,7/19/2017,21:15:00,75637,15.855,,,,
237,7/19/2017,21:30:00,75645,15.76,,,,
238,7/19/2017,21:45:00,75663,15.664,,,,
239,7/19/2017,22:00:00,75692,15.569,,,,
240,7/19/2017,22:15:00,75720,15.473,,,,
241,7/19/2017,22:30:00,75720,15.473,,,,
242,7/19/2017,22:45:00,75708,15.378,,,,
243,7/19/2017,23:00:00,75717,15.282,,,,
244,7/19/2017,23:15:00,75735,15.187,,,,
245,7/19/2017,23:30:00,75735,15.187,,,,
246,7/19/2017,23:45:00,75743,15.091,,,,
247,7/20/2017,0:00:00,75742,14.996,,,,
248,7/20/2017,0:15:00,75740,14.9,,,,
249,7/20/2017,0:30:00,75728,14.804,,,,
250,7/20/2017,0:45:00,75737,14.709,,,,
251,7/20/2017,1:00:00,75725,14.613,,,,
252,7/20/2017,1:15:00,75713,14.517,,,,
253,7/20/2017,1:30:00,75722,14.421,,,,
254,7/20/2017,1:45:00,75720,14.325,,,,
255,7/20/2017,2:00:00,75708,14.23,,,,
256,7/20/2017,2:15:00,75696,14.134,,,,
257,7/20/2017,2:30:00,75715,14.038,,,,
258,7/20/2017,2:45:00,75713,13.942,,,,
259,7/20/2017,3:00:00,75721,13.846,,,,
260,7/20/2017,3:15:00,75710,13.75,,,,
261,7/20/2017,3:30:00,75708,13.654,,,,
262,7/20/2017,3:45:00,75726,13.558,,,,
263,7/20/2017,4:00:00,75725,13.461,,,,
264,7/20/2017,4:15:00,75723,13.365,,,,
265,7/20/2017,4:30:00,75741,13.269,,,,
266,7/20/2017,4:45:00,75740,13.173,,,,
267,7/20/2017,5:00:00,75740,13.173,,,,
268,7/20/2017,5:15:00,75758,13.076,,,,
269,7/20/2017,5:30:00,75746,12.98,,,,
270,7/20/2017,5:45:00,75745,12.883,,,,
271,7/20/2017,6:00:00,75755,12.883,,,,
272,7/20/2017,6:15:00,75743,12.787,,,,
273,7/20/2017,6:30:00,75751,12.69,,,,
274,7/20/2017,6:45:00,75762,12.69,,,,
275,7/20/2017,7:00:00,75750,12.594,,,,
276,7/20/2017,7:15:00,75760,12.594,,,,
277,7/20/2017,7:30:00,75760,12.594,,,,
278,7/20/2017,7:45:00,75738,12.497,,,,
279,7/20/2017,8:00:00,75740,12.594,,,,
280,7/20/2017,8:15:00,75750,12.594,,,,
281,7/20/2017,8:30:00,75751,12.69,,,,
282,7/20/2017,8:45:00,75762,12.69,,,,
283,7/20/2017,9:00:00,75762,12.69,,,,
284,7/20/2017,9:15:00,75773,12.787,,,,
285,7/20/2017,9:30:00,75783,12.787,,,,
286,7/20/2017,9:45:00,75765,12.883,,,,
287,7/20/2017,10:00:00,75755,12.883,,,,
288,7/20/2017,10:15:00,75755,12.883,,,,
289,7/20/2017,10:30:00,75746,12.98,,,,
290,7/20/2017,10:45:00,75756,12.98,,,,
291,7/20/2017,11:00:00,75758,13.076,,,,
292,7/20/2017,11:15:00,75760,13.173,,,,
293,7/20/2017,11:30:00,75762,13.269,,,,
294,7/20/2017,11:45:00,75743,13.365,,,,
295,7/20/2017,12:00:00,75735,13.461,,,,
296,7/20/2017,12:15:00,75725,13.461,,,,
297,7/20/2017,12:30:00,75716,13.558,,,,
298,7/20/2017,12:45:00,75728,13.654,,,,
299,7/20/2017,13:00:00,75708,13.654,,,,
300,7/20/2017,13:15:00,75690,13.75,,,,
301,7/20/2017,13:30:00,75661,13.846,,,,
302,7/20/2017,13:45:00,75643,13.942,,,,
303,7/20/2017,14:00:00,75645,14.038,,,,
304,7/20/2017,14:15:00,75628,14.23,,,,
305,7/20/2017,14:30:00,75611,14.421,,,,
306,7/20/2017,14:45:00,75584,14.613,,,,
307,7/20/2017,15:00:00,75586,14.709,,,,
308,7/20/2017,15:15:00,75566,14.709,,,,
309,7/20/2017,15:30:00,75568,14.804,,,,
310,7/20/2017,15:45:00,75539,14.9,,,,
311,7/20/2017,16:00:00,75531,14.996,,,,
312,7/20/2017,16:15:00,75533,15.091,,,,
313,7/20/2017,16:30:00,75526,15.282,,,,
314,7/20/2017,16:45:00,75518,15.378,,,,
315,7/20/2017,17:00:00,75518,15.378,,,,
316,7/20/2017,17:15:00,75488,15.378,,,,
317,7/20/2017,17:30:00,75478,15.378,,,,
318,7/20/2017,17:45:00,75459,15.473,,,,
319,7/20/2017,18:00:00,75439,15.473,,,,
320,7/20/2017,18:15:00,75441,15.569,,,,
321,7/20/2017,18:30:00,75451,15.569,,,,
322,7/20/2017,18:45:00,75453,15.664,,,,
323,7/20/2017,19:00:00,75454,15.76,,,,
324,7/20/2017,19:15:00,75464,15.76,,,,
325,7/20/2017,19:30:00,75473,15.664,,,,
326,7/20/2017,19:45:00,75473,15.664,,,,
327,7/20/2017,20:00:00,75491,15.569,,,,
328,7/20/2017,20:15:00,75509,15.473,,,,
329,7/20/2017,20:30:00,75518,15.378,,,,
330,7/20/2017,20:45:00,75516,15.282,,,,
331,7/20/2017,21:00:00,75554,15.187,,,,
332,7/20/2017,21:15:00,75563,15.091,,,,
333,7/20/2017,21:30:00,75559,14.9,,,,
334,7/20/2017,21:45:00,75569,14.9,,,,
335,7/20/2017,22:00:00,75586,14.709,,,,
336,7/20/2017,22:15:00,75604,14.613,,,,
