Plot Title: UpperSulphur20171102,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)",Coupler Detached (LGR S/N: 1280509),Coupler Attached (LGR S/N: 1280509),Stopped (LGR S/N: 1280509),End Of File (LGR S/N: 1280509)
1,11/2/2017,15:45:00,74959,5.962,Logged,,,
2,11/2/2017,16:15:00,75009,4.727,,,,
3,11/2/2017,16:45:00,75039,4.727,,,,
4,11/2/2017,17:15:00,75039,4.727,,,,
5,11/2/2017,17:45:00,75049,4.727,,,,
6,11/2/2017,18:15:00,75069,4.727,,,,
7,11/2/2017,18:45:00,75088,4.623,,,,
8,11/2/2017,19:15:00,75136,4.519,,,,
9,11/2/2017,19:45:00,75143,4.311,,,,
10,11/2/2017,20:15:00,75161,4.207,,,,
11,11/2/2017,20:45:00,75170,4.102,,,,
12,11/2/2017,21:15:00,75206,3.893,,,,
13,11/2/2017,21:45:00,75225,3.788,,,,
14,11/2/2017,22:15:00,75233,3.683,,,,
15,11/2/2017,22:45:00,75251,3.578,,,,
16,11/2/2017,23:15:00,75240,3.472,,,,
17,11/2/2017,23:45:00,75216,3.261,,,,
18,11/3/2017,0:15:00,75195,3.155,,,,
19,11/3/2017,0:45:00,75203,3.049,,,,
20,11/3/2017,1:15:00,75212,2.943,,,,
21,11/3/2017,1:45:00,75230,2.837,,,,
22,11/3/2017,2:15:00,75248,2.73,,,,
23,11/3/2017,2:45:00,75237,2.624,,,,
24,11/3/2017,3:15:00,75225,2.517,,,,
25,11/3/2017,3:45:00,75235,2.517,,,,
26,11/3/2017,4:15:00,75213,2.41,,,,
27,11/3/2017,4:45:00,75212,2.303,,,,
28,11/3/2017,5:15:00,75210,2.195,,,,
29,11/3/2017,5:45:00,75230,2.195,,,,
30,11/3/2017,6:15:00,75228,2.088,,,,
31,11/3/2017,6:45:00,75228,2.088,,,,
32,11/3/2017,7:15:00,75227,1.98,,,,
33,11/3/2017,7:45:00,75247,1.98,,,,
34,11/3/2017,8:15:00,75245,1.872,,,,
35,11/3/2017,8:45:00,75255,1.872,,,,
36,11/3/2017,9:15:00,75255,1.872,,,,
37,11/3/2017,9:45:00,75265,1.872,,,,
38,11/3/2017,10:15:00,75277,1.98,,,,
39,11/3/2017,10:45:00,75278,2.088,,,,
40,11/3/2017,11:15:00,75292,2.303,,,,
41,11/3/2017,11:45:00,75265,2.517,,,,
42,11/3/2017,12:15:00,75248,2.73,,,,
43,11/3/2017,12:45:00,75210,2.837,,,,
44,11/3/2017,13:15:00,75153,3.049,,,,
45,11/3/2017,13:45:00,75136,3.261,,,,
46,11/3/2017,14:15:00,75100,3.472,,,,
47,11/3/2017,14:45:00,75081,3.578,,,,
48,11/3/2017,15:15:00,75085,3.788,,,,
49,11/3/2017,15:45:00,75056,3.893,,,,
50,11/3/2017,16:15:00,75070,4.102,,,,
51,11/3/2017,16:45:00,75081,4.207,,,,
52,11/3/2017,17:15:00,75074,4.415,,,,
53,11/3/2017,17:45:00,75086,4.519,,,,
54,11/3/2017,18:15:00,75116,4.519,,,,
55,11/3/2017,18:45:00,75144,4.415,,,,
56,11/3/2017,19:15:00,75164,4.415,,,,
57,11/3/2017,19:45:00,75173,4.311,,,,
58,11/3/2017,20:15:00,75190,4.102,,,,
59,11/3/2017,20:45:00,75188,3.998,,,,
60,11/3/2017,21:15:00,75186,3.893,,,,
61,11/3/2017,21:45:00,75195,3.788,,,,
62,11/3/2017,22:15:00,75193,3.683,,,,
63,11/3/2017,22:45:00,75211,3.578,,,,
64,11/3/2017,23:15:00,75190,3.472,,,,
65,11/3/2017,23:45:00,75208,3.367,,,,
66,11/4/2017,0:15:00,75186,3.261,,,,
67,11/4/2017,0:45:00,75186,3.261,,,,
68,11/4/2017,1:15:00,75185,3.155,,,,
69,11/4/2017,1:45:00,75195,3.155,,,,
70,11/4/2017,2:15:00,75185,3.155,,,,
71,11/4/2017,2:45:00,75205,3.155,,,,
72,11/4/2017,3:15:00,75195,3.155,,,,
73,11/4/2017,3:45:00,75176,3.261,,,,
74,11/4/2017,4:15:00,75166,3.261,,,,
75,11/4/2017,4:45:00,75136,3.261,,,,
76,11/4/2017,5:15:00,75136,3.261,,,,
77,11/4/2017,5:45:00,75168,3.367,,,,
78,11/4/2017,6:15:00,75158,3.367,,,,
79,11/4/2017,6:45:00,75158,3.367,,,,
80,11/4/2017,7:15:00,75138,3.367,,,,
81,11/4/2017,7:45:00,75148,3.367,,,,
82,11/4/2017,8:15:00,75178,3.367,,,,
83,11/4/2017,8:45:00,75158,3.367,,,,
84,11/4/2017,9:15:00,75178,3.367,,,,
85,11/4/2017,9:45:00,75148,3.367,,,,
86,11/4/2017,10:15:00,75160,3.472,,,,
87,11/4/2017,10:45:00,75120,3.472,,,,
88,11/4/2017,11:15:00,75111,3.578,,,,
89,11/4/2017,11:45:00,75115,3.788,,,,
90,11/4/2017,12:15:00,75066,3.893,,,,
91,11/4/2017,12:45:00,75048,3.998,,,,
92,11/4/2017,13:15:00,74991,4.207,,,,
93,11/4/2017,13:45:00,74953,4.311,,,,
94,11/4/2017,14:15:00,74926,4.519,,,,
95,11/4/2017,14:45:00,74888,4.623,,,,
96,11/4/2017,15:15:00,74861,4.831,,,,
97,11/4/2017,15:45:00,74852,4.934,,,,
98,11/4/2017,16:15:00,74834,5.037,,,,
99,11/4/2017,16:45:00,74836,5.141,,,,
