"Plot Title: UpperSulphur20190625"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,06/25/19 10:00:00 AM,74718,11.431,,
2,06/25/19 10:00:05 AM,,,Logged,
3,06/25/19 10:15:00 AM,75198,8.978,,
4,06/25/19 10:30:00 AM,75196,8.879,,
5,06/25/19 10:45:00 AM,75208,8.978,,
6,06/25/19 11:00:00 AM,75199,9.077,,
7,06/25/19 11:15:00 AM,75193,9.275,,
8,06/25/19 11:30:00 AM,75216,9.472,,
9,06/25/19 11:45:00 AM,75199,9.669,,
10,06/25/19 12:00:00 PM,75192,9.866,,
11,06/25/19 12:15:00 PM,75184,9.965,,
12,06/25/19 12:30:00 PM,75186,10.063,,
13,06/25/19 12:45:00 PM,75167,10.161,,
14,06/25/19 01:00:00 PM,75140,10.357,,
15,06/25/19 01:15:00 PM,75152,10.455,,
16,06/25/19 01:30:00 PM,75144,10.553,,
17,06/25/19 01:45:00 PM,75147,10.748,,
18,06/25/19 02:00:00 PM,75150,10.944,,
19,06/25/19 02:15:00 PM,75135,11.236,,
20,06/25/19 02:30:00 PM,75130,11.528,,
21,06/25/19 02:45:00 PM,75125,11.819,,
22,06/25/19 03:00:00 PM,75118,12.013,,
23,06/25/19 03:15:00 PM,75112,12.207,,
24,06/25/19 03:30:00 PM,75096,12.497,,
25,06/25/19 03:45:00 PM,75080,12.690,,
26,06/25/19 04:00:00 PM,75083,12.883,,
27,06/25/19 04:15:00 PM,75068,13.173,,
28,06/25/19 04:30:00 PM,75061,13.365,,
29,06/25/19 04:45:00 PM,75055,13.558,,
30,06/25/19 05:00:00 PM,75058,13.750,,
31,06/25/19 05:15:00 PM,75061,13.942,,
32,06/25/19 05:30:00 PM,75055,14.134,,
33,06/25/19 05:45:00 PM,75066,14.230,,
34,06/25/19 06:00:00 PM,75048,14.325,,
35,06/25/19 06:15:00 PM,75049,14.421,,
36,06/25/19 06:30:00 PM,75039,14.421,,
37,06/25/19 06:45:00 PM,75048,14.325,,
38,06/25/19 07:00:00 PM,75038,14.325,,
39,06/25/19 07:15:00 PM,75046,14.230,,
40,06/25/19 07:30:00 PM,75055,14.134,,
41,06/25/19 07:45:00 PM,75063,14.038,,
42,06/25/19 08:00:00 PM,75080,13.846,,
43,06/25/19 08:15:00 PM,75088,13.750,,
44,06/25/19 08:30:00 PM,75115,13.558,,
45,06/25/19 08:45:00 PM,75133,13.461,,
46,06/25/19 09:00:00 PM,75140,13.269,,
47,06/25/19 09:15:00 PM,75147,13.076,,
48,06/25/19 09:30:00 PM,75175,12.980,,
49,06/25/19 09:45:00 PM,75202,12.787,,
50,06/25/19 10:00:00 PM,75198,12.594,,
51,06/25/19 10:15:00 PM,75207,12.497,,
52,06/25/19 10:30:00 PM,75223,12.304,,
53,06/25/19 10:45:00 PM,75210,12.110,,
54,06/25/19 11:00:00 PM,75229,12.013,,
55,06/25/19 11:15:00 PM,75207,11.916,,
56,06/25/19 11:30:00 PM,75215,11.819,,
57,06/25/19 11:45:00 PM,75214,11.722,,
58,06/26/19 12:00:00 AM,75202,11.625,,
59,06/26/19 12:15:00 AM,75210,11.528,,
60,06/26/19 12:30:00 AM,75199,11.431,,
61,06/26/19 12:45:00 AM,75197,11.334,,
62,06/26/19 01:00:00 AM,75194,11.139,,
63,06/26/19 01:15:00 AM,75202,11.041,,
64,06/26/19 01:30:00 AM,75190,10.944,,
65,06/26/19 01:45:00 AM,75199,10.846,,
66,06/26/19 02:00:00 AM,75217,10.748,,
67,06/26/19 02:15:00 AM,75226,10.651,,
68,06/26/19 02:30:00 AM,75234,10.553,,
69,06/26/19 02:45:00 AM,75212,10.455,,
70,06/26/19 03:00:00 AM,75231,10.357,,
71,06/26/19 03:15:00 AM,75249,10.259,,
72,06/26/19 03:30:00 AM,75247,10.161,,
73,06/26/19 03:45:00 AM,75256,10.063,,
74,06/26/19 04:00:00 AM,75264,9.965,,
75,06/26/19 04:15:00 AM,75293,9.866,,
76,06/26/19 04:30:00 AM,75291,9.768,,
77,06/26/19 04:45:00 AM,75301,9.768,,
78,06/26/19 05:00:00 AM,75289,9.669,,
79,06/26/19 05:15:00 AM,75288,9.571,,
80,06/26/19 05:30:00 AM,75288,9.571,,
81,06/26/19 05:45:00 AM,75286,9.472,,
82,06/26/19 06:00:00 AM,75296,9.472,,
83,06/26/19 06:15:00 AM,75304,9.373,,
84,06/26/19 06:30:00 AM,75323,9.275,,
85,06/26/19 06:45:00 AM,75323,9.275,,
86,06/26/19 07:00:00 AM,75331,9.176,,
87,06/26/19 07:15:00 AM,75320,9.077,,
88,06/26/19 07:30:00 AM,75330,9.077,,
89,06/26/19 07:45:00 AM,75340,9.077,,
90,06/26/19 08:00:00 AM,75341,9.176,,
91,06/26/19 08:15:00 AM,75321,9.176,,
92,06/26/19 08:30:00 AM,75343,9.275,,
93,06/26/19 08:45:00 AM,75354,9.373,,
94,06/26/19 09:00:00 AM,75375,9.373,,
95,06/26/19 09:15:00 AM,75386,9.472,,
96,06/26/19 09:30:00 AM,75378,9.571,,
97,06/26/19 09:45:00 AM,75379,9.669,,
98,06/26/19 10:00:00 AM,75391,9.768,,
99,06/26/19 10:15:00 AM,75394,9.965,,
100,06/26/19 10:30:00 AM,75406,10.063,,
101,06/26/19 10:45:00 AM,75398,10.161,,
102,06/26/19 11:00:00 AM,75399,10.259,,
103,06/26/19 11:15:00 AM,75393,10.455,,
104,06/26/19 11:30:00 AM,75406,10.651,,
105,06/26/19 11:45:00 AM,75409,10.846,,
106,06/26/19 12:00:00 PM,75411,10.944,,
107,06/26/19 12:15:00 PM,75382,11.041,,
108,06/26/19 12:30:00 PM,75394,11.139,,
109,06/26/19 12:45:00 PM,75376,11.236,,
110,06/26/19 01:00:00 PM,75387,11.334,,
111,06/26/19 01:15:00 PM,75389,11.431,,
112,06/26/19 01:30:00 PM,75401,11.528,,
113,06/26/19 01:45:00 PM,75402,11.625,,
114,06/26/19 02:00:00 PM,75396,11.819,,
115,06/26/19 02:15:00 PM,75407,11.916,,
116,06/26/19 02:30:00 PM,75379,12.013,,
117,06/26/19 02:45:00 PM,75350,12.110,,
118,06/26/19 03:00:00 PM,75344,12.304,,
119,06/26/19 03:15:00 PM,75347,12.497,,
120,06/26/19 03:30:00 PM,75360,12.690,,
121,06/26/19 03:45:00 PM,75354,12.883,,
122,06/26/19 04:00:00 PM,75365,12.980,,
123,06/26/19 04:15:00 PM,75349,13.173,,
124,06/26/19 04:30:00 PM,75349,13.173,,
125,06/26/19 04:45:00 PM,75360,13.269,,
126,06/26/19 05:00:00 PM,75362,13.365,,
127,06/26/19 05:15:00 PM,75354,13.461,,
128,06/26/19 05:30:00 PM,75355,13.558,,
129,06/26/19 05:45:00 PM,75367,13.654,,
130,06/26/19 06:00:00 PM,75347,13.654,,
131,06/26/19 06:15:00 PM,75389,13.750,,
132,06/26/19 06:30:00 PM,75369,13.750,,
133,06/26/19 06:45:00 PM,75339,13.750,,
