Plot Title: 9811669-Paliza,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811669, SEN S/N: 9811669)","Temp, °C (LGR S/N: 9811669, SEN S/N: 9811669)","Batt, V (LGR S/N: 9811669, SEN S/N: 9811669)",Coupler Detached (LGR S/N: 9811669),Coupler Attached (LGR S/N: 9811669),Stopped (LGR S/N: 9811669),End Of File (LGR S/N: 9811669)
1,9/2/2011,12:15:00,80083,21.76,3.51,Logged,,,
2,9/2/2011,12:30:00,80071,21.76,3.51,,,,
3,9/2/2011,12:45:00,80046,21.76,3.51,,,,
4,9/2/2011,13:00:00,80023,21.855,3.51,,,,
5,9/2/2011,13:15:00,80011,21.855,3.54,,,,
6,9/2/2011,13:30:00,80012,21.951,3.54,,,,
7,9/2/2011,13:45:00,79988,21.951,3.54,,,,
8,9/2/2011,14:00:00,79989,22.046,3.54,,,,
9,9/2/2011,14:15:00,79989,22.046,3.54,,,,
10,9/2/2011,14:30:00,79977,22.046,3.54,,,,
11,9/2/2011,14:45:00,79990,22.142,3.54,,,,
12,9/2/2011,15:00:00,79978,22.142,3.54,,,,
13,9/2/2011,15:15:00,79953,22.142,3.54,,,,
14,9/2/2011,15:30:00,79953,22.142,3.54,,,,
15,9/2/2011,15:45:00,79941,22.142,3.54,,,,
16,9/2/2011,16:00:00,79918,22.238,3.54,,,,
17,9/2/2011,16:15:00,79906,22.238,3.54,,,,
18,9/2/2011,16:30:00,79893,22.238,3.54,,,,
19,9/2/2011,16:45:00,79869,22.238,3.54,,,,
20,9/2/2011,17:00:00,79856,22.238,3.54,,,,
21,9/2/2011,17:15:00,79844,22.238,3.54,,,,
22,9/2/2011,17:30:00,79856,22.238,3.54,,,,
23,9/2/2011,17:45:00,79881,22.238,3.54,,,,
24,9/2/2011,18:00:00,79893,22.238,3.54,,,,
25,9/2/2011,18:15:00,79906,22.238,3.54,,,,
26,9/2/2011,18:30:00,79904,22.142,3.54,,,,
27,9/2/2011,18:45:00,79904,22.142,3.54,,,,
28,9/2/2011,19:00:00,79880,22.142,3.54,,,,
29,9/2/2011,19:15:00,79904,22.142,3.54,,,,
30,9/2/2011,19:30:00,79878,22.046,3.54,,,,
31,9/2/2011,19:45:00,79878,22.046,3.54,,,,
32,9/2/2011,20:00:00,79903,22.046,3.54,,,,
33,9/2/2011,20:15:00,79926,21.951,3.54,,,,
34,9/2/2011,20:30:00,79938,21.951,3.54,,,,
35,9/2/2011,20:45:00,79963,21.951,3.54,,,,
36,9/2/2011,21:00:00,79962,21.855,3.54,,,,
37,9/2/2011,21:15:00,79986,21.855,3.54,,,,
38,9/2/2011,21:30:00,79999,21.855,3.54,,,,
39,9/2/2011,21:45:00,79997,21.76,3.54,,,,
40,9/2/2011,22:00:00,80010,21.76,3.54,,,,
41,9/2/2011,22:15:00,79997,21.76,3.54,,,,
42,9/2/2011,22:30:00,79996,21.664,3.54,,,,
43,9/2/2011,22:45:00,79996,21.664,3.54,,,,
44,9/2/2011,23:00:00,79996,21.664,3.51,,,,
45,9/2/2011,23:15:00,79984,21.664,3.54,,,,
46,9/2/2011,23:30:00,79970,21.569,3.51,,,,
47,9/2/2011,23:45:00,79970,21.569,3.51,,,,
48,9/3/2011,0:00:00,79970,21.569,3.51,,,,
49,9/3/2011,0:15:00,79958,21.569,3.51,,,,
50,9/3/2011,0:30:00,79970,21.569,3.51,,,,
51,9/3/2011,0:45:00,79970,21.569,3.51,,,,
