Plot Title: 9811669-Paliza,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811669, SEN S/N: 9811669)","Temp, °C (LGR S/N: 9811669, SEN S/N: 9811669)",Coupler Detached (LGR S/N: 9811669),Coupler Attached (LGR S/N: 9811669),Stopped (LGR S/N: 9811669),End Of File (LGR S/N: 9811669)
1,1/4/1937,13:00:00,71630,28.456,Logged,,,
2,1/4/1937,13:15:00,71636,29.552,,,,
3,1/4/1937,13:30:00,71648,30.255,,,,
4,1/4/1937,13:45:00,71427,31.064,,,,
5,1/4/1937,14:00:00,72632,31.574,,,,
6,1/4/1937,14:15:00,74167,31.983,,,,
7,1/4/1937,14:30:00,74956,31.983,,,,
8,1/4/1937,14:45:00,74622,31.88,,,,
9,1/4/1937,15:00:00,74603,32.188,,,,
10,1/4/1937,15:15:00,74606,33.014,,,,
11,1/4/1937,15:30:00,74599,33.953,,,,
12,1/4/1937,15:45:00,74603,34.796,,,,
13,1/4/1937,16:00:00,74661,35.222,,,,
14,1/4/1937,16:15:00,77030,33.43,,,,
15,1/4/1937,16:30:00,76087,32.497,,,,
16,1/4/1937,16:45:00,76069,32.188,,,,
17,1/4/1937,17:00:00,77039,31.983,,,,
18,1/4/1937,17:15:00,81314,31.983,,,,
19,1/4/1937,17:30:00,81249,31.166,,,,
20,1/4/1937,17:45:00,81245,29.652,,,,
21,1/4/1937,18:00:00,81227,28.655,,,,
22,1/4/1937,18:15:00,81213,27.862,,,,
23,1/4/1937,18:30:00,81176,27.173,,,,
24,1/4/1937,18:45:00,81157,26.781,,,,
25,1/4/1937,19:00:00,81165,26.488,,,,
26,1/4/1937,19:15:00,81149,26.292,,,,
27,1/4/1937,19:30:00,81121,26.097,,,,
28,1/4/1937,19:45:00,81130,25.902,,,,
29,1/4/1937,20:00:00,81141,25.805,,,,
30,1/4/1937,20:15:00,81127,25.708,,,,
31,1/4/1937,20:30:00,81126,25.61,,,,
32,1/4/1937,20:45:00,81112,25.513,,,,
33,1/4/1937,21:00:00,81135,25.416,,,,
34,1/4/1937,21:15:00,81133,25.319,,,,
35,1/4/1937,21:30:00,81144,25.222,,,,
36,1/4/1937,21:45:00,81144,25.222,,,,
