Plot Title: 9811669-Paliza,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811669, SEN S/N: 9811669)","Temp, °C (LGR S/N: 9811669, SEN S/N: 9811669)",Coupler Detached (LGR S/N: 9811669),Coupler Attached (LGR S/N: 9811669),Stopped (LGR S/N: 9811669),End Of File (LGR S/N: 9811669)
1,8/17/2012,11:45:00,80456,22.046,Logged,,,
2,8/17/2012,12:00:00,80419,22.046,,,,
3,8/17/2012,12:15:00,80433,22.142,,,,
4,8/17/2012,12:30:00,80385,22.238,,,,
5,8/17/2012,12:45:00,80374,22.333,,,,
6,8/17/2012,13:00:00,80351,22.429,,,,
7,8/17/2012,13:15:00,80328,22.525,,,,
8,8/17/2012,13:30:00,80328,22.525,,,,
9,8/17/2012,13:45:00,80292,22.621,,,,
10,8/17/2012,14:00:00,80268,22.621,,,,
11,8/17/2012,14:15:00,80232,22.717,,,,
12,8/17/2012,14:30:00,80220,22.717,,,,
13,8/17/2012,14:45:00,80195,22.717,,,,
14,8/17/2012,15:00:00,80160,22.812,,,,
15,8/17/2012,15:15:00,80135,22.812,,,,
16,8/17/2012,15:30:00,80098,22.812,,,,
17,8/17/2012,15:45:00,80075,22.908,,,,
18,8/17/2012,16:00:00,80051,22.908,,,,
19,8/17/2012,16:15:00,80026,22.908,,,,
20,8/17/2012,16:30:00,80064,23.004,,,,
21,8/17/2012,16:45:00,80064,23.004,,,,
22,8/17/2012,17:00:00,80064,23.004,,,,
23,8/17/2012,17:15:00,80077,23.004,,,,
24,8/17/2012,17:30:00,80075,22.908,,,,
25,8/17/2012,17:45:00,80124,22.908,,,,
26,8/17/2012,18:00:00,80087,22.908,,,,
27,8/17/2012,18:15:00,80075,22.908,,,,
28,8/17/2012,18:30:00,80087,22.908,,,,
29,8/17/2012,18:45:00,80087,22.908,,,,
30,8/17/2012,19:00:00,80112,22.908,,,,
31,8/17/2012,19:15:00,80111,22.812,,,,
32,8/17/2012,19:30:00,80123,22.812,,,,
33,8/17/2012,19:45:00,80148,22.812,,,,
34,8/17/2012,20:00:00,80184,22.812,,,,
35,8/17/2012,20:15:00,80160,22.812,,,,
36,8/17/2012,20:30:00,80135,22.812,,,,
37,8/17/2012,20:45:00,80122,22.717,,,,
38,8/17/2012,21:00:00,80146,22.717,,,,
39,8/17/2012,21:15:00,80195,22.717,,,,
40,8/17/2012,21:30:00,80208,22.717,,,,
41,8/17/2012,21:45:00,80232,22.717,,,,
42,8/17/2012,22:00:00,80257,22.717,,,,
43,8/17/2012,22:15:00,80257,22.717,,,,
44,8/17/2012,22:30:00,80269,22.717,,,,
45,8/17/2012,22:45:00,80269,22.717,,,,
46,8/17/2012,23:00:00,80281,22.717,,,,
47,8/17/2012,23:15:00,80268,22.621,,,,
48,8/17/2012,23:30:00,80268,22.621,,,,
49,8/17/2012,23:45:00,80280,22.621,,,,
50,8/18/2012,0:00:00,80255,22.621,,,,
51,8/18/2012,0:15:00,80243,22.621,,,,
52,8/18/2012,0:30:00,80243,22.621,,,,
53,8/18/2012,0:45:00,80243,22.621,,,,
54,8/18/2012,1:00:00,80255,22.621,,,,
55,8/18/2012,1:15:00,80242,22.525,,,,
56,8/18/2012,1:30:00,80229,22.525,,,,
57,8/18/2012,1:45:00,80229,22.525,,,,
58,8/18/2012,2:00:00,80254,22.525,,,,
59,8/18/2012,2:15:00,80229,22.525,,,,
60,8/18/2012,2:30:00,80229,22.525,,,,
61,8/18/2012,2:45:00,80205,22.525,,,,
62,8/18/2012,3:00:00,80205,22.525,,,,
63,8/18/2012,3:15:00,80180,22.525,,,,
64,8/18/2012,3:30:00,80191,22.429,,,,
65,8/18/2012,3:45:00,80179,22.429,,,,
66,8/18/2012,4:00:00,80179,22.429,,,,
67,8/18/2012,4:15:00,80154,22.429,,,,
