Plot Title: 9811669 Paliza 20141016-2014,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811669, SEN S/N: 9811669)","Temp, °C (LGR S/N: 9811669, SEN S/N: 9811669)","Batt, V (LGR S/N: 9811669, SEN S/N: 9811669)",Coupler Detached (LGR S/N: 9811669),Coupler Attached (LGR S/N: 9811669),Stopped (LGR S/N: 9811669),End Of File (LGR S/N: 9811669)
1,10/16/2014,11:15:00,82485,21.187,3.48,Logged,,,
2,10/16/2014,11:30:00,82404,21.569,3.51,,,,
3,10/16/2014,11:45:00,82381,21.664,3.51,,,,
4,10/16/2014,12:00:00,82369,21.664,3.51,,,,
5,10/16/2014,12:15:00,82369,21.664,3.51,,,,
6,10/16/2014,12:30:00,82358,21.76,3.51,,,,
7,10/16/2014,12:45:00,82358,21.76,3.51,,,,
8,10/16/2014,13:00:00,82382,21.76,3.51,,,,
9,10/16/2014,13:15:00,82382,21.76,3.51,,,,
10,10/16/2014,13:30:00,82358,21.76,3.51,,,,
11,10/16/2014,13:45:00,82370,21.76,3.51,,,,
12,10/16/2014,14:00:00,82333,21.76,3.51,,,,
13,10/16/2014,14:15:00,82335,21.855,3.51,,,,
14,10/16/2014,14:30:00,82347,21.855,3.51,,,,
15,10/16/2014,14:45:00,82335,21.855,3.51,,,,
16,10/16/2014,15:00:00,82335,21.855,3.51,,,,
17,10/16/2014,15:15:00,82310,21.855,3.51,,,,
18,10/16/2014,15:30:00,82310,21.855,3.51,,,,
19,10/16/2014,15:45:00,82298,21.855,3.51,,,,
20,10/16/2014,16:00:00,82298,21.855,3.51,,,,
21,10/16/2014,16:15:00,82298,21.855,3.51,,,,
22,10/16/2014,16:30:00,82299,21.951,3.51,,,,
23,10/16/2014,16:45:00,82274,21.951,3.51,,,,
24,10/16/2014,17:00:00,82274,21.951,3.51,,,,
25,10/16/2014,17:15:00,82250,21.951,3.51,,,,
26,10/16/2014,17:30:00,82250,21.951,3.51,,,,
27,10/16/2014,17:45:00,82188,21.951,3.51,,,,
28,10/16/2014,18:00:00,82176,21.951,3.51,,,,
29,10/16/2014,18:15:00,82188,21.951,3.51,,,,
30,10/16/2014,18:30:00,82164,21.951,3.51,,,,
31,10/16/2014,18:45:00,82190,22.046,3.51,,,,
32,10/16/2014,19:00:00,82202,22.046,3.51,,,,
33,10/16/2014,19:15:00,82190,22.046,3.51,,,,
34,10/16/2014,19:30:00,82177,22.046,3.51,,,,
35,10/16/2014,19:45:00,82177,22.046,3.51,,,,
36,10/16/2014,20:00:00,82177,22.046,3.51,,,,
37,10/16/2014,20:15:00,82177,22.046,3.51,,,,
38,10/16/2014,20:30:00,82177,22.046,3.51,,,,
39,10/16/2014,20:45:00,82165,22.046,3.51,,,,
40,10/16/2014,21:00:00,82202,22.046,3.51,,,,
41,10/16/2014,21:15:00,82202,22.046,3.51,,,,
42,10/16/2014,21:30:00,82190,22.046,3.51,,,,
43,10/16/2014,21:45:00,82214,22.046,3.51,,,,
44,10/16/2014,22:00:00,82177,22.046,3.51,,,,
45,10/16/2014,22:15:00,82165,22.046,3.51,,,,
46,10/16/2014,22:30:00,82165,22.046,3.51,,,,
47,10/16/2014,22:45:00,82177,22.046,3.51,,,,
48,10/16/2014,23:00:00,82177,22.046,3.51,,,,
49,10/16/2014,23:15:00,82165,22.046,3.51,,,,
50,10/16/2014,23:30:00,82141,22.046,3.51,,,,
51,10/16/2014,23:45:00,82128,22.046,3.51,,,,
52,10/17/2014,0:00:00,82128,22.046,3.51,,,,
53,10/17/2014,0:15:00,82128,22.046,3.51,,,,
54,10/17/2014,0:30:00,82104,22.046,3.51,,,,
55,10/17/2014,0:45:00,82104,22.046,3.51,,,,
56,10/17/2014,1:00:00,82079,22.046,3.51,,,,
57,10/17/2014,1:15:00,82079,22.046,3.51,,,,
58,10/17/2014,1:30:00,82079,22.046,3.51,,,,
59,10/17/2014,1:45:00,82079,22.046,3.51,,,,
60,10/17/2014,2:00:00,82055,22.046,3.51,,,,
61,10/17/2014,2:15:00,82055,22.046,3.51,,,,
62,10/17/2014,2:30:00,82055,22.046,3.51,,,,
63,10/17/2014,2:45:00,82042,22.046,3.51,,,,
64,10/17/2014,3:00:00,82030,22.046,3.51,,,,
65,10/17/2014,3:15:00,82018,22.046,3.51,,,,
66,10/17/2014,3:30:00,82042,22.046,3.51,,,,
67,10/17/2014,3:45:00,82030,22.046,3.51,,,,
68,10/17/2014,4:00:00,82005,22.046,3.51,,,,
69,10/17/2014,4:15:00,82005,22.046,3.51,,,,
70,10/17/2014,4:30:00,82005,22.046,3.51,,,,
71,10/17/2014,4:45:00,81993,22.046,3.51,,,,
72,10/17/2014,5:00:00,81993,22.046,3.51,,,,
73,10/17/2014,5:15:00,82005,22.046,3.51,,,,
74,10/17/2014,5:30:00,82005,22.046,3.51,,,,
75,10/17/2014,5:45:00,82005,22.046,3.51,,,,
76,10/17/2014,6:00:00,82042,22.046,3.51,,,,
77,10/17/2014,6:15:00,82042,22.046,3.51,,,,
78,10/17/2014,6:30:00,82055,22.046,3.51,,,,
79,10/17/2014,6:45:00,82055,22.046,3.51,,,,
80,10/17/2014,7:00:00,82065,21.951,3.51,,,,
81,10/17/2014,7:15:00,82065,21.951,3.51,,,,
82,10/17/2014,7:30:00,82090,21.951,3.51,,,,
83,10/17/2014,7:45:00,82079,22.046,3.51,,,,
84,10/17/2014,8:00:00,82102,21.951,3.51,,,,
85,10/17/2014,8:15:00,82102,21.951,3.51,,,,
86,10/17/2014,8:30:00,82091,22.046,3.51,,,,
87,10/17/2014,8:45:00,82104,22.046,3.51,,,,
88,10/17/2014,9:00:00,82115,21.951,3.51,,,,
89,10/17/2014,9:15:00,82104,22.046,3.51,,,,
90,10/17/2014,9:30:00,82116,22.046,3.51,,,,
91,10/17/2014,9:45:00,82116,22.046,3.51,,,,
92,10/17/2014,10:00:00,82104,22.046,3.51,,,,
93,10/17/2014,10:15:00,82104,22.046,3.51,,,,
94,10/17/2014,10:30:00,82091,22.046,3.51,,,,
95,10/17/2014,10:45:00,82091,22.046,3.51,,,,
96,10/17/2014,11:00:00,82079,22.046,3.51,,,,
97,10/17/2014,11:15:00,82079,22.046,3.51,,,,
98,10/17/2014,11:30:00,82079,22.046,3.51,,,,
99,10/17/2014,11:45:00,82079,22.046,3.51,,,,
100,10/17/2014,12:00:00,82079,22.046,3.51,,,,
101,10/17/2014,12:15:00,82067,22.046,3.51,,,,
102,10/17/2014,12:30:00,82042,22.046,3.51,,,,
103,10/17/2014,12:45:00,82005,22.046,3.51,,,,
104,10/17/2014,13:00:00,82005,22.046,3.51,,,,
105,10/17/2014,13:15:00,81981,22.046,3.51,,,,
106,10/17/2014,13:30:00,81970,22.142,3.51,,,,
107,10/17/2014,13:45:00,81945,22.142,3.51,,,,
108,10/17/2014,14:00:00,81933,22.142,3.51,,,,
109,10/17/2014,14:15:00,81908,22.142,3.51,,,,
110,10/17/2014,14:30:00,81908,22.142,3.51,,,,
111,10/17/2014,14:45:00,81896,22.142,3.51,,,,
112,10/17/2014,15:00:00,81896,22.142,3.51,,,,
113,10/17/2014,15:15:00,81884,22.142,3.51,,,,
114,10/17/2014,15:30:00,81872,22.142,3.51,,,,
115,10/17/2014,15:45:00,81884,22.142,3.51,,,,
116,10/17/2014,16:00:00,81884,22.142,3.51,,,,
117,10/17/2014,16:15:00,81872,22.142,3.51,,,,
118,10/17/2014,16:30:00,81872,22.142,3.51,,,,
119,10/17/2014,16:45:00,81873,22.238,3.51,,,,
120,10/17/2014,17:00:00,81885,22.238,3.51,,,,
121,10/17/2014,17:15:00,81885,22.238,3.51,,,,
122,10/17/2014,17:30:00,81885,22.238,3.51,,,,
123,10/17/2014,17:45:00,81897,22.238,3.51,,,,
124,10/17/2014,18:00:00,81897,22.238,3.51,,,,
125,10/17/2014,18:15:00,81922,22.238,3.51,,,,
126,10/17/2014,18:30:00,81910,22.238,3.51,,,,
127,10/17/2014,18:45:00,81922,22.238,3.51,,,,
128,10/17/2014,19:00:00,81934,22.238,3.51,,,,
129,10/17/2014,19:15:00,81947,22.238,3.51,,,,
130,10/17/2014,19:30:00,81934,22.238,3.51,,,,
131,10/17/2014,19:45:00,81947,22.238,3.51,,,,
132,10/17/2014,20:00:00,81984,22.238,3.51,,,,
133,10/17/2014,20:15:00,81984,22.238,3.51,,,,
134,10/17/2014,20:30:00,81996,22.238,3.51,,,,
135,10/17/2014,20:45:00,81996,22.238,3.51,,,,
136,10/17/2014,21:00:00,82008,22.238,3.51,,,,
137,10/17/2014,21:15:00,82020,22.238,3.51,,,,
138,10/17/2014,21:30:00,82020,22.238,3.51,,,,
139,10/17/2014,21:45:00,82020,22.238,3.51,,,,
140,10/17/2014,22:00:00,82020,22.238,3.51,,,,
141,10/17/2014,22:15:00,82033,22.238,3.51,,,,
142,10/17/2014,22:30:00,82045,22.238,3.51,,,,
143,10/17/2014,22:45:00,82045,22.238,3.51,,,,
144,10/17/2014,23:00:00,82033,22.238,3.51,,,,
145,10/17/2014,23:15:00,82008,22.238,3.51,,,,
146,10/17/2014,23:30:00,82008,22.238,3.51,,,,
147,10/17/2014,23:45:00,82020,22.238,3.51,,,,
148,10/18/2014,0:00:00,82008,22.238,3.51,,,,
149,10/18/2014,0:15:00,81984,22.238,3.51,,,,
150,10/18/2014,0:30:00,81996,22.238,3.51,,,,
151,10/18/2014,0:45:00,81984,22.238,3.51,,,,
152,10/18/2014,1:00:00,81996,22.238,3.51,,,,
153,10/18/2014,1:15:00,81984,22.238,3.51,,,,
154,10/18/2014,1:30:00,81996,22.238,3.51,,,,
155,10/18/2014,1:45:00,82020,22.238,3.51,,,,
156,10/18/2014,2:00:00,82020,22.238,3.51,,,,
157,10/18/2014,2:15:00,82033,22.238,3.51,,,,
158,10/18/2014,2:30:00,82020,22.238,3.51,,,,
159,10/18/2014,2:45:00,82033,22.238,3.51,,,,
160,10/18/2014,3:00:00,82020,22.238,3.51,,,,
161,10/18/2014,3:15:00,81996,22.238,3.51,,,,
162,10/18/2014,3:30:00,82008,22.238,3.51,,,,
163,10/18/2014,3:45:00,81996,22.238,3.51,,,,
164,10/18/2014,4:00:00,82020,22.238,3.51,,,,
165,10/18/2014,4:15:00,82008,22.238,3.51,,,,
166,10/18/2014,4:30:00,82008,22.238,3.51,,,,
167,10/18/2014,4:45:00,81984,22.238,3.51,,,,
168,10/18/2014,5:00:00,81996,22.238,3.51,,,,
169,10/18/2014,5:15:00,81984,22.238,3.51,,,,
170,10/18/2014,5:30:00,81984,22.238,3.51,,,,
171,10/18/2014,5:45:00,82008,22.238,3.51,,,,
172,10/18/2014,6:00:00,81996,22.238,3.51,,,,
173,10/18/2014,6:15:00,82008,22.238,3.51,,,,
174,10/18/2014,6:30:00,81996,22.238,3.51,,,,
175,10/18/2014,6:45:00,81996,22.238,3.51,,,,
176,10/18/2014,7:00:00,82020,22.238,3.51,,,,
177,10/18/2014,7:15:00,82020,22.238,3.51,,,,
178,10/18/2014,7:30:00,82045,22.238,3.51,,,,
179,10/18/2014,7:45:00,82045,22.238,3.51,,,,
180,10/18/2014,8:00:00,82070,22.238,3.51,,,,
181,10/18/2014,8:15:00,82082,22.238,3.51,,,,
182,10/18/2014,8:30:00,82094,22.238,3.51,,,,
183,10/18/2014,8:45:00,82094,22.238,3.51,,,,
184,10/18/2014,9:00:00,82119,22.238,3.51,,,,
