Plot Title: EFJHV1 10499414 20170601,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, psi (LGR S/N: 10499414, SEN S/N: 10499414)","Temp, °F (LGR S/N: 10499414, SEN S/N: 10499414)"
1,10/23/2017,11:45:00,10.9689,55.537
2,10/23/2017,12:15:00,11.2385,42.179
3,10/23/2017,12:45:00,11.2317,41.994
4,10/23/2017,13:15:00,11.2301,41.994
5,10/23/2017,13:45:00,11.2255,41.994
6,10/23/2017,14:15:00,11.2227,42.179
7,10/23/2017,14:45:00,11.2211,42.179
8,10/23/2017,15:15:00,11.2211,42.179
9,10/23/2017,15:45:00,11.2179,42.179
10,10/23/2017,16:15:00,11.2195,42.179
11,10/23/2017,16:45:00,11.2179,42.179
12,10/23/2017,17:15:00,11.2201,42.363
13,10/23/2017,17:45:00,11.2201,42.363
14,10/23/2017,18:15:00,11.2248,42.363
15,10/23/2017,18:45:00,11.2311,42.363
16,10/23/2017,19:15:00,11.2358,42.363
17,10/23/2017,19:45:00,11.239,42.363
18,10/23/2017,20:15:00,11.2417,42.179
19,10/23/2017,20:45:00,11.2433,42.179
20,10/23/2017,21:15:00,11.2496,42.179
21,10/23/2017,21:45:00,11.2528,42.179
22,10/23/2017,22:15:00,11.2575,42.179
23,10/23/2017,22:45:00,11.2571,41.994
24,10/23/2017,23:15:00,11.2601,41.994
25,10/23/2017,23:45:00,11.2586,41.994
26,10/24/2017,0:15:00,11.2601,41.994
27,10/24/2017,0:45:00,11.2633,41.994
28,10/24/2017,1:15:00,11.2613,41.81
29,10/24/2017,1:45:00,11.2565,41.81
30,10/24/2017,2:15:00,11.2597,41.81
31,10/24/2017,2:45:00,11.2609,41.625
32,10/24/2017,3:15:00,11.2625,41.625
33,10/24/2017,3:45:00,11.2604,41.439
34,10/24/2017,4:15:00,11.262,41.439
35,10/24/2017,4:45:00,11.2631,41.254
36,10/24/2017,5:15:00,11.2646,41.254
37,10/24/2017,5:45:00,11.2631,41.254
38,10/24/2017,6:15:00,11.2642,41.067
39,10/24/2017,6:45:00,11.2658,41.067
40,10/24/2017,7:15:00,11.2654,40.881
41,10/24/2017,7:45:00,11.2716,40.881
42,10/24/2017,8:15:00,11.2728,40.696
43,10/24/2017,8:45:00,11.2791,40.696
44,10/24/2017,9:15:00,11.2776,40.696
45,10/24/2017,9:45:00,11.2744,40.696
46,10/24/2017,10:15:00,11.2712,40.696
47,10/24/2017,10:45:00,11.268,40.696
48,10/24/2017,11:15:00,11.2686,40.881
49,10/24/2017,11:45:00,11.2654,40.881
50,10/24/2017,12:15:00,11.261,41.067
51,10/24/2017,12:45:00,11.2564,41.067
52,10/24/2017,13:15:00,11.2504,41.254
53,10/24/2017,13:45:00,11.2426,41.254
54,10/24/2017,14:15:00,11.243,41.439
55,10/24/2017,14:45:00,11.2352,41.439
56,10/24/2017,15:15:00,11.2324,41.625
57,10/24/2017,15:45:00,11.2356,41.625
58,10/24/2017,16:15:00,11.2356,41.625
59,10/24/2017,16:45:00,11.2393,41.81
60,10/24/2017,17:15:00,11.2409,41.81
61,10/24/2017,17:45:00,11.2439,41.81
62,10/24/2017,18:15:00,11.2423,41.81
63,10/24/2017,18:45:00,11.2455,41.81
64,10/24/2017,19:15:00,11.2503,41.81
65,10/24/2017,19:45:00,11.2514,41.625
66,10/24/2017,20:15:00,11.2545,41.625
67,10/24/2017,20:45:00,11.2572,41.439
68,10/24/2017,21:15:00,11.2572,41.439
69,10/24/2017,21:45:00,11.2572,41.439
70,10/24/2017,22:15:00,11.26,41.254
71,10/24/2017,22:45:00,11.2616,41.254
72,10/24/2017,23:15:00,11.261,41.067
73,10/24/2017,23:45:00,11.2594,41.067
74,10/25/2017,0:15:00,11.2574,40.881
75,10/25/2017,0:45:00,11.2559,40.881
76,10/25/2017,1:15:00,11.2559,40.881
77,10/25/2017,1:45:00,11.2538,40.696
78,10/25/2017,2:15:00,11.2523,40.696
79,10/25/2017,2:45:00,11.2503,40.509
80,10/25/2017,3:15:00,11.2471,40.509
81,10/25/2017,3:45:00,11.2455,40.509
82,10/25/2017,4:15:00,11.2471,40.509
83,10/25/2017,4:45:00,11.2419,40.321
84,10/25/2017,5:15:00,11.2403,40.321
85,10/25/2017,5:45:00,11.2387,40.321
86,10/25/2017,6:15:00,11.2382,40.134
87,10/25/2017,6:45:00,11.2351,40.134
88,10/25/2017,7:15:00,11.2319,40.134
89,10/25/2017,7:45:00,11.2319,40.134
90,10/25/2017,8:15:00,11.2351,40.134
91,10/25/2017,8:45:00,11.2335,40.134
92,10/25/2017,9:15:00,11.2378,39.947
93,10/25/2017,9:45:00,11.2335,40.134
94,10/25/2017,10:15:00,11.2288,40.134
95,10/25/2017,10:45:00,11.2208,40.134
96,10/25/2017,11:15:00,11.2192,40.134
97,10/25/2017,11:45:00,11.215,40.321
98,10/25/2017,12:15:00,11.2107,40.509
99,10/25/2017,12:45:00,11.2013,40.509
100,10/25/2017,13:15:00,11.1923,40.696
101,10/25/2017,13:45:00,11.1812,40.696
102,10/25/2017,14:15:00,11.1733,40.696
103,10/25/2017,14:45:00,11.1675,40.881
104,10/25/2017,15:15:00,11.1643,40.881
105,10/25/2017,15:45:00,11.1611,40.881
106,10/25/2017,16:15:00,11.1579,40.881
107,10/25/2017,16:45:00,11.1537,41.067
108,10/25/2017,17:15:00,11.1505,41.067
109,10/25/2017,17:45:00,11.1489,41.067
110,10/25/2017,18:15:00,11.1473,41.067
111,10/25/2017,18:45:00,11.1443,41.067
112,10/25/2017,19:15:00,11.1459,41.067
113,10/25/2017,19:45:00,11.1443,41.067
114,10/25/2017,20:15:00,11.1411,41.067
115,10/25/2017,20:45:00,11.139,40.881
116,10/25/2017,21:15:00,11.1422,40.881
117,10/25/2017,21:45:00,11.1402,40.696
118,10/25/2017,22:15:00,11.1386,40.696
119,10/25/2017,22:45:00,11.135,40.509
120,10/25/2017,23:15:00,11.1318,40.509
121,10/25/2017,23:45:00,11.1234,40.321
122,10/26/2017,0:15:00,11.1203,40.321
123,10/26/2017,0:45:00,11.1155,40.321
124,10/26/2017,1:15:00,11.1108,40.321
125,10/26/2017,1:45:00,11.1103,40.134
126,10/26/2017,2:15:00,11.1071,40.134
127,10/26/2017,2:45:00,11.1087,40.134
128,10/26/2017,3:15:00,11.1041,40.134
