"Plot Title: EFJHV1 10499414 20190724"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499414, SEN S/N: 10499414)","Temp, °C (LGR S/N: 10499414, SEN S/N: 10499414)","Coupler Detached (LGR S/N: 10499414)","End Of File (LGR S/N: 10499414)"
1,07/24/19 10:00:00 AM,76621,26.585,Logged,
2,07/24/19 10:15:00 AM,77297,16.713,,
3,07/24/19 10:30:00 AM,77267,16.141,,
4,07/24/19 10:45:00 AM,77271,15.951,,
5,07/24/19 11:00:00 AM,77279,15.855,,
6,07/24/19 11:15:00 AM,77240,15.664,,
7,07/24/19 11:30:00 AM,77226,15.569,,
8,07/24/19 11:45:00 AM,77212,15.473,,
9,07/24/19 12:00:00 PM,77220,15.378,,
10,07/24/19 12:15:00 PM,77209,15.378,,
11,07/24/19 12:30:00 PM,77195,15.282,,
12,07/24/19 12:45:00 PM,77180,15.187,,
13,07/24/19 01:00:00 PM,77170,15.187,,
14,07/24/19 01:15:00 PM,77191,15.187,,
15,07/24/19 01:30:00 PM,77439,15.091,,
16,07/24/19 01:45:00 PM,77418,15.091,,
17,07/24/19 02:00:00 PM,77407,15.091,,
18,07/24/19 02:15:00 PM,77374,15.091,,
19,07/24/19 02:30:00 PM,77338,14.996,,
20,07/24/19 02:45:00 PM,77316,14.996,,
21,07/24/19 03:00:00 PM,77302,14.900,,
22,07/24/19 03:15:00 PM,77258,14.900,,
23,07/24/19 03:30:00 PM,77269,14.900,,
24,07/24/19 03:45:00 PM,77244,14.804,,
25,07/24/19 04:00:00 PM,77244,14.804,,
26,07/24/19 04:15:00 PM,77233,14.804,,
27,07/24/19 04:30:00 PM,77222,14.804,,
28,07/24/19 04:45:00 PM,77233,14.804,,
29,07/24/19 05:00:00 PM,77197,14.709,,
30,07/24/19 05:15:00 PM,77230,14.709,,
31,07/24/19 05:30:00 PM,77219,14.709,,
32,07/24/19 05:45:00 PM,77197,14.709,,
33,07/24/19 06:00:00 PM,77219,14.709,,
34,07/24/19 06:15:00 PM,77241,14.709,,
35,07/24/19 06:30:00 PM,77252,14.709,,
36,07/24/19 06:45:00 PM,77241,14.709,,
37,07/24/19 07:00:00 PM,77263,14.709,,
38,07/24/19 07:15:00 PM,77252,14.709,,
39,07/24/19 07:30:00 PM,77252,14.709,,
40,07/24/19 07:45:00 PM,77263,14.709,,
41,07/24/19 08:00:00 PM,77263,14.709,,
42,07/24/19 08:15:00 PM,77252,14.709,,
43,07/24/19 08:30:00 PM,77263,14.709,,
44,07/24/19 08:45:00 PM,77274,14.709,,
