"Plot Title: HiddenValleyII20190724"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1028729, SEN S/N: 1028729)","Temp, °C (LGR S/N: 1028729, SEN S/N: 1028729)","Coupler Detached (LGR S/N: 1028729)","End Of File (LGR S/N: 1028729)"
1,07/24/19 10:00:00 AM,76558,24.738,Logged,
2,07/24/19 10:15:00 AM,77086,16.618,,
3,07/24/19 10:30:00 AM,77088,16.141,,
4,07/24/19 10:45:00 AM,77083,15.951,,
5,07/24/19 11:00:00 AM,77080,15.855,,
6,07/24/19 11:15:00 AM,77059,15.664,,
7,07/24/19 11:30:00 AM,77041,15.569,,
8,07/24/19 11:45:00 AM,77054,15.473,,
9,07/24/19 12:00:00 PM,77035,15.378,,
10,07/24/19 12:15:00 PM,77019,15.378,,
11,07/24/19 12:30:00 PM,77017,15.282,,
12,07/24/19 12:45:00 PM,76998,15.187,,
13,07/24/19 01:00:00 PM,76982,15.187,,
14,07/24/19 01:15:00 PM,77014,15.187,,
15,07/24/19 01:30:00 PM,77250,15.091,,
16,07/24/19 01:45:00 PM,77250,15.091,,
17,07/24/19 02:00:00 PM,77218,15.091,,
18,07/24/19 02:15:00 PM,77170,15.091,,
19,07/24/19 02:30:00 PM,77152,14.996,,
20,07/24/19 02:45:00 PM,77120,14.996,,
21,07/24/19 03:00:00 PM,77101,14.900,,
22,07/24/19 03:15:00 PM,77054,14.900,,
23,07/24/19 03:30:00 PM,77086,14.900,,
24,07/24/19 03:45:00 PM,77054,14.900,,
25,07/24/19 04:00:00 PM,77051,14.804,,
26,07/24/19 04:15:00 PM,77051,14.804,,
27,07/24/19 04:30:00 PM,77035,14.804,,
28,07/24/19 04:45:00 PM,77035,14.804,,
29,07/24/19 05:00:00 PM,77019,14.804,,
30,07/24/19 05:15:00 PM,77035,14.804,,
31,07/24/19 05:30:00 PM,77049,14.709,,
32,07/24/19 05:45:00 PM,77017,14.709,,
33,07/24/19 06:00:00 PM,77033,14.709,,
