"Plot Title: East Fork Jemez River "
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Batt, V (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Host Connected (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,04/15/08 10:00:18 PM,82965,25.125,3.51,,,,,
2,04/15/08 10:01:31 PM,,,,Logged,,,,
3,04/15/08 10:10:18 PM,82974,26.000,3.54,,,,,
4,04/15/08 10:20:18 PM,82953,25.610,3.54,,,,,
5,04/15/08 10:30:18 PM,82932,25.222,3.54,,,,,
6,04/15/08 10:40:18 PM,82933,24.931,3.57,,,,,
7,04/15/08 10:50:18 PM,82923,24.545,3.57,,,,,
8,04/15/08 11:00:18 PM,82946,24.255,3.57,,,,,
9,04/15/08 11:10:18 PM,82925,24.062,3.57,,,,,
10,04/15/08 11:20:18 PM,82915,23.773,3.57,,,,,
11,04/15/08 11:30:18 PM,82926,23.581,3.57,,,,,
12,04/15/08 11:40:18 PM,82959,23.388,3.57,,,,,
13,04/15/08 11:50:18 PM,82938,23.196,3.57,,,,,
14,04/16/08 12:00:18 AM,82971,23.100,3.57,,,,,
15,04/16/08 12:10:18 AM,82983,22.908,3.57,,,,,
16,04/16/08 12:20:18 AM,82972,22.812,3.54,,,,,
17,04/16/08 12:30:18 AM,82983,22.621,3.54,,,,,
18,04/16/08 12:40:18 AM,83006,22.525,3.54,,,,,
19,04/16/08 12:50:18 AM,82995,22.429,3.54,,,,,
20,04/16/08 01:00:18 AM,83006,22.333,3.54,,,,,
21,04/16/08 01:10:18 AM,83006,22.238,3.54,,,,,
22,04/16/08 01:20:18 AM,83007,22.142,3.54,,,,,
23,04/16/08 01:30:18 AM,83007,22.046,3.54,,,,,
24,04/16/08 01:40:18 AM,82996,21.951,3.54,,,,,
25,04/16/08 01:50:18 AM,82996,21.951,3.54,,,,,
26,04/16/08 02:00:18 AM,82986,21.855,3.54,,,,,
27,04/16/08 02:10:18 AM,82975,21.760,3.54,,,,,
28,04/16/08 02:20:18 AM,82975,21.760,3.54,,,,,
29,04/16/08 02:30:18 AM,82986,21.664,3.54,,,,,
30,04/16/08 02:40:18 AM,82965,21.569,3.54,,,,,
31,04/16/08 02:50:18 AM,82932,21.569,3.54,,,,,
32,04/16/08 03:00:18 AM,82954,21.473,3.54,,,,,
33,04/16/08 03:10:18 AM,82954,21.473,3.54,,,,,
34,04/16/08 03:20:18 AM,82954,21.378,3.54,,,,,
35,04/16/08 03:30:18 AM,82944,21.282,3.54,,,,,
36,04/16/08 03:40:18 AM,82955,21.282,3.54,,,,,
37,04/16/08 03:50:18 AM,82944,21.282,3.54,,,,,
38,04/16/08 04:00:18 AM,82944,21.187,3.54,,,,,
39,04/16/08 04:10:18 AM,82955,21.187,3.54,,,,,
40,04/16/08 04:20:18 AM,82966,21.091,3.54,,,,,
41,04/16/08 04:30:18 AM,82966,21.091,3.54,,,,,
42,04/16/08 04:40:18 AM,82966,20.996,3.54,,,,,
43,04/16/08 04:50:18 AM,82966,20.996,3.54,,,,,
44,04/16/08 05:00:18 AM,82966,20.996,3.54,,,,,
45,04/16/08 05:10:18 AM,82945,20.901,3.54,,,,,
46,04/16/08 05:20:18 AM,82989,20.901,3.54,,,,,
47,04/16/08 05:30:18 AM,82956,20.805,3.54,,,,,
48,04/16/08 05:40:18 AM,82967,20.805,3.54,,,,,
49,04/16/08 05:50:18 AM,82989,20.805,3.54,,,,,
50,04/16/08 06:00:18 AM,82978,20.710,3.54,,,,,
51,04/16/08 06:10:18 AM,82989,20.710,3.54,,,,,
52,04/16/08 06:20:18 AM,82989,20.710,3.54,,,,,
53,04/16/08 06:30:18 AM,82979,20.615,3.54,,,,,
54,04/16/08 06:40:18 AM,82979,20.519,3.54,,,,,
55,04/16/08 06:50:18 AM,83001,20.424,3.54,,,,,
56,04/16/08 07:00:18 AM,83001,20.424,3.54,,,,,
57,04/16/08 07:10:18 AM,82979,20.424,3.54,,,,,
58,04/16/08 07:20:18 AM,83001,20.329,3.54,,,,,
59,04/16/08 07:30:18 AM,83921,20.043,3.54,,,,,
60,04/16/08 07:40:18 AM,82938,19.567,3.54,,,,,
61,04/16/08 07:50:18 AM,82710,19.282,3.54,,,,,
62,04/16/08 08:00:18 AM,82219,18.996,3.54,,,,,
63,04/16/08 08:10:18 AM,81662,18.806,3.54,,,,,
64,04/16/08 08:20:18 AM,80329,18.616,3.54,,,,,
65,04/16/08 08:30:18 AM,80209,18.426,3.54,,,,,
66,04/16/08 08:40:18 AM,80199,18.236,3.54,,,,,
67,04/16/08 08:50:18 AM,80178,18.045,3.54,,,,,
68,04/16/08 09:00:18 AM,80158,17.665,3.54,,,,,
69,04/16/08 09:10:18 AM,80161,16.903,3.54,,,,,
