"Plot Title: East Fork Jemez River "
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Batt, V (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,04/24/08 09:04:29 AM,80548,21.569,3.51,,
2,04/24/08 09:04:40 AM,,,,Logged,
3,04/24/08 09:14:29 AM,80565,22.717,3.51,,
4,04/24/08 09:24:29 AM,79264,22.525,3.54,,
5,04/24/08 09:34:29 AM,74923,22.238,3.54,,
6,04/24/08 09:44:29 AM,73591,21.760,3.54,,
7,04/24/08 09:54:29 AM,73965,21.378,3.54,,
8,04/24/08 10:04:29 AM,73968,20.805,3.54,,
9,04/24/08 10:14:29 AM,73941,19.567,3.54,,
10,04/24/08 10:24:29 AM,74186,16.618,3.54,,
11,04/24/08 10:34:29 AM,74189,18.236,3.54,,
12,04/24/08 10:44:29 AM,74241,20.805,3.51,,
13,04/24/08 10:54:29 AM,74268,24.351,3.54,,
14,04/24/08 11:04:29 AM,74297,27.665,3.54,,
15,04/24/08 11:14:29 AM,74253,30.054,3.54,,
16,04/24/08 11:24:29 AM,77787,20.043,3.57,,
17,04/24/08 11:34:29 AM,77765,8.680,3.51,,
18,04/24/08 11:44:29 AM,77813,7.882,3.51,,
19,04/24/08 11:54:29 AM,77835,7.782,3.51,,
20,04/24/08 12:04:29 PM,77814,7.682,3.51,,
21,04/24/08 12:14:29 PM,77792,7.682,3.48,,
22,04/24/08 12:24:29 PM,77803,7.682,3.48,,
23,04/24/08 12:34:29 PM,77793,7.582,3.48,,
24,04/24/08 12:44:29 PM,77760,7.582,3.48,,
25,04/24/08 12:54:29 PM,77793,7.582,3.48,,
26,04/24/08 01:04:29 PM,77728,7.481,3.48,,
27,04/24/08 01:14:29 PM,77782,7.481,3.48,,
28,04/24/08 01:24:29 PM,77760,7.481,3.48,,
29,04/24/08 01:34:29 PM,77793,7.481,3.48,,
30,04/24/08 01:44:29 PM,77739,7.381,3.48,,
31,04/24/08 01:54:29 PM,77750,7.381,3.48,,
32,04/24/08 02:04:29 PM,77761,7.381,3.48,,
33,04/24/08 02:14:29 PM,77772,7.381,3.48,,
34,04/24/08 02:24:29 PM,77761,7.381,3.48,,
35,04/24/08 02:34:29 PM,77728,7.381,3.48,,
36,04/24/08 02:44:29 PM,77706,7.381,3.48,,
37,04/24/08 02:54:29 PM,77750,7.381,3.48,,
38,04/24/08 03:04:29 PM,77707,7.280,3.48,,
39,04/24/08 03:14:29 PM,77707,7.280,3.48,,
40,04/24/08 03:24:29 PM,77696,7.280,3.48,,
41,04/24/08 03:34:29 PM,77674,7.280,3.48,,
42,04/24/08 03:44:29 PM,77685,7.280,3.48,,
43,04/24/08 03:54:29 PM,77663,7.280,3.48,,
44,04/24/08 04:04:29 PM,77696,7.280,3.48,,
45,04/24/08 04:14:29 PM,77653,7.280,3.48,,
46,04/24/08 04:24:29 PM,77685,7.280,3.48,,
47,04/24/08 04:34:29 PM,77663,7.381,3.48,,
48,04/24/08 04:44:29 PM,77663,7.381,3.48,,
49,04/24/08 04:54:29 PM,77652,7.381,3.48,,
50,04/24/08 05:04:29 PM,77663,7.381,3.48,,
51,04/24/08 05:14:29 PM,77674,7.381,3.48,,
52,04/24/08 05:24:29 PM,77706,7.381,3.48,,
53,04/24/08 05:34:29 PM,77717,7.381,3.48,,
54,04/24/08 05:44:29 PM,77685,7.381,3.48,,
55,04/24/08 05:54:29 PM,77663,7.381,3.48,,
56,04/24/08 06:04:29 PM,77673,7.481,3.48,,
57,04/24/08 06:14:29 PM,77673,7.481,3.48,,
58,04/24/08 06:24:29 PM,77706,7.481,3.48,,
59,04/24/08 06:34:29 PM,77673,7.481,3.48,,
60,04/24/08 06:44:29 PM,77662,7.481,3.48,,
