"Plot Title: East Fork Jemez River - 2009"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,11/04/09 11:19:29 AM,77709,3.049,Logged,,,
2,11/04/09 11:34:29 AM,77676,3.155,,,,
3,11/04/09 11:49:29 AM,77643,3.155,,,,
4,11/04/09 12:04:29 PM,77653,3.261,,,,
5,11/04/09 12:19:29 PM,77653,3.261,,,,
6,11/04/09 12:34:29 PM,77708,3.261,,,,
7,11/04/09 12:49:29 PM,77740,3.261,,,,
8,11/04/09 01:04:29 PM,77795,3.261,,,,
9,11/04/09 01:19:29 PM,77805,3.367,,,,
10,11/04/09 01:34:29 PM,77805,3.367,,,,
11,11/04/09 01:49:29 PM,77794,3.367,,,,
12,11/04/09 02:04:29 PM,77772,3.367,,,,
13,11/04/09 02:19:29 PM,77729,3.367,,,,
14,11/04/09 02:34:29 PM,77685,3.367,,,,
15,11/04/09 02:49:29 PM,77663,3.367,,,,
16,11/04/09 03:04:29 PM,77641,3.472,,,,
17,11/04/09 03:19:29 PM,77630,3.472,,,,
18,11/04/09 03:34:29 PM,77597,3.472,,,,
19,11/04/09 03:49:29 PM,77608,3.472,,,,
20,11/04/09 04:04:29 PM,77587,3.472,,,,
21,11/04/09 04:19:29 PM,77565,3.472,,,,
22,11/04/09 04:34:29 PM,77565,3.472,,,,
23,11/04/09 04:49:29 PM,77576,3.472,,,,
24,11/04/09 05:04:29 PM,77565,3.472,,,,
25,11/04/09 05:19:29 PM,77565,3.472,,,,
26,11/04/09 05:34:29 PM,77576,3.472,,,,
27,11/04/09 05:49:29 PM,77597,3.472,,,,
28,11/04/09 06:04:29 PM,77587,3.472,,,,
29,11/04/09 06:19:29 PM,77576,3.472,,,,
30,11/04/09 06:34:29 PM,77608,3.578,,,,
31,11/04/09 06:49:29 PM,77597,3.578,,,,
32,11/04/09 07:04:29 PM,77630,3.578,,,,
33,11/04/09 07:19:29 PM,77619,3.578,,,,
34,11/04/09 07:34:29 PM,77630,3.578,,,,
35,11/04/09 07:49:29 PM,77619,3.578,,,,
36,11/04/09 08:04:29 PM,77619,3.578,,,,
37,11/04/09 08:19:29 PM,77619,3.578,,,,
38,11/04/09 08:34:29 PM,77619,3.578,,,,
39,11/04/09 08:49:29 PM,77608,3.578,,,,
40,11/04/09 09:04:29 PM,77629,3.683,,,,
41,11/04/09 09:19:29 PM,77629,3.683,,,,
42,11/04/09 09:34:29 PM,77673,3.683,,,,
43,11/04/09 09:49:29 PM,77662,3.683,,,,
44,11/04/09 10:04:29 PM,77651,3.683,,,,
45,11/04/09 10:19:29 PM,77673,3.683,,,,
46,11/04/09 10:34:29 PM,77662,3.683,,,,
47,11/04/09 10:49:29 PM,77683,3.683,,,,
48,11/04/09 11:04:29 PM,77673,3.683,,,,
49,11/04/09 11:19:29 PM,77661,3.788,,,,
50,11/04/09 11:34:29 PM,77683,3.788,,,,
51,11/04/09 11:49:29 PM,77661,3.788,,,,
52,11/05/09 12:04:29 AM,77683,3.788,,,,
53,11/05/09 12:19:29 AM,77661,3.788,,,,
54,11/05/09 12:34:29 AM,77650,3.788,,,,
55,11/05/09 12:49:29 AM,77672,3.788,,,,
56,11/05/09 01:04:29 AM,77650,3.788,,,,
57,11/05/09 01:19:29 AM,77672,3.788,,,,
58,11/05/09 01:34:29 AM,77672,3.788,,,,
59,11/05/09 01:49:29 AM,77683,3.788,,,,
