"Plot Title: East Fork Jemez River - 12_2010"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,03/17/11 10:00:00 AM,76460,2.410,Logged,,,
2,03/17/11 10:30:00 AM,76429,2.195,,,,
3,03/17/11 11:00:00 AM,76418,2.195,,,,
4,03/17/11 11:30:00 AM,76406,2.303,,,,
5,03/17/11 12:00:00 PM,76341,2.303,,,,
6,03/17/11 12:30:00 PM,76308,2.410,,,,
7,03/17/11 01:00:00 PM,76274,2.517,,,,
8,03/17/11 01:30:00 PM,76253,2.517,,,,
9,03/17/11 02:00:00 PM,76219,2.624,,,,
10,03/17/11 02:30:00 PM,76132,2.730,,,,
11,03/17/11 03:00:00 PM,76131,2.837,,,,
12,03/17/11 03:30:00 PM,76130,2.943,,,,
13,03/17/11 04:00:00 PM,76151,3.049,,,,
14,03/17/11 04:30:00 PM,76119,3.049,,,,
15,03/17/11 05:00:00 PM,76118,3.155,,,,
16,03/17/11 05:30:00 PM,76117,3.261,,,,
17,03/17/11 06:00:00 PM,76139,3.261,,,,
18,03/17/11 06:30:00 PM,76171,3.367,,,,
19,03/17/11 07:00:00 PM,76258,3.367,,,,
20,03/17/11 07:30:00 PM,76345,3.367,,,,
21,03/17/11 08:00:00 PM,76411,3.367,,,,
22,03/17/11 08:30:00 PM,76465,3.367,,,,
23,03/17/11 09:00:00 PM,76486,3.472,,,,
24,03/17/11 09:30:00 PM,76519,3.472,,,,
25,03/17/11 10:00:00 PM,76563,3.472,,,,
26,03/17/11 10:30:00 PM,76552,3.472,,,,
27,03/17/11 11:00:00 PM,76541,3.472,,,,
28,03/17/11 11:30:00 PM,76541,3.472,,,,
29,03/18/11 12:00:00 AM,76530,3.472,,,,
30,03/18/11 12:30:00 AM,76508,3.472,,,,
31,03/18/11 01:00:00 AM,76498,3.367,,,,
32,03/18/11 01:30:00 AM,76509,3.367,,,,
33,03/18/11 02:00:00 AM,76509,3.367,,,,
34,03/18/11 02:30:00 AM,76487,3.367,,,,
35,03/18/11 03:00:00 AM,76466,3.261,,,,
36,03/18/11 03:30:00 AM,76466,3.261,,,,
37,03/18/11 04:00:00 AM,76488,3.261,,,,
38,03/18/11 04:30:00 AM,76467,3.155,,,,
39,03/18/11 05:00:00 AM,76499,3.155,,,,
40,03/18/11 05:30:00 AM,76511,3.049,,,,
41,03/18/11 06:00:00 AM,76533,3.049,,,,
42,03/18/11 06:30:00 AM,76555,2.943,,,,
43,03/18/11 07:00:00 AM,76577,2.837,,,,
44,03/18/11 07:30:00 AM,76588,2.837,,,,
45,03/18/11 08:00:00 AM,76578,2.730,,,,
46,03/18/11 08:30:00 AM,76556,2.730,,,,
47,03/18/11 09:00:00 AM,76589,2.730,,,,
48,03/18/11 09:30:00 AM,76590,2.624,,,,
