"Plot Title: East Fork Jemez River - lower"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,08/28/13 09:15:00 AM,76387,15.664,Logged,,,
2,08/28/13 09:30:00 AM,76547,14.134,,,,
3,08/28/13 09:45:00 AM,76558,14.134,,,,
4,08/28/13 10:00:00 AM,76558,14.134,,,,
5,08/28/13 10:15:00 AM,76547,14.230,,,,
6,08/28/13 10:30:00 AM,76547,14.230,,,,
7,08/28/13 10:45:00 AM,76547,14.230,,,,
8,08/28/13 11:00:00 AM,76558,14.230,,,,
9,08/28/13 11:15:00 AM,76547,14.230,,,,
10,08/28/13 11:30:00 AM,76546,14.325,,,,
11,08/28/13 11:45:00 AM,76536,14.325,,,,
12,08/28/13 12:00:00 PM,76546,14.325,,,,
13,08/28/13 12:15:00 PM,76525,14.325,,,,
14,08/28/13 12:30:00 PM,76536,14.325,,,,
15,08/28/13 12:45:00 PM,76525,14.325,,,,
16,08/28/13 01:00:00 PM,76503,14.325,,,,
17,08/28/13 01:15:00 PM,76492,14.325,,,,
18,08/28/13 01:30:00 PM,76502,14.421,,,,
19,08/28/13 01:45:00 PM,76513,14.421,,,,
20,08/28/13 02:00:00 PM,76491,14.421,,,,
21,08/28/13 02:15:00 PM,76480,14.421,,,,
22,08/28/13 02:30:00 PM,76470,14.421,,,,
23,08/28/13 02:45:00 PM,76448,14.421,,,,
24,08/28/13 03:00:00 PM,76447,14.517,,,,
25,08/28/13 03:15:00 PM,76458,14.517,,,,
26,08/28/13 03:30:00 PM,76436,14.517,,,,
27,08/28/13 03:45:00 PM,76404,14.517,,,,
28,08/28/13 04:00:00 PM,76382,14.517,,,,
29,08/28/13 04:15:00 PM,76392,14.613,,,,
30,08/28/13 04:30:00 PM,76381,14.613,,,,
31,08/28/13 04:45:00 PM,76392,14.613,,,,
32,08/28/13 05:00:00 PM,76392,14.613,,,,
33,08/28/13 05:15:00 PM,76381,14.709,,,,
34,08/28/13 05:30:00 PM,76381,14.709,,,,
35,08/28/13 05:45:00 PM,76403,14.709,,,,
36,08/28/13 06:00:00 PM,76391,14.804,,,,
37,08/28/13 06:15:00 PM,76380,14.804,,,,
38,08/28/13 06:30:00 PM,76402,14.804,,,,
39,08/28/13 06:45:00 PM,76391,14.804,,,,
40,08/28/13 07:00:00 PM,76413,14.900,,,,
41,08/28/13 07:15:00 PM,76423,14.900,,,,
42,08/28/13 07:30:00 PM,76456,14.900,,,,
43,08/28/13 07:45:00 PM,76445,14.900,,,,
44,08/28/13 08:00:00 PM,76467,14.996,,,,
45,08/28/13 08:15:00 PM,76499,14.996,,,,
46,08/28/13 08:30:00 PM,76478,14.996,,,,
47,08/28/13 08:45:00 PM,76499,14.996,,,,
48,08/28/13 09:00:00 PM,76510,15.091,,,,
49,08/28/13 09:15:00 PM,76543,15.091,,,,
50,08/28/13 09:30:00 PM,76543,15.091,,,,
51,08/28/13 09:45:00 PM,76543,15.091,,,,
52,08/28/13 10:00:00 PM,76564,15.091,,,,
53,08/28/13 10:15:00 PM,76586,15.091,,,,
54,08/28/13 10:30:00 PM,76608,15.091,,,,
55,08/28/13 10:45:00 PM,76619,15.091,,,,
56,08/28/13 11:00:00 PM,76630,15.091,,,,
57,08/28/13 11:15:00 PM,76641,15.091,,,,
58,08/28/13 11:30:00 PM,76652,15.091,,,,
59,08/28/13 11:45:00 PM,76663,15.091,,,,
60,08/29/13 12:00:00 AM,76663,15.091,,,,
61,08/29/13 12:15:00 AM,76663,15.091,,,,
62,08/29/13 12:30:00 AM,76663,15.091,,,,
63,08/29/13 12:45:00 AM,76663,15.091,,,,
64,08/29/13 01:00:00 AM,76652,15.091,,,,
65,08/29/13 01:15:00 AM,76652,15.091,,,,
66,08/29/13 01:30:00 AM,76641,15.091,,,,
67,08/29/13 01:45:00 AM,76652,15.091,,,,
68,08/29/13 02:00:00 AM,76630,15.091,,,,
69,08/29/13 02:15:00 AM,76630,15.091,,,,
70,08/29/13 02:30:00 AM,76630,15.091,,,,
71,08/29/13 02:45:00 AM,76630,15.091,,,,
72,08/29/13 03:00:00 AM,76619,15.091,,,,
73,08/29/13 03:15:00 AM,76619,15.091,,,,
74,08/29/13 03:30:00 AM,76620,14.996,,,,
75,08/29/13 03:45:00 AM,76630,14.996,,,,
76,08/29/13 04:00:00 AM,76609,14.996,,,,
77,08/29/13 04:15:00 AM,76609,14.996,,,,
78,08/29/13 04:30:00 AM,76587,14.996,,,,
79,08/29/13 04:45:00 AM,76631,14.900,,,,
80,08/29/13 05:00:00 AM,76631,14.900,,,,
81,08/29/13 05:15:00 AM,76599,14.804,,,,
82,08/29/13 05:30:00 AM,76620,14.804,,,,
83,08/29/13 05:45:00 AM,76632,14.709,,,,
84,08/29/13 06:00:00 AM,76632,14.709,,,,
85,08/29/13 06:15:00 AM,76632,14.709,,,,
86,08/29/13 06:30:00 AM,76643,14.613,,,,
87,08/29/13 06:45:00 AM,76643,14.613,,,,
88,08/29/13 07:00:00 AM,76643,14.613,,,,
89,08/29/13 07:15:00 AM,76643,14.613,,,,
90,08/29/13 07:30:00 AM,76644,14.517,,,,
91,08/29/13 07:45:00 AM,76677,14.517,,,,
92,08/29/13 08:00:00 AM,76666,14.517,,,,
93,08/29/13 08:15:00 AM,76687,14.517,,,,
94,08/29/13 08:30:00 AM,76687,14.517,,,,
95,08/29/13 08:45:00 AM,76698,14.517,,,,
96,08/29/13 09:00:00 AM,76698,14.517,,,,
97,08/29/13 09:15:00 AM,76709,14.517,,,,
98,08/29/13 09:30:00 AM,76709,14.517,,,,
99,08/29/13 09:45:00 AM,76687,14.517,,,,
100,08/29/13 10:00:00 AM,76687,14.517,,,,
101,08/29/13 10:15:00 AM,76709,14.517,,,,
102,08/29/13 10:30:00 AM,76709,14.517,,,,
103,08/29/13 10:45:00 AM,76698,14.517,,,,
104,08/29/13 11:00:00 AM,76687,14.517,,,,
105,08/29/13 11:15:00 AM,76687,14.517,,,,
106,08/29/13 11:30:00 AM,76677,14.517,,,,
107,08/29/13 11:45:00 AM,76676,14.613,,,,
108,08/29/13 12:00:00 PM,76654,14.613,,,,
109,08/29/13 12:15:00 PM,76654,14.613,,,,
110,08/29/13 12:30:00 PM,76632,14.613,,,,
111,08/29/13 12:45:00 PM,76632,14.613,,,,
112,08/29/13 01:00:00 PM,76600,14.613,,,,
113,08/29/13 01:15:00 PM,76600,14.613,,,,
114,08/29/13 01:30:00 PM,76589,14.613,,,,
115,08/29/13 01:45:00 PM,76578,14.613,,,,
116,08/29/13 02:00:00 PM,76567,14.613,,,,
117,08/29/13 02:15:00 PM,76545,14.613,,,,
118,08/29/13 02:30:00 PM,76534,14.613,,,,
119,08/29/13 02:45:00 PM,76534,14.613,,,,
120,08/29/13 03:00:00 PM,76501,14.613,,,,
121,08/29/13 03:15:00 PM,76490,14.613,,,,
122,08/29/13 03:30:00 PM,76458,14.613,,,,
123,08/29/13 03:45:00 PM,76458,14.613,,,,
124,08/29/13 04:00:00 PM,76469,14.613,,,,
125,08/29/13 04:15:00 PM,76458,14.613,,,,
126,08/29/13 04:30:00 PM,76457,14.709,,,,
127,08/29/13 04:45:00 PM,76457,14.709,,,,
128,08/29/13 05:00:00 PM,76457,14.709,,,,
129,08/29/13 05:15:00 PM,76435,14.709,,,,
130,08/29/13 05:30:00 PM,76457,14.804,,,,
131,08/29/13 05:45:00 PM,76446,14.804,,,,
132,08/29/13 06:00:00 PM,76457,14.804,,,,
133,08/29/13 06:15:00 PM,76468,14.804,,,,
134,08/29/13 06:30:00 PM,76456,14.900,,,,
135,08/29/13 06:45:00 PM,76456,14.900,,,,
136,08/29/13 07:00:00 PM,76456,14.900,,,,
137,08/29/13 07:15:00 PM,76489,14.900,,,,
138,08/29/13 07:30:00 PM,76489,14.996,,,,
139,08/29/13 07:45:00 PM,76510,14.996,,,,
140,08/29/13 08:00:00 PM,76521,14.996,,,,
141,08/29/13 08:15:00 PM,76554,14.996,,,,
142,08/29/13 08:30:00 PM,76564,15.091,,,,
143,08/29/13 08:45:00 PM,76575,15.091,,,,
144,08/29/13 09:00:00 PM,76597,15.091,,,,
145,08/29/13 09:15:00 PM,76608,15.091,,,,
146,08/29/13 09:30:00 PM,76630,15.091,,,,
147,08/29/13 09:45:00 PM,76630,15.091,,,,
148,08/29/13 10:00:00 PM,76641,15.091,,,,
149,08/29/13 10:15:00 PM,76630,15.187,,,,
