"Plot Title: East Fork Jemez River - hidvall"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,11/09/13 10:00:00 AM,76765,0.674,Logged,,,
2,11/09/13 10:30:00 AM,76794,1.221,,,,
3,11/09/13 11:00:00 AM,76868,1.656,,,,
4,11/09/13 11:30:00 AM,76921,1.872,,,,
5,11/09/13 12:00:00 PM,76930,2.195,,,,
6,11/09/13 12:30:00 PM,76918,2.410,,,,
7,11/09/13 01:00:00 PM,76917,2.517,,,,
8,11/09/13 01:30:00 PM,76895,2.624,,,,
9,11/09/13 02:00:00 PM,76905,2.624,,,,
10,11/09/13 02:30:00 PM,76883,2.730,,,,
11,11/09/13 03:00:00 PM,76893,2.837,,,,
12,11/09/13 03:30:00 PM,76860,2.943,,,,
13,11/09/13 04:00:00 PM,76860,2.943,,,,
14,11/09/13 04:30:00 PM,76882,2.943,,,,
15,11/09/13 05:00:00 PM,76904,2.943,,,,
16,11/09/13 05:30:00 PM,76914,2.943,,,,
17,11/09/13 06:00:00 PM,76958,2.943,,,,
18,11/09/13 06:30:00 PM,76979,3.049,,,,
19,11/09/13 07:00:00 PM,77001,3.049,,,,
20,11/09/13 07:30:00 PM,76990,3.049,,,,
21,11/09/13 08:00:00 PM,77012,3.049,,,,
22,11/09/13 08:30:00 PM,77044,3.049,,,,
23,11/09/13 09:00:00 PM,77055,3.049,,,,
24,11/09/13 09:30:00 PM,77055,3.049,,,,
25,11/09/13 10:00:00 PM,77066,3.155,,,,
26,11/09/13 10:30:00 PM,77099,3.049,,,,
27,11/09/13 11:00:00 PM,77099,3.049,,,,
28,11/09/13 11:30:00 PM,77099,3.049,,,,
29,11/10/13 12:00:00 AM,77077,3.155,,,,
30,11/10/13 12:30:00 AM,77066,3.155,,,,
31,11/10/13 01:00:00 AM,77077,3.155,,,,
32,11/10/13 01:30:00 AM,77055,3.155,,,,
33,11/10/13 02:00:00 AM,77055,3.155,,,,
34,11/10/13 02:30:00 AM,77033,3.155,,,,
35,11/10/13 03:00:00 AM,77021,3.261,,,,
36,11/10/13 03:30:00 AM,77033,3.155,,,,
37,11/10/13 04:00:00 AM,77032,3.261,,,,
38,11/10/13 04:30:00 AM,77043,3.261,,,,
39,11/10/13 05:00:00 AM,77065,3.261,,,,
40,11/10/13 05:30:00 AM,77076,3.261,,,,
41,11/10/13 06:00:00 AM,77065,3.261,,,,
42,11/10/13 06:30:00 AM,77087,3.155,,,,
43,11/10/13 07:00:00 AM,77087,3.261,,,,
44,11/10/13 07:30:00 AM,77130,3.261,,,,
45,11/10/13 08:00:00 AM,77196,3.261,,,,
46,11/10/13 08:30:00 AM,77273,3.155,,,,
47,11/10/13 09:00:00 AM,77185,3.155,,,,
48,11/10/13 09:30:00 AM,77077,3.155,,,,
49,11/10/13 10:00:00 AM,77066,3.155,,,,
