"Plot Title: 1280509 EFJ HV I 20140606-2014"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Batt, V (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,06/06/14 05:00:00 PM,75601,13.558,3.48,Logged,,,
2,06/06/14 05:15:00 PM,75568,13.461,3.48,,,,
3,06/06/14 05:30:00 PM,75580,13.269,3.48,,,,
4,06/06/14 05:45:00 PM,75537,13.269,3.48,,,,
5,06/06/14 06:00:00 PM,75526,13.173,3.48,,,,
6,06/06/14 06:15:00 PM,75537,13.173,3.48,,,,
7,06/06/14 06:30:00 PM,75516,13.076,3.48,,,,
8,06/06/14 06:45:00 PM,75527,13.076,3.48,,,,
9,06/06/14 07:00:00 PM,75570,13.076,3.48,,,,
10,06/06/14 07:15:00 PM,75560,13.076,3.48,,,,
11,06/06/14 07:30:00 PM,75560,13.076,3.48,,,,
12,06/06/14 07:45:00 PM,75560,13.076,3.48,,,,
13,06/06/14 08:00:00 PM,75560,13.076,3.48,,,,
14,06/06/14 08:15:00 PM,75549,13.076,3.48,,,,
15,06/06/14 08:30:00 PM,75570,13.076,3.48,,,,
16,06/06/14 08:45:00 PM,75570,13.076,3.48,,,,
17,06/06/14 09:00:00 PM,75592,13.076,3.48,,,,
18,06/06/14 09:15:00 PM,75603,13.076,3.48,,,,
19,06/06/14 09:30:00 PM,75625,13.076,3.48,,,,
20,06/06/14 09:45:00 PM,75658,13.076,3.48,,,,
21,06/06/14 10:00:00 PM,75647,13.076,3.48,,,,
22,06/06/14 10:15:00 PM,75668,13.173,3.48,,,,
23,06/06/14 10:30:00 PM,75657,13.173,3.48,,,,
24,06/06/14 10:45:00 PM,75679,13.173,3.51,,,,
25,06/06/14 11:00:00 PM,75657,13.173,3.51,,,,
26,06/06/14 11:15:00 PM,75668,13.173,3.48,,,,
27,06/06/14 11:30:00 PM,75657,13.173,3.48,,,,
28,06/06/14 11:45:00 PM,75657,13.173,3.48,,,,
29,06/07/14 12:00:00 AM,75679,13.173,3.48,,,,
30,06/07/14 12:15:00 AM,75680,13.076,3.48,,,,
31,06/07/14 12:30:00 AM,75691,13.076,3.48,,,,
32,06/07/14 12:45:00 AM,75669,13.076,3.48,,,,
33,06/07/14 01:00:00 AM,75669,13.076,3.48,,,,
34,06/07/14 01:15:00 AM,75691,13.076,3.48,,,,
35,06/07/14 01:30:00 AM,75701,13.076,3.48,,,,
36,06/07/14 01:45:00 AM,75702,12.980,3.48,,,,
37,06/07/14 02:00:00 AM,75691,12.980,3.48,,,,
38,06/07/14 02:15:00 AM,75680,12.980,3.48,,,,
39,06/07/14 02:30:00 AM,75669,12.980,3.48,,,,
40,06/07/14 02:45:00 AM,75713,12.883,3.48,,,,
41,06/07/14 03:00:00 AM,75713,12.883,3.48,,,,
42,06/07/14 03:15:00 AM,75702,12.883,3.48,,,,
43,06/07/14 03:30:00 AM,75725,12.787,3.48,,,,
