"Plot Title: EFJ HV 10499414 20140625-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499414, SEN S/N: 10499414)","Temp, °C (LGR S/N: 10499414, SEN S/N: 10499414)","Batt, V (LGR S/N: 10499414, SEN S/N: 10499414)","Coupler Detached (LGR S/N: 10499414)","Coupler Attached (LGR S/N: 10499414)","Stopped (LGR S/N: 10499414)","End Of File (LGR S/N: 10499414)"
1,06/26/14 04:00:00 PM,75625,13.654,3.40,Logged,,,
2,06/26/14 04:15:00 PM,75633,13.558,3.40,,,,
3,06/26/14 04:30:00 PM,75622,13.558,3.40,,,,
4,06/26/14 04:45:00 PM,75597,13.461,3.40,,,,
5,06/26/14 05:00:00 PM,75608,13.461,3.40,,,,
6,06/26/14 05:15:00 PM,75594,13.365,3.40,,,,
7,06/26/14 05:30:00 PM,75594,13.365,3.40,,,,
8,06/26/14 05:45:00 PM,75572,13.365,3.40,,,,
9,06/26/14 06:00:00 PM,75558,13.269,3.40,,,,
10,06/26/14 06:15:00 PM,75536,13.269,3.40,,,,
11,06/26/14 06:30:00 PM,75547,13.269,3.40,,,,
12,06/26/14 06:45:00 PM,75558,13.269,3.40,,,,
13,06/26/14 07:00:00 PM,75544,13.173,3.40,,,,
14,06/26/14 07:15:00 PM,75533,13.173,3.40,,,,
15,06/26/14 07:30:00 PM,75555,13.173,3.40,,,,
16,06/26/14 07:45:00 PM,75555,13.173,3.40,,,,
17,06/26/14 08:00:00 PM,75544,13.173,3.40,,,,
18,06/26/14 08:15:00 PM,75555,13.173,3.40,,,,
19,06/26/14 08:30:00 PM,75555,13.173,3.40,,,,
20,06/26/14 08:45:00 PM,75555,13.173,3.40,,,,
21,06/26/14 09:00:00 PM,75566,13.173,3.40,,,,
22,06/26/14 09:15:00 PM,75555,13.173,3.40,,,,
23,06/26/14 09:30:00 PM,75566,13.173,3.40,,,,
24,06/26/14 09:45:00 PM,75566,13.173,3.40,,,,
25,06/26/14 10:00:00 PM,75577,13.173,3.40,,,,
26,06/26/14 10:15:00 PM,75588,13.173,3.40,,,,
27,06/26/14 10:30:00 PM,75588,13.173,3.40,,,,
28,06/26/14 10:45:00 PM,75588,13.173,3.40,,,,
29,06/26/14 11:00:00 PM,75609,13.173,3.40,,,,
30,06/26/14 11:15:00 PM,75609,13.173,3.40,,,,
31,06/26/14 11:30:00 PM,75620,13.173,3.40,,,,
32,06/26/14 11:45:00 PM,75631,13.173,3.43,,,,
33,06/27/14 12:00:00 AM,75620,13.173,3.43,,,,
34,06/27/14 12:15:00 AM,75620,13.173,3.43,,,,
35,06/27/14 12:30:00 AM,75609,13.173,3.43,,,,
36,06/27/14 12:45:00 AM,75609,13.173,3.43,,,,
37,06/27/14 01:00:00 AM,75620,13.173,3.43,,,,
38,06/27/14 01:15:00 AM,75620,13.173,3.43,,,,
39,06/27/14 01:30:00 AM,75598,13.173,3.43,,,,
40,06/27/14 01:45:00 AM,75598,13.173,3.43,,,,
41,06/27/14 02:00:00 AM,75598,13.173,3.43,,,,
42,06/27/14 02:15:00 AM,75598,13.173,3.43,,,,
43,06/27/14 02:30:00 AM,75588,13.173,3.43,,,,
44,06/27/14 02:45:00 AM,75598,13.173,3.43,,,,
45,06/27/14 03:00:00 AM,75598,13.173,3.43,,,,
46,06/27/14 03:15:00 AM,75620,13.173,3.43,,,,
47,06/27/14 03:30:00 AM,75577,13.173,3.43,,,,
48,06/27/14 03:45:00 AM,75609,13.173,3.43,,,,
49,06/27/14 04:00:00 AM,75623,13.269,3.43,,,,
50,06/27/14 04:15:00 AM,75612,13.269,3.43,,,,
51,06/27/14 04:30:00 AM,75601,13.269,3.43,,,,
52,06/27/14 04:45:00 AM,75612,13.269,3.43,,,,
53,06/27/14 05:00:00 AM,75612,13.269,3.43,,,,
54,06/27/14 05:15:00 AM,75601,13.269,3.43,,,,
55,06/27/14 05:30:00 AM,75623,13.269,3.43,,,,
56,06/27/14 05:45:00 AM,75612,13.269,3.43,,,,
57,06/27/14 06:00:00 AM,75591,13.269,3.43,,,,
58,06/27/14 06:15:00 AM,75601,13.269,3.43,,,,
59,06/27/14 06:30:00 AM,75601,13.269,3.43,,,,
60,06/27/14 06:45:00 AM,75601,13.269,3.43,,,,
61,06/27/14 07:00:00 AM,75577,13.173,3.43,,,,
62,06/27/14 07:15:00 AM,75577,13.173,3.43,,,,
63,06/27/14 07:30:00 AM,75577,13.173,3.43,,,,
64,06/27/14 07:45:00 AM,75588,13.173,3.43,,,,
65,06/27/14 08:00:00 AM,75588,13.173,3.43,,,,
66,06/27/14 08:15:00 AM,75588,13.173,3.43,,,,
67,06/27/14 08:30:00 AM,75577,13.173,3.43,,,,
68,06/27/14 08:45:00 AM,75588,13.173,3.43,,,,
69,06/27/14 09:00:00 AM,75555,13.173,3.43,,,,
70,06/27/14 09:15:00 AM,75577,13.173,3.43,,,,
71,06/27/14 09:30:00 AM,75555,13.173,3.43,,,,
72,06/27/14 09:45:00 AM,75577,13.173,3.43,,,,
73,06/27/14 10:00:00 AM,75566,13.173,3.43,,,,
74,06/27/14 10:15:00 AM,75544,13.173,3.43,,,,
75,06/27/14 10:30:00 AM,75544,13.173,3.43,,,,
76,06/27/14 10:45:00 AM,75533,13.173,3.43,,,,
77,06/27/14 11:00:00 AM,75533,13.173,3.43,,,,
78,06/27/14 11:15:00 AM,75544,13.173,3.43,,,,
79,06/27/14 11:30:00 AM,75533,13.173,3.43,,,,
80,06/27/14 11:45:00 AM,75533,13.173,3.43,,,,
81,06/27/14 12:00:00 PM,75533,13.173,3.43,,,,
82,06/27/14 12:15:00 PM,75511,13.173,3.43,,,,
83,06/27/14 12:30:00 PM,75511,13.173,3.43,,,,
84,06/27/14 12:45:00 PM,75511,13.173,3.43,,,,
85,06/27/14 01:00:00 PM,75489,13.173,3.43,,,,
86,06/27/14 01:15:00 PM,75511,13.173,3.43,,,,
87,06/27/14 01:30:00 PM,75478,13.173,3.43,,,,
88,06/27/14 01:45:00 PM,75500,13.173,3.43,,,,
89,06/27/14 02:00:00 PM,75500,13.173,3.46,,,,
90,06/27/14 02:15:00 PM,75478,13.173,3.46,,,,
91,06/27/14 02:30:00 PM,75478,13.173,3.46,,,,
92,06/27/14 02:45:00 PM,75457,13.173,3.46,,,,
93,06/27/14 03:00:00 PM,75457,13.173,3.46,,,,
94,06/27/14 03:15:00 PM,75457,13.173,3.46,,,,
