"Plot Title: 1280509 EFJ HV I 20140625-2014"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Batt, V (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Host Connected (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,06/26/14 03:00:00 PM,74485,32.291,3.51,Logged,,,,
2,06/26/14 03:15:00 PM,75474,14.804,3.51,,,,,
3,06/26/14 03:30:00 PM,75490,13.750,3.51,,,,,
4,06/26/14 03:45:00 PM,75481,13.558,3.51,,,,,
5,06/26/14 04:00:00 PM,75470,13.461,3.51,,,,,
6,06/26/14 04:15:00 PM,75460,13.365,3.51,,,,,
7,06/26/14 04:30:00 PM,75449,13.365,3.51,,,,,
8,06/26/14 04:45:00 PM,75428,13.269,3.51,,,,,
9,06/26/14 05:00:00 PM,75438,13.269,3.51,,,,,
10,06/26/14 05:15:00 PM,75439,13.173,3.51,,,,,
11,06/26/14 05:30:00 PM,75428,13.173,3.51,,,,,
12,06/26/14 05:45:00 PM,75417,13.173,3.51,,,,,
13,06/26/14 06:00:00 PM,75373,13.173,3.51,,,,,
14,06/26/14 06:15:00 PM,75363,13.076,3.51,,,,,
15,06/26/14 06:30:00 PM,75374,13.076,3.51,,,,,
16,06/26/14 06:45:00 PM,75385,13.076,3.51,,,,,
17,06/26/14 07:00:00 PM,75363,13.076,3.51,,,,,
18,06/26/14 07:15:00 PM,75363,13.076,3.51,,,,,
19,06/26/14 07:30:00 PM,75363,13.076,3.51,,,,,
20,06/26/14 07:45:00 PM,75341,13.076,3.51,,,,,
21,06/26/14 08:00:00 PM,75374,13.076,3.51,,,,,
22,06/26/14 08:15:00 PM,75374,13.076,3.51,,,,,
23,06/26/14 08:30:00 PM,75363,13.076,3.51,,,,,
24,06/26/14 08:45:00 PM,75396,13.076,3.51,,,,,
25,06/26/14 09:00:00 PM,75385,13.076,3.51,,,,,
26,06/26/14 09:15:00 PM,75385,13.076,3.51,,,,,
27,06/26/14 09:30:00 PM,75396,12.980,3.51,,,,,
28,06/26/14 09:45:00 PM,75374,13.076,3.51,,,,,
29,06/26/14 10:00:00 PM,75407,12.980,3.51,,,,,
30,06/26/14 10:15:00 PM,75418,12.980,3.51,,,,,
31,06/26/14 10:30:00 PM,75418,12.980,3.51,,,,,
32,06/26/14 10:45:00 PM,75440,12.980,3.51,,,,,
33,06/26/14 11:00:00 PM,75429,12.980,3.51,,,,,
34,06/26/14 11:15:00 PM,75451,12.980,3.51,,,,,
35,06/26/14 11:30:00 PM,75451,12.980,3.48,,,,,
36,06/26/14 11:45:00 PM,75451,12.980,3.51,,,,,
37,06/27/14 12:00:00 AM,75440,12.980,3.51,,,,,
38,06/27/14 12:15:00 AM,75418,13.076,3.51,,,,,
39,06/27/14 12:30:00 AM,75439,13.076,3.51,,,,,
40,06/27/14 12:45:00 AM,75439,13.076,3.51,,,,,
41,06/27/14 01:00:00 AM,75429,13.076,3.51,,,,,
42,06/27/14 01:15:00 AM,75439,13.076,3.51,,,,,
43,06/27/14 01:30:00 AM,75439,13.076,3.51,,,,,
44,06/27/14 01:45:00 AM,75439,13.076,3.48,,,,,
45,06/27/14 02:00:00 AM,75407,13.076,3.51,,,,,
46,06/27/14 02:15:00 AM,75418,13.076,3.51,,,,,
47,06/27/14 02:30:00 AM,75418,13.076,3.51,,,,,
48,06/27/14 02:45:00 AM,75396,13.076,3.51,,,,,
49,06/27/14 03:00:00 AM,75439,13.076,3.51,,,,,
50,06/27/14 03:15:00 AM,75439,13.076,3.51,,,,,
51,06/27/14 03:30:00 AM,75396,13.076,3.51,,,,,
52,06/27/14 03:45:00 AM,75439,13.076,3.48,,,,,
53,06/27/14 04:00:00 AM,75429,13.076,3.51,,,,,
54,06/27/14 04:15:00 AM,75418,13.076,3.51,,,,,
55,06/27/14 04:30:00 AM,75396,13.076,3.51,,,,,
56,06/27/14 04:45:00 AM,75418,13.076,3.51,,,,,
57,06/27/14 05:00:00 AM,75439,13.076,3.51,,,,,
58,06/27/14 05:15:00 AM,75407,13.076,3.51,,,,,
59,06/27/14 05:30:00 AM,75418,13.076,3.51,,,,,
60,06/27/14 05:45:00 AM,75418,13.076,3.51,,,,,
61,06/27/14 06:00:00 AM,75396,13.076,3.51,,,,,
62,06/27/14 06:15:00 AM,75407,13.076,3.51,,,,,
63,06/27/14 06:30:00 AM,75407,13.076,3.51,,,,,
64,06/27/14 06:45:00 AM,75418,13.076,3.51,,,,,
65,06/27/14 07:00:00 AM,75396,13.076,3.51,,,,,
66,06/27/14 07:15:00 AM,75407,13.076,3.51,,,,,
67,06/27/14 07:30:00 AM,75396,13.076,3.51,,,,,
68,06/27/14 07:45:00 AM,75396,13.076,3.51,,,,,
69,06/27/14 08:00:00 AM,75407,13.076,3.51,,,,,
70,06/27/14 08:15:00 AM,75418,13.076,3.48,,,,,
71,06/27/14 08:30:00 AM,75396,13.076,3.51,,,,,
72,06/27/14 08:45:00 AM,75396,13.076,3.51,,,,,
73,06/27/14 09:00:00 AM,75385,13.076,3.51,,,,,
74,06/27/14 09:15:00 AM,75385,13.076,3.51,,,,,
75,06/27/14 09:30:00 AM,75385,13.076,3.48,,,,,
76,06/27/14 09:45:00 AM,75385,13.076,3.48,,,,,
77,06/27/14 10:00:00 AM,75385,13.076,3.48,,,,,
78,06/27/14 10:15:00 AM,75363,13.076,3.48,,,,,
79,06/27/14 10:30:00 AM,75363,13.076,3.48,,,,,
80,06/27/14 10:45:00 AM,75363,13.076,3.48,,,,,
81,06/27/14 11:00:00 AM,75374,13.076,3.48,,,,,
82,06/27/14 11:15:00 AM,75374,13.076,3.48,,,,,
83,06/27/14 11:30:00 AM,75352,13.076,3.48,,,,,
84,06/27/14 11:45:00 AM,75352,13.076,3.48,,,,,
85,06/27/14 12:00:00 PM,75363,13.076,3.48,,,,,
86,06/27/14 12:15:00 PM,75341,13.076,3.48,,,,,
87,06/27/14 12:30:00 PM,75341,13.076,3.48,,,,,
88,06/27/14 12:45:00 PM,75330,13.076,3.48,,,,,
89,06/27/14 01:00:00 PM,75298,13.076,3.48,,,,,
90,06/27/14 01:15:00 PM,75330,13.076,3.48,,,,,
91,06/27/14 01:30:00 PM,75308,13.076,3.48,,,,,
92,06/27/14 01:45:00 PM,75319,13.076,3.48,,,,,
93,06/27/14 02:00:00 PM,75298,13.076,3.48,,,,,
94,06/27/14 02:15:00 PM,75287,13.076,3.48,,,,,
95,06/27/14 02:30:00 PM,75298,13.076,3.48,,,,,
96,06/27/14 02:45:00 PM,75265,13.076,3.48,,,,,
97,06/27/14 03:00:00 PM,75254,13.076,3.48,,,,,
98,06/27/14 03:15:00 PM,75287,13.076,3.48,,,,,
99,06/27/14 03:30:00 PM,75298,13.076,3.51,,,,,
