"Plot Title: EFJHV2 10499414 20150319-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499414, SEN S/N: 10499414)","Temp, °C (LGR S/N: 10499414, SEN S/N: 10499414)","Coupler Detached (LGR S/N: 10499414)","Coupler Attached (LGR S/N: 10499414)","Stopped (LGR S/N: 10499414)","End Of File (LGR S/N: 10499414)"
1,03/19/15 11:30:00 AM,78775,5.037,Logged,,,
2,03/19/15 11:45:00 AM,78765,3.998,,,,
3,03/19/15 12:00:00 PM,78791,3.788,,,,
4,03/19/15 12:15:00 PM,78799,3.683,,,,
5,03/19/15 12:30:00 PM,78785,3.578,,,,
6,03/19/15 12:45:00 PM,78793,3.472,,,,
7,03/19/15 01:00:00 PM,78778,3.367,,,,
8,03/19/15 01:15:00 PM,78789,3.367,,,,
9,03/19/15 01:30:00 PM,78786,3.261,,,,
10,03/19/15 01:45:00 PM,78805,3.155,,,,
11,03/19/15 02:00:00 PM,78848,3.155,,,,
12,03/19/15 02:15:00 PM,78899,3.049,,,,
13,03/19/15 02:30:00 PM,78932,3.049,,,,
14,03/19/15 02:45:00 PM,78962,2.943,,,,
15,03/19/15 03:00:00 PM,79005,2.943,,,,
16,03/19/15 03:15:00 PM,79013,2.837,,,,
17,03/19/15 03:30:00 PM,79002,2.837,,,,
18,03/19/15 03:45:00 PM,79042,2.730,,,,
19,03/19/15 04:00:00 PM,79053,2.730,,,,
20,03/19/15 04:15:00 PM,79097,2.730,,,,
21,03/19/15 04:30:00 PM,79115,2.624,,,,
22,03/19/15 04:45:00 PM,79126,2.624,,,,
23,03/19/15 05:00:00 PM,79191,2.624,,,,
24,03/19/15 05:15:00 PM,79235,2.624,,,,
25,03/19/15 05:30:00 PM,79333,2.624,,,,
26,03/19/15 05:45:00 PM,79387,2.624,,,,
27,03/19/15 06:00:00 PM,79431,2.624,,,,
28,03/19/15 06:15:00 PM,79529,2.624,,,,
29,03/19/15 06:30:00 PM,79605,2.624,,,,
30,03/19/15 06:45:00 PM,79682,2.624,,,,
31,03/19/15 07:00:00 PM,79791,2.624,,,,
32,03/19/15 07:15:00 PM,79878,2.624,,,,
33,03/19/15 07:30:00 PM,79943,2.624,,,,
34,03/19/15 07:45:00 PM,80030,2.624,,,,
35,03/19/15 08:00:00 PM,80107,2.624,,,,
36,03/19/15 08:15:00 PM,80172,2.624,,,,
37,03/19/15 08:30:00 PM,80267,2.517,,,,
38,03/19/15 08:45:00 PM,80343,2.517,,,,
39,03/19/15 09:00:00 PM,80419,2.517,,,,
40,03/19/15 09:15:00 PM,80496,2.517,,,,
41,03/19/15 09:30:00 PM,80572,2.517,,,,
42,03/19/15 09:45:00 PM,80637,2.517,,,,
43,03/19/15 10:00:00 PM,80746,2.517,,,,
44,03/19/15 10:15:00 PM,80801,2.517,,,,
45,03/19/15 10:30:00 PM,80834,2.517,,,,
46,03/19/15 10:45:00 PM,80823,2.517,,,,
47,03/19/15 11:00:00 PM,80856,2.517,,,,
48,03/19/15 11:15:00 PM,80863,2.410,,,,
49,03/19/15 11:30:00 PM,80863,2.410,,,,
50,03/19/15 11:45:00 PM,80874,2.410,,,,
51,03/20/15 12:00:00 AM,80841,2.410,,,,
52,03/20/15 12:15:00 AM,80841,2.410,,,,
53,03/20/15 12:30:00 AM,80841,2.410,,,,
54,03/20/15 12:45:00 AM,80830,2.410,,,,
55,03/20/15 01:00:00 AM,80794,2.303,,,,
56,03/20/15 01:15:00 AM,80794,2.303,,,,
57,03/20/15 01:30:00 AM,80773,2.303,,,,
58,03/20/15 01:45:00 AM,80762,2.303,,,,
59,03/20/15 02:00:00 AM,80783,2.303,,,,
60,03/20/15 02:15:00 AM,80773,2.303,,,,
61,03/20/15 02:30:00 AM,80747,2.195,,,,
62,03/20/15 02:45:00 AM,80737,2.195,,,,
63,03/20/15 03:00:00 AM,80726,2.195,,,,
64,03/20/15 03:15:00 AM,80715,2.195,,,,
65,03/20/15 03:30:00 AM,80704,2.195,,,,
66,03/20/15 03:45:00 AM,80693,2.195,,,,
67,03/20/15 04:00:00 AM,80668,2.088,,,,
68,03/20/15 04:15:00 AM,80668,2.088,,,,
69,03/20/15 04:30:00 AM,80646,2.088,,,,
70,03/20/15 04:45:00 AM,80624,2.088,,,,
71,03/20/15 05:00:00 AM,80635,2.088,,,,
72,03/20/15 05:15:00 AM,80624,2.088,,,,
73,03/20/15 05:30:00 AM,80613,2.088,,,,
74,03/20/15 05:45:00 AM,80602,2.088,,,,
75,03/20/15 06:00:00 AM,80599,1.980,,,,
76,03/20/15 06:15:00 AM,80599,1.980,,,,
77,03/20/15 06:30:00 AM,80588,1.980,,,,
78,03/20/15 06:45:00 AM,80588,1.980,,,,
79,03/20/15 07:00:00 AM,80599,1.980,,,,
80,03/20/15 07:15:00 AM,80566,1.980,,,,
81,03/20/15 07:30:00 AM,80588,1.980,,,,
82,03/20/15 07:45:00 AM,80577,1.980,,,,
83,03/20/15 08:00:00 AM,80566,1.980,,,,
84,03/20/15 08:15:00 AM,80552,1.872,,,,
