"Plot Title: EFJHV1 1280509 20150319-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280509, SEN S/N: 1280509)","Temp, °C (LGR S/N: 1280509, SEN S/N: 1280509)","Coupler Detached (LGR S/N: 1280509)","Coupler Attached (LGR S/N: 1280509)","Host Connected (LGR S/N: 1280509)","Stopped (LGR S/N: 1280509)","End Of File (LGR S/N: 1280509)"
1,03/19/15 11:30:00 AM,78439,5.037,Logged,,,,
2,03/19/15 11:45:00 AM,78433,4.102,,,,,
3,03/19/15 12:00:00 PM,78467,3.893,,,,,
4,03/19/15 12:15:00 PM,78456,3.788,,,,,
5,03/19/15 12:30:00 PM,78446,3.683,,,,,
6,03/19/15 12:45:00 PM,78447,3.578,,,,,
7,03/19/15 01:00:00 PM,78447,3.472,,,,,
8,03/19/15 01:15:00 PM,78437,3.367,,,,,
9,03/19/15 01:30:00 PM,78470,3.261,,,,,
10,03/19/15 01:45:00 PM,78471,3.155,,,,,
11,03/19/15 02:00:00 PM,78526,3.049,,,,,
12,03/19/15 02:15:00 PM,78591,3.049,,,,,
13,03/19/15 02:30:00 PM,78613,2.943,,,,,
14,03/19/15 02:45:00 PM,78635,2.943,,,,,
15,03/19/15 03:00:00 PM,78669,2.837,,,,,
16,03/19/15 03:15:00 PM,78679,2.837,,,,,
17,03/19/15 03:30:00 PM,78680,2.730,,,,,
18,03/19/15 03:45:00 PM,78724,2.730,,,,,
19,03/19/15 04:00:00 PM,78724,2.730,,,,,
20,03/19/15 04:15:00 PM,78768,2.624,,,,,
21,03/19/15 04:30:00 PM,78789,2.624,,,,,
22,03/19/15 04:45:00 PM,78800,2.624,,,,,
23,03/19/15 05:00:00 PM,78855,2.624,,,,,
24,03/19/15 05:15:00 PM,78888,2.517,,,,,
25,03/19/15 05:30:00 PM,78997,2.517,,,,,
26,03/19/15 05:45:00 PM,79062,2.517,,,,,
27,03/19/15 06:00:00 PM,79095,2.517,,,,,
28,03/19/15 06:15:00 PM,79204,2.517,,,,,
29,03/19/15 06:30:00 PM,79269,2.517,,,,,
30,03/19/15 06:45:00 PM,79356,2.517,,,,,
31,03/19/15 07:00:00 PM,79454,2.517,,,,,
32,03/19/15 07:15:00 PM,79531,2.517,,,,,
33,03/19/15 07:30:00 PM,79618,2.517,,,,,
34,03/19/15 07:45:00 PM,79694,2.517,,,,,
35,03/19/15 08:00:00 PM,79770,2.517,,,,,
36,03/19/15 08:15:00 PM,79825,2.517,,,,,
37,03/19/15 08:30:00 PM,79945,2.517,,,,,
38,03/19/15 08:45:00 PM,80021,2.517,,,,,
39,03/19/15 09:00:00 PM,80086,2.517,,,,,
40,03/19/15 09:15:00 PM,80184,2.517,,,,,
41,03/19/15 09:30:00 PM,80249,2.517,,,,,
42,03/19/15 09:45:00 PM,80326,2.517,,,,,
43,03/19/15 10:00:00 PM,80391,2.517,,,,,
44,03/19/15 10:15:00 PM,80479,2.410,,,,,
45,03/19/15 10:30:00 PM,80501,2.410,,,,,
46,03/19/15 10:45:00 PM,80533,2.410,,,,,
47,03/19/15 11:00:00 PM,80533,2.410,,,,,
48,03/19/15 11:15:00 PM,80533,2.410,,,,,
49,03/19/15 11:30:00 PM,80533,2.410,,,,,
50,03/19/15 11:45:00 PM,80545,2.303,,,,,
51,03/20/15 12:00:00 AM,80523,2.303,,,,,
52,03/20/15 12:15:00 AM,80523,2.303,,,,,
53,03/20/15 12:30:00 AM,80512,2.303,,,,,
54,03/20/15 12:45:00 AM,80512,2.303,,,,,
55,03/20/15 01:00:00 AM,80480,2.195,,,,,
56,03/20/15 01:15:00 AM,80480,2.195,,,,,
57,03/20/15 01:30:00 AM,80447,2.195,,,,,
58,03/20/15 01:45:00 AM,80447,2.195,,,,,
59,03/20/15 02:00:00 AM,80458,2.195,,,,,
60,03/20/15 02:15:00 AM,80436,2.195,,,,,
61,03/20/15 02:30:00 AM,80426,2.088,,,,,
62,03/20/15 02:45:00 AM,80404,2.088,,,,,
63,03/20/15 03:00:00 AM,80382,2.088,,,,,
64,03/20/15 03:15:00 AM,80382,2.088,,,,,
65,03/20/15 03:30:00 AM,80372,2.088,,,,,
66,03/20/15 03:45:00 AM,80361,1.980,,,,,
67,03/20/15 04:00:00 AM,80361,1.980,,,,,
68,03/20/15 04:15:00 AM,80339,1.980,,,,,
69,03/20/15 04:30:00 AM,80296,1.980,,,,,
70,03/20/15 04:45:00 AM,80296,1.980,,,,,
71,03/20/15 05:00:00 AM,80296,1.872,,,,,
