"Plot Title: EFJHV1 10499414 20161129"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 10499414, SEN S/N: 10499414)","Temp, °C (LGR S/N: 10499414, SEN S/N: 10499414)","Coupler Detached (LGR S/N: 10499414)","Coupler Attached (LGR S/N: 10499414)","Stopped (LGR S/N: 10499414)","End Of File (LGR S/N: 10499414)"
1,11/29/16 11:30:00 AM,75651,1.764,Logged,,,
2,11/29/16 12:00:00 PM,75698,1.112,,,,
3,11/29/16 12:30:00 PM,75715,1.330,,,,
4,11/29/16 01:00:00 PM,75707,1.439,,,,
5,11/29/16 01:30:00 PM,75718,1.439,,,,
6,11/29/16 02:00:00 PM,75732,1.548,,,,
7,11/29/16 02:30:00 PM,75743,1.548,,,,
8,11/29/16 03:00:00 PM,75765,1.548,,,,
9,11/29/16 03:30:00 PM,75768,1.656,,,,
10,11/29/16 04:00:00 PM,75768,1.656,,,,
11,11/29/16 04:30:00 PM,75757,1.656,,,,
12,11/29/16 05:00:00 PM,75724,1.656,,,,
13,11/29/16 05:30:00 PM,75724,1.656,,,,
14,11/29/16 06:00:00 PM,75713,1.656,,,,
15,11/29/16 06:30:00 PM,75724,1.656,,,,
16,11/29/16 07:00:00 PM,75757,1.656,,,,
17,11/29/16 07:30:00 PM,75771,1.764,,,,
18,11/29/16 08:00:00 PM,75782,1.764,,,,
19,11/29/16 08:30:00 PM,75771,1.764,,,,
20,11/29/16 09:00:00 PM,75804,1.764,,,,
21,11/29/16 09:30:00 PM,75825,1.764,,,,
22,11/29/16 10:00:00 PM,75847,1.764,,,,
23,11/29/16 10:30:00 PM,75858,1.764,,,,
24,11/29/16 11:00:00 PM,75847,1.764,,,,
25,11/29/16 11:30:00 PM,75825,1.764,,,,
26,11/30/16 12:00:00 AM,75814,1.764,,,,
27,11/30/16 12:30:00 AM,75847,1.764,,,,
28,11/30/16 01:00:00 AM,75825,1.764,,,,
29,11/30/16 01:30:00 AM,75825,1.764,,,,
30,11/30/16 02:00:00 AM,75814,1.764,,,,
31,11/30/16 02:30:00 AM,75771,1.764,,,,
32,11/30/16 03:00:00 AM,75749,1.764,,,,
33,11/30/16 03:30:00 AM,75717,1.764,,,,
34,11/30/16 04:00:00 AM,75670,1.656,,,,
35,11/30/16 04:30:00 AM,75616,1.656,,,,
36,11/30/16 05:00:00 AM,75572,1.656,,,,
37,11/30/16 05:30:00 AM,75518,1.656,,,,
38,11/30/16 06:00:00 AM,75540,1.656,,,,
39,11/30/16 06:30:00 AM,75561,1.656,,,,
40,11/30/16 07:00:00 AM,75594,1.656,,,,
41,11/30/16 07:30:00 AM,75626,1.656,,,,
42,11/30/16 08:00:00 AM,75616,1.656,,,,
43,11/30/16 08:30:00 AM,75670,1.656,,,,
44,11/30/16 09:00:00 AM,75735,1.656,,,,
45,11/30/16 09:30:00 AM,75800,1.656,,,,
46,11/30/16 10:00:00 AM,75833,1.656,,,,
47,11/30/16 10:30:00 AM,75833,1.656,,,,
48,11/30/16 11:00:00 AM,75800,1.656,,,,
49,11/30/16 11:30:00 AM,75779,1.656,,,,
50,11/30/16 12:00:00 PM,75779,1.656,,,,
51,11/30/16 12:30:00 PM,75768,1.656,,,,
52,11/30/16 01:00:00 PM,75779,1.656,,,,
53,11/30/16 01:30:00 PM,75800,1.656,,,,
54,11/30/16 02:00:00 PM,75844,1.656,,,,
55,11/30/16 02:30:00 PM,75920,1.656,,,,
56,11/30/16 03:00:00 PM,76018,1.656,,,,
57,11/30/16 03:30:00 PM,76148,1.656,,,,
58,11/30/16 04:00:00 PM,76235,1.656,,,,
59,11/30/16 04:30:00 PM,76300,1.656,,,,
60,11/30/16 05:00:00 PM,76235,1.656,,,,
61,11/30/16 05:30:00 PM,76156,1.548,,,,
62,11/30/16 06:00:00 PM,76102,1.548,,,,
63,11/30/16 06:30:00 PM,75982,1.548,,,,
64,11/30/16 07:00:00 PM,75906,1.548,,,,
65,11/30/16 07:30:00 PM,75862,1.548,,,,
66,11/30/16 08:00:00 PM,75819,1.548,,,,
67,11/30/16 08:30:00 PM,75775,1.548,,,,
68,11/30/16 09:00:00 PM,75743,1.548,,,,
69,11/30/16 09:30:00 PM,75710,1.548,,,,
70,11/30/16 10:00:00 PM,75678,1.548,,,,
71,11/30/16 10:30:00 PM,75667,1.548,,,,
72,11/30/16 11:00:00 PM,75645,1.548,,,,
73,11/30/16 11:30:00 PM,75634,1.548,,,,
74,12/01/16 12:00:00 AM,75645,1.548,,,,
75,12/01/16 12:30:00 AM,75645,1.548,,,,
76,12/01/16 01:00:00 AM,75645,1.548,,,,
77,12/01/16 01:30:00 AM,75623,1.548,,,,
78,12/01/16 02:00:00 AM,75612,1.548,,,,
79,12/01/16 02:30:00 AM,75616,1.656,,,,
80,12/01/16 03:00:00 AM,75634,1.548,,,,
81,12/01/16 03:30:00 AM,75594,1.656,,,,
82,12/01/16 04:00:00 AM,75569,1.548,,,,
83,12/01/16 04:30:00 AM,75547,1.548,,,,
84,12/01/16 05:00:00 AM,75536,1.548,,,,
85,12/01/16 05:30:00 AM,75493,1.548,,,,
86,12/01/16 06:00:00 AM,75460,1.548,,,,
87,12/01/16 06:30:00 AM,75460,1.548,,,,
88,12/01/16 07:00:00 AM,75471,1.548,,,,
89,12/01/16 07:30:00 AM,75460,1.548,,,,
90,12/01/16 08:00:00 AM,75460,1.548,,,,
91,12/01/16 08:30:00 AM,75482,1.548,,,,
92,12/01/16 09:00:00 AM,75515,1.548,,,,
93,12/01/16 09:30:00 AM,75525,1.548,,,,
94,12/01/16 10:00:00 AM,75515,1.548,,,,
95,12/01/16 10:30:00 AM,75493,1.548,,,,
96,12/01/16 11:00:00 AM,75493,1.548,,,,
97,12/01/16 11:30:00 AM,75493,1.548,,,,
