"Plot Title: HiddenValleyII20170601"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1028729, SEN S/N: 1028729)","Temp, °C (LGR S/N: 1028729, SEN S/N: 1028729)","Coupler Detached (LGR S/N: 1028729)","Coupler Attached (LGR S/N: 1028729)","Stopped (LGR S/N: 1028729)","End Of File (LGR S/N: 1028729)"
1,06/01/17 11:00:00 AM,74662,22.429,Logged,,,
2,06/01/17 11:15:00 AM,77363,12.883,,,,
3,06/01/17 11:30:00 AM,77324,10.846,,,,
4,06/01/17 11:45:00 AM,77316,10.553,,,,
5,06/01/17 12:00:00 PM,77313,10.455,,,,
6,06/01/17 12:15:00 PM,77295,10.357,,,,
7,06/01/17 12:30:00 PM,77308,10.259,,,,
8,06/01/17 12:45:00 PM,77290,10.161,,,,
9,06/01/17 01:00:00 PM,77290,10.161,,,,
10,06/01/17 01:15:00 PM,77255,10.063,,,,
11,06/01/17 01:30:00 PM,77239,10.063,,,,
12,06/01/17 01:45:00 PM,77239,10.063,,,,
13,06/01/17 02:00:00 PM,77205,9.965,,,,
14,06/01/17 02:15:00 PM,77189,9.965,,,,
15,06/01/17 02:30:00 PM,77157,9.965,,,,
16,06/01/17 02:45:00 PM,77157,9.965,,,,
17,06/01/17 03:00:00 PM,77139,9.866,,,,
18,06/01/17 03:15:00 PM,77139,9.866,,,,
19,06/01/17 03:30:00 PM,77107,9.866,,,,
20,06/01/17 03:45:00 PM,77091,9.866,,,,
21,06/01/17 04:00:00 PM,77091,9.866,,,,
22,06/01/17 04:15:00 PM,77139,9.866,,,,
23,06/01/17 04:30:00 PM,77139,9.866,,,,
24,06/01/17 04:45:00 PM,77110,9.965,,,,
25,06/01/17 05:00:00 PM,77126,9.965,,,,
26,06/01/17 05:15:00 PM,77157,9.965,,,,
27,06/01/17 05:30:00 PM,77192,10.063,,,,
28,06/01/17 05:45:00 PM,77192,10.063,,,,
29,06/01/17 06:00:00 PM,77160,10.063,,,,
30,06/01/17 06:15:00 PM,77147,10.161,,,,
31,06/01/17 06:30:00 PM,77115,10.161,,,,
32,06/01/17 06:45:00 PM,77099,10.161,,,,
33,06/01/17 07:00:00 PM,77083,10.161,,,,
34,06/01/17 07:15:00 PM,77099,10.161,,,,
35,06/01/17 07:30:00 PM,77086,10.259,,,,
36,06/01/17 07:45:00 PM,77102,10.259,,,,
37,06/01/17 08:00:00 PM,77118,10.259,,,,
38,06/01/17 08:15:00 PM,77134,10.259,,,,
39,06/01/17 08:30:00 PM,77149,10.259,,,,
40,06/01/17 08:45:00 PM,77168,10.357,,,,
41,06/01/17 09:00:00 PM,77168,10.357,,,,
42,06/01/17 09:15:00 PM,77200,10.357,,,,
43,06/01/17 09:30:00 PM,77216,10.357,,,,
44,06/01/17 09:45:00 PM,77216,10.357,,,,
45,06/01/17 10:00:00 PM,77247,10.357,,,,
46,06/01/17 10:15:00 PM,77266,10.455,,,,
47,06/01/17 10:30:00 PM,77282,10.455,,,,
48,06/01/17 10:45:00 PM,77266,10.455,,,,
49,06/01/17 11:00:00 PM,77266,10.455,,,,
50,06/01/17 11:15:00 PM,77250,10.455,,,,
51,06/01/17 11:30:00 PM,77250,10.455,,,,
52,06/01/17 11:45:00 PM,77250,10.455,,,,
53,06/02/17 12:00:00 AM,77234,10.455,,,,
54,06/02/17 12:15:00 AM,77234,10.455,,,,
55,06/02/17 12:30:00 AM,77218,10.455,,,,
56,06/02/17 12:45:00 AM,77218,10.455,,,,
57,06/02/17 01:00:00 AM,77218,10.455,,,,
58,06/02/17 01:15:00 AM,77218,10.455,,,,
59,06/02/17 01:30:00 AM,77218,10.455,,,,
