Plot Title: HiddenValleyII20180517,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1028729, SEN S/N: 1028729)","Temp, °C (LGR S/N: 1028729, SEN S/N: 1028729)",Coupler Detached (LGR S/N: 1028729),Coupler Attached (LGR S/N: 1028729),Stopped (LGR S/N: 1028729),End Of File (LGR S/N: 1028729)
1,5/17/2018,13:15:00,75544,13.076,Logged,,,
2,5/17/2018,13:30:00,75542,11.819,,,,
3,5/17/2018,13:45:00,75540,11.139,,,,
4,5/17/2018,14:00:00,75514,10.748,,,,
5,5/17/2018,14:15:00,75519,10.357,,,,
6,5/17/2018,14:30:00,75512,10.063,,,,
7,5/17/2018,14:45:00,75491,9.866,,,,
8,5/17/2018,15:00:00,75483,9.571,,,,
9,5/17/2018,15:15:00,75480,9.472,,,,
10,5/17/2018,15:30:00,75443,9.275,,,,
11,5/17/2018,15:45:00,75409,9.176,,,,
12,5/17/2018,16:00:00,75407,9.077,,,,
13,5/17/2018,16:15:00,75388,8.978,,,,
14,5/17/2018,16:30:00,75370,8.879,,,,
15,5/17/2018,16:45:00,75370,8.879,,,,
16,5/17/2018,17:00:00,75336,8.779,,,,
17,5/17/2018,17:15:00,75352,8.779,,,,
18,5/17/2018,17:30:00,75352,8.779,,,,
19,5/17/2018,17:45:00,75320,8.779,,,,
20,5/17/2018,18:00:00,75304,8.779,,,,
21,5/17/2018,18:15:00,75320,8.779,,,,
22,5/17/2018,18:30:00,75304,8.779,,,,
23,5/17/2018,18:45:00,75317,8.68,,,,
24,5/17/2018,19:00:00,75301,8.68,,,,
25,5/17/2018,19:15:00,75286,8.68,,,,
26,5/17/2018,19:30:00,75301,8.68,,,,
27,5/17/2018,19:45:00,75301,8.68,,,,
28,5/17/2018,20:00:00,75301,8.68,,,,
29,5/17/2018,20:15:00,75301,8.68,,,,
30,5/17/2018,20:30:00,75299,8.581,,,,
31,5/17/2018,20:45:00,75315,8.581,,,,
32,5/17/2018,21:00:00,75315,8.581,,,,
33,5/17/2018,21:15:00,75331,8.581,,,,
34,5/17/2018,21:30:00,75346,8.581,,,,
35,5/17/2018,21:45:00,75362,8.581,,,,
36,5/17/2018,22:00:00,75360,8.481,,,,
37,5/17/2018,22:15:00,75391,8.481,,,,
38,5/17/2018,22:30:00,75375,8.481,,,,
39,5/17/2018,22:45:00,75391,8.481,,,,
40,5/17/2018,23:00:00,75391,8.481,,,,
41,5/17/2018,23:15:00,75405,8.382,,,,
42,5/17/2018,23:30:00,75373,8.382,,,,
43,5/17/2018,23:45:00,75357,8.382,,,,
44,5/18/2018,0:00:00,75357,8.382,,,,
45,5/18/2018,0:15:00,75373,8.382,,,,
46,5/18/2018,0:30:00,75370,8.282,,,,
47,5/18/2018,0:45:00,75370,8.282,,,,
48,5/18/2018,1:00:00,75370,8.282,,,,
49,5/18/2018,1:15:00,75354,8.282,,,,
50,5/18/2018,1:30:00,75336,8.182,,,,
51,5/18/2018,1:45:00,75352,8.182,,,,
52,5/18/2018,2:00:00,75352,8.182,,,,
53,5/18/2018,2:15:00,75352,8.182,,,,
54,5/18/2018,2:30:00,75349,8.082,,,,
55,5/18/2018,2:45:00,75349,8.082,,,,
56,5/18/2018,3:00:00,75349,8.082,,,,
57,5/18/2018,3:15:00,75347,7.983,,,,
58,5/18/2018,3:30:00,75363,7.983,,,,
59,5/18/2018,3:45:00,75363,7.983,,,,
