"Plot Title: upr_efj_gage"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811665, SEN S/N: 9811665)","Temp, °C (LGR S/N: 9811665, SEN S/N: 9811665)","Coupler Detached (LGR S/N: 9811665)","Coupler Attached (LGR S/N: 9811665)","Stopped (LGR S/N: 9811665)","End Of File (LGR S/N: 9811665)"
1,04/11/12 01:45:00 PM,77616,5.141,Logged,,,
2,04/11/12 02:00:00 PM,77597,4.519,,,,
3,04/11/12 02:15:00 PM,77543,4.415,,,,
4,04/11/12 02:30:00 PM,77543,4.415,,,,
5,04/11/12 02:45:00 PM,77529,4.311,,,,
6,04/11/12 03:00:00 PM,77477,4.311,,,,
7,04/11/12 03:15:00 PM,77464,4.311,,,,
8,04/11/12 03:30:00 PM,77451,4.311,,,,
9,04/11/12 03:45:00 PM,77425,4.311,,,,
10,04/11/12 04:00:00 PM,77412,4.311,,,,
11,04/11/12 04:15:00 PM,77359,4.311,,,,
12,04/11/12 04:30:00 PM,77358,4.207,,,,
13,04/11/12 04:45:00 PM,77345,4.207,,,,
14,04/11/12 05:00:00 PM,77332,4.207,,,,
15,04/11/12 05:15:00 PM,77345,4.207,,,,
16,04/11/12 05:30:00 PM,77345,4.207,,,,
17,04/11/12 05:45:00 PM,77319,4.207,,,,
18,04/11/12 06:00:00 PM,77319,4.207,,,,
19,04/11/12 06:15:00 PM,77306,4.207,,,,
20,04/11/12 06:30:00 PM,77293,4.207,,,,
21,04/11/12 06:45:00 PM,77306,4.207,,,,
22,04/11/12 07:00:00 PM,77319,4.207,,,,
23,04/11/12 07:15:00 PM,77306,4.207,,,,
24,04/11/12 07:30:00 PM,77346,4.311,,,,
25,04/11/12 07:45:00 PM,77346,4.311,,,,
26,04/11/12 08:00:00 PM,77346,4.311,,,,
27,04/11/12 08:15:00 PM,77359,4.311,,,,
28,04/11/12 08:30:00 PM,77346,4.311,,,,
29,04/11/12 08:45:00 PM,77346,4.311,,,,
30,04/11/12 09:00:00 PM,77359,4.311,,,,
31,04/11/12 09:15:00 PM,77373,4.311,,,,
32,04/11/12 09:30:00 PM,77373,4.311,,,,
33,04/11/12 09:45:00 PM,77373,4.311,,,,
34,04/11/12 10:00:00 PM,77387,4.415,,,,
35,04/11/12 10:15:00 PM,77387,4.415,,,,
36,04/11/12 10:30:00 PM,77387,4.415,,,,
37,04/11/12 10:45:00 PM,77374,4.415,,,,
38,04/11/12 11:00:00 PM,77400,4.415,,,,
39,04/11/12 11:15:00 PM,77400,4.415,,,,
40,04/11/12 11:30:00 PM,77374,4.415,,,,
41,04/11/12 11:45:00 PM,77360,4.415,,,,
42,04/12/12 12:00:00 AM,77361,4.519,,,,
43,04/12/12 12:15:00 AM,77348,4.519,,,,
44,04/12/12 12:30:00 AM,77348,4.519,,,,
45,04/12/12 12:45:00 AM,77335,4.519,,,,
46,04/12/12 01:00:00 AM,77348,4.519,,,,
47,04/12/12 01:15:00 AM,77361,4.519,,,,
48,04/12/12 01:30:00 AM,77335,4.519,,,,
49,04/12/12 01:45:00 AM,77336,4.623,,,,
50,04/12/12 02:00:00 AM,77349,4.623,,,,
51,04/12/12 02:15:00 AM,77310,4.623,,,,
52,04/12/12 02:30:00 AM,77310,4.623,,,,
53,04/12/12 02:45:00 AM,77310,4.623,,,,
54,04/12/12 03:00:00 AM,77323,4.623,,,,
55,04/12/12 03:15:00 AM,77323,4.623,,,,
56,04/12/12 03:30:00 AM,77323,4.623,,,,
57,04/12/12 03:45:00 AM,77324,4.727,,,,
58,04/12/12 04:00:00 AM,77311,4.727,,,,
59,04/12/12 04:15:00 AM,77298,4.727,,,,
60,04/12/12 04:30:00 AM,77298,4.727,,,,
61,04/12/12 04:45:00 AM,77311,4.727,,,,
62,04/12/12 05:00:00 AM,77364,4.727,,,,
63,04/12/12 05:15:00 AM,77337,4.727,,,,
64,04/12/12 05:30:00 AM,77337,4.727,,,,
65,04/12/12 05:45:00 AM,77337,4.727,,,,
66,04/12/12 06:00:00 AM,77324,4.727,,,,
67,04/12/12 06:15:00 AM,77311,4.727,,,,
68,04/12/12 06:30:00 AM,77311,4.727,,,,
69,04/12/12 06:45:00 AM,77337,4.727,,,,
70,04/12/12 07:00:00 AM,77311,4.727,,,,
71,04/12/12 07:15:00 AM,77337,4.727,,,,
72,04/12/12 07:30:00 AM,77337,4.727,,,,
73,04/12/12 07:45:00 AM,77324,4.727,,,,
74,04/12/12 08:00:00 AM,77324,4.727,,,,
75,04/12/12 08:15:00 AM,77311,4.727,,,,
76,04/12/12 08:30:00 AM,77324,4.727,,,,
77,04/12/12 08:45:00 AM,77311,4.727,,,,
78,04/12/12 09:00:00 AM,77324,4.727,,,,
79,04/12/12 09:15:00 AM,77337,4.727,,,,
80,04/12/12 09:30:00 AM,77324,4.727,,,,
81,04/12/12 09:45:00 AM,77324,4.727,,,,
82,04/12/12 10:00:00 AM,77324,4.727,,,,
83,04/12/12 10:15:00 AM,77324,4.727,,,,
84,04/12/12 10:30:00 AM,77285,4.727,,,,
85,04/12/12 10:45:00 AM,77285,4.727,,,,
86,04/12/12 11:00:00 AM,77298,4.727,,,,
87,04/12/12 11:15:00 AM,77298,4.727,,,,
88,04/12/12 11:30:00 AM,77298,4.727,,,,
89,04/12/12 11:45:00 AM,77285,4.727,,,,
90,04/12/12 12:00:00 PM,77298,4.727,,,,
91,04/12/12 12:15:00 PM,77272,4.727,,,,
92,04/12/12 12:30:00 PM,77259,4.727,,,,
93,04/12/12 12:45:00 PM,77259,4.727,,,,
94,04/12/12 01:00:00 PM,77259,4.727,,,,
95,04/12/12 01:15:00 PM,77246,4.727,,,,
96,04/12/12 01:30:00 PM,77220,4.727,,,,
97,04/12/12 01:45:00 PM,77207,4.727,,,,
98,04/12/12 02:00:00 PM,77232,4.623,,,,
99,04/12/12 02:15:00 PM,77245,4.623,,,,
100,04/12/12 02:30:00 PM,77232,4.623,,,,
101,04/12/12 02:45:00 PM,77245,4.623,,,,
102,04/12/12 03:00:00 PM,77206,4.623,,,,
103,04/12/12 03:15:00 PM,77206,4.623,,,,
104,04/12/12 03:30:00 PM,77193,4.623,,,,
105,04/12/12 03:45:00 PM,77180,4.623,,,,
106,04/12/12 04:00:00 PM,77153,4.623,,,,
107,04/12/12 04:15:00 PM,77193,4.623,,,,
108,04/12/12 04:30:00 PM,77180,4.623,,,,
109,04/12/12 04:45:00 PM,77180,4.623,,,,
110,04/12/12 05:00:00 PM,77180,4.623,,,,
111,04/12/12 05:15:00 PM,77167,4.623,,,,
112,04/12/12 05:30:00 PM,77140,4.623,,,,
113,04/12/12 05:45:00 PM,77167,4.623,,,,
114,04/12/12 06:00:00 PM,77167,4.623,,,,
115,04/12/12 06:15:00 PM,77180,4.623,,,,
116,04/12/12 06:30:00 PM,77167,4.623,,,,
117,04/12/12 06:45:00 PM,77167,4.623,,,,
118,04/12/12 07:00:00 PM,77153,4.623,,,,
119,04/12/12 07:15:00 PM,77153,4.623,,,,
120,04/12/12 07:30:00 PM,77153,4.623,,,,
121,04/12/12 07:45:00 PM,77140,4.623,,,,
122,04/12/12 08:00:00 PM,77153,4.623,,,,
123,04/12/12 08:15:00 PM,77193,4.623,,,,
124,04/12/12 08:30:00 PM,77180,4.623,,,,
125,04/12/12 08:45:00 PM,77193,4.623,,,,
126,04/12/12 09:00:00 PM,77206,4.623,,,,
127,04/12/12 09:15:00 PM,77232,4.623,,,,
128,04/12/12 09:30:00 PM,77219,4.623,,,,
129,04/12/12 09:45:00 PM,77219,4.623,,,,
130,04/12/12 10:00:00 PM,77232,4.623,,,,
131,04/12/12 10:15:00 PM,77219,4.623,,,,
132,04/12/12 10:30:00 PM,77232,4.623,,,,
133,04/12/12 10:45:00 PM,77232,4.623,,,,
134,04/12/12 11:00:00 PM,77206,4.623,,,,
135,04/12/12 11:15:00 PM,77232,4.623,,,,
136,04/12/12 11:30:00 PM,77233,4.727,,,,
137,04/12/12 11:45:00 PM,77246,4.727,,,,
138,04/13/12 12:00:00 AM,77246,4.727,,,,
139,04/13/12 12:15:00 AM,77259,4.727,,,,
140,04/13/12 12:30:00 AM,77246,4.727,,,,
141,04/13/12 12:45:00 AM,77285,4.727,,,,
142,04/13/12 01:00:00 AM,77259,4.727,,,,
143,04/13/12 01:15:00 AM,77246,4.727,,,,
144,04/13/12 01:30:00 AM,77259,4.727,,,,
145,04/13/12 01:45:00 AM,77298,4.727,,,,
146,04/13/12 02:00:00 AM,77246,4.727,,,,
147,04/13/12 02:15:00 AM,77246,4.727,,,,
148,04/13/12 02:30:00 AM,77285,4.727,,,,
149,04/13/12 02:45:00 AM,77272,4.727,,,,
150,04/13/12 03:00:00 AM,77259,4.727,,,,
151,04/13/12 03:15:00 AM,77272,4.727,,,,
152,04/13/12 03:30:00 AM,77272,4.727,,,,
153,04/13/12 03:45:00 AM,77272,4.727,,,,
154,04/13/12 04:00:00 AM,77285,4.727,,,,
155,04/13/12 04:15:00 AM,77272,4.727,,,,
156,04/13/12 04:30:00 AM,77285,4.727,,,,
157,04/13/12 04:45:00 AM,77272,4.727,,,,
158,04/13/12 05:00:00 AM,77272,4.727,,,,
159,04/13/12 05:15:00 AM,77272,4.727,,,,
160,04/13/12 05:30:00 AM,77259,4.727,,,,
161,04/13/12 05:45:00 AM,77246,4.727,,,,
162,04/13/12 06:00:00 AM,77246,4.727,,,,
163,04/13/12 06:15:00 AM,77233,4.727,,,,
164,04/13/12 06:30:00 AM,77220,4.727,,,,
165,04/13/12 06:45:00 AM,77220,4.727,,,,
166,04/13/12 07:00:00 AM,77207,4.727,,,,
167,04/13/12 07:15:00 AM,77207,4.727,,,,
168,04/13/12 07:30:00 AM,77220,4.727,,,,
169,04/13/12 07:45:00 AM,77233,4.727,,,,
170,04/13/12 08:00:00 AM,77259,4.727,,,,
171,04/13/12 08:15:00 AM,77246,4.727,,,,
172,04/13/12 08:30:00 AM,77259,4.727,,,,
173,04/13/12 08:45:00 AM,77259,4.727,,,,
174,04/13/12 09:00:00 AM,77259,4.727,,,,
175,04/13/12 09:15:00 AM,77258,4.623,,,,
176,04/13/12 09:30:00 AM,77271,4.623,,,,
177,04/13/12 09:45:00 AM,77245,4.623,,,,
178,04/13/12 10:00:00 AM,77258,4.623,,,,
179,04/13/12 10:15:00 AM,77284,4.623,,,,
180,04/13/12 10:30:00 AM,77258,4.623,,,,
181,04/13/12 10:45:00 AM,77245,4.623,,,,
182,04/13/12 11:00:00 AM,77245,4.623,,,,
183,04/13/12 11:15:00 AM,77206,4.623,,,,
184,04/13/12 11:30:00 AM,77167,4.623,,,,
185,04/13/12 11:45:00 AM,77167,4.623,,,,
186,04/13/12 12:00:00 PM,77114,4.623,,,,
187,04/13/12 12:15:00 PM,77088,4.623,,,,
188,04/13/12 12:30:00 PM,77087,4.519,,,,
