"Plot Title: upr_efj_gage"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811665, SEN S/N: 9811665)","Temp, °C (LGR S/N: 9811665, SEN S/N: 9811665)","Coupler Detached (LGR S/N: 9811665)","Coupler Attached (LGR S/N: 9811665)","Host Connected (LGR S/N: 9811665)","Stopped (LGR S/N: 9811665)","End Of File (LGR S/N: 9811665)"
1,09/12/13 03:45:00 PM,120963,26.781,Logged,,,,
2,09/12/13 03:49:04 PM,,,,Logged,,,
3,09/12/13 03:55:47 PM,,,Logged,,,,
4,09/12/13 04:00:00 PM,116153,23.196,,,,,
5,09/12/13 04:15:00 PM,119394,22.525,,,,,
6,09/12/13 04:30:00 PM,133553,22.525,,,,,
7,09/12/13 04:45:00 PM,149614,22.525,,,,,
8,09/12/13 05:00:00 PM,165557,22.429,,,,,
9,09/12/13 05:15:00 PM,170410,22.429,,,,,
10,09/12/13 05:30:00 PM,171233,22.429,,,,,
11,09/12/13 05:45:00 PM,170367,22.333,,,,,
12,09/12/13 06:00:00 PM,170009,22.333,,,,,
13,09/12/13 06:15:00 PM,168855,22.333,,,,,
14,09/12/13 06:30:00 PM,168113,22.333,,,,,
15,09/12/13 06:45:00 PM,167168,22.238,,,,,
16,09/12/13 07:00:00 PM,168468,22.238,,,,,
17,09/12/13 07:15:00 PM,168613,22.238,,,,,
18,09/12/13 07:30:00 PM,168809,22.142,,,,,
19,09/12/13 07:45:00 PM,168398,22.142,,,,,
20,09/12/13 08:00:00 PM,169393,22.142,,,,,
21,09/12/13 08:15:00 PM,170268,22.142,,,,,
22,09/12/13 08:30:00 PM,169628,22.046,,,,,
23,09/12/13 08:45:00 PM,169416,22.046,,,,,
24,09/12/13 09:00:00 PM,169257,22.046,,,,,
25,09/12/13 09:15:00 PM,167718,22.046,,,,,
26,09/12/13 09:30:00 PM,167357,21.951,,,,,
27,09/12/13 09:45:00 PM,164666,21.951,,,,,
28,09/12/13 10:00:00 PM,163010,21.951,,,,,
29,09/12/13 10:15:00 PM,163222,21.951,,,,,
30,09/12/13 10:30:00 PM,162689,21.855,,,,,
31,09/12/13 10:45:00 PM,162543,21.855,,,,,
32,09/12/13 11:00:00 PM,162198,21.855,,,,,
33,09/12/13 11:15:00 PM,162036,21.760,,,,,
34,09/12/13 11:30:00 PM,161467,21.760,,,,,
