"Plot Title: 9811669_efjabovejara20190725"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811669, SEN S/N: 9811669)","Temp, °C (LGR S/N: 9811669, SEN S/N: 9811669)","Coupler Detached (LGR S/N: 9811669)","End Of File (LGR S/N: 9811669)"
1,07/25/19 11:45:00 AM,78980,17.284,Logged,
2,07/25/19 12:00:00 PM,78952,16.332,,
3,07/25/19 12:15:00 PM,78922,16.237,,
4,07/25/19 12:30:00 PM,78919,16.141,,
5,07/25/19 12:45:00 PM,78983,16.141,,
6,07/25/19 01:00:00 PM,79007,16.046,,
7,07/25/19 01:15:00 PM,79062,16.046,,
8,07/25/19 01:30:00 PM,79053,16.046,,
9,07/25/19 01:45:00 PM,79071,16.046,,
10,07/25/19 02:00:00 PM,79062,16.046,,
11,07/25/19 02:15:00 PM,79062,16.046,,
12,07/25/19 02:30:00 PM,79053,16.046,,
13,07/25/19 02:45:00 PM,79062,16.046,,
14,07/25/19 03:00:00 PM,79062,16.046,,
15,07/25/19 03:15:00 PM,79053,16.046,,
16,07/25/19 03:30:00 PM,79062,16.046,,
17,07/25/19 03:45:00 PM,79062,16.046,,
18,07/25/19 04:00:00 PM,79062,16.046,,
19,07/25/19 04:15:00 PM,79056,16.141,,
20,07/25/19 04:30:00 PM,79019,16.141,,
21,07/25/19 04:45:00 PM,79019,16.141,,
22,07/25/19 05:00:00 PM,79010,16.141,,
23,07/25/19 05:15:00 PM,79019,16.141,,
24,07/25/19 05:30:00 PM,78995,16.237,,
25,07/25/19 05:45:00 PM,78995,16.237,,
26,07/25/19 06:00:00 PM,79004,16.237,,
27,07/25/19 06:15:00 PM,79013,16.237,,
28,07/25/19 06:30:00 PM,79016,16.332,,
29,07/25/19 06:45:00 PM,79043,16.332,,
30,07/25/19 07:00:00 PM,79098,16.332,,
31,07/25/19 07:15:00 PM,79155,16.427,,
32,07/25/19 07:30:00 PM,79192,16.427,,
33,07/25/19 07:45:00 PM,79137,16.427,,
34,07/25/19 08:00:00 PM,79155,16.427,,
35,07/25/19 08:15:00 PM,79222,16.523,,
36,07/25/19 08:30:00 PM,79240,16.523,,
37,07/25/19 08:45:00 PM,79258,16.523,,
38,07/25/19 09:00:00 PM,79286,16.523,,
39,07/25/19 09:15:00 PM,79322,16.523,,
40,07/25/19 09:30:00 PM,79350,16.523,,
41,07/25/19 09:45:00 PM,79368,16.523,,
42,07/25/19 10:00:00 PM,79404,16.523,,
43,07/25/19 10:15:00 PM,79432,16.523,,
44,07/25/19 10:30:00 PM,79487,16.523,,
45,07/25/19 10:45:00 PM,79487,16.523,,
46,07/25/19 11:00:00 PM,79477,16.523,,
47,07/25/19 11:15:00 PM,79450,16.523,,
48,07/25/19 11:30:00 PM,79468,16.523,,
49,07/25/19 11:45:00 PM,79465,16.427,,
50,07/26/19 12:00:00 AM,79484,16.427,,
51,07/26/19 12:15:00 AM,79484,16.427,,
52,07/26/19 12:30:00 AM,79490,16.332,,
53,07/26/19 12:45:00 AM,79472,16.332,,
54,07/26/19 01:00:00 AM,79454,16.332,,
55,07/26/19 01:15:00 AM,79451,16.237,,
56,07/26/19 01:30:00 AM,79423,16.237,,
57,07/26/19 01:45:00 AM,79423,16.237,,
58,07/26/19 02:00:00 AM,79420,16.141,,
59,07/26/19 02:15:00 AM,79430,16.141,,
60,07/26/19 02:30:00 AM,79427,16.046,,
61,07/26/19 02:45:00 AM,79436,16.046,,
62,07/26/19 03:00:00 AM,79442,15.951,,
63,07/26/19 03:15:00 AM,79451,15.951,,
64,07/26/19 03:30:00 AM,79448,15.855,,
65,07/26/19 03:45:00 AM,79458,15.855,,
66,07/26/19 04:00:00 AM,79439,15.855,,
67,07/26/19 04:15:00 AM,79436,15.760,,
68,07/26/19 04:30:00 AM,79436,15.760,,
69,07/26/19 04:45:00 AM,79434,15.664,,
70,07/26/19 05:00:00 AM,79443,15.664,,
71,07/26/19 05:15:00 AM,79431,15.569,,
72,07/26/19 05:30:00 AM,79449,15.569,,
73,07/26/19 05:45:00 AM,79446,15.473,,
74,07/26/19 06:00:00 AM,79446,15.473,,
75,07/26/19 06:15:00 AM,79453,15.378,,
76,07/26/19 06:30:00 AM,79462,15.378,,
77,07/26/19 06:45:00 AM,79459,15.282,,
78,07/26/19 07:00:00 AM,79468,15.282,,
79,07/26/19 07:15:00 AM,79483,15.187,,
80,07/26/19 07:30:00 AM,79492,15.187,,
81,07/26/19 07:45:00 AM,79511,15.187,,
82,07/26/19 08:00:00 AM,79508,15.091,,
83,07/26/19 08:15:00 AM,79517,15.091,,
84,07/26/19 08:30:00 AM,79535,15.091,,
85,07/26/19 08:45:00 AM,79544,15.091,,
86,07/26/19 09:00:00 AM,79544,15.091,,
87,07/26/19 09:15:00 AM,79563,15.091,,
88,07/26/19 09:30:00 AM,79560,14.996,,
89,07/26/19 09:45:00 AM,79551,14.996,,
90,07/26/19 10:00:00 AM,79542,14.996,,
91,07/26/19 10:15:00 AM,79535,15.091,,
92,07/26/19 10:30:00 AM,79544,15.091,,
93,07/26/19 10:45:00 AM,79544,15.091,,
94,07/26/19 11:00:00 AM,79544,15.091,,
95,07/26/19 11:15:00 AM,79544,15.091,,
96,07/26/19 11:30:00 AM,79517,15.091,,
97,07/26/19 11:45:00 AM,79529,15.187,,
98,07/26/19 12:00:00 PM,79520,15.187,,
99,07/26/19 12:15:00 PM,79520,15.187,,
100,07/26/19 12:30:00 PM,79514,15.282,,
101,07/26/19 12:45:00 PM,79504,15.282,,
102,07/26/19 01:00:00 PM,79495,15.282,,
103,07/26/19 01:15:00 PM,79489,15.378,,
104,07/26/19 01:30:00 PM,79462,15.378,,
105,07/26/19 01:45:00 PM,79446,15.473,,
106,07/26/19 02:00:00 PM,79440,15.569,,
107,07/26/19 02:15:00 PM,79413,15.569,,
108,07/26/19 02:30:00 PM,79406,15.664,,
109,07/26/19 02:45:00 PM,79388,15.664,,
110,07/26/19 03:00:00 PM,79364,15.760,,
111,07/26/19 03:15:00 PM,79357,15.855,,
112,07/26/19 03:30:00 PM,79330,15.855,,
113,07/26/19 03:45:00 PM,79324,15.951,,
114,07/26/19 04:00:00 PM,79336,16.046,,
115,07/26/19 04:15:00 PM,79317,16.046,,
116,07/26/19 04:30:00 PM,79311,16.141,,
117,07/26/19 04:45:00 PM,79296,16.237,,
118,07/26/19 05:00:00 PM,79286,16.237,,
119,07/26/19 05:15:00 PM,79289,16.332,,
120,07/26/19 05:30:00 PM,79262,16.332,,
121,07/26/19 05:45:00 PM,79256,16.427,,
122,07/26/19 06:00:00 PM,79246,16.427,,
123,07/26/19 06:15:00 PM,79258,16.523,,
124,07/26/19 06:30:00 PM,79304,16.523,,
125,07/26/19 06:45:00 PM,79252,16.618,,
126,07/26/19 07:00:00 PM,79270,16.618,,
127,07/26/19 07:15:00 PM,79282,16.713,,
128,07/26/19 07:30:00 PM,79301,16.713,,
129,07/26/19 07:45:00 PM,79322,16.808,,
130,07/26/19 08:00:00 PM,79340,16.808,,
131,07/26/19 08:15:00 PM,79358,16.808,,
132,07/26/19 08:30:00 PM,79370,16.903,,
133,07/26/19 08:45:00 PM,79379,16.903,,
134,07/26/19 09:00:00 PM,79388,16.903,,
135,07/26/19 09:15:00 PM,79407,16.903,,
136,07/26/19 09:30:00 PM,79391,16.999,,
137,07/26/19 09:45:00 PM,79419,16.999,,
138,07/26/19 10:00:00 PM,79419,16.999,,
139,07/26/19 10:15:00 PM,79437,16.999,,
140,07/26/19 10:30:00 PM,79446,16.999,,
141,07/26/19 10:45:00 PM,79428,16.999,,
142,07/26/19 11:00:00 PM,79455,16.999,,
143,07/26/19 11:15:00 PM,79464,16.999,,
144,07/26/19 11:30:00 PM,79473,16.999,,
145,07/26/19 11:45:00 PM,79483,16.999,,
146,07/27/19 12:00:00 AM,79492,16.999,,
147,07/27/19 12:15:00 AM,79473,16.999,,
148,07/27/19 12:30:00 AM,79471,16.903,,
149,07/27/19 12:45:00 AM,79471,16.903,,
150,07/27/19 01:00:00 AM,79516,16.903,,
151,07/27/19 01:15:00 AM,79525,16.903,,
152,07/27/19 01:30:00 AM,79513,16.808,,
153,07/27/19 01:45:00 AM,79522,16.808,,
154,07/27/19 02:00:00 AM,79550,16.808,,
155,07/27/19 02:15:00 AM,79538,16.713,,
156,07/27/19 02:30:00 AM,79510,16.713,,
157,07/27/19 02:45:00 AM,79492,16.713,,
158,07/27/19 03:00:00 AM,79435,16.618,,
159,07/27/19 03:15:00 AM,79435,16.618,,
160,07/27/19 03:30:00 AM,79404,16.523,,
161,07/27/19 03:45:00 AM,79395,16.523,,
162,07/27/19 04:00:00 AM,79392,16.427,,
163,07/27/19 04:15:00 AM,79402,16.427,,
164,07/27/19 04:30:00 AM,79399,16.332,,
165,07/27/19 04:45:00 AM,79390,16.332,,
166,07/27/19 05:00:00 AM,79396,16.237,,
167,07/27/19 05:15:00 AM,79405,16.237,,
168,07/27/19 05:30:00 AM,79411,16.141,,
169,07/27/19 05:45:00 AM,79420,16.141,,
170,07/27/19 06:00:00 AM,79418,16.046,,
171,07/27/19 06:15:00 AM,79424,15.951,,
172,07/27/19 06:30:00 AM,79439,15.855,,
173,07/27/19 06:45:00 AM,79448,15.855,,
174,07/27/19 07:00:00 AM,79464,15.760,,
175,07/27/19 07:15:00 AM,79488,15.664,,
176,07/27/19 07:30:00 AM,79488,15.664,,
177,07/27/19 07:45:00 AM,79486,15.569,,
178,07/27/19 08:00:00 AM,79513,15.569,,
179,07/27/19 08:15:00 AM,79504,15.569,,
180,07/27/19 08:30:00 AM,79501,15.473,,
181,07/27/19 08:45:00 AM,79492,15.473,,
182,07/27/19 09:00:00 AM,79483,15.473,,
183,07/27/19 09:15:00 AM,79474,15.473,,
184,07/27/19 09:30:00 AM,79474,15.473,,
185,07/27/19 09:45:00 AM,79474,15.473,,
186,07/27/19 10:00:00 AM,79483,15.473,,
187,07/27/19 10:15:00 AM,79483,15.473,,
188,07/27/19 10:30:00 AM,79474,15.473,,
189,07/27/19 10:45:00 AM,79483,15.473,,
190,07/27/19 11:00:00 AM,79474,15.473,,
191,07/27/19 11:15:00 AM,79446,15.473,,
192,07/27/19 11:30:00 AM,79431,15.569,,
193,07/27/19 11:45:00 AM,79413,15.569,,
194,07/27/19 12:00:00 PM,79413,15.569,,
195,07/27/19 12:15:00 PM,79440,15.569,,
196,07/27/19 12:30:00 PM,79406,15.664,,
197,07/27/19 12:45:00 PM,79397,15.664,,
198,07/27/19 01:00:00 PM,79370,15.664,,
199,07/27/19 01:15:00 PM,79373,15.760,,
200,07/27/19 01:30:00 PM,79357,15.855,,
201,07/27/19 01:45:00 PM,79348,15.855,,
202,07/27/19 02:00:00 PM,79342,15.951,,
203,07/27/19 02:15:00 PM,79360,15.951,,
204,07/27/19 02:30:00 PM,79336,16.046,,
205,07/27/19 02:45:00 PM,79363,16.046,,
206,07/27/19 03:00:00 PM,79375,16.141,,
207,07/27/19 03:15:00 PM,79350,16.237,,
208,07/27/19 03:30:00 PM,79314,16.237,,
209,07/27/19 03:45:00 PM,79298,16.332,,
210,07/27/19 04:00:00 PM,79310,16.427,,
211,07/27/19 04:15:00 PM,79283,16.427,,
212,07/27/19 04:30:00 PM,79277,16.523,,
213,07/27/19 04:45:00 PM,79243,16.618,,
214,07/27/19 05:00:00 PM,79255,16.713,,
215,07/27/19 05:15:00 PM,79273,16.713,,
216,07/27/19 05:30:00 PM,79340,16.808,,
217,07/27/19 05:45:00 PM,79361,16.903,,
218,07/27/19 06:00:00 PM,79361,16.903,,
219,07/27/19 06:15:00 PM,79382,16.999,,
220,07/27/19 06:30:00 PM,79458,17.094,,
221,07/27/19 06:45:00 PM,79376,17.094,,
222,07/27/19 07:00:00 PM,79370,17.189,,
223,07/27/19 07:15:00 PM,79360,17.189,,
224,07/27/19 07:30:00 PM,79372,17.284,,
225,07/27/19 07:45:00 PM,79372,17.284,,
226,07/27/19 08:00:00 PM,79384,17.379,,
227,07/27/19 08:15:00 PM,79394,17.379,,
228,07/27/19 08:30:00 PM,79412,17.379,,
229,07/27/19 08:45:00 PM,79451,17.475,,
230,07/27/19 09:00:00 PM,79488,17.475,,
231,07/27/19 09:15:00 PM,79515,17.475,,
232,07/27/19 09:30:00 PM,79552,17.475,,
233,07/27/19 09:45:00 PM,79563,17.570,,
234,07/27/19 10:00:00 PM,79609,17.570,,
235,07/27/19 10:15:00 PM,79618,17.570,,
236,07/27/19 10:30:00 PM,79600,17.570,,
237,07/27/19 10:45:00 PM,79637,17.570,,
238,07/27/19 11:00:00 PM,79615,17.475,,
239,07/27/19 11:15:00 PM,79625,17.475,,
240,07/27/19 11:30:00 PM,79622,17.379,,
241,07/27/19 11:45:00 PM,79640,17.379,,
242,07/28/19 12:00:00 AM,79646,17.284,,
243,07/28/19 12:15:00 AM,79655,17.284,,
244,07/28/19 12:30:00 AM,79625,17.189,,
245,07/28/19 12:45:00 AM,79622,17.094,,
246,07/28/19 01:00:00 AM,79641,17.094,,
247,07/28/19 01:15:00 AM,79702,16.999,,
248,07/28/19 01:30:00 AM,79711,16.999,,
249,07/28/19 01:45:00 AM,79708,16.903,,
250,07/28/19 02:00:00 AM,79690,16.903,,
251,07/28/19 02:15:00 AM,79641,16.808,,
252,07/28/19 02:30:00 AM,79632,16.808,,
253,07/28/19 02:45:00 AM,79629,16.713,,
254,07/28/19 03:00:00 AM,79620,16.713,,
255,07/28/19 03:15:00 AM,79617,16.618,,
256,07/28/19 03:30:00 AM,79614,16.523,,
257,07/28/19 03:45:00 AM,79605,16.523,,
258,07/28/19 04:00:00 AM,79611,16.427,,
259,07/28/19 04:15:00 AM,79599,16.332,,
260,07/28/19 04:30:00 AM,79572,16.332,,
261,07/28/19 04:45:00 AM,79569,16.237,,
262,07/28/19 05:00:00 AM,79585,16.141,,
263,07/28/19 05:15:00 AM,79594,16.141,,
264,07/28/19 05:30:00 AM,79600,16.046,,
265,07/28/19 05:45:00 AM,79616,15.951,,
266,07/28/19 06:00:00 AM,79616,15.951,,
267,07/28/19 06:15:00 AM,79631,15.855,,
268,07/28/19 06:30:00 AM,79628,15.760,,
269,07/28/19 06:45:00 AM,79610,15.760,,
270,07/28/19 07:00:00 AM,79625,15.664,,
271,07/28/19 07:15:00 AM,79632,15.569,,
272,07/28/19 07:30:00 AM,79650,15.569,,
273,07/28/19 07:45:00 AM,79647,15.473,,
274,07/28/19 08:00:00 AM,79647,15.473,,
275,07/28/19 08:15:00 AM,79653,15.378,,
276,07/28/19 08:30:00 AM,79662,15.378,,
277,07/28/19 08:45:00 AM,79662,15.378,,
278,07/28/19 09:00:00 AM,79653,15.378,,
279,07/28/19 09:15:00 AM,79659,15.282,,
280,07/28/19 09:30:00 AM,79650,15.282,,
281,07/28/19 09:45:00 AM,79641,15.282,,
282,07/28/19 10:00:00 AM,79641,15.282,,
283,07/28/19 10:15:00 AM,79650,15.282,,
284,07/28/19 10:30:00 AM,79632,15.282,,
285,07/28/19 10:45:00 AM,79644,15.378,,
286,07/28/19 11:00:00 AM,79635,15.378,,
287,07/28/19 11:15:00 AM,79635,15.378,,
288,07/28/19 11:30:00 AM,79626,15.378,,
289,07/28/19 11:45:00 AM,79638,15.473,,
290,07/28/19 12:00:00 PM,79620,15.473,,
291,07/28/19 12:15:00 PM,79620,15.473,,
292,07/28/19 12:30:00 PM,79613,15.569,,
293,07/28/19 12:45:00 PM,79604,15.569,,
294,07/28/19 01:00:00 PM,79604,15.569,,
295,07/28/19 01:15:00 PM,79598,15.664,,
296,07/28/19 01:30:00 PM,79580,15.664,,
297,07/28/19 01:45:00 PM,79601,15.760,,
298,07/28/19 02:00:00 PM,79585,15.855,,
299,07/28/19 02:15:00 PM,79585,15.855,,
300,07/28/19 02:30:00 PM,79561,15.951,,
301,07/28/19 02:45:00 PM,79543,15.951,,
302,07/28/19 03:00:00 PM,79536,16.046,,
303,07/28/19 03:15:00 PM,79503,16.141,,
304,07/28/19 03:30:00 PM,79496,16.237,,
305,07/28/19 03:45:00 PM,79469,16.237,,
306,07/28/19 04:00:00 PM,79454,16.332,,
307,07/28/19 04:15:00 PM,79447,16.427,,
308,07/28/19 04:30:00 PM,79429,16.427,,
309,07/28/19 04:45:00 PM,79423,16.523,,
310,07/28/19 05:00:00 PM,79407,16.618,,
311,07/28/19 05:15:00 PM,79392,16.713,,
312,07/28/19 05:30:00 PM,79386,16.808,,
313,07/28/19 05:45:00 PM,79376,16.808,,
314,07/28/19 06:00:00 PM,79370,16.903,,
315,07/28/19 06:15:00 PM,79373,16.999,,
316,07/28/19 06:30:00 PM,79367,17.094,,
317,07/28/19 06:45:00 PM,79360,17.189,,
318,07/28/19 07:00:00 PM,79379,17.189,,
319,07/28/19 07:15:00 PM,79382,17.284,,
320,07/28/19 07:30:00 PM,79384,17.379,,
321,07/28/19 07:45:00 PM,79394,17.379,,
322,07/28/19 08:00:00 PM,79405,17.475,,
323,07/28/19 08:15:00 PM,79417,17.570,,
324,07/28/19 08:30:00 PM,79417,17.570,,
325,07/28/19 08:45:00 PM,79439,17.665,,
326,07/28/19 09:00:00 PM,79457,17.665,,
327,07/28/19 09:15:00 PM,79469,17.760,,
328,07/28/19 09:30:00 PM,79487,17.760,,
329,07/28/19 09:45:00 PM,79505,17.760,,
