Plot Title: EFJabvJARAM20180601,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1028728, SEN S/N: 1028728)","Temp, °C (LGR S/N: 1028728, SEN S/N: 1028728)",Coupler Detached (LGR S/N: 1028728),Coupler Attached (LGR S/N: 1028728),Stopped (LGR S/N: 1028728),End Of File (LGR S/N: 1028728)
1,6/1/2018,14:45:00,281811,12.787,Logged,,,
2,6/1/2018,15:00:00,281796,12.594,,,,
3,6/1/2018,15:15:00,281796,12.594,,,,
4,6/1/2018,15:30:00,281796,12.594,,,,
5,6/1/2018,15:45:00,281803,12.69,,,,
6,6/1/2018,16:00:00,281803,12.69,,,,
7,6/1/2018,16:15:00,281811,12.787,,,,
8,6/1/2018,16:30:00,281819,12.883,,,,
9,6/1/2018,16:45:00,281826,12.98,,,,
10,6/1/2018,17:00:00,281834,13.076,,,,
11,6/1/2018,17:15:00,281842,13.173,,,,
12,6/1/2018,17:30:00,281857,13.365,,,,
13,6/1/2018,17:45:00,281865,13.461,,,,
14,6/1/2018,18:00:00,281873,13.558,,,,
15,6/1/2018,18:15:00,281880,13.654,,,,
16,6/1/2018,18:30:00,281888,13.75,,,,
17,6/1/2018,18:45:00,281888,13.75,,,,
18,6/1/2018,19:00:00,281896,13.846,,,,
19,6/1/2018,19:15:00,281903,13.942,,,,
20,6/1/2018,19:30:00,281911,14.038,,,,
21,6/1/2018,19:45:00,281911,14.038,,,,
22,6/1/2018,20:00:00,281919,14.134,,,,
23,6/1/2018,20:15:00,281919,14.134,,,,
24,6/1/2018,20:30:00,281919,14.134,,,,
25,6/1/2018,20:45:00,281926,14.23,,,,
26,6/1/2018,21:00:00,281926,14.23,,,,
27,6/1/2018,21:15:00,281926,14.23,,,,
28,6/1/2018,21:30:00,281926,14.23,,,,
29,6/1/2018,21:45:00,281926,14.23,,,,
30,6/1/2018,22:00:00,281926,14.23,,,,
31,6/1/2018,22:15:00,281926,14.23,,,,
32,6/1/2018,22:30:00,281919,14.134,,,,
33,6/1/2018,22:45:00,281919,14.134,,,,
34,6/1/2018,23:00:00,281919,14.134,,,,
35,6/1/2018,23:15:00,281911,14.038,,,,
36,6/1/2018,23:30:00,281911,14.038,,,,
37,6/1/2018,23:45:00,281903,13.942,,,,
38,6/2/2018,0:00:00,281903,13.942,,,,
39,6/2/2018,0:15:00,281896,13.846,,,,
40,6/2/2018,0:30:00,281888,13.75,,,,
41,6/2/2018,0:45:00,281880,13.654,,,,
42,6/2/2018,1:00:00,281873,13.558,,,,
