"Plot Title: up_efj"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)","Coupler Detached (LGR S/N: 9811661)","End Of File (LGR S/N: 9811661)"
1,09/16/13 05:00:00 PM,81633,14.230,Logged,
2,09/16/13 05:15:00 PM,81622,14.230,,
3,09/16/13 05:30:00 PM,81599,14.230,,
4,09/16/13 05:45:00 PM,81573,14.134,,
5,09/16/13 06:00:00 PM,81596,14.134,,
6,09/16/13 06:15:00 PM,81538,14.134,,
7,09/16/13 06:30:00 PM,81538,14.134,,
8,09/16/13 06:45:00 PM,81538,14.134,,
9,09/16/13 07:00:00 PM,81515,14.134,,
10,09/16/13 07:15:00 PM,81503,14.134,,
11,09/16/13 07:30:00 PM,81491,14.134,,
12,09/16/13 07:45:00 PM,81491,14.134,,
13,09/16/13 08:00:00 PM,81468,14.134,,
14,09/16/13 08:15:00 PM,81478,14.038,,
15,09/16/13 08:30:00 PM,81478,14.038,,
16,09/16/13 08:45:00 PM,81478,14.038,,
17,09/16/13 09:00:00 PM,81478,14.038,,
18,09/16/13 09:15:00 PM,81489,14.038,,
19,09/16/13 09:30:00 PM,81489,14.038,,
20,09/16/13 09:45:00 PM,81478,14.038,,
21,09/16/13 10:00:00 PM,81501,14.038,,
22,09/16/13 10:15:00 PM,81489,14.038,,
23,09/16/13 10:30:00 PM,81478,14.038,,
24,09/16/13 10:45:00 PM,81454,14.038,,
25,09/16/13 11:00:00 PM,81466,14.038,,
26,09/16/13 11:15:00 PM,81478,14.038,,
27,09/16/13 11:30:00 PM,81466,14.038,,
28,09/16/13 11:45:00 PM,81478,14.038,,
29,09/17/13 12:00:00 AM,81478,14.038,,
30,09/17/13 12:15:00 AM,81489,14.038,,
31,09/17/13 12:30:00 AM,81489,14.038,,
32,09/17/13 12:45:00 AM,81491,14.134,,
33,09/17/13 01:00:00 AM,81503,14.134,,
34,09/17/13 01:15:00 AM,81480,14.134,,
35,09/17/13 01:30:00 AM,81515,14.134,,
36,09/17/13 01:45:00 AM,81526,14.134,,
37,09/17/13 02:00:00 AM,81538,14.134,,
38,09/17/13 02:15:00 AM,81550,14.134,,
39,09/17/13 02:30:00 AM,81573,14.134,,
40,09/17/13 02:45:00 AM,81573,14.134,,
41,09/17/13 03:00:00 AM,81573,14.134,,
42,09/17/13 03:15:00 AM,81620,14.134,,
43,09/17/13 03:30:00 AM,81608,14.134,,
44,09/17/13 03:45:00 AM,81620,14.134,,
45,09/17/13 04:00:00 AM,81654,14.134,,
46,09/17/13 04:15:00 AM,81666,14.134,,
47,09/17/13 04:30:00 AM,81689,14.134,,
48,09/17/13 04:45:00 AM,81724,14.134,,
49,09/17/13 05:00:00 AM,81713,14.134,,
50,09/17/13 05:15:00 AM,81701,14.134,,
51,09/17/13 05:30:00 AM,81713,14.134,,
52,09/17/13 05:45:00 AM,81713,14.134,,
53,09/17/13 06:00:00 AM,81736,14.134,,
54,09/17/13 06:15:00 AM,81736,14.134,,
55,09/17/13 06:30:00 AM,81745,14.038,,
56,09/17/13 06:45:00 AM,81734,14.038,,
57,09/17/13 07:00:00 AM,81757,14.038,,
58,09/17/13 07:15:00 AM,81780,14.038,,
59,09/17/13 07:30:00 AM,81766,13.942,,
60,09/17/13 07:45:00 AM,81766,13.942,,
61,09/17/13 08:00:00 AM,81766,13.942,,
62,09/17/13 08:15:00 AM,81778,13.942,,
63,09/17/13 08:30:00 AM,81752,13.846,,
64,09/17/13 08:45:00 AM,81741,13.846,,
65,09/17/13 09:00:00 AM,81741,13.846,,
66,09/17/13 09:15:00 AM,81729,13.846,,
67,09/17/13 09:30:00 AM,81718,13.846,,
68,09/17/13 09:45:00 AM,81718,13.846,,
69,09/17/13 10:00:00 AM,81694,13.846,,
70,09/17/13 10:15:00 AM,81671,13.846,,
71,09/17/13 10:30:00 AM,81648,13.846,,
72,09/17/13 10:45:00 AM,81659,13.846,,
73,09/17/13 11:00:00 AM,81624,13.846,,
74,09/17/13 11:15:00 AM,81613,13.846,,
75,09/17/13 11:30:00 AM,81589,13.846,,
76,09/17/13 11:45:00 AM,81589,13.846,,
77,09/17/13 12:00:00 PM,81557,13.942,,
78,09/17/13 12:15:00 PM,81522,13.942,,
79,09/17/13 12:30:00 PM,81510,13.942,,
80,09/17/13 12:45:00 PM,81510,13.942,,
81,09/17/13 01:00:00 PM,81475,13.942,,
82,09/17/13 01:15:00 PM,81440,13.942,,
83,09/17/13 01:30:00 PM,81417,13.942,,
84,09/17/13 01:45:00 PM,81394,13.942,,
85,09/17/13 02:00:00 PM,81370,13.942,,
86,09/17/13 02:15:00 PM,81335,13.942,,
87,09/17/13 02:30:00 PM,81324,13.942,,
88,09/17/13 02:45:00 PM,81312,13.942,,
89,09/17/13 03:00:00 PM,81277,13.942,,
