"Plot Title: EFJ abv Jaram 9811661 20140502-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)","Batt, V (LGR S/N: 9811661, SEN S/N: 9811661)","Coupler Detached (LGR S/N: 9811661)","Coupler Attached (LGR S/N: 9811661)","Stopped (LGR S/N: 9811661)","End Of File (LGR S/N: 9811661)"
1,05/02/14 01:00:00 PM,74692,5.655,3.48,Logged,,,
2,05/02/14 01:15:00 PM,78135,8.182,3.48,,,,
3,05/02/14 01:30:00 PM,78146,7.582,3.48,,,,
4,05/02/14 01:45:00 PM,78147,7.079,3.48,,,,
5,05/02/14 02:00:00 PM,78149,6.573,3.48,,,,
6,05/02/14 02:15:00 PM,78117,6.166,3.46,,,,
7,05/02/14 02:30:00 PM,78111,5.860,3.46,,,,
8,05/02/14 02:45:00 PM,78107,5.655,3.46,,,,
9,05/02/14 03:00:00 PM,78078,5.347,3.46,,,,
10,05/02/14 03:15:00 PM,78064,5.244,3.46,,,,
11,05/02/14 03:30:00 PM,78072,5.037,3.46,,,,
12,05/02/14 03:45:00 PM,78058,4.934,3.46,,,,
13,05/02/14 04:00:00 PM,78031,4.727,3.48,,,,
14,05/02/14 04:15:00 PM,78040,4.623,3.48,,,,
15,05/02/14 04:30:00 PM,78026,4.519,3.48,,,,
16,05/02/14 04:45:00 PM,78024,4.415,3.48,,,,
17,05/02/14 05:00:00 PM,78013,4.415,3.48,,,,
18,05/02/14 05:15:00 PM,78022,4.311,3.48,,,,
19,05/02/14 05:30:00 PM,77986,4.207,3.48,,,,
20,05/02/14 05:45:00 PM,78007,4.102,3.48,,,,
21,05/02/14 06:00:00 PM,77995,4.102,3.48,,,,
22,05/02/14 06:15:00 PM,78016,3.998,3.48,,,,
23,05/02/14 06:30:00 PM,78005,3.998,3.48,,,,
24,05/02/14 06:45:00 PM,78005,3.998,3.48,,,,
25,05/02/14 07:00:00 PM,77993,3.998,3.48,,,,
26,05/02/14 07:15:00 PM,77991,3.893,3.48,,,,
27,05/02/14 07:30:00 PM,77991,3.893,3.48,,,,
28,05/02/14 07:45:00 PM,78014,3.893,3.48,,,,
29,05/02/14 08:00:00 PM,78038,3.893,3.48,,,,
30,05/02/14 08:15:00 PM,78047,3.788,3.48,,,,
31,05/02/14 08:30:00 PM,78059,3.788,3.48,,,,
32,05/02/14 08:45:00 PM,78070,3.788,3.48,,,,
33,05/02/14 09:00:00 PM,78070,3.788,3.48,,,,
34,05/02/14 09:15:00 PM,78070,3.788,3.48,,,,
35,05/02/14 09:30:00 PM,78092,3.683,3.48,,,,
36,05/02/14 09:45:00 PM,78115,3.683,3.48,,,,
37,05/02/14 10:00:00 PM,78103,3.683,3.48,,,,
38,05/02/14 10:15:00 PM,78115,3.683,3.48,,,,
39,05/02/14 10:30:00 PM,78070,3.788,3.48,,,,
40,05/02/14 10:45:00 PM,78072,3.893,3.48,,,,
41,05/02/14 11:00:00 PM,78084,3.893,3.48,,,,
42,05/02/14 11:15:00 PM,78084,3.893,3.48,,,,
43,05/02/14 11:30:00 PM,78059,3.788,3.48,,,,
44,05/02/14 11:45:00 PM,78094,3.788,3.48,,,,
45,05/03/14 12:00:00 AM,78070,3.788,3.48,,,,
46,05/03/14 12:15:00 AM,78082,3.788,3.48,,,,
47,05/03/14 12:30:00 AM,78094,3.788,3.48,,,,
48,05/03/14 12:45:00 AM,78080,3.683,3.48,,,,
49,05/03/14 01:00:00 AM,78080,3.683,3.48,,,,
50,05/03/14 01:15:00 AM,78068,3.683,3.48,,,,
51,05/03/14 01:30:00 AM,78092,3.683,3.48,,,,
52,05/03/14 01:45:00 AM,78080,3.683,3.48,,,,
53,05/03/14 02:00:00 AM,78068,3.683,3.48,,,,
54,05/03/14 02:15:00 AM,78068,3.683,3.48,,,,
55,05/03/14 02:30:00 AM,78057,3.683,3.48,,,,
56,05/03/14 02:45:00 AM,78078,3.578,3.48,,,,
57,05/03/14 03:00:00 AM,78066,3.578,3.48,,,,
58,05/03/14 03:15:00 AM,78055,3.578,3.48,,,,
59,05/03/14 03:30:00 AM,78055,3.578,3.48,,,,
60,05/03/14 03:45:00 AM,78078,3.578,3.48,,,,
61,05/03/14 04:00:00 AM,78055,3.578,3.48,,,,
62,05/03/14 04:15:00 AM,78055,3.578,3.48,,,,
63,05/03/14 04:30:00 AM,78053,3.472,3.48,,,,
64,05/03/14 04:45:00 AM,78053,3.472,3.48,,,,
65,05/03/14 05:00:00 AM,78053,3.472,3.48,,,,
66,05/03/14 05:15:00 AM,78076,3.472,3.48,,,,
67,05/03/14 05:30:00 AM,78064,3.472,3.48,,,,
