"Plot Title: EFJ abv Jaram 9811661 20141028-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)","Coupler Detached (LGR S/N: 9811661)","Coupler Attached (LGR S/N: 9811661)","Stopped (LGR S/N: 9811661)","End Of File (LGR S/N: 9811661)"
1,10/28/14 12:00:00 PM,79034,4.934,Logged,,,
2,10/28/14 12:30:00 PM,79006,4.727,,,,
3,10/28/14 01:00:00 PM,79006,4.727,,,,
4,10/28/14 01:30:00 PM,78974,4.831,,,,
5,10/28/14 02:00:00 PM,78950,4.831,,,,
6,10/28/14 02:30:00 PM,78929,4.934,,,,
7,10/28/14 03:00:00 PM,78917,4.934,,,,
8,10/28/14 03:30:00 PM,78920,5.037,,,,
9,10/28/14 04:00:00 PM,78908,5.037,,,,
10,10/28/14 04:30:00 PM,78956,5.141,,,,
11,10/28/14 05:00:00 PM,78956,5.141,,,,
12,10/28/14 05:30:00 PM,78982,5.244,,,,
13,10/28/14 06:00:00 PM,78993,5.244,,,,
14,10/28/14 06:30:00 PM,79028,5.244,,,,
15,10/28/14 07:00:00 PM,79042,5.347,,,,
16,10/28/14 07:30:00 PM,79077,5.347,,,,
17,10/28/14 08:00:00 PM,79100,5.347,,,,
18,10/28/14 08:30:00 PM,79121,5.244,,,,
19,10/28/14 09:00:00 PM,79131,5.141,,,,
20,10/28/14 09:30:00 PM,79131,5.141,,,,
21,10/28/14 10:00:00 PM,79164,5.037,,,,
22,10/28/14 10:30:00 PM,79150,4.934,,,,
23,10/28/14 11:00:00 PM,79148,4.831,,,,
24,10/28/14 11:30:00 PM,79125,4.831,,,,
25,10/29/14 12:00:00 AM,79146,4.727,,,,
26,10/29/14 12:30:00 AM,79167,4.623,,,,
27,10/29/14 01:00:00 AM,79167,4.623,,,,
28,10/29/14 01:30:00 AM,79188,4.519,,,,
29,10/29/14 02:00:00 AM,79176,4.519,,,,
30,10/29/14 02:30:00 AM,79174,4.415,,,,
31,10/29/14 03:00:00 AM,79151,4.415,,,,
32,10/29/14 03:30:00 AM,79151,4.415,,,,
33,10/29/14 04:00:00 AM,79172,4.311,,,,
34,10/29/14 04:30:00 AM,79161,4.311,,,,
35,10/29/14 05:00:00 AM,79149,4.311,,,,
36,10/29/14 05:30:00 AM,79172,4.311,,,,
37,10/29/14 06:00:00 AM,79184,4.311,,,,
38,10/29/14 06:30:00 AM,79196,4.311,,,,
39,10/29/14 07:00:00 AM,79207,4.311,,,,
40,10/29/14 07:30:00 AM,79230,4.311,,,,
41,10/29/14 08:00:00 AM,79254,4.311,,,,
42,10/29/14 08:30:00 AM,79254,4.311,,,,
43,10/29/14 09:00:00 AM,79277,4.311,,,,
44,10/29/14 09:30:00 AM,79252,4.207,,,,
45,10/29/14 10:00:00 AM,79265,4.311,,,,
46,10/29/14 10:30:00 AM,79242,4.311,,,,
47,10/29/14 11:00:00 AM,79242,4.311,,,,
48,10/29/14 11:30:00 AM,79217,4.207,,,,
49,10/29/14 12:00:00 PM,79217,4.207,,,,
50,10/29/14 12:30:00 PM,79170,4.207,,,,
51,10/29/14 01:00:00 PM,79147,4.207,,,,
52,10/29/14 01:30:00 PM,79124,4.207,,,,
53,10/29/14 02:00:00 PM,79089,4.207,,,,
54,10/29/14 02:30:00 PM,79054,4.207,,,,
55,10/29/14 03:00:00 PM,79066,4.207,,,,
56,10/29/14 03:30:00 PM,79054,4.207,,,,
57,10/29/14 04:00:00 PM,79056,4.311,,,,
58,10/29/14 04:30:00 PM,79091,4.311,,,,
59,10/29/14 05:00:00 PM,79091,4.311,,,,
60,10/29/14 05:30:00 PM,79105,4.415,,,,
61,10/29/14 06:00:00 PM,79093,4.415,,,,
62,10/29/14 06:30:00 PM,79130,4.519,,,,
63,10/29/14 07:00:00 PM,79142,4.519,,,,
64,10/29/14 07:30:00 PM,79165,4.519,,,,
65,10/29/14 08:00:00 PM,79176,4.519,,,,
66,10/29/14 08:30:00 PM,79200,4.519,,,,
67,10/29/14 09:00:00 PM,79223,4.519,,,,
68,10/29/14 09:30:00 PM,79209,4.415,,,,
69,10/29/14 10:00:00 PM,79232,4.415,,,,
70,10/29/14 10:30:00 PM,79254,4.311,,,,
71,10/29/14 11:00:00 PM,79242,4.311,,,,
72,10/29/14 11:30:00 PM,79254,4.311,,,,
