"Plot Title: EFJabvJARAM20170601"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1028728, SEN S/N: 1028728)","Temp, °C (LGR S/N: 1028728, SEN S/N: 1028728)","Coupler Detached (LGR S/N: 1028728)","Coupler Attached (LGR S/N: 1028728)","Stopped (LGR S/N: 1028728)","End Of File (LGR S/N: 1028728)"
1,06/01/17 01:30:00 PM,78707,14.996,Logged,,,
2,06/01/17 01:45:00 PM,78698,13.942,,,,
3,06/01/17 02:00:00 PM,78673,13.558,,,,
4,06/01/17 02:15:00 PM,78650,13.269,,,,
5,06/01/17 02:30:00 PM,78644,12.980,,,,
6,06/01/17 02:45:00 PM,78621,12.690,,,,
7,06/01/17 03:00:00 PM,78603,12.594,,,,
8,06/01/17 03:15:00 PM,78599,12.401,,,,
9,06/01/17 03:30:00 PM,78579,12.207,,,,
10,06/01/17 03:45:00 PM,78592,12.110,,,,
11,06/01/17 04:00:00 PM,78590,12.013,,,,
12,06/01/17 04:15:00 PM,78588,11.916,,,,
13,06/01/17 04:30:00 PM,78618,11.819,,,,
14,06/01/17 04:45:00 PM,78631,11.722,,,,
15,06/01/17 05:00:00 PM,78629,11.625,,,,
16,06/01/17 05:15:00 PM,78661,11.625,,,,
17,06/01/17 05:30:00 PM,78674,11.528,,,,
18,06/01/17 05:45:00 PM,78674,11.528,,,,
19,06/01/17 06:00:00 PM,78656,11.431,,,,
20,06/01/17 06:15:00 PM,78625,11.431,,,,
21,06/01/17 06:30:00 PM,78609,11.431,,,,
22,06/01/17 06:45:00 PM,78591,11.334,,,,
23,06/01/17 07:00:00 PM,78575,11.334,,,,
24,06/01/17 07:15:00 PM,78607,11.334,,,,
25,06/01/17 07:30:00 PM,78559,11.334,,,,
26,06/01/17 07:45:00 PM,78575,11.334,,,,
27,06/01/17 08:00:00 PM,78591,11.334,,,,
28,06/01/17 08:15:00 PM,78607,11.334,,,,
29,06/01/17 08:30:00 PM,78620,11.236,,,,
30,06/01/17 08:45:00 PM,78636,11.236,,,,
31,06/01/17 09:00:00 PM,78652,11.236,,,,
32,06/01/17 09:15:00 PM,78684,11.236,,,,
33,06/01/17 09:30:00 PM,78684,11.236,,,,
34,06/01/17 09:45:00 PM,78699,11.236,,,,
35,06/01/17 10:00:00 PM,78731,11.236,,,,
36,06/01/17 10:15:00 PM,78731,11.236,,,,
37,06/01/17 10:30:00 PM,78731,11.236,,,,
38,06/01/17 10:45:00 PM,78731,11.236,,,,
39,06/01/17 11:00:00 PM,78747,11.236,,,,
40,06/01/17 11:15:00 PM,78733,11.334,,,,
41,06/01/17 11:30:00 PM,78747,11.236,,,,
42,06/01/17 11:45:00 PM,78749,11.334,,,,
43,06/02/17 12:00:00 AM,78717,11.334,,,,
44,06/02/17 12:15:00 AM,78717,11.334,,,,
45,06/02/17 12:30:00 AM,78686,11.334,,,,
46,06/02/17 12:45:00 AM,78686,11.334,,,,
47,06/02/17 01:00:00 AM,78701,11.334,,,,
